0: [[1, 2, 4, 5, 8, 15, 9, 6], [7, 10, 11, 14], [12, 13, 19], [16, 18, 17, 20, 22, 3], [23, 21, 24]]
16: [[3, 6, 1], [2, 4, 5, 8, 15, 9], [7, 10, 11, 14], [12, 13, 19, 16, 18, 17, 20, 22], [23, 21, 24]]
17: [[3, 6, 1], [2, 4, 5, 8, 15, 9], [7, 10, 11, 14], [12, 13, 19, 16, 18, 17, 20, 22], [23, 21, 24]]
18: [[3, 6, 1], [2, 4, 5, 8, 15, 9], [7, 10, 11, 14], [12, 13, 19, 16, 18, 17, 20, 22], [23, 21, 24]]
19: [[3, 6, 1, 2], [4, 5, 8, 15], [9, 7, 10, 11, 14], [12, 13, 19, 16, 18, 17, 20, 22], [23, 21, 24]]
20: [[3, 6, 1, 2, 4], [5, 8, 15, 9], [7, 10, 11, 14, 12], [13, 19, 16, 18, 17, 20, 22], [23, 21, 24]]
21: [[3, 6, 1, 2], [4, 5, 8, 15, 9], [7, 10, 11, 14], [12, 13, 19, 16, 18, 17, 20], [22, 23, 21, 24]]
22: [[1, 2], [4, 5, 8, 15, 9, 7, 6], [10, 11, 14], [12, 13, 19, 16, 18, 17, 20, 22, 3], [23, 21, 24]]
23: [[3, 6, 1, 2], [4, 5], [8, 15, 9, 7, 10, 11, 14], [12, 13, 19, 16, 18, 17, 20, 22], [23, 21, 24]]
24: [[1, 2, 4, 5, 8, 15, 6], [9, 7, 10, 11, 14], [12, 13, 19, 16, 18, 3], [17, 20, 22], [23, 21, 24]]
25: [[1, 2, 4, 5, 8, 15, 6], [9, 7, 10, 11, 14], [12, 13, 19, 16, 18, 3], [17, 20, 22], [23, 21, 24]]
26: [[1, 2, 4], [5, 8, 15, 9, 7, 10, 11, 14, 6], [12, 13, 19, 16, 18, 3], [17, 20, 22], [23, 21, 24]]
27: [[1, 2, 4, 5, 8, 15, 6], [9, 7, 10, 11], [14, 12, 13, 19], [16, 18, 17, 20, 22, 3], [23, 21, 24]]
28: [[3, 6, 1, 2, 4, 5], [8, 15, 9], [7, 10, 11], [14, 12, 13, 19, 16, 18, 17, 20], [22, 23, 21, 24]]
29: [[3, 6, 1], [2, 4, 5, 8, 15, 9], [7, 10, 11, 14], [12, 13, 19, 16, 18, 17, 20], [22, 23, 21, 24]]
30: [[3, 6, 1], [2, 4, 5, 8, 15, 9], [7, 10, 11, 14], [12, 13, 19, 16, 18, 17, 20], [22, 23, 21, 24]]
31: [[3, 6, 1, 2], [4, 5, 8, 15], [9, 7, 10, 11], [14, 12, 13, 19, 16, 18, 17, 20, 22], [23, 21, 24]]
32: [[1, 2], [4, 5, 8], [15, 9, 7, 10, 11, 14, 12, 13, 19, 6], [16, 18, 17, 20, 22, 3], [23, 21, 24]]
33: [[1, 2], [4, 5, 8], [15, 9, 7, 10, 11, 14, 6], [12, 13, 19, 16, 18, 17, 20, 22, 3], [23, 21, 24]]
34: [[1, 2], [4, 5, 8], [15, 9, 7, 10, 11, 14, 6], [12, 13, 19, 16, 18, 17, 20, 22, 3], [23, 21, 24]]
35: [[1, 2], [4, 5, 8], [15, 9, 7, 10, 11, 14, 6], [12, 13, 19, 16, 18, 17, 20, 22, 3], [23, 21, 24]]
36: [[1, 2, 4, 5, 8, 15, 6], [9, 7, 10, 11], [14, 12, 13], [19, 16, 18, 17, 20, 22, 3], [23, 21, 24]]
37: [[1, 2, 4, 5, 8, 15, 6], [9, 7, 10, 11], [14, 12, 13], [19, 16, 18, 17, 20, 22, 3], [23, 21, 24]]
38: [[1, 2, 4, 5, 8, 15, 6], [9, 7, 10, 11], [14, 12, 13], [19, 16, 18, 17, 20, 22, 3], [23, 21, 24]]
39: [[3, 2, 4, 5, 6, 1], [8, 15, 9, 7, 10, 11, 14, 12], [13, 19], [16, 18, 17, 20, 22], [23, 21, 24]]
40: [[3, 6, 1], [2, 4, 5, 8, 15], [9, 7, 10, 11], [14, 12, 13, 19, 16, 18, 17, 20, 22], [23, 21, 24]]
41: [[3, 6, 1], [2, 4, 5, 8, 15, 9, 7], [10, 11, 14], [12, 13, 19, 16, 18, 17, 20, 22], [23, 21, 24]]
42: [[1], [2, 4, 5, 8, 15, 9, 7, 10, 11, 6], [14, 12, 13, 19], [16, 18, 17, 20, 22, 3], [23, 21, 24]]
43: [[3, 6, 1], [2, 4, 5, 8, 15, 9, 7], [10, 11, 14], [12, 13, 19, 16, 18, 17, 20, 22], [23, 21, 24]]
44: [[1, 2], [4, 5, 8], [15, 9, 7, 10, 11, 6], [14, 12, 13, 19, 16, 18, 17, 20, 22, 3], [23, 21, 24]]
45: [[1, 2, 4, 5, 8, 15, 6], [9, 7, 10, 11], [14, 12, 13], [19, 16, 18, 17, 20, 3], [22, 23, 21, 24]]
46: [[1, 2, 4, 5, 8], [15, 9, 7, 10, 11, 6], [14, 12, 13, 19, 16, 18, 17, 20, 22, 3], [23, 21, 24]]
47: [[1], [2, 4, 5, 8], [15, 9, 7, 10, 11, 14, 12, 13, 19, 6], [16, 18, 17, 20, 22, 3], [23, 21, 24]]
48: [[3, 2, 4, 5, 8, 15, 9, 7, 6, 1], [10, 11, 14, 12], [13, 19], [16, 18, 17, 20], [22, 23, 21, 24]]
49: [[1, 2, 4, 5, 8], [15, 9, 7, 10], [11, 14, 12, 13, 6], [19, 16, 18, 17, 20, 3], [22, 23, 21, 24]]
