0: [[1, 2], [3, 22, 5, 4, 6], [15, 8], [14, 10, 9], [11, 7], [12, 13, 16, 17, 18, 19, 20], [21, 23, 24]]
24: [[2], [22], [4], [6, 15], [8, 14, 10], [9, 11, 7], [12, 13, 16, 3], [17, 18, 5], [19, 20, 21, 1], [23, 24]]
25: [[2], [22], [6, 15, 5, 4], [8, 14], [10, 9, 3], [11, 7, 12], [13, 16, 1], [17, 18, 19], [20, 21], [23, 24]]
26: [[2], [22], [6, 15, 5, 4], [8, 14], [10, 9, 1], [11, 7], [12, 13], [16, 17, 3], [18, 19], [20, 21, 23, 24]]
27: [[2], [22], [4], [6, 15], [8, 14, 5], [10, 9, 3], [11, 7, 12], [13, 16, 1], [17, 18, 19, 20, 21], [23, 24]]
28: [[1, 2], [3, 22], [5, 4], [6, 15], [8, 14], [10, 9, 11, 7], [12, 13, 16], [17, 18, 19], [20, 21], [23, 24]]
29: [[2, 1], [22], [4], [6, 15, 8, 5], [14, 10, 9], [11, 7, 12], [13, 16, 17, 18, 3], [19, 20, 21, 23, 24]]
30: [[2, 1], [22], [5, 6, 3, 4], [15, 8], [14, 10], [9, 11, 7], [12, 13, 16, 17, 18, 19, 20, 21, 23, 24]]
31: [[2, 1], [22], [4, 6, 15, 5], [8, 14, 10], [9, 11], [7, 12, 13], [16, 17, 18, 3], [19, 20, 21, 23, 24]]
32: [[2], [22], [4], [6, 15], [8, 14, 5], [10, 9, 3], [11, 7, 12], [13, 16, 1], [17, 18, 19], [20, 21, 23, 24]]
33: [[2], [22, 5, 6, 4], [15, 8, 14], [10, 9, 1, 3], [11, 7], [12, 13, 16, 17, 18, 19, 20, 21, 23, 24]]
34: [[2], [22], [4], [6, 15], [8, 14], [10, 9, 1, 3], [11, 7], [12, 13, 16, 17, 5], [18, 19], [20, 21, 23, 24]]
35: [[2], [22, 4, 6, 3, 5], [15, 8], [14, 10], [9, 11, 1], [7, 12, 13], [16, 17, 18, 19, 20, 21, 23, 24]]
36: [[2, 1], [22], [5, 6, 3, 4], [15, 8], [14, 10, 9], [11, 7, 12, 13, 16, 17, 18, 19, 20, 21, 23, 24]]
37: [[2], [22], [4, 6, 3, 5], [15, 8, 14, 10, 9, 11, 7, 12], [13, 16, 1], [17, 18, 19, 20, 21, 23, 24]]
38: [[2], [22], [4], [6, 15], [8, 14], [10, 9, 1], [11, 7], [12, 13, 16, 3], [17, 18, 5], [19, 20, 21, 23, 24]]
39: [[2], [22], [4, 6, 3, 5], [15, 8, 14], [10, 9, 1], [11, 7, 12, 13], [16, 17, 18, 19, 20, 21, 23, 24]]
40: [[1, 2, 3], [22, 5, 4], [15, 6], [8, 14, 10, 9, 11, 7, 12, 13, 16, 17, 18, 19, 20, 21, 23, 24]]
41: [[2, 1], [22], [5, 4, 6, 3], [15, 8], [14, 10, 9, 11, 7, 12, 13, 16, 17, 18, 19, 20, 21, 23, 24]]
42: [[2, 1], [22], [5, 4, 6, 3], [15, 8, 14, 10, 9, 11, 7, 12, 13, 16, 17, 18, 19, 20, 21, 23, 24]]
43: [[1, 2], [3, 22, 5, 4], [6, 15, 8, 14, 10, 9, 11, 7, 12, 13, 16, 17, 18, 19, 20, 21, 23, 24]]
44: [[2, 22, 5, 1], [4, 6, 3], [15, 8], [14, 10, 9], [11, 7, 12, 13, 16, 17, 18, 19, 20, 21, 23, 24]]
45: [[1, 2], [3, 22, 5, 4], [6, 15, 8, 14, 10, 9, 11, 7, 12, 13, 16, 17, 18, 19, 20, 21, 23, 24]]
46: [[2], [22, 5, 6, 15, 8, 4], [14, 10], [9, 11, 1], [7, 12], [13, 16, 17, 3], [18, 19], [20, 21, 23], [24]]
47: [[2], [22], [5], [6, 15, 8, 3], [14, 10, 4], [9, 11, 1], [7, 12, 13, 16, 17, 18, 19, 20, 21, 23, 24]]
48: [[2], [22], [4], [6, 15, 8, 14, 10], [9, 11], [7, 12], [13, 16, 1, 3], [17, 18, 5], [19, 20, 21, 23, 24]]
49: [[1, 2], [3, 22], [5, 4, 6], [15, 8, 14, 10, 9, 11, 7, 12], [13, 16, 17, 18, 19, 20, 21, 23, 24]]
