0: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10, 12], [13, 11, 14, 15], [9, 16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
33: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 15, 10], [13, 9, 11, 12, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
34: [[19, 8, 2, 1, 7, 5], [3, 4, 6, 10, 12], [15, 9, 11, 13, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
35: [[19, 8, 2, 1, 7, 5], [3, 4, 6, 10, 12], [13, 9, 11, 15, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
36: [[19, 8, 2, 1, 7, 5], [3, 4, 6, 10, 12], [13, 11, 9, 15, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
37: [[19, 8, 2, 1, 7, 5], [3, 4, 6, 10, 12], [15, 13, 9, 11, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
38: [[19, 8, 2, 1, 7, 5], [3, 4, 6, 10, 12], [9, 11, 15, 13, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
39: [[19, 8, 2, 1, 7, 5], [3, 4, 6, 10, 12], [15, 9, 11, 13, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
40: [[19, 8, 2, 1], [7, 5, 3, 4, 6, 10], [12, 13, 9, 11, 15], [14, 16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
41: [[19, 8, 2, 1], [7, 5, 3, 4, 6, 10], [12, 13, 11, 9, 15], [14, 16, 17, 18, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
42: [[19, 8, 2, 1], [7, 5, 3, 4, 6, 10], [12, 13, 9, 15, 11], [14, 16, 17, 18, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
43: [[19, 8, 2, 1], [7, 5, 3, 4, 6, 10], [12, 13, 9, 11, 15], [14, 16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
44: [[19, 8, 2, 1, 7, 5], [3, 4, 6, 10, 14], [13, 11, 9, 15], [12, 16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
45: [[19, 8, 2, 1, 7, 5], [3, 4, 6, 10, 14], [13, 11, 9, 15, 12], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
46: [[19, 8, 2, 1, 7, 5], [3, 4, 6, 10, 13], [15, 9, 11, 12, 14], [16, 17, 18, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
47: [[19, 8, 2, 1, 7, 5], [3, 4, 6, 10, 13], [11, 15, 9, 14, 12], [16, 17, 18, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
48: [[19, 8, 2, 1], [7, 5, 3, 4, 6], [10, 12, 13, 9, 11], [14, 15, 16, 17, 18], [23, 22, 20, 28, 24, 25], [21, 27, 26, 29]]
49: [[19, 8, 2, 1], [7, 5, 3, 4, 6, 10], [12, 15, 9, 11, 13], [14, 16, 18, 17, 23], [22, 20, 28, 24, 25], [21, 27, 26, 29]]
50: [[19, 8, 2, 1], [7, 5, 3, 4, 6, 12], [15, 9, 10, 14], [13, 11, 16, 17, 18], [23, 20, 28, 24, 25, 22], [21, 27, 26, 29]]
51: [[19, 8, 2, 1], [7, 5, 3, 4, 6], [10, 12, 13, 9, 11], [14, 15, 16, 18, 17, 23], [22, 20, 28, 24, 25], [21, 27, 26, 29]]
52: [[19, 8, 2, 1], [7, 5, 3, 4, 6], [10, 12, 13, 9, 11], [15, 14, 16, 18, 17, 23], [22, 20, 28, 24, 25], [21, 27, 26, 29]]
53: [[19, 8, 2, 1], [7, 5, 3, 4, 6], [10, 12, 15, 9, 11, 13], [14, 16, 18, 17, 23], [22, 20, 28, 24, 25], [21, 27, 26, 29]]
54: [[19, 8, 2, 1], [7, 5, 3, 4, 6], [10, 12, 15, 13, 11, 9], [14, 16, 17, 18, 23], [22, 20, 28, 24, 25], [21, 27, 26, 29]]
55: [[19, 8, 2, 1], [7, 5, 3, 4, 6], [10, 12, 11, 13, 9, 15], [14, 16, 18, 17, 23], [22, 20, 28, 24, 25], [21, 27, 26, 29]]
56: [[19, 8, 2, 1], [7, 5, 3, 4, 6], [10, 12, 15, 9, 11, 13], [14, 16, 18, 17, 23], [22, 20, 28, 24, 25], [21, 27, 26, 29]]
57: [[19, 8, 2, 1], [7, 5, 3, 4, 6], [10, 12, 13, 9, 11, 14], [15, 16, 18, 17, 23], [22, 20, 28, 24, 25], [21, 27, 26, 29]]
58: [[19, 8, 2, 1], [7, 5, 3, 4, 6], [10, 12, 15, 9, 11], [13, 14, 16, 18, 17, 23], [22, 20, 28, 24, 25], [21, 27, 26, 29]]
59: [[19, 8, 2, 1], [7, 5, 3, 4, 6], [10, 14, 15, 9, 11], [13, 12, 16, 17, 18, 23], [22, 20, 28, 24, 25], [21, 27, 26, 29]]
