0: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 12, 5, 15, 8, 28, 18, 10], [9, 11, 23, 22, 24, 16], [19, 14, 26, 27, 31, 20], [30, 25, 39, 37, 29, 48, 32], [33, 47, 44, 42, 46, 58, 41, 50, 45, 40, 43, 51, 38, 36, 52, 53, 54, 55], [49, 59, 57], [60, 56]]
11: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6, 4], [12, 9, 11, 10, 8, 14, 16, 5, 30, 15, 27, 18, 19], [26, 24, 20, 28, 25, 29, 23, 31, 53, 37, 57, 44, 22, 45, 32, 40, 38, 33, 39, 51, 56, 36, 42, 47, 46, 41, 49, 58, 48, 43, 54], [52, 50], [59], [60, 55]]
12: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 12, 9, 15, 5, 26, 19], [8, 14, 10, 11, 20, 16], [18, 22, 29, 28, 24, 25, 23, 30, 27, 31, 37, 50, 38], [39, 33, 32, 36, 43, 41, 40, 44, 42, 45, 46, 47, 58, 51, 48, 55], [52, 56, 54, 57, 49, 53, 59, 60]]
13: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6, 4], [12, 9, 11, 10, 8, 14, 16, 5, 30, 15, 27, 18, 19], [26, 24, 20, 28, 25, 29, 23, 31, 53, 37, 57, 44, 22, 45, 32, 40, 38, 33, 39, 51, 56, 36, 42, 47, 46, 41, 49, 58, 48, 43, 54], [52, 50], [59], [60, 55]]
14: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 5, 8, 14, 11, 30], [10, 9, 20, 12, 27, 18, 15], [22, 16, 23, 28], [19, 24, 29, 31, 25, 26], [39, 33], [32, 37, 46, 41, 38, 40, 42, 44, 45, 36, 47, 43, 51], [55, 54, 49, 50, 52, 56, 48, 53, 58, 59, 60, 57]]
15: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 5, 8, 14, 11, 30], [10, 9, 20, 12, 27, 18, 15], [22, 16, 23, 28], [19, 24, 29, 31, 25, 26], [39, 33], [32, 37, 46, 41, 38, 40, 42, 44, 45, 36, 47, 43, 51], [55, 54, 49, 50, 52, 56, 48, 53, 58, 59, 60, 57]]
16: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 5, 12, 27, 9, 10, 26, 14, 8, 11, 22, 16, 19, 20, 15, 18, 28, 25, 24, 23, 30], [60, 29, 49, 31, 40, 32, 41, 36, 38, 37, 33, 42, 44], [39, 43, 46, 45, 48, 54, 56, 47, 50, 51, 52, 53, 57, 55, 58, 59]]
17: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 5], [9, 28], [8, 12, 11, 25, 14, 15, 20, 16, 19, 23, 22, 26, 31, 24, 29, 30, 33, 27, 32, 50, 39, 37, 45, 36, 10], [41, 38, 40, 42, 43, 46, 44, 56, 18], [49, 47, 48, 52, 51, 53], [60, 58, 54, 55], [57, 59]]
18: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6], [4, 5, 9, 14, 10, 26, 25, 12, 11, 8, 27, 23, 15, 22, 18, 19, 16, 24, 20, 29, 28], [57, 51, 30, 44, 33, 31, 37, 38, 32, 41, 36, 47, 49], [42, 40, 43, 58, 52, 54, 39, 45, 48, 46, 50, 56, 59, 55, 53, 60]]
19: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6, 4], [5, 11, 15, 8, 28, 18, 10, 9], [12, 23, 16, 25, 19, 30], [14, 24, 22, 26, 20, 27, 33], [55, 37, 29, 48, 59, 31, 45, 44, 42, 32, 58, 41, 50, 39, 40, 43, 51, 38, 47, 36, 53, 46, 54, 49, 56], [52, 60, 57]]
20: [[35, 34, 7, 2, 17, 1, 3], [13, 21, 6], [4, 5, 9, 15, 8, 30, 10, 11, 14, 12, 23, 20, 18, 25, 19, 28], [16, 22, 24, 29, 26, 27, 31, 60, 37, 36, 32, 41, 33, 39, 45, 38, 46], [42, 40, 43, 44, 48, 52, 49, 57, 47, 51, 50, 56, 53, 55, 54, 58, 59]]
21: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 5, 18], [9, 28], [8, 12, 11, 25, 14, 15, 10, 20, 16, 19, 23, 22, 26, 31, 24, 29, 30, 33, 27, 32, 50, 39, 37, 45, 36], [41, 38, 40, 42, 43, 46, 44, 56], [49, 47, 48, 52, 51, 53], [60, 58, 54, 55], [57, 59]]
22: [[35, 34, 7, 2, 17, 1], [3, 13, 21, 6, 4, 5, 8, 31, 9, 30, 26], [10, 11, 14, 12, 19, 15, 20], [16, 18, 22, 27, 28, 23, 24, 25, 29, 33, 58, 36, 32, 41, 37, 39, 42, 38, 51, 43, 53, 40, 46, 44, 50, 54, 49, 48, 45, 47, 56, 52, 60, 59, 55, 57]]
23: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 5, 8, 14, 11, 30], [10, 9, 18, 12, 31, 26, 25], [20, 15, 19, 28], [22, 24, 23, 16, 27, 46], [39, 29, 32, 33, 45, 37], [48, 36, 38, 47, 44, 40, 43, 52, 51], [53, 54, 41, 50, 49, 57, 42, 55, 60, 58, 56, 59]]
24: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 5, 8, 15, 9, 28, 14, 11, 10, 12, 30], [16, 23, 20, 18, 24, 19, 22, 29, 25, 31, 26, 57, 33, 48, 27, 40, 45, 38, 37, 46, 32, 36, 39, 41, 43, 47, 55, 42], [60, 50, 54, 53, 58, 51, 44, 56, 49, 52], [59]]
25: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6, 4], [12, 9, 11, 10, 24, 5], [14, 16, 8, 15], [19, 18, 23, 20, 25, 22, 30, 26], [28, 31, 29, 27, 33, 48, 36, 39], [32, 40, 44, 42, 38, 37], [41, 43, 46, 45, 47, 55], [50, 53], [52, 54, 56, 51, 49, 58, 57, 59, 60]]
26: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 5, 8, 15, 9, 30, 10, 27, 11, 28], [22, 14], [18, 26, 19, 20, 16, 23, 24, 25, 31, 56, 39, 12, 29, 33, 37, 32, 41, 36, 45, 46, 38, 40, 43, 47, 42, 44, 49, 60, 51, 48, 52, 54, 50, 53], [59, 57, 55, 58]]
27: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6, 4, 5, 8], [15, 9, 28], [10, 11, 12, 14, 24, 19, 18, 20, 26, 16, 22, 23], [30, 27, 29, 25, 55, 36, 31, 37], [40, 32, 33, 38, 43], [39, 60, 42], [41], [47, 45, 44], [49, 46, 53, 52, 54, 50, 59, 48, 56, 51, 58, 57]]
28: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 12, 8, 14, 24, 30, 18, 19, 15, 10], [11, 20, 22, 5, 9, 23, 16, 28, 25, 26, 31, 53, 42, 47, 57, 32], [27, 44, 29, 33, 38, 36, 46, 39, 41, 37, 40, 60, 48, 51, 58, 49], [54, 43, 45, 50, 52, 55, 59, 56]]
29: [[35, 34, 7, 2, 17, 1, 3], [13, 21, 6], [4, 5, 8, 15, 9, 28, 10, 11, 12, 14, 24, 16, 18, 20, 19, 22, 23, 26], [30, 27, 31, 25, 38, 32, 36, 44], [29, 40, 33, 37, 43], [39, 46, 42], [51], [47, 41, 49], [55, 45, 53, 60, 50, 48, 58, 52, 57, 54, 56, 59]]
30: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6, 4, 5, 8, 14, 11], [28, 9, 12], [10, 15, 23, 16, 27, 20, 18, 22, 24, 25, 19, 29, 26, 30, 36, 55, 31, 33, 32, 37, 44, 40, 38, 39, 43, 46, 56, 41, 47, 60, 52, 50, 42, 45, 48, 49, 51, 54, 53, 57, 58, 59]]
31: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 5, 8, 31, 9, 12], [22, 10, 15, 11, 16, 18], [14, 20, 19, 26, 23], [25, 24, 27, 28], [29, 39, 30, 40, 36], [32, 45, 41, 37, 42, 33], [46, 43, 60, 47, 44, 48, 59, 38, 49, 50, 53], [58, 51, 52, 54, 55, 56, 57]]
32: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6], [4, 12, 9, 11, 5, 30, 26, 8, 15, 10], [24], [14], [22, 16, 19, 20, 28, 25, 18, 23, 27, 31, 29, 44, 36, 48, 59, 45, 37, 38, 33, 40, 32, 39, 51, 46, 54, 47, 41, 43, 49, 42, 50, 53, 52, 55, 57, 56, 60, 58]]
33: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6, 4, 12], [9, 10, 24, 31, 26, 8, 5, 15, 30, 27, 16, 11, 14, 19, 23, 18], [20, 25, 22, 29, 28, 32, 48, 49, 38, 37, 33, 44, 36, 39, 42, 46, 56, 41, 47, 40, 43, 60, 45, 50, 53, 51, 52, 54, 57, 59, 58, 55]]
34: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6, 4, 5, 8, 14, 25, 24, 9, 11, 10, 12, 15, 22, 18, 20, 19], [23, 26, 16, 27, 30, 29, 28, 59, 37, 31, 32, 44, 38, 36, 33, 42, 41, 45, 39, 40, 43, 47, 56, 48], [52, 51, 49, 46, 53, 55, 50, 54, 60, 57, 58]]
35: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 12, 9, 14, 5, 26, 15, 8, 10, 11], [27, 18, 22, 16, 19, 31, 20], [28, 23, 24, 30, 25], [58, 39, 52, 36, 40, 33, 44], [29, 32, 45, 41, 37, 55], [38, 42, 46, 43, 53, 57, 54, 47, 48, 50], [51, 49], [56, 59, 60]]
36: [[35, 34, 7, 2, 17, 1, 3, 13, 21, 6, 4, 12, 8, 11, 5, 28, 9, 10, 25, 14, 15, 26, 16, 20, 18, 19, 23, 22, 24, 27], [30, 29, 31, 37, 33, 32, 36, 46, 38, 47, 39, 40, 58, 41, 42, 44, 43, 45, 51, 56, 52, 53, 54], [48, 49, 57, 50, 59, 60, 55]]
37: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 5], [8, 15, 9, 30, 11, 18], [14, 12, 19, 22, 28], [24, 29, 16, 10], [26, 20, 23, 27], [59, 31, 32, 25, 45], [52, 37, 38, 39, 40, 33, 42, 36, 57, 43, 44], [46, 41, 50, 51, 47, 53, 48, 49, 54, 58, 55, 56, 60]]
38: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6], [4, 5, 8, 15, 25, 18, 10], [20, 9, 11, 12, 30, 16, 14, 24, 22, 19], [26, 29, 23, 27, 28, 47, 48, 31, 32, 33, 38, 46, 37, 36, 42, 39, 40, 43, 41, 44, 49], [52, 58, 45, 60, 56, 50, 55], [54, 53, 51], [59, 57]]
39: [[35, 34, 7, 2], [17, 1, 3, 13, 21], [6, 4, 5, 8], [14, 9, 27], [24, 10, 18, 15, 12, 11, 19, 23, 20, 22, 16, 25, 30, 26, 29, 31, 43, 47, 32, 41, 28, 33, 40, 36, 38, 37, 42, 46, 56, 45, 53, 44, 52, 51, 39, 50, 48, 57, 55, 58, 54, 49, 59, 60]]
40: [[35, 34, 7, 2, 17, 1], [3, 13, 21, 4, 5, 6, 9, 14, 8], [26, 29, 10, 11], [15, 28, 30, 18, 22, 16, 25, 19, 20, 23], [27, 24, 31], [12, 32, 37, 44], [48, 38, 41, 33, 39, 36], [43, 40, 42, 45, 46, 53, 47, 54], [49, 50, 52, 51, 55, 56, 59, 57, 58, 60]]
41: [[35, 34, 7, 2, 17, 1], [3, 13, 21, 6, 4], [12, 9, 11, 8, 31, 26], [10, 5, 14, 28, 15, 20], [18, 16, 22, 24, 27, 23, 19], [29, 25, 32, 30, 40, 48, 39, 37, 42, 38], [45, 43, 33, 44, 49, 41, 46, 47, 50, 52, 36, 54, 53, 51, 55, 59, 57, 56, 58, 60]]
42: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 5, 9, 15, 8, 24, 31, 12, 14, 11], [27, 16, 10, 19, 18, 23, 20, 22], [26, 28, 25, 30, 46, 39, 38, 36, 29, 33, 42, 37, 47, 41, 32, 40, 43, 44, 51, 53, 48, 45, 60, 55, 52, 49, 54, 58, 50, 56, 57, 59]]
43: [[35, 34, 7, 2, 17, 1, 3], [13, 21, 6], [4, 5, 9, 15, 8, 30, 10, 12, 14, 11, 18, 16, 22, 20, 19, 26], [23, 25, 24, 27, 28, 60, 37], [31, 39, 29, 33, 32, 42, 36, 46, 38, 44, 40, 43, 41, 45, 47, 57, 54, 49, 51, 53, 50, 58, 56, 48, 52, 55, 59]]
44: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6, 4, 5], [10, 15, 8, 30, 26, 9], [11, 14, 19, 12, 27, 20], [18, 23, 16, 24, 25, 28, 29], [22, 51, 37, 31, 32, 38, 33, 39, 36, 46, 47], [56, 40, 42, 41], [44, 43, 50, 52, 48, 45, 49], [53, 55, 54, 57, 60, 59, 58]]
45: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6, 4], [5, 9, 31, 12, 28, 8], [18, 10, 14, 11, 29, 15, 19, 16, 27, 20, 25, 22, 23], [26, 32, 55, 45, 52, 48, 24, 33, 40, 46, 47, 30, 43, 36, 50, 39], [41, 59, 51, 38, 42, 37, 53, 44, 54, 49, 56, 58, 57, 60]]
46: [[35, 34, 7, 2, 17, 1], [3, 13, 21, 6, 4, 12], [9, 15, 8, 28, 26, 10, 5, 11, 23, 27, 14], [16, 20, 18, 22, 31, 19, 24, 29, 25, 30, 36, 56, 44, 32, 37, 40, 39, 33, 38, 42, 43], [41, 49, 45, 46, 58, 51, 48, 59, 52, 47, 55, 57, 53, 54, 60, 50]]
47: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 5, 9, 15, 8, 30], [11, 10, 12, 14, 23, 19, 28, 18], [16, 29, 24], [22, 25, 20, 26, 27, 39], [37, 31], [50, 32, 33, 44, 36], [42, 43], [45, 38], [40, 46, 41, 47, 53, 52, 51, 48, 49, 55, 54, 58, 59, 57, 60, 56]]
48: [[35, 34, 7, 2, 17, 1], [3, 13, 21, 6, 4, 5, 10, 15, 8, 24], [25, 11, 9, 14, 30, 18, 16, 19, 12, 20, 28, 22, 29, 23, 31, 26, 51, 36, 50, 27, 33, 32, 40, 44, 43, 37, 58, 45, 42, 41, 47, 39, 38, 59, 46, 52, 53, 48, 49, 54, 57, 55, 56, 60]]
49: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6, 4], [12, 8, 14, 9, 26, 30, 10, 5, 11, 28, 31, 15, 18, 16, 24, 19, 22, 20, 25], [23, 27, 29, 40, 39, 33, 32, 37, 38, 36, 46, 43, 45], [42, 57, 41, 50, 44, 48, 54], [47, 51, 56, 53, 49, 52, 58, 60, 55, 59]]
50: [[35, 34, 7, 2, 17, 1], [3, 13, 21, 6, 4, 5, 9], [11, 8, 30], [14, 10, 12, 15, 16, 28, 18, 19, 20, 23, 24, 26, 22, 29, 25, 58], [27, 31, 33, 45, 40, 32, 36, 46, 49, 37, 56, 41, 38, 39, 42, 47, 52, 60, 51, 55, 43, 48, 44, 57, 59, 53, 50, 54]]
51: [[35, 34, 7, 2, 17, 1], [3, 13, 21, 6, 4, 5, 8, 15, 9, 30, 10], [14, 11, 26, 12, 16, 20, 23, 24, 18, 19, 31, 22, 27, 28, 25, 42, 37, 36, 32, 45, 41, 29, 33, 39, 40, 44], [43, 60, 46, 38, 47, 50, 56, 51, 52, 49], [53], [57], [48, 58, 55, 54, 59]]
52: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6], [4, 5, 8, 14, 9, 29], [24, 10, 11, 15, 31, 28], [12, 16, 22, 18, 25, 27], [19, 23, 26, 20], [39, 37, 54, 32, 30, 33], [44, 41, 40, 36, 42, 46], [56, 43, 47, 60, 53], [51, 49, 38, 50, 57, 48], [45, 59, 52, 55, 58]]
53: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 12, 5, 15, 8, 28, 18, 10], [9, 11, 23, 16, 25, 19], [22, 14, 24, 31], [26, 20, 30, 27, 55, 37, 29], [48, 56, 33, 47, 44, 42, 32, 58, 41, 50, 39, 40, 43, 51, 38, 45, 36, 53, 46, 54, 49, 59, 57, 60, 52]]
54: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6, 4], [12, 9, 11, 8, 28, 14, 5, 18, 10, 31, 15, 22], [16, 24, 19, 27, 20, 23, 25, 26, 29, 58, 30], [38, 48, 39, 45, 33, 46, 36, 32, 37, 40], [41], [43, 42, 44, 49, 52], [47, 54, 56, 50, 51, 55, 53, 57, 60, 59]]
55: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 5, 8, 15, 9, 30, 10, 27, 11, 12], [23, 20], [18, 24, 19, 14, 16, 22, 26, 29, 25, 28, 31, 44, 37, 32, 39, 41, 33], [36, 45, 46, 38, 60, 40, 47, 42, 50, 49, 52, 57, 43, 51, 54, 48, 53, 55, 56, 58, 59]]
56: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6, 4], [12, 8, 14, 25, 30, 10], [27, 11], [5, 9, 15, 18], [20, 19, 16, 23, 22, 26, 29], [24, 28, 31, 38], [55, 32, 33], [46, 39, 36, 41, 42, 37], [44, 40, 47, 43, 48, 49, 52, 51, 45, 53], [54, 56], [57, 58, 60, 50, 59]]
57: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 5, 8, 15, 9, 30, 10, 27, 11, 12], [23, 20], [18, 24, 19, 14, 16, 22, 26, 29, 25, 28, 31, 44, 37, 32, 39, 41, 33], [36, 45, 46, 38, 60, 40, 47, 42, 50, 49, 52, 57, 43, 51, 54, 48, 53, 55, 56, 58, 59]]
58: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6, 4, 5, 8, 14, 11, 30, 10, 9, 18, 12], [29, 25, 15, 23, 26, 19, 16, 22, 27, 28, 31, 24, 46, 39, 20, 32, 37, 33, 41, 36, 42, 38, 45, 40, 56, 47, 43, 60, 51, 44, 49, 54, 48, 57, 50, 52, 53], [59, 55, 58]]
59: [[35, 34, 7, 2, 17, 1, 3, 13, 21, 6, 4, 5, 8], [15, 9, 28, 26, 10, 12, 14, 24, 23, 18, 11, 19, 20, 16, 22], [30, 27, 39, 25, 37, 29, 36, 44], [53, 31, 32, 33, 41], [38, 46, 43], [56], [40, 42, 47], [55, 45, 48, 49, 50, 51, 54, 52, 58, 59, 57, 60]]
60: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6, 4], [12, 9, 14, 8, 26, 5, 10, 11], [20, 27, 15, 18, 22, 16, 23], [19, 24, 31, 25, 30, 29, 50, 33, 28], [36, 32, 44, 45], [38, 39, 42, 40, 37, 41], [49, 43, 57, 46, 47, 53, 55], [52, 54, 48, 51, 56, 58, 59, 60]]
61: [[35, 34, 7, 2, 17, 1, 3], [13, 21, 6], [4, 12, 8, 15, 10, 28, 11, 9, 5, 31, 18, 14, 16, 20, 19, 22, 24, 25], [23, 26, 29, 27], [30, 33, 58, 36, 49, 32, 44, 37, 41, 42, 46, 38, 47, 39, 48, 40, 54, 59, 43, 52, 55, 45, 56], [51, 50, 53, 57, 60]]
62: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6, 4], [5, 8, 15, 9, 26, 27, 10, 24, 14, 16, 22], [19, 20, 11, 18, 23, 12, 25], [29, 31, 28, 30, 43, 48, 41, 32, 37, 36, 44, 42, 40], [47, 45, 33, 50, 38, 51, 39, 55, 49, 54, 46, 56, 58, 53, 52, 59, 57, 60]]
63: [[35, 34, 7, 2], [17, 1, 3, 13, 5, 14], [4, 6, 24, 15, 8, 26, 9, 30, 10, 11, 18], [23, 22, 19, 12, 16, 20, 29, 21, 27, 28, 25, 32, 41, 43, 40, 31, 33, 36, 44, 39, 37, 45, 56, 53, 46, 42], [58, 38, 52, 47, 48, 50, 51, 55, 49, 54, 60, 59, 57]]
64: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6], [4, 5, 9, 11, 18], [30, 19, 8, 10, 15, 14], [23, 12, 16, 24, 26, 22, 25, 28, 20, 29, 27], [55, 49, 36, 52, 32, 37, 44, 33, 46, 45, 31, 48, 43, 39, 38, 50, 41, 58], [40, 42, 47, 51, 53, 54, 57, 56, 59, 60]]
65: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6], [4, 5, 9, 11, 18], [30, 19, 8, 10, 15, 14], [23, 12, 16, 24, 26, 22, 25, 28, 20, 29, 27], [55, 49, 36, 52, 32, 37, 44, 33, 46, 45, 31, 48, 43, 39, 38, 50, 41, 58], [40, 42, 47, 51, 53, 54, 57, 56, 59, 60]]
66: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 5, 11, 15, 8], [12, 22, 10, 9, 14, 20], [18, 16, 23, 19, 24], [30, 25, 26, 28], [29, 27, 37, 31, 32], [48, 33, 39, 43, 36, 41], [40, 46, 45, 42, 44, 47], [60, 59, 38, 49, 54, 53, 51], [50, 52, 58, 55], [56, 57]]
67: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6], [4, 5, 9, 11, 18], [30, 19, 8, 10, 15, 14], [23, 12, 16, 24, 26, 22, 25, 28, 20, 29, 27], [55, 49, 36, 52, 32, 37, 44, 33, 46, 45, 31, 48, 43, 39, 38, 50, 41, 58], [40, 42, 47, 51, 53, 54, 57, 56, 59, 60]]
68: [[35, 34, 7, 2, 17, 1, 3], [13, 21, 6, 4, 5, 8], [14, 24, 30, 10, 12, 9], [15, 22, 26, 31, 20, 16, 19], [23, 27, 11, 25], [18, 29, 28, 37, 45, 32], [33, 42, 44], [36, 38, 39], [40, 41, 58, 43, 46], [47, 54, 52, 49, 48, 51], [53, 55, 56, 50, 59, 57, 60]]
69: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 12, 8, 14], [5, 11, 9, 27, 15, 16, 24, 19, 23, 25, 28, 20, 26, 29, 30, 31, 22, 38, 52, 18, 10], [40, 36, 32, 45], [41, 33, 43, 39, 42, 58, 44, 37, 59, 50, 46, 54, 47, 48, 49, 55, 53, 56, 51, 57, 60]]
70: [[35, 34, 7, 2, 17, 1, 3], [13, 21, 6, 4, 5, 8], [15], [9, 30, 11, 12, 10, 31, 14, 16, 19, 18, 23, 20, 22, 24, 25, 28, 26], [27, 41, 29, 33, 36, 37, 32, 39, 44, 56, 45, 38, 40, 43, 42, 47, 60, 54, 46, 50, 53, 51, 52, 48, 57, 59, 49, 55, 58]]
71: [[35, 34, 7, 2, 17], [1, 3, 13, 20, 6, 8], [4, 11, 26, 5, 28, 10], [9, 14, 12, 30, 16, 15, 18], [22, 19, 23, 24], [25, 21, 27, 29, 31, 32], [44, 36, 33, 40, 39, 37, 46], [38, 45], [41, 42, 47, 43, 53, 51, 48, 50], [55, 58, 49, 57], [52, 56, 60, 54, 59]]
72: [[35, 34, 7, 2, 17, 1], [3, 13, 21, 6, 4, 5, 9, 11, 8, 31], [10, 18, 12, 30, 14, 15, 16, 20, 19], [26, 28, 23, 25, 29, 27], [22, 33, 44, 24, 32, 38, 45, 36, 40, 37], [39, 47, 42, 46, 41, 43, 53, 54, 48, 49], [58, 50, 51, 52], [55, 57, 56, 60, 59]]
73: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6, 4], [5, 9, 10, 8, 29, 11, 15, 16, 14, 31], [20, 19, 18, 22, 28], [25, 27, 26, 23, 24, 30], [50, 55, 12, 32, 37, 39, 45], [41, 36, 40, 38, 33, 42, 43, 46, 54, 53], [49, 56, 47, 44, 48, 51], [57, 60, 52, 58, 59]]
