0: [[1, 3, 4], [29, 7], [2, 22, 8, 6], [5, 13, 11], [14, 10], [9, 12, 16], [19, 15, 17, 21], [18, 23, 20, 24, 27], [25, 26, 28], [30, 31, 33, 34, 32], [35, 36, 37]]
23: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10], [9, 12, 16], [19, 15, 17], [21, 18], [23, 20], [24], [27, 25, 26], [28, 30], [31, 33, 34, 32], [35, 36, 37]]
24: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10, 9], [12, 16], [19, 15, 17], [21, 18, 23], [20, 24, 27], [25, 26, 28, 30], [31, 33, 34, 32], [35, 36, 37]]
25: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10, 9], [12, 16], [19, 15, 17], [21, 18, 23, 20, 24], [27, 25, 26], [28], [30, 31, 33, 34, 32, 35, 36, 37]]
26: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13], [11, 14, 10], [9, 12, 16, 19], [15, 17, 21], [18, 23], [20, 24, 27], [25, 26, 28, 30], [31, 33, 34], [32], [35, 36, 37]]
27: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10, 9], [12, 16], [19, 15, 17], [21, 18, 23, 20], [24, 27, 25], [26, 28, 30], [31, 33, 34, 32], [35, 36, 37]]
28: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13], [11, 14, 10], [9, 12], [16, 19, 15], [17, 21], [18, 23], [20, 24, 27], [25, 26, 28], [30, 31], [33, 34, 32], [35, 36], [37]]
29: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10, 9], [12, 16], [19, 15, 17, 21, 18, 23, 20, 24, 27, 25, 26, 28, 30, 31, 33, 34, 32, 35, 36], [37]]
30: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10, 9], [12, 16, 19], [15, 17, 21], [18, 23, 20], [24, 27, 25], [26, 28, 30], [31, 33, 34, 32], [35, 36, 37]]
31: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10, 9], [12, 16, 19], [15, 17, 21], [18, 23, 20], [24, 27, 25], [26, 28, 30], [31, 33, 34, 32], [35, 36, 37]]
32: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13], [11, 14, 10], [9, 12, 16], [19, 15], [17, 21], [18, 23, 20], [24, 27, 25], [26, 28, 30], [31, 33, 34], [32, 35, 36, 37]]
33: [[1, 3], [4, 29], [7, 2, 22], [8, 6, 5], [13, 11, 14], [10, 9], [12, 16, 19], [15, 17, 21], [18, 23], [20, 24, 27], [25, 26, 28], [30, 31, 33], [34, 32, 35, 36, 37]]
34: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10, 9], [12, 16], [19, 15, 17], [21, 18, 23], [20, 24, 27], [25, 26], [28, 30], [31, 33, 34], [32, 35, 36, 37]]
35: [[1, 3, 4], [29, 7], [2, 22, 8], [6, 5, 13], [11, 14, 10], [9, 12, 16, 19], [15, 17, 21], [18, 23, 20], [24, 27, 25], [26, 28, 30], [31, 33, 34], [32, 35, 36, 37]]
36: [[1, 3, 4], [29, 7], [2, 22, 8, 6], [5, 13, 11], [14, 10, 9], [12, 16, 19, 15], [17, 21, 18], [23, 20, 24], [27, 25, 26], [28, 30, 31], [33, 34, 32, 35], [36, 37]]
37: [[1, 3, 4], [29, 7], [2, 22, 8, 6], [5, 13, 11], [14, 10, 9], [12, 16, 19], [15, 17], [21, 18, 23], [20, 24, 27], [25, 26, 28, 30, 31, 33], [34, 32, 35, 36, 37]]
38: [[1, 3, 4], [29, 7], [2, 22, 8, 6], [5, 13, 11], [14, 10, 9], [12, 16, 19], [15, 17, 21], [18, 23, 20], [24, 27, 25, 26, 28, 30, 31, 33, 34, 32, 35, 36, 37]]
39: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13], [11, 14, 10], [9, 12], [16, 19], [15, 17], [21, 18, 23, 20], [24, 27, 25, 26], [28, 30, 31, 33, 34, 32], [35, 36, 37]]
40: [[1, 3, 4], [29, 7, 2, 22], [8, 6], [5, 13, 11, 14, 10, 9, 12, 16, 19, 15, 17, 21, 18, 23, 20, 24, 27, 25, 26, 28, 30, 31, 33, 34, 32, 35, 36, 37]]
41: [[1, 3, 4], [29, 7], [2, 22, 8], [6, 5], [13, 11], [14, 10, 9], [12, 16, 19], [15, 17, 21], [18, 23], [20, 24, 27], [25, 26, 28, 30], [31, 33, 34], [32], [35, 36, 37]]
42: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10, 9], [12, 16], [19, 15, 17], [21, 18, 23], [20, 24, 27], [25, 26], [28, 30, 31], [33, 34, 32], [35, 36, 37]]
43: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13], [11, 14, 10], [9, 12, 16], [19, 15, 17], [21, 18, 23], [20, 24], [27, 25, 26], [28, 30, 31, 33, 34, 32, 35, 36, 37]]
44: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13], [11, 14, 10], [9, 12], [16, 19, 15], [17, 21], [18, 23, 20], [24, 27, 25], [26, 28], [30, 31, 33], [34, 32, 35], [36, 37]]
45: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10, 9], [12, 16], [19, 15, 17], [21, 18, 23], [20, 24, 27, 25], [26, 28, 30], [31, 33, 34, 32], [35, 36, 37]]
46: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11, 14], [10, 9, 12, 16], [19, 15], [17, 21, 18], [23, 20, 24, 27, 25, 26, 28, 30, 31, 33, 34, 32, 35, 36, 37]]
47: [[1, 3, 4, 29], [7, 2, 22], [8, 6, 5], [13, 11, 14], [10, 9], [12, 16, 19], [15, 17, 21], [18, 23, 20], [24, 27], [25, 26], [28], [30, 31, 33], [34, 32, 35, 36, 37]]
48: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10, 9, 12], [16, 19, 15, 17], [21], [18, 23, 20, 24, 27, 25, 26, 28, 30, 31, 33, 34, 32, 35, 36, 37]]
49: [[1, 3], [4, 29, 7], [2, 22, 8], [6, 5], [13, 11, 14], [10, 9], [12, 16, 19], [15, 17, 21], [18, 23], [20, 24, 27], [25, 26, 28], [30, 31], [33, 34], [32, 35, 36, 37]]
50: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10], [9, 12, 16, 19], [15, 17], [21, 18, 23, 20], [24, 27, 25], [26, 28, 30, 31], [33, 34, 32, 35, 36, 37]]
51: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13], [11, 14, 10], [9, 12, 16], [19, 15, 17], [21, 18, 23], [20, 24], [27, 25, 26], [28, 30, 31], [33, 34], [32, 35, 36], [37]]
52: [[1, 3, 4], [29, 7], [2, 22], [8, 6, 5, 13], [11, 14, 10], [9, 12, 16, 19], [15, 17, 21, 18], [23, 20, 24], [27, 25, 26, 28, 30, 31, 33, 34, 32, 35, 36, 37]]
53: [[1, 3], [4, 29, 7], [2, 22, 8], [6, 5, 13, 11], [14, 10], [9, 12, 16], [19, 15, 17], [21, 18, 23], [20, 24], [27, 25, 26], [28, 30, 31, 33, 34, 32, 35, 36, 37]]
54: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13], [11, 14, 10], [9, 12, 16], [19, 15, 17], [21, 18, 23], [20, 24], [27, 25, 26], [28, 30, 31], [33, 34], [32, 35, 36], [37]]
55: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10, 9], [12, 16, 19, 15, 17], [21, 18, 23, 20], [24, 27, 25, 26, 28, 30, 31, 33, 34, 32, 35, 36, 37]]
56: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10, 9], [12, 16, 19], [15, 17], [21, 18, 23], [20, 24, 27], [25, 26], [28, 30], [31, 33, 34], [32, 35, 36, 37]]
57: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10, 9], [12, 16, 19], [15, 17], [21, 18], [23, 20, 24], [27, 25], [26, 28, 30], [31, 33, 34, 32], [35, 36, 37]]
58: [[1, 3, 4], [29, 7], [2, 22, 8, 6, 5, 13, 11, 14, 10], [9, 12, 16, 19, 15, 17, 21, 18, 23, 20, 24, 27, 25, 26, 28, 30, 31, 33, 34, 32, 35, 36, 37]]
59: [[1, 3, 4], [29, 7, 2, 22, 8, 6, 5, 13, 11, 14, 10, 9, 12, 16, 19, 15, 17], [21, 18, 23, 20, 24, 27, 25, 26, 28], [30, 31, 33, 34, 32, 35, 36, 37]]
60: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10], [9, 12], [16, 19, 15, 17], [21, 18, 23], [20, 24, 27, 25], [26, 28], [30, 31], [33], [34, 32, 35], [36, 37]]
61: [[1, 3, 4], [29, 7], [2, 22, 8, 6, 5], [13, 11, 14, 10, 9, 12, 16, 19, 15, 17, 21], [18, 23, 20, 24, 27, 25, 26, 28, 30, 31, 33, 34, 32, 35, 36, 37]]
62: [[1, 3], [4, 29], [7, 2], [22, 8, 6], [5, 13, 11], [14, 10, 9], [12, 16], [19, 15, 17], [21, 18, 23], [20, 24], [27, 25, 26], [28, 30], [31, 33, 34], [32], [35, 36, 37]]
63: [[1, 3, 4], [29, 7], [2, 22, 8], [6, 5], [13, 11, 14, 10, 9, 12, 16, 19, 15], [17, 21, 18, 23, 20, 24, 27, 25, 26, 28, 30, 31, 33, 34, 32, 35, 36, 37]]
64: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11, 14], [10, 9], [12, 16, 19, 15], [17, 21, 18], [23, 20, 24, 27], [25, 26, 28, 30, 31, 33, 34, 32, 35, 36, 37]]
65: [[1, 3], [4, 29, 7], [2, 22], [8, 6, 5], [13, 11, 14], [10, 9, 12], [16, 19, 15], [17, 21], [18, 23, 20], [24, 27, 25], [26, 28], [30, 31, 33], [34], [32, 35, 36, 37]]
66: [[1, 3, 4], [29, 7, 2], [22, 8, 6, 5], [13, 11, 14], [10, 9], [12, 16], [19, 15], [17], [21, 18, 23, 20, 24, 27, 25, 26, 28, 30, 31, 33, 34, 32, 35, 36, 37]]
67: [[1, 3, 4], [29, 7], [2, 22, 8], [6, 5, 13], [11, 14], [10, 9, 12, 16], [19, 15, 17], [21, 18, 23], [20, 24, 27], [25, 26], [28, 30, 31], [33, 34], [32, 35, 36, 37]]
68: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11, 14], [10, 9, 12, 16], [19, 15, 17, 21], [18, 23], [20, 24, 27, 25, 26, 28, 30, 31, 33, 34, 32, 35, 36, 37]]
69: [[1, 3, 4], [29, 7, 2], [22, 8], [6, 5, 13], [11, 14, 10], [9, 12, 16, 19], [15, 17, 21], [18], [23, 20, 24], [27, 25, 26, 28, 30, 31, 33, 34, 32, 35, 36, 37]]
70: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11, 14], [10, 9, 12], [16, 19, 15], [17, 21, 18], [23, 20, 24], [27, 25, 26, 28, 30, 31, 33, 34, 32, 35, 36, 37]]
71: [[1, 3, 4, 29], [7, 2, 22, 8, 6, 5, 13, 11, 14, 10, 9, 12, 16, 19, 15, 17, 21], [18, 23, 20, 24, 27, 25, 26, 28, 30, 31, 33, 34, 32, 35, 36, 37]]
72: [[1, 3], [4, 29, 7], [2, 22, 8], [6, 5], [13, 11, 14], [10, 9, 12], [16, 19], [15, 17, 21], [18, 23, 20], [24, 27, 25], [26, 28, 30], [31, 33, 34], [32, 35, 36, 37]]
73: [[1, 3, 4], [29, 7, 2], [22, 8], [6, 5, 13, 11], [14, 10, 9, 12, 16, 19, 15, 17, 21, 18, 23, 20, 24, 27, 25, 26, 28, 30, 31], [33, 34, 32, 35, 36, 37]]
