0: [[38, 7, 78, 44, 55], [25, 5, 1, 2, 49], [86, 6, 68, 57], [84, 85], [16, 19], [32], [69, 10, 39, 53], [11, 74, 75], [47, 17, 21], [61, 27, 71, 73], [3, 26, 8], [64, 65], [45, 18, 56], [79, 9, 66, 72], [28, 30], [35, 20, 31, 40, 51], [36, 23], [4, 58], [37, 67], [48, 24, 12, 13, 22], [34], [76, 42, 63], [41, 46, 15], [52], [83], [50, 54], [60, 87, 62, 70, 77, 14, 29, 33, 59, 88, 80, 81, 82, 43]]
11: [[38, 5, 7], [8, 9, 35], [32, 3, 4, 65], [2, 1], [26, 15, 11, 6, 28, 12, 13, 16, 23, 14, 18, 21, 17, 51, 10, 48, 19, 20, 25, 22, 62, 50, 24, 30, 39, 49, 29, 45, 31, 60, 40, 34, 42, 36, 47, 43, 41, 37], [33], [63, 44, 46, 53, 52, 54, 56, 59, 55, 27, 57, 58, 61, 80, 67, 66, 68, 70, 75, 73, 76], [74], [71, 79, 87, 64, 69, 78, 77, 72, 82, 86, 83, 85, 84, 81, 88]]
12: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [65, 2, 1, 11, 14, 6, 15, 28, 30, 10, 21, 23, 13], [12, 24, 19, 20], [16, 25], [56, 17, 18, 31, 22, 57, 27, 54, 33, 26, 46, 29, 52, 34, 37, 47], [43, 36, 39, 59, 41, 40, 55, 63, 42, 58, 44, 50, 48, 45, 62, 49, 51, 53, 60, 61, 66, 81, 68, 71], [64, 73, 70, 72, 79, 75, 67, 78, 69, 76], [77, 74, 82, 88, 85, 84, 87, 83, 86, 80]]
13: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [65, 2, 1, 10], [28, 15], [23, 6, 11], [13, 26, 12, 31, 19, 20, 59, 17, 43, 22], [18, 21, 53, 61, 16, 52, 62, 24, 27, 46, 25, 30, 29, 14, 36, 44, 41, 33, 34, 48, 56, 37, 51, 39, 40, 54, 42, 50, 45, 47, 63, 55, 49, 57, 58, 60, 66, 64, 67, 69, 70, 68, 77, 73, 76, 72, 75, 79, 71, 74, 86, 78, 80, 84, 81, 87, 83, 82, 85, 88]]
14: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [6], [2, 1, 30, 13, 11, 12, 28, 14, 22, 26, 19, 15, 17, 33, 18, 20, 21, 58, 16, 25, 31, 24, 47, 29, 57, 44, 23, 52, 27, 34, 37, 60, 36, 39, 10, 40, 42, 41, 45, 43, 53, 51, 46, 48, 49, 50, 54, 55, 59, 56, 61, 62, 63, 72, 81, 70, 67, 64, 66, 65, 68, 77, 71, 78, 74, 87, 75, 69, 73, 76, 79, 80, 82, 86, 83, 85, 84, 88]]
15: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [65, 2, 1, 11, 13, 12, 14, 15, 31, 6, 16, 28, 10], [18, 17, 20, 21, 22, 19, 23, 58, 24, 25, 61, 26, 29, 54, 30, 37, 27, 33, 34, 39, 44, 40, 41, 36, 42, 59, 43, 46, 45, 47, 49, 62, 51, 48, 50, 55, 52, 53, 56, 60, 57, 63, 64, 69, 66, 70, 67, 73, 68, 76, 75, 79, 80, 85, 71, 78, 72, 74, 84, 77, 81, 87], [83, 82, 86, 88]]
16: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [65, 2, 1, 26, 24, 15, 29, 6, 12, 11, 10, 48, 13, 20, 14, 18, 55, 16, 17, 27], [19, 21, 36, 59, 60, 25, 22, 58, 23, 28, 37, 45, 41, 44, 50, 40, 47, 42, 34], [57, 30, 31, 61, 33, 39, 43, 46, 53, 49, 54, 52, 51, 56, 62, 63, 66, 67, 68, 64, 86, 79], [70, 72, 71, 74, 69, 77, 76, 75, 73, 83, 80, 78, 87, 82, 84, 81, 85, 88]]
17: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 65], [2, 10, 1, 13, 22, 12, 29, 15, 16, 20, 26, 6, 19, 27, 11], [14, 17, 18, 21, 55, 23, 24], [58, 25, 28, 63], [33, 44], [47, 36, 61, 39, 37, 40, 30, 41, 52, 34, 31, 53, 42, 45, 54, 43], [49, 46, 48, 50, 51, 59, 56, 60, 57, 68, 66, 62, 71, 73, 74, 64, 78, 69, 72, 67, 79, 70, 75, 76], [77, 85, 83, 81, 80, 84, 87, 82, 86, 88]]
18: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 65], [2, 1, 10, 29, 14, 22, 13, 6], [11, 15, 12, 16, 18, 19, 27, 21, 23, 20, 28, 17, 24, 33, 30, 25, 63, 26, 31, 36, 43, 44, 37, 45, 34, 39, 40, 41, 52, 49, 53, 42, 46, 60, 47, 54, 55, 62, 48, 51, 58, 61, 56, 59, 57, 84, 50, 80, 67, 73, 66, 69, 79, 64, 75, 72, 68, 70, 78, 71, 74, 76], [83, 81, 82, 77, 85, 86, 87, 88]]
19: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 65, 2, 10, 1, 6, 14, 15, 25, 11], [19, 18, 13, 31, 21, 16, 17, 22, 12, 20, 23, 27, 26, 30], [55, 24, 28, 52, 29, 53, 45, 36, 57], [42, 39, 37, 58, 33, 41, 34, 62, 40, 43], [56, 46, 44], [49, 47, 61, 48, 54, 59, 60, 50, 51, 63], [66, 70, 75, 68, 78, 64, 67, 77, 73, 72, 71, 74, 79, 69, 76, 80, 83, 81, 86, 85], [82, 84, 87, 88]]
20: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 65, 2, 10, 1, 6, 14, 15, 25, 11], [19, 18, 13, 31, 21, 16, 17, 22, 12, 20, 23, 27, 26, 30], [55, 24, 28, 52, 29, 53, 45, 36, 57], [42, 39, 37, 58, 33, 41, 34, 62, 40, 43], [56, 46, 44], [49, 47, 61, 48, 54, 59, 60, 50, 51, 63], [66, 70, 75, 68, 78, 64, 67, 77, 73, 72, 71, 74, 79, 69, 76, 80, 83, 81, 86, 85], [82, 84, 87, 88]]
21: [[38, 5, 7], [8, 9, 35], [32, 3, 4, 1, 6, 2, 18, 14, 28, 10, 12, 15, 17, 13, 24, 23, 16, 49, 22, 11, 21, 50, 20, 29], [19, 26, 25, 60, 51, 27, 61, 42, 43, 41, 30, 39, 44, 31, 33, 40, 46, 34, 36, 45, 37, 47, 48, 53, 55, 58, 56, 52, 62, 54, 57, 59, 63, 68, 67, 64, 66, 79, 74, 65, 75, 71, 76, 77, 69, 70, 72, 73, 78, 82, 85, 81, 80, 84], [87, 83, 86, 88]]
22: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 65], [2, 11, 6, 29], [27, 28, 12, 14, 24, 10, 43, 13, 19, 15, 16], [20, 17, 18, 25, 52, 21, 31], [58, 23, 26, 46], [1, 47], [56, 22, 30, 44], [36, 41], [40, 37, 45, 42, 33, 34, 39, 61, 48, 53], [50, 49, 51, 59, 57, 54, 60, 62, 55, 63, 67, 80, 66, 73, 64, 71], [78, 68, 74, 76, 69, 72, 75, 70, 79, 87, 86, 77, 81, 82, 83, 84], [85, 88]]
23: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 1, 6, 2, 19, 11, 10, 31, 15, 23, 13, 12, 17, 28, 22, 18, 16], [20, 21, 24, 25, 27, 26, 59, 62, 14, 58, 56, 29, 30, 33, 39, 47, 57, 37, 48, 41, 34, 40, 46, 36, 42, 44, 43, 61, 45, 50, 52, 54, 49, 51, 55, 53, 63, 60, 72, 87, 68, 67, 66, 64, 65, 70, 73, 71, 74, 69, 76, 75, 79, 77, 88, 84, 78, 83, 80, 81, 85, 82, 86]]
24: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [65, 2, 1, 10, 29, 14, 6, 11, 13, 30], [26, 16, 21, 19, 17, 12, 15, 20], [18, 27, 22, 23, 24, 63, 25, 31, 34, 60, 36, 57, 28, 39, 37, 33, 44], [41, 46, 42, 40, 47, 43, 45, 51, 48, 59, 49, 53, 50, 62, 52, 61, 54, 56, 55, 69, 64], [66, 68, 78, 71, 75, 58, 67, 73, 76, 70, 72, 85, 79, 74, 82, 80, 84, 81, 77, 83, 87, 86, 88]]
25: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [1, 6, 2, 31, 24, 10, 14, 25, 11, 12], [17, 13, 15, 20, 16, 23, 22, 21], [18, 19, 60, 27, 55, 46, 26, 45, 28, 29, 30, 33, 58, 41, 34, 57], [42, 62, 43, 37, 36, 39, 40, 47, 51, 48, 50, 52, 44], [49], [54, 53, 59, 56, 61, 63, 64, 74, 66, 68, 67, 71, 75, 69, 65, 73, 77, 70, 72, 76, 78, 79], [84, 82, 80, 81, 86, 83, 85, 87, 88]]
26: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 65], [6, 2, 1], [13, 30, 14, 31, 15, 24, 12, 16, 19, 21, 28, 10, 52, 25, 22, 17, 51, 18, 49, 27, 20, 58, 50, 11, 23, 59, 43, 37, 36, 26, 45, 29, 40, 41, 34, 33, 42, 39, 44, 46, 62, 47, 48, 53, 61, 54, 55, 56, 57, 60, 68, 63, 66], [71, 64, 70, 72, 79, 69, 67, 73, 77, 76, 75, 74, 81, 78, 82, 87, 83, 80, 86, 84, 85, 88]]
27: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [1, 6, 2, 11, 10, 14, 15, 18], [30, 12, 13, 19, 22, 21, 20, 16, 23], [17, 54, 24, 29, 25, 61, 26, 27, 59], [28, 31, 33, 37, 63, 44, 42, 34, 36, 39, 51, 43, 41, 47, 45, 46, 49, 40, 48, 53], [50, 58, 57, 52, 62, 55, 56, 60, 70, 65, 68, 66, 69, 64, 67, 74, 71, 72, 78, 76, 73, 79, 75, 77, 81, 80, 86, 85, 83], [82, 84, 87, 88]]
28: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 65, 2, 1], [24, 29, 26, 30, 11, 23, 13, 12, 21, 6, 14, 15, 18, 16, 22, 19, 31, 20], [17, 25, 27, 59, 28, 58, 41, 34, 46, 33, 42, 56, 44, 45, 48, 54, 37, 47, 40, 49, 50, 57, 43, 39, 52, 51, 36, 53, 62, 61, 55, 63, 60, 72, 68, 69, 66, 81, 67, 75, 64, 73, 70, 79, 76, 71, 74, 77, 78, 80, 86, 88, 82, 83, 84, 85, 87, 10]]
29: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 65, 2, 1], [24, 29, 26, 30, 11, 23, 13, 12, 21, 6, 14, 15, 18, 16, 22, 19, 31, 20], [17, 25, 27, 59, 28, 58, 41, 34, 46, 33, 42, 56, 44, 45, 48, 54, 37, 47, 40, 49, 50, 57, 43, 39, 52, 51, 36, 53, 62, 61, 55, 63, 60, 72, 68, 69, 66, 81, 67, 75, 64, 73, 70, 79, 76, 71, 74, 77, 78, 80, 86, 88, 82, 83, 84, 85, 87, 10]]
30: [[38, 5, 7], [8, 9, 35], [32, 3, 4], [65, 2, 10, 1, 18, 15], [6, 11, 12, 30, 28, 16, 22, 14, 20, 13, 21, 23, 17, 19], [27, 26, 24, 31, 25, 29, 50, 34, 33, 60, 37, 42, 36, 39, 58, 41, 54, 40, 46, 43], [44, 45, 49, 47, 48, 55, 51, 52, 53, 57, 63, 56, 61, 76, 72, 66, 68, 67, 82, 71, 78, 59], [64, 75, 79, 62, 69, 74, 70, 73, 77, 80, 84, 87, 81, 85, 86, 83, 88]]
31: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 65], [2, 1, 10, 13], [14, 28], [6, 15, 30], [17, 26, 21, 18, 16, 44, 11], [22, 23, 12, 57], [24, 20, 61, 25], [27, 49, 29], [36, 42, 39, 34, 46], [33, 31, 41, 45], [37, 43, 63, 40, 47, 48, 56, 50, 59], [52, 53, 54], [58, 51, 55], [60, 62, 19, 64], [72, 67, 69, 71, 75, 68], [70, 74, 66, 73, 76, 79], [77, 86, 78, 82, 85, 80, 81, 83, 84, 87, 88]]
32: [[38, 5, 7], [8, 9, 35, 40], [3, 4], [65, 2, 1, 26, 25, 11, 15, 10, 6, 13, 21, 31, 12], [17, 16, 18, 19], [22, 14, 61, 54, 20, 29, 28, 57, 30, 23, 24, 37, 59, 34, 36, 27, 32, 41, 33, 43, 42], [45, 46, 56, 53, 39, 44, 47, 51, 50], [52, 48, 55, 60, 58], [62, 49, 73], [63, 82, 64, 66, 67, 69, 71, 70, 79, 77, 78, 68, 72, 74, 76, 75, 84, 87, 81, 80, 85, 83, 86, 88]]
33: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [65, 2, 11, 10, 12, 1, 31, 25, 14, 23, 24], [6, 28, 18, 21, 19, 30, 13, 16, 15, 26, 17], [20, 60, 52, 63, 22, 62, 27, 45, 43, 33, 61, 36, 29, 34], [42, 37, 39, 57, 50, 40, 44, 46, 41, 53, 55, 47], [48, 49, 56, 51, 54, 58, 72, 59, 84, 66, 64, 71, 74, 70, 69, 67, 68, 77, 73, 75, 79, 76, 82, 83, 80, 78, 87, 86, 81, 85, 88]]
34: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [65, 2, 1], [24, 30, 26, 6, 10, 27, 14], [19, 12, 11, 15, 16, 20, 17, 13, 18, 21, 60, 23, 22, 44, 63, 61, 33, 25, 31, 50, 34, 29, 36, 39, 46, 41, 58, 37, 42, 45, 40, 43, 55, 47, 52, 48, 49, 51, 53, 56, 59, 54, 57, 78, 62, 28, 64, 68, 66, 71, 72, 69, 67, 73, 76, 70, 77, 75, 74, 79, 84, 82, 81, 80, 86, 87, 83, 85, 88]]
35: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 1], [6, 2, 11, 28, 12, 22, 14, 15, 18, 19, 26, 13, 20, 17, 21, 24], [23, 16, 29, 25], [61, 33, 30, 58, 27, 10, 31, 44, 48, 37, 45, 34], [36, 42], [41, 43, 47, 46, 40, 49, 50, 53, 39, 62, 51, 52, 54, 57, 55, 59, 56], [60, 63, 75, 67, 64, 66, 69, 73, 65, 70, 72, 68, 74, 79, 76, 71, 77], [78, 82, 80, 83], [85, 84], [81, 86, 87, 88]]
36: [[38, 5, 7], [8, 9, 35], [32, 3, 4], [65, 2, 1, 26, 24, 31, 29, 14, 11, 17, 18, 12, 13, 22], [6, 16], [21, 23], [15, 20, 19, 27, 50, 28, 46, 25, 58, 30, 47, 36, 60, 33, 40, 34], [37, 43, 45, 39, 44, 41, 59, 61, 48, 42, 49, 51, 53, 52, 57, 54, 55, 10], [63, 56, 70, 64, 62, 82, 68, 66, 79, 78, 72, 73, 67, 76, 77, 75, 69, 71, 74], [84, 81, 80, 85, 86, 83, 87, 88]]
37: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 65, 18, 2], [25, 6, 10], [31, 11, 13, 16, 12, 15, 1, 14, 19, 22, 21, 17, 20, 27], [30, 23, 24, 26, 28, 29, 36, 59, 44, 46, 42, 47, 39, 40, 34, 60, 33, 37, 53, 43, 41, 48, 49, 55, 51, 54, 56, 57, 58, 62, 61, 52, 50, 45, 81, 74, 68, 63, 69, 66, 64, 67, 79, 75, 78, 73, 71, 72, 76, 83, 70, 84, 87, 77, 80, 82, 86, 85, 88]]
38: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 65], [2, 1, 19], [14, 26, 12, 10, 15, 13, 11, 29, 18, 16, 21, 20, 17, 22, 23, 24, 53, 27, 25, 60, 62], [28, 30, 54, 6, 58, 31, 52, 37, 45, 33, 36, 42, 47, 34, 43, 40, 39], [51, 41, 55, 44, 46, 48, 49, 50, 56, 57, 59, 61, 63, 68, 64, 69, 67, 71, 74], [66, 72, 77, 76, 70, 79, 73, 75, 78, 84, 81, 80, 87, 82, 85, 83], [86, 88]]
39: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 1], [6, 2, 24, 30, 27, 11], [13, 31, 12, 15, 14], [22, 19, 20, 16, 17, 23, 18, 25, 60, 21, 28, 42, 63], [29, 26, 33], [61, 43, 62, 34], [37, 39], [36, 41, 50], [40, 44, 47, 45], [51, 54], [53, 52, 48], [49, 55, 56, 58, 59, 66, 57], [71, 46, 69, 64, 68, 67, 73, 75, 72, 65, 74, 77, 70, 76, 79, 81, 78, 86, 84, 83, 80, 82, 85, 87, 88, 10]]
40: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 67], [70, 1, 6, 28], [31, 19, 21], [14, 12, 13, 62, 15, 18, 60], [2, 16, 29], [20, 23, 10, 11, 24, 30, 50, 42, 59, 39, 53, 43, 17, 58, 45, 36, 22, 25, 26, 34, 27, 44, 47, 57, 33], [37, 40, 52, 48, 41, 46, 55, 49, 56, 51, 54, 68, 75, 61, 65, 66, 63, 64, 78, 69], [74, 77, 76, 71, 72, 73, 83], [82, 80, 79, 81, 84, 85, 86, 88, 87]]
41: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [1, 6, 2, 27, 26, 10, 14], [25, 11, 19], [12, 13, 15], [16, 17, 18, 21], [22, 20], [53, 29, 24, 23, 30, 61, 33, 36, 59, 31], [34, 44, 37, 28, 41, 42, 40, 45], [39, 43, 57, 50, 46, 47, 51, 49, 48, 52, 54, 62, 60, 63, 55, 56, 58, 65, 66], [64], [67, 69, 70, 71, 78, 72, 68, 73, 74, 75, 77, 76, 79, 86, 83, 80, 81, 82, 85], [84, 87, 88]]
42: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 1, 6, 2, 26, 10, 27, 14, 13, 28, 11, 19, 12, 15], [21, 16, 17], [18, 20, 22, 23, 60, 31, 52], [40, 53, 61, 24, 50, 25, 34, 41, 29, 36, 42, 46, 43, 30, 37, 33, 45, 57, 44, 54, 47, 49, 48, 51, 39, 55, 56, 58, 59, 62, 71, 63, 64, 81, 68, 65, 70, 66, 79, 67, 69, 76, 72, 73, 75, 74, 77, 84, 88, 85, 80, 82, 87, 83, 78, 86]]
43: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 65], [2, 1], [10, 15, 11, 6, 26, 22, 24, 29, 14, 17, 12, 16, 18, 20, 13], [21, 25, 27, 28, 19, 60, 30, 51, 40, 61, 31, 23, 37, 62, 33, 44, 43], [41, 34, 52, 56, 45, 42, 39, 46, 36, 47, 48, 49, 55, 59, 50, 53, 58, 63, 54], [57, 67, 80], [64, 73, 71, 70, 66, 68, 72, 69, 79, 76, 74, 75, 78, 87, 77, 81, 82, 83, 85, 84, 86, 88]]
44: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 1], [6, 2, 26, 25, 10, 14], [15, 12, 13, 31], [11, 22, 17], [24, 16, 19, 23], [18, 28, 20, 21, 61], [62, 29, 30, 42, 57, 37, 47, 34, 36, 40, 39, 33, 41, 43, 44, 45, 46, 48, 49, 54, 50, 51, 59, 55, 52, 56, 53, 60, 58, 63, 64, 65], [27, 66, 80, 69, 71, 75, 72, 67, 70, 77, 78, 68, 73, 74, 76, 86, 84, 87, 81, 79, 82, 83, 85, 88]]
45: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [1, 6, 2, 10, 46, 11, 31, 13, 14, 26, 25, 18, 15, 21, 16, 30], [12, 17, 48, 19, 49, 20, 60, 55, 24, 22, 23, 27, 39, 62, 28, 61, 29, 36, 40, 37, 41, 54, 33, 57, 34, 42, 43, 50, 58, 44, 45, 47, 51, 52, 53, 56, 59, 63, 72], [73, 64, 67, 65, 66, 70, 78, 68, 75, 76], [71, 79, 77, 74, 84, 69, 83, 80, 81, 82, 85, 87, 86, 88]]
46: [[38, 5, 7], [8, 9, 35, 32, 3], [4, 65], [2, 1, 11, 6, 15, 28, 10, 14, 12, 29, 23, 19, 13, 16, 17, 22], [20, 55, 18, 21], [31, 25, 26, 24, 53, 62, 57, 33, 45, 27, 30], [44, 42, 36, 34, 37, 39, 41, 47, 43, 48, 60, 46, 40, 52, 50, 51], [49, 54, 58, 56, 59], [61, 63, 64], [66, 68, 70, 74, 69, 67, 73, 76, 75], [77, 71, 72, 78, 82, 83, 84, 80, 79, 85], [81, 86, 87, 88]]
47: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 65, 2, 1, 6, 26, 10], [30, 13, 11, 29, 20, 24, 23, 14, 18, 12, 17, 55, 15, 27, 16, 31], [19, 58, 59, 21, 22, 39, 45, 44, 60, 42, 48, 25, 33, 34, 28, 37, 63, 40, 41, 53], [36, 43, 47, 46, 49, 54, 52, 50, 51, 56, 61, 57, 77, 66, 62, 64, 75, 74, 69, 70], [68, 73, 79, 71, 67, 72, 76], [88, 81, 85], [78, 80, 83, 87, 84, 82], [86]]
48: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 1, 6, 15, 2, 28, 26, 14], [10, 27, 12, 19, 13, 11, 23, 21, 22, 17, 16, 18, 20, 52, 24, 60, 44, 30, 61, 33, 25, 39, 58, 29, 56, 31, 37, 42, 36, 43, 41, 34, 59, 40, 46, 45, 50, 63, 48, 53, 51, 54, 49, 55, 57, 62, 65, 47, 68, 64, 70, 66, 79, 72, 69, 67, 73, 77, 71, 76, 75, 74, 78, 84, 81, 85, 80, 86, 83, 82, 87, 88]]
49: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [65, 2, 1, 26, 13, 11, 25, 10, 12, 29], [14, 17], [20, 19], [6, 18, 21, 22, 16, 24, 27, 31, 23, 58, 28, 39, 30, 59, 40, 15, 52, 36, 41, 46, 34], [33, 43, 44, 45, 47, 55, 49, 61, 50, 42, 37, 51, 54, 48, 57, 53, 60], [63, 56, 76, 64, 62, 66, 68, 67, 75, 70, 73, 72, 78, 77, 69, 74, 79, 71, 84], [80, 85, 86, 81, 82, 83, 87, 88]]
50: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 65], [2, 16, 14, 28], [10, 6, 15], [1, 12, 11, 56, 17, 13, 20], [18, 22, 30], [19, 53, 21, 24, 26, 59, 23, 27, 29, 42, 52, 31, 36, 57, 34, 40, 37, 33, 43, 44, 39, 58, 47, 41, 45, 51, 46, 48, 49, 61, 50, 63, 55, 64, 54, 60, 62, 25, 66, 72, 69, 73, 68, 70, 67, 71, 74, 79, 75, 76, 77, 78, 82, 81, 83, 84, 80, 87, 86, 85, 88]]
