0: [[7, 35, 11, 3, 2], [1, 13, 5, 21, 6], [8], [4, 9, 14, 12, 19, 15, 22, 29, 16, 17, 23, 18, 10], [20, 31, 28, 27, 24, 25, 26, 30, 33], [56, 37, 38, 32, 44, 36], [43, 39, 40, 45, 34, 42], [41, 47, 53, 48, 50, 51, 55, 46, 52], [49, 57], [59, 54, 58, 60]]
11: [[7, 35, 11, 3, 2, 1], [13, 21, 6, 4, 14, 8], [5, 25, 26, 9, 20, 12, 27, 16, 18, 15, 10], [23, 17, 22, 19, 24], [28, 29, 31, 30, 33, 59, 37, 34, 32, 36, 47], [40, 39, 41, 38, 43, 44, 45], [51, 46], [42, 50, 55, 52], [53, 48, 49, 54, 56, 57, 58, 60]]
12: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 6], [14, 12, 8, 4, 29, 18, 9, 15, 10], [26, 25, 16, 20, 17, 19], [22, 23, 27, 24, 30], [28, 31, 33, 47, 36], [54], [32, 37, 34, 38, 39, 41, 40], [43, 60, 44, 42, 45], [55, 46, 59, 52, 48, 50, 51, 49, 53, 57], [58, 56]]
13: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 6, 14, 12, 8, 9, 17, 18, 4, 15, 29, 10], [24, 26, 20, 16, 19, 22, 23, 31, 25, 27, 28, 60, 33, 46, 32, 30, 36, 39, 37, 34, 38, 45, 40, 41, 56, 44, 42, 43, 54, 48, 47, 52], [49, 58, 55, 51, 53, 59, 50, 57]]
14: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 6], [12, 4, 9, 8, 24, 10, 15], [31, 23, 25, 14, 29, 16, 18, 22, 17, 19, 20, 27, 26, 28, 30, 32, 41, 36, 46, 45, 34, 33, 38, 43, 44, 37, 39, 57, 42, 40, 51, 60, 47, 55, 48, 53, 50, 52, 49, 54, 56, 59, 58]]
15: [[7, 35, 11, 3, 2, 1], [13, 21, 12, 4, 8, 24, 5, 30, 9, 6, 10], [14, 16, 17, 15, 18, 19, 20, 22, 23, 29, 27, 31, 26, 25, 28, 33, 32, 52, 36, 37, 38, 45, 39, 41, 42, 34, 40, 43, 46, 44, 60, 48, 47], [50, 55, 54, 51, 49, 53, 57, 58, 56, 59]]
16: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 4], [6, 8, 9, 14], [15, 12, 10, 19, 23, 24, 27, 16, 29, 30, 18, 17, 25, 20, 26, 22, 28, 31, 32, 37, 36, 33, 38, 46, 34, 40, 39, 43, 41, 45, 42, 44, 50, 47], [49, 48, 52, 55, 53, 56, 51, 54, 59, 57, 60, 58]]
17: [[7, 35, 11, 3, 2, 1], [13, 21, 5, 6, 14], [20, 4, 9, 24, 10, 15, 28, 12, 8, 22, 17, 18], [16, 19, 23, 27, 25, 26, 30, 31, 29, 33, 56, 60, 34, 38, 32, 39, 37, 36, 43, 46], [40, 41, 47, 58, 44, 48, 45, 49, 42, 50, 52, 51, 53, 54, 55, 57, 59]]
18: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 6, 12, 4, 9, 10, 8, 14, 15, 18, 22, 24, 19, 17, 20, 16, 26, 23, 31, 25, 27, 29, 28, 30, 33, 46, 36, 38, 32, 37, 34, 40, 45, 39, 41, 42, 43, 47, 44, 58, 52, 54, 48], [55, 49, 51, 50, 57, 53, 56, 59, 60]]
19: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 6], [14, 4, 9, 8, 10, 12, 22, 15, 16, 18], [20, 23, 24, 17, 19, 31], [26, 25, 27, 28, 30, 29], [37, 57, 44, 33, 32, 36], [38], [34, 39, 41, 42, 47, 40], [45, 46, 43, 50, 48, 55, 56, 49, 52, 53, 51, 54], [59, 60, 58]]
20: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 6, 4], [30, 8, 9, 12, 10, 14, 23, 24, 15, 19, 16, 20, 27, 17, 26, 18, 22, 25, 28, 31, 29, 32, 60, 38, 37, 33, 46, 39, 34, 42, 45, 41, 36, 50, 43, 47, 44, 40, 48, 57, 49, 51, 53, 52, 55, 54, 58], [56, 59]]
21: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 6], [10, 12, 9, 4, 8, 14, 19, 15, 27, 17, 23, 18, 16, 20, 25, 24, 26, 22, 28, 29, 30, 52, 32, 36, 34, 31, 33], [39, 54, 40, 46, 45, 41], [37, 38, 43, 47, 42, 44, 50, 49, 51, 55, 48, 53, 57, 59, 56, 60, 58]]
22: [[7, 35, 11, 3, 2], [1, 13, 5, 21, 6], [8], [4, 9, 14, 12, 19, 15, 22, 29, 16, 17, 23, 18, 10], [20, 31, 28, 27], [24, 25, 26, 30, 33, 56, 37, 38, 32, 44, 36, 43, 39, 40, 45, 34, 42, 41, 47, 53, 48, 50, 51, 55, 46, 52, 49, 57, 59, 54, 58, 60]]
23: [[7, 35, 11, 3, 2], [1, 13, 21, 4, 6], [8, 5, 9, 15, 12, 10, 14, 17, 22, 24, 27, 16, 30, 18, 19, 23, 31, 26, 25, 20, 28, 29, 32, 36, 37, 38, 34, 46, 39, 44, 40, 33, 42, 47, 41, 43, 45, 51, 49, 59, 54], [52, 50, 55, 48, 57, 56, 53, 58, 60]]
24: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 4, 14], [6, 8, 9, 12, 15], [10, 23, 20, 19, 24], [31, 17, 16, 28, 18, 25], [22, 26], [29, 27, 30, 32, 40, 37, 44], [33, 47, 34, 38, 43], [39, 36, 42, 58, 45, 41, 55], [53, 48, 46, 50, 51, 52, 54], [49, 57, 56, 60, 59]]
25: [[7, 35, 11, 3, 2], [1, 13, 21, 4, 5], [8, 6, 10, 30, 9, 26, 14, 12, 15, 28, 16, 17, 19, 23, 20, 18, 22, 24, 27, 29, 25, 31, 32, 41, 37, 34, 33], [38, 36, 39, 47, 40], [42, 43, 44, 45], [46, 48, 57, 51, 50, 55, 53, 54, 49, 56, 58, 52, 60], [59]]
26: [[7, 35, 11, 3, 2], [1, 13, 21, 4, 6], [10, 8, 9, 12, 28, 14, 5, 15, 18, 24], [17, 16, 20, 22, 19, 23, 29, 26, 27, 25, 31, 30, 40, 59], [37, 38, 33, 32, 41, 34, 47, 36, 42, 46, 45, 39, 43, 44, 49, 58, 50, 52, 54, 55, 51, 48, 56, 53, 57, 60]]
27: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 6], [12, 4, 8, 30, 25, 9, 22], [27, 10, 29, 19, 16, 18, 17, 14, 23, 28, 15, 26, 20, 24, 31, 32, 44, 37, 36, 49, 46, 42, 33, 34, 47, 38, 39, 58, 45, 41, 53, 57, 40, 43, 48, 55, 52, 51, 54, 56, 50, 60, 59]]
28: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 6], [12, 28, 9, 4, 8], [10, 15, 24, 19, 14, 27, 31, 16, 17, 18, 20, 23, 29, 25], [22, 30, 26, 33, 32, 36, 34, 40, 39, 38, 46, 37, 43, 44, 41, 42, 45, 47, 52, 48, 49, 50, 54, 51, 53], [60, 55, 57, 56, 58, 59]]
29: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 6], [4, 9, 8, 14, 12, 28], [15, 24, 31, 17, 10, 23, 18, 16, 22, 19, 20], [25, 29, 27, 26, 30, 33, 60], [38, 32], [34, 37, 36, 46], [45, 44, 41, 42, 47, 39, 58, 56], [49, 53, 51, 40, 43, 52, 50, 48, 55, 54, 59, 57]]
30: [[7, 35, 11, 3, 2], [1, 13, 5, 4, 21, 6], [8, 9, 15, 12, 10, 14], [26, 23, 22, 16, 17], [18, 27, 19, 20, 24, 29, 28, 25, 30, 31, 33], [40, 37, 38, 32, 36, 34, 39, 42, 43, 47, 41, 46, 45, 44], [54, 48, 51, 53, 58, 52, 49, 55, 57, 56, 59, 50, 60]]
31: [[7, 35, 11, 3, 2, 1], [13, 21, 5, 6, 4, 8, 9, 12, 14, 10, 15], [22, 31, 18, 20, 24, 16, 19, 17, 23, 25, 28, 27, 26, 29, 30, 33, 34, 37], [36, 32, 46, 39, 40], [42, 47, 44, 38, 51], [43, 45, 41, 56, 49, 50, 48, 54, 53, 52, 55, 57, 58, 60, 59]]
32: [[7, 35, 11, 3, 2], [1], [13, 21, 5, 6], [8, 12, 9, 4, 14, 15, 17, 16, 22, 10, 19, 23, 20], [18, 24, 27, 28, 26, 25, 29, 30, 31, 41, 57, 37, 34, 32, 44, 38], [33, 47, 36, 43, 46, 39, 45, 40, 48, 42, 58, 54, 50, 51], [53, 52, 55, 59, 60, 49, 56]]
33: [[7, 35, 11, 3, 2, 1], [13, 21, 5, 4, 14, 6, 8, 30, 25, 9, 16], [10, 12, 28, 31, 24, 19, 27, 17, 23, 20, 15, 26, 18, 29, 22, 33, 44, 52, 36, 49, 37, 39, 32, 40, 43, 34, 38, 58, 45, 46, 47, 42, 48], [41, 53, 54, 50, 51, 55, 56, 59, 57, 60]]
34: [[7, 35, 11, 3, 2, 1], [13, 21, 5, 4, 14, 6, 8, 30, 25, 9, 16], [10, 12, 28, 31, 24, 19, 27, 17, 23, 20, 15, 26, 18, 29, 22, 33, 44, 52, 36, 49, 37, 39, 32, 40, 43, 34, 38, 58, 45, 46, 47, 42, 48], [41, 53, 54, 50, 51, 55, 56, 59, 57, 60]]
35: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 6], [8], [4, 9, 14, 10, 23, 12, 20, 15, 18, 17, 16, 19, 22], [24, 27, 28, 25, 31, 29, 26, 30, 41], [56, 37, 34, 32, 44, 38], [33, 39, 36, 45, 46, 42], [40, 43, 48, 50, 47, 51, 54, 55, 53], [58, 49], [59, 52, 57, 60]]
36: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 22], [8], [4, 9, 15, 28, 10, 14], [16, 23, 6, 12, 17, 18], [19, 20, 31, 24, 29, 25, 27, 26, 30], [33, 56], [37, 34], [32, 46, 36, 40], [39, 38, 41, 43, 59, 42, 45, 58], [50, 44, 51, 54, 48], [53, 47, 49, 57, 52, 55, 60]]
37: [[7, 35, 11, 3, 2, 1], [13, 21, 6, 4, 14], [24, 25, 5, 12, 9, 16, 8, 27, 10, 30, 15, 17, 26, 23, 18, 19, 20, 31, 22, 28, 29, 34, 57, 53, 32], [33, 44, 38, 37, 36, 45, 43, 39, 58, 42, 47, 46], [40, 48, 60, 55, 50, 51, 41], [49, 54, 59, 56, 52]]
38: [[7, 35, 11, 3, 2, 1], [13, 21, 5, 6, 12, 9, 8, 14, 27, 26, 10, 15, 29, 16, 23, 20, 19, 17, 22, 24, 18, 31, 30, 28, 25, 32, 37, 40, 48, 4, 33, 36, 38, 39, 41, 44, 34, 46, 59, 42], [47, 43, 45, 49, 51, 52, 54, 53, 50, 55, 58, 56, 57, 60]]
39: [[7, 35, 11, 3, 2], [1, 13, 21], [5], [6, 14, 20, 8, 4, 12, 9, 10, 31, 15, 27, 19], [17, 30, 16, 18, 22, 23, 26, 29, 28, 24], [25, 45, 52, 37, 55, 32, 33, 39, 36, 40, 47, 34, 46, 48], [42, 38], [44, 41, 43, 49], [53, 54, 59, 51], [50, 58, 56, 60, 57]]
40: [[7, 35, 11, 3, 2, 1], [13, 21, 4, 6, 12, 8, 9, 15, 24, 10], [5, 14, 17, 26, 30, 19, 18, 16, 22, 23, 20, 31, 28, 25, 29, 27, 32, 60, 37, 38, 48, 46, 33, 34, 42, 41, 36, 39, 59, 43, 40, 53, 49, 44, 45, 54, 55, 47, 50, 57, 52, 51, 56, 58]]
41: [[7, 35, 11, 3, 2], [1, 13, 21, 6, 4], [8, 12, 9, 5], [10, 15, 14, 20, 23, 24, 19, 22, 26, 18, 16, 17, 27, 28, 29, 25, 30, 58, 37, 36, 42, 32, 31, 46, 38, 33, 34, 43, 39, 40, 59, 45, 47, 48, 41, 51, 54, 55], [49], [53, 44, 57, 50, 52, 56, 60]]
42: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 14, 8, 6], [9, 4, 12, 15, 25], [28, 16, 10, 19, 17], [20], [22, 24, 18, 27], [23, 26, 29, 31, 30, 32, 42, 37, 50, 34, 38, 36, 33], [47, 45, 43, 39, 41, 44, 40, 48, 46, 54, 51, 59, 55], [53, 52, 57, 58, 60, 49, 56]]
43: [[7, 35, 11, 3, 2, 1], [13, 21, 5], [4, 12, 6, 8, 9, 26, 10], [17, 14, 20, 27, 23, 31, 15, 18, 16, 19, 22, 24, 28, 25, 30, 29, 41, 57, 36, 38, 34, 32, 37, 42, 43, 44, 33, 47, 59, 45, 40, 49, 50, 58, 39, 46, 51, 55, 52], [48, 53, 54, 56, 60]]
44: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 4, 28, 6, 9, 14, 25, 8, 20, 12, 10, 15], [31, 30, 19, 18, 17, 23, 16, 26, 22, 24, 29], [27, 32, 36, 52, 33, 48, 37, 34, 40, 39, 42, 38, 43, 58, 46, 41, 55, 44, 45], [47, 49, 53, 51, 50, 57, 59, 54, 56, 60]]
45: [[7, 35, 11, 3, 2], [1], [13, 5, 21, 6], [8, 12, 9, 4, 14, 15, 31, 18, 30, 16, 19, 23, 20], [10, 17, 22, 28, 26, 25, 24, 27, 29, 33, 57, 37, 38, 32, 44, 36], [43, 47, 41, 42, 34, 39, 45, 46, 53, 40, 58, 54, 55, 51], [52, 48, 49, 59, 60, 50, 56]]
46: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 6], [20, 14, 9, 4, 10, 8, 12], [15, 16, 23, 25, 17, 19], [30, 22, 31, 18, 26, 27, 29], [24, 28, 33, 56, 52, 38, 42, 36, 32], [41, 47], [34, 39, 43, 44, 40, 45], [37, 46, 58, 54, 48], [55, 49, 50, 51, 53, 57, 59, 60]]
47: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 6, 15, 4, 9, 10, 8, 12, 16, 31, 17, 18], [23, 22, 14, 24, 19, 27], [26], [29, 20, 25, 30, 28, 33, 41, 37, 34, 32, 36, 44], [38, 40, 46, 42, 43, 57, 47, 45], [50, 54, 39, 55, 49, 48, 52], [53, 60, 59, 56, 51, 58]]
48: [[7, 35, 11, 3, 2, 1], [13, 21], [4, 6, 14, 5, 9], [26, 8, 10, 15, 12, 28, 20, 19, 17, 18, 22, 31, 23, 30, 27], [29, 16, 25, 55, 37], [58, 36, 54, 33, 24, 46, 34, 41, 45, 42], [38, 39], [32, 40, 43, 44, 49, 50, 47, 51, 60, 48, 52, 53, 56, 57, 59]]
49: [[7, 35, 11, 3, 2], [1, 13, 21, 5], [6, 14, 4, 8, 9], [10, 12, 15, 23, 17], [16, 27, 31, 18, 22, 28], [19, 24], [20, 30, 29, 25, 26, 32, 40], [37, 47, 36, 39, 34], [38, 42, 45, 44, 43, 58, 41], [33, 49, 54, 50, 46, 48, 55], [53, 52, 51, 57, 56, 60], [59]]
50: [[7, 35, 11, 3, 2, 1], [13, 21, 4, 5, 14, 24, 9, 8, 28, 6, 10, 12], [15, 16, 18, 17, 26, 19, 22, 20, 27, 29, 23, 30, 31, 25, 36, 50, 46, 32, 34, 38, 39, 33, 37, 44, 42, 40, 48, 45, 41, 43, 52, 55, 49, 47, 54, 53, 57, 51, 58, 56, 60, 59]]
51: [[7, 35, 11, 3, 2], [1, 13, 21, 4, 6], [8, 5], [9, 14, 23, 26, 28], [10, 30, 29, 15, 19, 18, 12, 17, 20, 16, 22, 25, 24, 27, 31], [41, 38, 37, 32, 33], [34, 36, 39, 43, 40], [42, 44, 45, 47, 46, 57, 58, 49, 53, 50, 48, 51, 52, 54, 55], [56, 59, 60]]
52: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 4], [14], [10, 9, 8, 12, 6, 16, 30, 28, 15, 25, 19, 18, 17], [22, 31, 20, 23, 26, 24, 27, 29, 33, 60, 32, 46, 34, 47, 36, 37, 40, 43, 38, 41, 58, 44, 42, 39, 45, 50, 52, 55, 51, 49, 57], [59, 53, 48, 54, 56]]
53: [[7, 35, 11, 3, 2, 1], [13, 21, 5, 6, 12], [4, 9, 8, 10, 14], [15, 16, 18, 20, 25, 19, 17], [22, 23, 30, 26, 24, 27], [28, 29, 31, 32, 41, 48, 38], [42, 34, 36], [40, 47], [37, 44, 43, 55, 39, 46], [33, 45, 58, 54, 51], [50, 57, 49, 52, 53, 56, 59, 60]]
54: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 6], [14, 4, 8, 10, 9, 12, 16, 15, 17, 23], [22, 26, 20, 18, 19, 27, 29, 25, 24, 28, 30, 31, 37, 41, 36], [38, 32, 33, 34, 39, 40, 44, 43, 47, 57, 42, 45, 54, 46, 50, 51, 48, 49, 53, 52, 60, 59, 56, 55, 58]]
55: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 6, 14, 4, 9, 8, 10, 27, 12, 15, 29, 17, 16, 26, 18, 28, 22, 20, 31, 23, 19, 25, 24, 30, 37, 56, 32, 33, 36], [38, 40, 34, 44, 45, 42, 46, 41], [43, 47, 55, 54, 50, 39, 48, 51, 52, 53, 59, 49, 57, 58, 60]]
56: [[7, 35, 11, 3, 2], [1, 13, 21, 4, 5, 14, 30], [8, 6, 9, 15, 10, 12, 26, 16, 17], [28, 18], [19, 20, 22, 23, 24, 31], [25, 27, 29, 32, 36], [37, 38, 42, 33, 39], [41, 34, 40, 47, 43, 44, 46, 45, 48, 53], [49, 55, 51, 50, 52, 54, 57, 56, 59, 58, 60]]
57: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 6, 4, 14, 8, 9, 24, 30, 10, 12, 31, 17, 15], [23, 19, 18, 26, 27, 16, 29, 20, 22, 25, 28, 33, 45, 34, 32, 36], [37, 40, 41, 47, 44], [38, 42, 39], [46, 43, 56, 51, 52, 53, 49, 48, 55, 54, 50, 57, 59, 58, 60]]
58: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 4, 10, 30, 9, 14, 6, 26, 31, 8, 23, 18], [17, 12, 16, 15, 28, 22], [19, 20, 24, 29, 25, 27, 33, 48, 32], [38, 37], [36, 34, 43, 39], [40, 47, 42, 45, 44, 41, 49, 46, 50, 51, 53, 54, 52, 55, 56, 59, 57, 58, 60]]
59: [[7], [35, 11, 3, 2, 1, 13, 21, 4, 6, 5], [14, 9, 8, 10, 12, 15], [28, 18, 16, 31, 23], [19, 17, 20, 27, 30], [22, 24, 25, 26, 29, 32, 40, 37, 34, 48], [33, 36, 39, 43, 42], [44, 41, 45], [49, 46, 38, 50, 47, 51, 53, 52, 55, 54, 57, 59, 58, 56, 60]]
60: [[7, 35, 11, 3, 2, 1], [13, 21, 4, 6, 14], [8, 5, 9, 12, 10], [15, 31, 19, 16, 20, 18, 17, 22, 23, 26, 28, 29, 25, 24, 27, 30, 36, 32, 37, 38, 33, 39, 34], [40, 45, 46, 41, 43, 51, 42, 44, 53, 50, 47, 52, 49, 54, 56, 58, 55, 59, 48, 57, 60]]
61: [[7, 35, 11, 3, 2, 1], [13, 21, 4, 6, 5], [9, 8], [10, 15, 28, 12], [26, 18, 24, 16, 20, 19, 17, 22], [14, 23, 31, 25, 27, 30, 29, 32, 44, 52, 34, 48, 36, 33, 38, 45, 39, 40, 37, 41, 47, 58, 42, 59, 43, 46, 49, 55, 50, 54, 51, 53, 56, 57, 60]]
62: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 6], [8, 14, 9, 4], [24, 10, 29, 19, 16, 18, 31, 26, 20, 23, 12, 15, 30, 17, 22, 25, 27, 28, 32, 34, 38, 36], [33, 40, 37, 47, 46, 42, 41, 45, 39, 43], [44, 53, 50, 49, 51], [55, 48, 52, 54, 56], [58, 57, 59, 60]]
63: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 4, 14, 6, 8, 9, 10, 24, 12, 31, 23, 27, 18, 17, 19, 15, 28, 16, 20, 25, 22, 26, 29, 30, 40, 50, 37, 54, 33, 44, 32, 56, 38, 46, 41, 34], [58, 39, 45, 47, 36, 42, 43, 48, 53, 49, 51, 55, 57, 52, 59, 60]]
64: [[7, 35, 11, 3, 2], [1, 13, 21, 4], [6, 8, 5, 9, 15, 14, 10, 12, 17, 22, 26, 19, 16, 20, 24, 18, 23, 29, 25, 31, 27, 28, 30, 41, 47, 37, 38, 32, 44, 34, 33, 36, 39, 42, 46, 43, 40, 45, 51, 53, 59, 54, 52, 49, 55, 56], [50, 48, 57, 58, 60]]
65: [[7, 35, 11, 3, 2], [1, 13, 21, 6, 4, 8], [12, 24, 14, 10, 9, 5, 30, 15, 22, 16, 20, 23, 17, 18], [31, 25, 26, 28, 19, 27, 29, 49, 44, 50, 32, 33], [36, 34, 40, 38, 39, 37, 46, 52, 41, 45, 43, 42, 51, 48, 56, 47, 55, 53, 57, 54, 58, 59, 60]]
66: [[7, 35, 11, 3, 2, 1], [13, 21, 12, 4, 14], [5, 6, 29, 10, 8, 9], [18, 16, 17, 15, 19], [23, 20, 22, 26, 27, 28, 31, 24, 25, 30, 37, 48, 32, 38, 33, 34, 36], [39, 41, 45, 40, 46, 42], [43], [44, 52, 50, 47, 49, 55, 54, 51, 53, 57, 59, 56, 58, 60]]
67: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 4], [10, 6, 8, 9, 12, 14], [15, 19, 27, 24], [17, 16, 18, 26, 22], [20, 28, 23, 30, 25, 29, 31, 32, 45], [53], [33, 40], [36, 38, 43, 47, 34, 37], [39, 42, 46, 54, 59], [41, 48], [52, 44, 49, 51, 58, 55, 60, 50, 56, 57]]
68: [[7, 35, 11, 3, 2], [1, 13, 21, 4, 6], [14, 8, 5, 9, 12, 10, 30, 15, 16, 20], [26, 17, 19, 18, 23, 22], [24, 31, 25, 29, 27, 28], [33], [43, 36, 34, 32, 37, 38, 46, 39, 41, 42], [47, 40, 45, 44, 54, 48, 49, 51, 55, 50, 52, 53], [56, 57, 59, 60, 58]]
69: [[7, 35, 11, 3, 2], [1, 13, 21, 4, 6, 12, 28, 9, 10, 5, 14], [15, 30, 24, 17, 8, 19, 16, 18, 20, 23, 22, 25, 26, 27], [29], [52, 33, 41, 37], [46, 36, 31, 38, 32], [34, 43, 39, 40, 44, 45, 47], [51, 50], [49, 42, 48, 57, 56], [54, 53, 59, 58, 55, 60]]
70: [[7], [35, 11, 3, 2, 1, 13, 21, 5, 6, 15], [24, 8, 10, 4, 9, 12], [29, 26, 14, 31, 19], [17, 16, 23, 22, 30, 18], [20, 25, 27, 28, 32, 56, 33, 34, 36, 38, 37], [46, 43, 39, 40, 41, 42, 45], [50, 44, 48, 47], [55, 53, 51, 52, 54, 49, 58, 59, 57, 60]]
71: [[7, 35, 11, 3, 2, 1], [13, 21], [5, 6, 4, 14, 8, 12, 9, 30, 15, 27, 17, 26, 25, 23, 16], [10, 19, 20, 18, 22, 24, 29, 28, 31, 33, 42, 38, 32, 40, 34, 36, 39, 37, 44, 47, 43, 41, 46, 45, 53, 48, 52, 51, 49, 50, 54, 57, 55, 59, 58, 60, 56]]
72: [[7, 35, 11, 3, 2, 1], [13, 4, 5, 12, 21, 6], [20, 8], [9, 26, 23, 29, 30, 14, 18, 15, 10], [19, 28, 16, 17, 22, 27, 31, 24, 25, 32, 41, 34, 37, 38, 39, 36, 46, 42, 43, 40, 44, 51, 45, 33, 47, 50, 48, 55, 49, 52, 53, 58, 57, 56, 54, 59, 60]]
73: [[7, 35, 11, 3, 2], [1, 13, 21, 5], [6, 14, 22, 9, 4, 8, 12, 10, 31, 15, 16, 24], [17, 25, 18, 23, 30, 20, 29, 19, 28, 26], [27, 33, 44, 53, 34, 32, 36, 37, 42, 38, 43, 39, 46, 40, 47, 60, 57, 49, 52, 51, 41, 45, 54, 48, 55, 50, 56, 58, 59]]
