0: [[50, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3], [11, 5, 8, 9, 10, 18], [6, 15, 24, 13, 16, 23, 17, 21, 25], [22, 26, 28, 30], [29, 60, 34, 37, 46, 36], [38, 43, 45, 58, 31, 39, 47, 51], [48, 54, 52, 41, 42, 56, 44], [57, 49, 59, 55, 53]]
13: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 10, 6, 25, 15, 9, 30, 28, 21, 17, 13, 16, 18], [24, 29, 22, 23, 31, 38, 34, 39, 36, 37, 41, 42, 43, 45, 46, 44], [47, 52, 48, 49, 53, 58, 50, 54, 60, 59, 56, 55, 51, 57]]
14: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 6, 10, 15, 28, 22, 17, 13, 16, 23, 18, 21], [24, 25, 29, 30, 31, 39, 34, 38, 44, 37, 36, 45, 42, 41, 47, 43], [46, 51, 50, 48, 57, 54, 52, 53, 49, 55, 56, 59, 58, 60]]
15: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 10, 6, 15, 28, 13, 16, 31, 17, 18, 21, 23, 22, 24], [29, 30, 25, 39, 34, 38, 44, 36, 37, 43, 42, 41, 45, 47], [59, 51, 56, 48, 52, 54, 49, 53, 46, 60, 57, 50, 55, 58]]
16: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 6, 10, 13, 15, 24, 16, 17, 18, 31, 21, 22, 23, 28], [29, 25, 30, 39, 34, 36, 44, 37, 38, 42, 43, 45, 41, 47], [54, 50, 46, 49, 48, 51, 52, 56, 59, 53, 55, 57, 58, 60]]
17: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 13, 15, 16, 17, 18, 29, 24, 25, 10, 21, 6], [22, 23, 31, 28, 30, 39, 34, 38, 44, 37, 36, 46, 42, 45, 41, 43], [47, 53, 49, 48, 50, 58, 54, 52, 51, 55, 57, 56, 59, 60]]
18: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 17, 6, 13, 15, 10, 9, 16, 24, 23, 18, 28, 21], [29, 25, 31, 22, 30, 39, 34, 38, 36, 37, 44, 45, 42, 41, 46, 43], [47, 50, 48, 53, 52, 49, 60, 51, 55, 54, 57, 56, 59, 58]]
19: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 17, 6, 13, 15, 10, 9, 16, 24, 23, 18, 28, 21], [29, 25, 31, 22, 30, 39, 34, 38, 36, 37, 44, 45, 42, 41, 46, 43], [47, 50, 48, 53, 52, 49, 60, 51, 55, 54, 57, 56, 59, 58]]
20: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 18, 6, 24, 13, 15, 9, 10, 16, 31, 25, 21, 17, 23, 28], [22, 29, 30, 38, 34, 39, 36, 37, 41, 45, 42, 44, 43, 47], [46, 51, 48, 49, 54, 50, 60, 52, 55, 53, 57, 58, 56, 59]]
21: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 10, 6, 9, 13, 15, 17, 16, 24, 29, 18, 23, 21], [25, 28, 30, 22, 31, 39, 34, 38, 36, 44, 41, 37, 43, 45, 42, 46], [47, 50, 49, 48, 51, 55, 52, 53, 60, 54, 59, 56, 57, 58]]
22: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 6, 10, 15, 13, 18, 16, 17, 21, 29, 23, 24], [28, 22, 25, 31, 30, 39, 34, 38, 36, 37, 41, 44, 43, 42, 46, 45], [47, 53, 48, 51, 52, 54, 49, 55, 60, 50, 58, 57, 59, 56]]
23: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 6, 10, 13, 15, 16, 17, 18, 21, 22, 23, 24, 28, 25], [29, 31, 30, 39, 34, 38, 36, 37, 44, 41, 43, 42, 46, 47], [45, 52, 50, 49, 51, 58, 48, 55, 57, 53, 54, 59, 56, 60]]
24: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 17, 6, 9, 13, 10, 15, 24, 23, 22, 21, 16, 18, 28], [25, 31, 29, 30, 39, 34, 38, 36, 37, 42, 43, 44, 41, 46, 47], [45, 50, 51, 49, 48, 52, 53, 55, 54, 57, 56, 59, 60, 58]]
25: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 6, 10, 21, 15, 13, 17, 28, 16, 18, 30, 23], [29, 24, 22, 25, 31, 38, 34, 47, 36, 37, 39, 43, 41, 44, 42, 45], [46, 52, 49, 48, 53, 50, 51, 54, 55, 58, 59, 56, 57, 60]]
26: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 10, 6, 24, 9, 13, 17, 16, 25, 28, 15, 18, 21], [22, 29, 31, 23, 30, 44, 34, 39, 36, 37, 41, 42, 46, 38, 43, 47], [45, 51, 48, 49, 50, 56, 55, 58, 54, 52, 59, 57, 53, 60]]
27: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 17, 6, 10, 15, 9, 13, 18, 29, 16, 23, 21, 30], [25, 24, 31, 28, 22, 39, 34, 38, 36, 37, 44, 45, 42, 43, 41, 47], [46, 51, 50, 48, 49, 54, 52, 53, 58, 55, 57, 59, 56, 60]]
28: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 17, 6, 9, 10, 13, 15, 18, 16, 21, 25, 28, 23], [22, 31, 24, 29, 30, 38, 34, 39, 36, 37, 41, 42, 47, 43, 46, 45], [44, 51, 48, 49, 50, 54, 52, 53, 55, 56, 60, 59, 58, 57]]
29: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 10, 6, 13, 17, 23, 18, 16, 21, 29, 15, 25, 30], [24, 31, 22, 28, 38, 34, 39, 44, 36, 37, 41, 43, 45, 42, 46], [47, 51, 49, 48, 56, 50, 52, 53, 54, 59, 55, 57, 60, 58]]
30: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 6, 13, 10, 30, 15, 18, 17, 21, 16, 23, 22, 31, 24], [29, 25, 28, 38, 34, 39, 44, 37, 36, 43, 42, 41, 45, 46], [55, 51, 48, 47, 50, 49, 53, 56, 54, 52, 60, 57, 58, 59]]
31: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3], [11, 5, 8, 9, 6, 16, 10, 17, 13, 24, 15, 23, 18, 21, 28], [22, 29, 25, 30, 31, 39, 34, 38, 36, 37, 41, 44, 43, 45, 42, 47], [46, 50, 49, 52, 48, 53, 51, 54, 55, 59, 56, 57, 58, 60]]
32: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 6, 10, 13, 15, 17, 16, 22, 28, 18, 21, 24], [23, 29, 25, 30, 31, 38, 34, 39, 36, 37, 44, 42, 43, 46, 41, 45], [47, 52, 48, 53, 49, 56, 51, 50, 54, 55, 60, 59, 57, 58]]
33: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 17, 6, 10, 13, 9, 15, 16, 18, 21, 23, 22, 24], [30, 25, 29, 28, 31, 39, 34, 38, 36, 37, 41, 43, 42, 44, 47, 45], [46, 52, 48, 50, 53, 51, 49, 55, 54, 58, 57, 56, 59, 60]]
34: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27], [3, 11, 5, 8, 17, 6, 13, 15, 10, 18, 9, 16, 22, 23, 28, 21], [29, 25, 24, 30, 31, 39, 34, 37, 36, 38, 44, 43, 42, 41, 46, 45], [47, 50, 48, 52, 54, 49, 51, 55, 59, 53, 56, 57, 58, 60]]
35: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27], [3, 11, 5, 8, 9, 13, 15, 17, 16, 28, 22, 18, 23, 10, 21, 6], [24, 25, 29, 30, 31, 38, 34, 39, 36, 37, 44, 42, 43, 45, 46, 41], [47, 49, 56, 48, 53, 50, 51, 55, 52, 59, 54, 57, 60, 58]]
36: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 10, 13, 6, 31, 17, 18, 15, 30, 16, 23, 21, 22, 24], [29, 25, 28, 39, 34, 38, 36, 37, 44, 43, 41, 45, 42, 47], [46, 51, 56, 48, 50, 54, 53, 49, 52, 55, 58, 59, 60, 57]]
37: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 6, 10, 13, 15, 17, 16, 18, 21, 23, 22, 25], [24, 28, 31, 29, 30, 39, 34, 38, 36, 37, 41, 42, 43, 45, 44, 46], [47, 50, 48, 52, 49, 51, 54, 53, 60, 59, 56, 57, 55, 58]]
38: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 13, 15, 23, 16, 17, 22, 30, 18, 24, 10, 21, 6], [25, 29, 31, 28, 39, 34, 38, 44, 37, 36, 45, 42, 41, 47, 43], [46, 51, 48, 52, 56, 59, 53, 49, 50, 55, 54, 57, 58, 60]]
39: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 6, 10, 13, 21, 29, 23, 16, 15, 25, 18, 17, 30, 24], [28, 22, 31, 38, 34, 39, 44, 36, 37, 45, 43, 41, 42, 47], [46, 50, 56, 48, 57, 52, 55, 51, 54, 58, 49, 53, 59, 60]]
40: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27], [3, 11, 5, 8, 9, 6, 10, 13, 17, 15, 22, 28, 16, 18, 23, 21], [24, 25, 30, 29, 31, 38, 34, 39, 36, 37, 44, 42, 43, 41, 47, 45], [46, 48, 57, 52, 50, 53, 59, 51, 49, 55, 56, 54, 58, 60]]
41: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 10, 6, 9, 13, 15, 17, 16, 18, 21, 22, 23, 29, 28, 25], [24, 31, 30, 39, 34, 38, 44, 37, 36, 41, 43, 45, 42, 46], [47, 51, 48, 52, 49, 54, 50, 53, 55, 56, 60, 59, 57, 58]]
42: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 6, 10, 13, 15, 28, 17, 18, 22, 16, 31, 21, 24, 25], [29, 23, 30, 39, 34, 38, 44, 36, 37, 42, 43, 46, 45, 41], [47, 53, 49, 48, 57, 55, 52, 50, 56, 54, 60, 51, 58, 59]]
43: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 6, 10, 17, 15, 13, 28, 18, 16, 22, 21, 23, 29, 25], [24, 30, 31, 39, 34, 38, 44, 37, 36, 42, 43, 45, 41, 47], [46, 51, 50, 49, 48, 52, 53, 55, 54, 57, 56, 59, 58, 60]]
44: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 6, 10, 17, 15, 13, 28, 18, 16, 22, 21, 23, 29, 25], [24, 30, 31, 39, 34, 38, 44, 37, 36, 42, 43, 45, 41, 47], [46, 51, 50, 49, 48, 52, 53, 55, 54, 57, 56, 59, 58, 60]]
45: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 6, 10, 13, 21, 15, 17, 23, 22, 16, 24, 18, 30, 25], [28, 31, 29, 39, 34, 38, 36, 37, 41, 44, 43, 45, 42, 46], [47, 50, 56, 48, 54, 51, 49, 55, 53, 59, 52, 57, 58, 60]]
46: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3], [11, 5, 8, 18, 6, 9, 10, 13, 15, 17, 16, 21, 23, 31, 22], [29, 30, 24, 25, 28, 38, 34, 39, 44, 36, 37, 41, 42, 47, 43, 45], [46, 51, 49, 48, 50, 57, 54, 52, 55, 58, 59, 53, 56, 60]]
47: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3], [11, 5, 8, 10, 6, 9, 18, 15, 13, 17, 16, 31, 21, 23, 22], [29, 30, 24, 25, 28, 38, 34, 39, 44, 36, 37, 41, 42, 45, 43, 47], [46, 51, 49, 48, 50, 53, 54, 52, 55, 58, 57, 59, 56, 60]]
48: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27], [3, 11, 5, 8, 9, 6, 10, 15, 24, 21, 16, 13, 23, 17, 29, 18], [28, 25, 22, 30, 31, 39, 34, 38, 44, 37, 36, 45, 42, 43, 41, 46], [47, 50, 48, 53, 52, 49, 55, 51, 54, 60, 56, 59, 58, 57]]
49: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27], [3, 11, 5, 8, 17, 6, 9, 15, 16, 29, 10, 13, 21, 18, 23, 24], [22, 25, 30, 31, 28, 39, 34, 38, 44, 37, 36, 43, 42, 41, 46, 45], [47, 51, 48, 52, 56, 50, 53, 49, 54, 57, 55, 59, 58, 60]]
50: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27], [3, 11, 5, 8, 10, 6, 24, 13, 15, 9, 16, 17, 21, 25, 18, 23], [22, 29, 28, 31, 30, 44, 34, 39, 36, 37, 41, 43, 38, 46, 42, 47], [45, 51, 48, 49, 54, 50, 52, 53, 55, 58, 56, 59, 57, 60]]
51: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3], [11, 5, 8, 18, 6, 9, 13, 10, 15, 16, 21, 17, 22, 28, 30, 24], [29, 31, 25, 23, 39, 34, 38, 36, 37, 44, 45, 42, 43, 41, 46], [59, 51, 48, 52, 50, 55, 53, 49, 57, 54, 56, 58, 47, 60]]
52: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27], [3, 11, 5, 8, 9, 24, 18, 6, 23, 10, 13, 17, 21, 25, 15, 28], [22, 29, 16, 30, 31, 38, 34, 39, 36, 37, 41, 42, 47, 43, 46, 44], [45, 49, 48, 50, 54, 51, 52, 57, 53, 58, 55, 59, 56, 60]]
53: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 17, 15, 13, 18, 9, 16, 22, 24, 23, 25, 30, 10, 21, 6], [28, 29, 31, 39, 34, 38, 36, 37, 41, 43, 42, 45, 44, 47], [46, 49, 57, 48, 50, 54, 51, 52, 59, 56, 53, 55, 58, 60]]
54: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 6, 10, 13, 15, 18, 24, 16, 17, 21, 30, 23, 22, 25], [28, 29, 31, 39, 34, 38, 44, 36, 37, 41, 43, 45, 42, 47], [49, 50, 56, 51, 46, 48, 52, 53, 55, 60, 58, 59, 57, 54]]
55: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 17, 13, 9, 6, 21, 10, 18, 16, 15, 31, 22, 23, 25], [28, 24, 30, 29, 38, 34, 39, 44, 37, 36, 43, 42, 41, 46, 47], [45, 51, 48, 52, 60, 50, 54, 56, 55, 59, 53, 57, 49, 58]]
56: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 18, 6, 13, 15, 21, 10, 29, 17, 16, 28, 22, 23, 24], [31, 25, 30, 39, 34, 38, 44, 37, 36, 42, 43, 45, 46, 41], [47, 49, 58, 48, 52, 50, 53, 54, 51, 59, 57, 55, 56, 60]]
57: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27], [3, 11, 5, 8, 9, 6, 10, 15, 24, 18, 17, 13, 23, 21, 16, 29], [22, 28, 25, 31, 30, 46, 34, 38, 36, 37, 41, 44, 43, 42, 39, 47], [45, 52, 56, 48, 53, 50, 51, 49, 54, 55, 58, 57, 59, 60]]
58: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27], [3, 11, 5, 8, 18, 9, 13, 15, 17, 16, 31, 22, 23, 10, 21, 6], [24, 25, 30, 28, 29, 38, 34, 39, 44, 36, 37, 42, 43, 45, 46, 41], [47, 51, 48, 49, 53, 55, 50, 54, 59, 58, 57, 52, 56, 60]]
59: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3], [11, 5, 8, 9, 10, 6, 15, 16, 31, 17, 13, 18, 21, 30, 22], [25, 28, 24, 23, 29, 38, 34, 39, 44, 36, 37, 41, 43, 45, 47, 42], [46, 51, 56, 50, 60, 52, 48, 49, 55, 53, 57, 54, 59, 58]]
60: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27], [3, 11, 5, 8, 17, 6, 10, 9, 15, 16, 13, 21, 22, 18, 23, 24], [29, 25, 28, 31, 30, 39, 34, 38, 36, 37, 44, 43, 42, 46, 41, 45], [47, 49, 57, 48, 50, 54, 53, 51, 55, 52, 58, 56, 59, 60]]
61: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 10, 6, 13, 15, 16, 18, 17, 22, 21, 23, 30, 25, 24], [28, 29, 31, 38, 34, 39, 36, 37, 44, 42, 47, 41, 46, 43], [45, 49, 58, 48, 52, 51, 50, 54, 53, 59, 56, 57, 55, 60]]
62: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27], [3, 11, 5, 8, 9, 13, 6, 15, 18, 10, 17, 16, 21, 22, 31, 23], [29, 25, 24, 28, 30, 39, 34, 38, 36, 37, 44, 45, 42, 43, 47, 41], [46, 51, 48, 52, 50, 49, 55, 54, 53, 56, 58, 59, 57, 60]]
63: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 18, 6, 10, 15, 17, 24, 9, 13, 21, 16, 31, 22], [23, 25, 29, 30, 28, 39, 34, 38, 44, 37, 36, 41, 46, 47, 45, 42], [43, 51, 49, 48, 52, 50, 54, 53, 55, 60, 58, 59, 57, 56]]
64: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 10, 13, 9, 15, 16, 24, 6, 17, 21, 18, 23, 28, 29, 22], [25, 31, 30, 39, 34, 38, 36, 37, 44, 43, 42, 41, 46, 47], [45, 49, 48, 52, 54, 58, 50, 53, 55, 56, 57, 59, 51, 60]]
65: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27], [3, 11, 5, 8, 9, 6, 10, 13, 21, 15, 16, 22, 28, 18, 17, 25], [29, 31, 23, 30, 24, 38, 34, 39, 44, 36, 41, 43, 42, 45, 46, 37], [47, 51, 48, 50, 53, 49, 52, 54, 55, 58, 60, 56, 57, 59]]
66: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27], [3, 11, 5, 8, 9, 10, 24, 13, 15, 28, 6, 16, 21, 17, 18, 22], [30, 23, 29, 25, 31, 38, 34, 39, 41, 36, 37, 45, 43, 42, 46, 44], [47, 49, 48, 50, 51, 53, 52, 55, 54, 58, 56, 59, 60, 57]]
67: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 10, 6, 9, 13, 15, 22, 18, 16, 29, 17, 21, 23], [28, 25, 24, 31, 30, 39, 34, 38, 44, 37, 36, 42, 43, 45, 41, 46], [47, 51, 48, 49, 50, 58, 52, 54, 55, 53, 56, 59, 57, 60]]
68: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 17, 6, 10, 13, 9, 15, 16, 22, 21, 23, 29, 18], [25, 24, 31, 28, 30, 38, 34, 39, 44, 37, 36, 41, 43, 42, 45, 46], [47, 49, 48, 52, 53, 51, 55, 54, 57, 50, 56, 59, 58, 60]]
69: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 10, 6, 9, 13, 17, 30, 23, 24, 16, 22, 15, 21, 25, 18], [31, 29, 28, 39, 34, 38, 36, 37, 44, 46, 42, 41, 47, 45], [49, 48, 57, 52, 50, 51, 43, 55, 53, 54, 58, 59, 56, 60]]
70: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 10, 6, 15, 13, 9, 21, 24, 16, 25, 18, 17, 22], [30, 29, 23, 28, 31, 39, 34, 38, 36, 37, 41, 42, 43, 45, 44, 47], [46, 49, 58, 51, 48, 50, 53, 54, 52, 55, 60, 59, 56, 57]]
71: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27], [3, 11, 5, 8, 9, 6, 10, 13, 17, 31, 16, 18, 30, 15, 21, 22], [25, 24, 28, 23, 29, 39, 34, 38, 36, 37, 41, 42, 43, 45, 46, 44], [47, 50, 48, 52, 49, 59, 53, 54, 60, 51, 56, 57, 55, 58]]
72: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 10, 6, 13, 18, 15, 16, 17, 23, 29, 21, 25, 28], [24, 30, 22, 31, 39, 34, 38, 36, 37, 42, 45, 43, 41, 46, 47], [44, 49, 57, 48, 50, 60, 52, 55, 51, 53, 56, 58, 54, 59]]
73: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3], [11, 5, 8, 10, 6, 9, 15, 18, 13, 16, 17, 31, 21, 22, 30, 25], [24, 28, 29, 23, 39, 34, 38, 36, 37, 44, 45, 42, 41, 43, 46], [47, 51, 48, 52, 50, 55, 53, 49, 58, 54, 57, 59, 56, 60]]
