0: [[2], [5, 14, 10, 4], [7, 11], [9, 6, 13, 1], [8, 15], [12, 19, 16, 17, 18, 22, 20, 3], [21, 23, 24]]
27: [[2], [5], [14, 10], [7, 11, 9, 6, 13, 8], [15, 12, 4], [19, 16, 17, 18, 22, 20, 1, 3], [21, 23, 24]]
28: [[2], [5], [14, 10], [7, 11, 9, 6, 13, 8], [15, 12, 4], [19, 16, 17, 18, 22, 20, 1, 3], [21, 23, 24]]
29: [[2], [5, 14, 4], [10, 7, 11, 9, 6, 13, 8, 15], [12, 19, 16, 17, 18, 3], [22, 20, 1], [21, 23, 24]]
30: [[2], [5, 14, 10, 4, 3], [7, 11], [9, 6, 13, 1], [8, 15], [12, 19, 16, 17, 18, 22, 20, 21], [23, 24]]
31: [[4, 2, 1, 3, 5], [14, 10], [7, 11], [9, 6, 13], [8, 15], [12, 19, 16, 17, 18, 22, 20, 21], [23, 24]]
32: [[2, 5, 14, 4], [10, 7], [11, 9, 1], [6, 13, 3], [8, 15], [12, 19, 16, 17, 18, 22, 20], [21, 23, 24]]
33: [[2, 5], [14, 10], [7, 11, 9, 6, 13, 8, 15], [12, 19, 4, 1], [16, 17, 3], [18, 22, 20], [21, 23, 24]]
34: [[2], [5, 14, 4], [10, 7], [11, 9, 6, 13, 8, 1], [15, 12], [19, 16, 17, 18, 22, 20, 3], [21, 23, 24]]
35: [[2, 5, 14, 10], [7, 11], [9, 6, 13, 8], [15, 12], [19, 16, 4, 1, 3], [17, 18, 22, 20, 21], [23, 24]]
36: [[2], [5, 14, 10, 7, 11, 9], [6, 13, 8], [15, 12, 4], [19, 16, 17, 18, 22, 20, 1, 3], [21, 23, 24]]
37: [[2, 5, 1], [14, 10], [7, 11], [9, 6, 13], [8, 15], [12, 19, 16, 17, 18, 22, 4, 3], [20, 21, 23, 24]]
38: [[2], [5, 1, 3], [14, 10, 4], [7, 11], [9, 6, 13, 8, 15], [12, 19, 16, 17, 18, 22, 20, 21], [23, 24]]
39: [[2, 4], [5, 14, 10, 7, 11], [9, 6, 13, 1], [8, 15], [12, 19, 16, 17, 18, 22, 20, 21, 3], [23, 24]]
40: [[2, 4], [5, 14, 10, 7, 11], [9, 6, 13, 1], [8, 15], [12, 19, 16, 17, 18, 22, 20, 21, 3], [23, 24]]
41: [[2, 1], [5], [14, 10], [7, 11, 9, 6, 13], [8, 15], [12, 19, 16, 17, 18, 22, 4, 3], [20, 21, 23, 24]]
42: [[2], [5, 14, 10, 4, 1], [7, 11], [9, 6, 13], [8, 15], [12, 19, 16, 17, 18, 22, 3], [20, 21, 23, 24]]
43: [[2], [5, 14, 10, 4, 1], [7, 11], [9, 6, 13], [8, 15], [12, 19, 16, 17, 18, 22, 3], [20, 21, 23, 24]]
44: [[2], [5, 1], [14, 10, 4], [7, 11], [9, 6, 13, 8, 15, 12], [19, 16, 17, 18, 22, 20, 21, 3], [23, 24]]
45: [[2, 5, 14, 10, 7, 11], [9, 6], [13, 8, 15, 12], [19, 16, 4, 1, 3], [17, 18], [22, 20, 21], [23, 24]]
46: [[2], [5, 1], [14, 10, 4], [7, 11, 9, 6, 13], [8, 15], [12, 19, 16, 17, 18, 22, 20, 21, 3], [23, 24]]
47: [[2], [5, 14, 10, 7, 4], [11, 9, 6, 13, 1], [8, 15], [12, 19, 16, 17, 18, 22, 3], [20, 21, 23, 24]]
48: [[2, 5, 14, 10, 1], [7, 11], [9, 6, 13, 8], [15, 12], [19, 16, 4, 3], [17, 18, 22], [20, 21, 23, 24]]
49: [[2], [5, 14, 4], [10, 7, 3], [11, 9, 1], [6, 13, 8, 15, 12], [19, 16, 17, 18, 22, 20, 21], [23, 24]]
