0: [[20, 3, 2, 1, 10], [4, 6, 14, 5], [7, 11], [9, 8, 13], [12, 15, 18, 16, 17, 19, 22], [21, 23, 24]]
38: [[20, 3, 2, 10, 1], [4, 6], [14, 5], [7, 11], [9, 8, 13], [12, 15, 18, 16], [17, 19, 22, 21, 23], [24]]
39: [[20, 3, 2, 10, 1], [4, 6, 13], [14, 5], [7, 11, 9, 8], [12, 15, 18], [16], [17, 19, 22, 21, 23, 24]]
40: [[20], [3, 2, 4, 6, 10], [14, 5, 7, 11], [9, 8, 13, 1], [12, 15, 18, 16], [17, 19, 22, 21, 23], [24]]
41: [[20, 3, 2, 4, 6, 10, 1], [14, 5], [7, 11], [9, 8], [12, 13], [15, 18, 16, 17, 19, 22, 21, 23, 24]]
42: [[20], [3, 2, 10, 1], [4, 6, 14, 13], [5, 7, 11], [9, 8, 12, 15, 18, 16, 17, 19, 22, 21, 23, 24]]
43: [[10, 13, 1, 20, 3, 2], [4, 6, 14], [5, 7, 11, 9], [8, 12, 15, 18, 16, 17, 19, 22, 21, 23, 24]]
44: [[10, 13, 1, 20, 3, 2, 4], [6, 14, 5, 7], [11, 9, 8, 12, 15, 18, 16, 17, 19, 22, 21, 23, 24]]
45: [[13, 20, 3, 1], [2, 4, 6, 14, 10], [5, 7, 11, 9], [8, 12, 15, 18, 16, 17, 19, 22, 21, 23, 24]]
46: [[20, 3, 2, 10], [4, 6, 14], [5, 7], [11, 9, 8, 13, 1], [12, 15, 18, 16, 17, 19, 22, 21, 23, 24]]
47: [[13], [20, 1], [3, 2, 10], [4, 6, 14, 5, 7, 11, 9, 8, 12, 15, 18, 16, 17, 19, 22, 21, 23, 24]]
48: [[10, 13, 1, 20, 3], [2, 4], [6, 14, 5, 7, 11, 9, 8, 12, 15, 18, 16, 17, 19, 22, 21, 23, 24]]
49: [[13], [20, 3, 10, 1], [2, 4], [6, 14, 5, 7, 11, 9, 8, 12, 15, 18, 16, 17, 19, 22, 21, 23, 24]]
