0: [[53, 43], [35, 7, 1, 3, 2], [13, 5, 6, 21], [4, 24, 11, 9, 10, 12], [29, 8], [19, 15, 14], [31, 16, 18], [17], [23, 22, 25, 26, 27, 28], [20, 30, 40, 32, 34, 33], [36, 37, 45], [47, 39, 38, 46], [41, 42, 44, 50, 56], [54, 48, 51], [55, 52], [57, 49], [59, 58, 60]]
16: [[53, 43, 2, 35, 7], [5, 11, 13, 21, 6], [3, 9, 1, 12, 24, 10, 14, 30, 4, 22, 29], [17, 18, 16, 15, 8, 19, 23, 20, 25, 26, 31, 27, 47, 28, 41, 34, 32, 38, 33, 37, 45, 39, 36, 46, 44, 40, 42, 48, 49, 57, 50, 51, 55, 52, 54, 56, 59, 58, 60]]
17: [[53, 43, 2, 35, 7], [5, 11, 13, 21, 6], [1, 3, 8, 4, 9, 26, 10, 27, 12, 22, 28, 15, 19, 16, 18, 14, 23, 17, 20], [24, 30, 29, 31, 44, 25, 40, 34, 37, 36, 39, 32, 33, 46, 38, 41, 42, 47, 45, 49, 50, 57, 48, 51, 54, 56, 52, 59, 60, 55, 58]]
18: [[53, 43, 2, 35, 7, 5], [3, 13, 21, 6, 1, 9], [11, 12, 8, 24, 16], [4, 10, 15, 20, 30], [14, 18, 22, 19, 17, 27, 28, 26, 23, 25, 31], [29, 32, 33, 34, 36], [37, 40, 39, 38, 41], [44, 42, 46], [45, 51], [48, 47, 59], [52, 49, 50, 55, 54, 60, 56, 58, 57]]
19: [[53, 43, 2, 35, 7], [5, 11, 13, 21, 6, 3], [9, 1, 8, 24, 26], [12, 14, 4, 22, 25, 10], [16, 18, 15, 17, 19, 23, 20, 31, 30, 29, 28, 27, 33, 36, 32, 34, 38], [41, 39, 37, 47, 40], [46, 44, 45, 42, 52], [49, 50, 58, 51, 55, 48, 56, 57, 59, 54, 60]]
20: [[53, 43, 2, 35, 7], [1, 11, 13, 21, 6], [12, 3, 8, 20, 4, 30, 5, 9, 16, 24, 18, 17, 23, 15, 14], [10, 19, 22, 27, 26, 28, 29, 25, 31, 36], [32, 34, 37, 45, 33], [39, 38, 42, 47, 40, 44], [41, 46, 48, 49, 57, 50, 52, 51, 56, 54, 58, 59, 55, 60]]
21: [[53, 43, 2, 35, 7], [5, 3], [13, 21, 6, 4, 8, 1, 10, 9, 24, 12, 31, 14], [11, 19, 16, 15, 17, 23, 18, 20, 22, 27, 30, 25, 28, 26, 46, 29, 40, 34, 36, 33], [32, 37, 45, 47, 39, 38, 44, 42, 41, 50, 51], [56, 48, 49, 52, 54, 55, 59, 60, 57, 58]]
22: [[53, 43, 2, 35, 7, 1], [11, 13, 21, 6], [9, 8, 3, 4, 20, 10, 5], [12, 14, 18, 15, 28, 31, 17], [22, 16, 19, 23, 25, 24], [27, 26, 29, 30, 32], [33, 34, 38, 40], [46, 37, 41, 39, 36, 42, 44], [47, 45, 54, 49, 57, 48], [55, 50], [58, 56, 52, 51, 60, 59]]
23: [[53, 43, 2, 35, 7, 5], [3, 13, 21, 6, 4], [8, 1, 9, 24, 11, 12], [14, 15, 10, 31, 17, 16, 28, 18, 19, 22, 23, 20, 27, 30, 25], [26, 29, 36, 38, 34, 32], [33, 40, 37, 46, 47, 42, 44, 45, 39, 41, 54], [49, 59, 50, 51, 55, 52, 48, 56, 58, 57, 60]]
24: [[53, 43, 2, 35, 7], [5, 11, 13, 21, 6], [1, 9, 4, 16, 8, 24, 12, 3, 14, 22, 28], [19, 10, 17, 18, 15], [20, 23, 25, 26, 29], [30, 31, 27, 41, 32, 34], [36, 38, 33, 44, 37, 39, 40, 42, 46, 45], [47, 54, 49, 56, 52, 48, 50, 58, 51, 55, 57, 59, 60]]
25: [[53, 43, 2, 35, 7], [5, 11, 13, 21, 6], [1, 3, 15, 4, 8, 24, 17, 9, 12, 18, 20], [14, 19, 16, 10, 22], [23, 25, 27, 26, 30], [29, 28, 31, 32, 38], [33, 34], [37, 36, 39, 40, 41, 44, 42, 46, 45, 47, 50], [49, 57, 52, 51, 54, 55, 56, 48, 58, 59, 60]]
26: [[53, 43, 2, 35, 7], [4, 11, 13, 21, 6], [1, 5, 3, 12, 18, 24, 8, 27, 30, 9, 10, 14, 17, 31, 16], [15, 19, 20, 29, 22, 26], [25, 23, 28, 36, 33, 32], [38, 34, 37, 47, 46, 39, 40], [41, 42, 44, 45, 48, 49, 50, 51, 52, 59, 54, 57, 55, 60, 56, 58]]
27: [[53, 43, 2, 35, 7], [5, 3, 13, 21, 6], [14, 9, 4, 12, 8], [24, 15, 11, 10, 1, 19, 18, 17, 22, 20, 16, 27, 26, 28, 31, 23, 30, 25, 29, 34, 38, 36, 39, 33, 32, 41, 40, 47, 42, 44, 46, 45, 37, 50, 49, 59, 52, 55, 51, 54, 57, 48, 60, 56, 58]]
28: [[53, 43, 2, 35, 7], [1, 11, 13, 21, 6, 12, 4, 3, 17, 10, 24], [5, 9, 28, 26, 14, 8, 31, 15, 20, 19, 18], [22, 16, 23, 25, 27, 29, 30, 32, 33, 34, 37, 36, 38, 45, 39, 47, 40, 44, 41, 42, 46, 54, 49, 51, 48, 50, 52, 59, 57, 55, 58, 56, 60]]
29: [[53, 43, 2, 35, 7], [1, 3, 13, 21, 6], [5, 9, 4, 17, 10, 30, 12, 11, 14], [23, 20, 18, 28, 15], [8, 16, 19, 26, 27], [31, 22, 25, 29, 24, 33, 41], [32, 39, 38, 34, 45], [36, 37, 40, 42, 46], [47, 44, 48, 49, 57], [54, 51], [52, 58, 55, 50, 60, 59, 56]]
30: [[53, 43, 2, 35, 7], [1, 3, 13, 21, 6], [5, 9, 4, 17, 10, 30, 12, 11, 14], [23, 20, 18, 28, 15], [8, 16, 19, 26, 27], [31, 22, 25, 29, 24, 33, 41], [32, 39, 38, 34, 45], [36, 37, 40, 42, 46], [47, 44, 48, 49, 57], [54, 51], [52, 58, 55, 50, 60, 59, 56]]
31: [[53, 43, 2, 35, 7], [5, 3, 13, 21, 6, 1, 4, 8, 9, 24, 30], [15, 27, 11, 10, 23, 12, 31, 14, 17, 16, 19, 22, 18, 20, 26, 25, 29, 28, 37, 41, 34, 38, 33, 39, 32, 45, 36, 42, 40, 46, 44, 47, 55, 49, 57, 50, 51, 54, 48, 52, 58, 59, 60, 56]]
32: [[53, 43, 2, 35, 7, 5], [3, 13, 21, 6, 1], [8, 9, 4, 10, 26, 18, 11, 30, 23, 25, 19, 16], [12, 22, 28], [20, 24, 14], [27, 15, 17, 31, 29, 33], [37, 36, 39, 41, 38], [47, 40, 34, 42, 32, 45], [44, 46, 50, 49, 48, 56, 51, 54, 55, 52, 57, 60, 58, 59]]
33: [[53, 43, 2, 35, 7], [5, 3, 13, 21, 6, 4, 1, 8, 14, 25, 27, 15, 9], [12, 10, 17, 11, 16, 18, 23, 20, 24, 22, 26, 19, 29, 30, 28, 31, 37, 40, 34, 33, 42, 32, 36, 38, 39, 47, 45, 41, 46, 44, 54, 49, 59, 52, 50, 55, 57, 60, 48, 51, 56, 58]]
34: [[53, 43, 2, 35, 7], [5, 3, 13, 21, 6], [4, 1, 9, 10, 8, 24, 11, 12], [14, 18, 23, 15, 20, 16, 22, 17, 26, 19, 31], [25, 27, 30, 28, 29], [33, 34, 36, 37, 38], [32, 39, 47, 41, 42, 44, 40], [45, 46, 54, 48, 50], [49, 52, 55], [58, 51, 56, 57, 59, 60]]
35: [[53, 43, 2, 35, 7, 1], [11, 13, 21, 6], [5, 9, 3, 4, 17, 24, 14], [8, 12, 26, 15, 10, 20, 18, 23, 22, 19, 16], [27, 31, 30, 25, 28, 29, 32, 33, 36, 34, 44, 37, 39, 38, 41, 47, 40, 42, 45, 46, 48, 49, 57, 50, 55, 52, 54, 60, 59, 51, 58, 56]]
36: [[53, 43, 2, 35, 7], [5, 3, 13, 21, 6], [1, 9, 8, 12, 4, 10, 15, 25, 16, 23, 22, 11, 17, 19, 14], [18, 20, 24, 26, 29, 27, 30, 28, 31, 34, 33, 32, 37, 40, 38, 42], [39, 45, 36, 46, 44], [41, 47, 54, 48, 57, 51], [49, 50, 58, 52, 60, 59], [55, 56]]
37: [[53, 43, 35, 7, 2], [5, 11, 13, 1], [8, 3, 4, 26, 6, 21], [24, 25, 28, 12, 22], [15, 16, 17, 9, 23, 10, 18], [19, 14, 20, 30, 29], [27, 31, 36, 33, 34], [32, 38, 44, 46, 42, 37], [39, 41], [45, 40, 47, 50], [49, 48, 51, 52, 55, 56], [54, 58, 59, 60, 57]]
38: [[53, 43, 2, 35, 7, 5], [11, 13, 21, 4, 1], [3, 6, 8, 10, 25, 12, 15, 9, 17, 30, 22, 14, 16, 18, 19, 20, 26, 23, 24, 31, 29, 27, 28, 34, 33, 39, 32, 36, 45, 47, 37, 40], [46, 44, 41, 42, 38, 50, 49, 51, 56, 52, 54, 48, 55, 57, 59, 58, 60]]
39: [[53, 43, 2, 35, 7, 1], [3, 13, 21, 6, 5, 10, 4, 11, 9, 24, 12], [8, 30, 23, 15, 14, 19, 18, 16, 17, 22, 25, 29, 27, 31, 20, 26, 28, 33, 36, 34, 37, 32, 38, 39, 42, 41, 45, 44, 47, 40, 46, 54, 51, 57, 48, 52, 49, 50, 55, 59, 56, 58, 60]]
40: [[53, 43, 2, 35, 7, 5], [3, 13, 1, 11, 21, 6], [4, 8, 25, 26, 29, 12, 14, 9, 15, 19, 10], [24, 17, 16, 22, 20], [23, 27, 28, 30, 31, 39, 41, 32, 37, 18], [33, 40, 34, 46, 38], [36, 42, 44, 45, 47, 55], [48, 57, 52, 49, 50, 51, 56, 54, 59, 60, 58]]
41: [[53, 43, 2, 35, 7], [5, 3, 13, 21, 6], [4, 8, 11, 20, 25, 10, 9, 14, 12, 15, 16, 1, 19, 31, 22], [18, 17, 30, 27, 24, 29, 23, 26, 28, 32, 33, 38, 37, 44, 34, 46], [39, 45, 40, 42, 36], [41, 47, 54, 48, 59, 49], [50, 51, 58, 56, 55, 52], [57, 60]]
42: [[53, 43, 2, 35, 7], [5, 3, 13, 21, 6, 1, 9, 14, 12, 25], [16, 8, 15, 10, 18, 30, 17, 4, 20, 11, 19, 23, 24, 26, 22, 28, 27, 29, 32, 31, 37, 34, 36, 42, 33, 38, 40, 39, 45, 47, 41, 44, 57, 50, 49, 46, 56, 55, 48, 54, 51, 59, 52, 58, 60]]
43: [[53, 43, 2, 35, 7], [5, 11, 13, 21, 6], [1, 4, 12, 8, 9], [24, 10, 3, 14, 15, 31], [18, 16, 19, 20, 30, 22, 26, 17, 27, 28, 23], [25, 29, 33, 37, 32], [36, 38, 42, 40, 39, 45, 34, 41, 46, 44, 47, 54, 49, 50, 52, 48, 59, 56, 55, 51, 57, 58, 60]]
44: [[53, 43, 2, 35, 7], [5, 1, 13, 21, 6], [3, 11, 4, 10, 26, 30], [8, 12, 14, 9, 22, 15, 16, 18, 17, 20, 23, 19, 24, 25, 31], [27, 28, 29, 34, 38, 36, 32, 33, 40, 37, 39, 47, 41, 45, 42, 46, 44, 50, 49, 57, 48, 51, 52, 55, 54, 60, 59, 56, 58]]
45: [[53, 43, 2, 35, 7], [5, 11, 13, 21, 6], [4, 1, 3, 8, 27, 25], [10, 9, 14, 12, 28, 15], [16, 18], [17, 22, 19, 23, 20], [24, 31, 29, 30, 26, 32, 36, 33, 34], [37, 41, 46, 38, 45, 39, 44, 40, 47, 42, 50, 49, 57, 48, 51, 55, 52, 56, 54, 58, 59, 60]]
46: [[53, 43, 2, 35, 7], [5, 11, 13, 21, 6, 12, 8, 1, 3, 4, 30], [15, 31, 10, 14, 23, 9, 17, 20, 16, 18, 26, 22, 24, 25, 29, 19, 27, 59, 28, 37, 34, 38, 33, 44, 46, 32, 39, 42, 36, 40, 41, 47, 50, 49, 45, 54, 51, 56, 52, 48, 55, 58, 57, 60]]
47: [[53, 43, 2, 35, 7, 5], [11, 13, 21, 6, 1], [3, 12, 8, 9, 30, 10, 14], [4, 15, 25, 18, 19, 17, 16, 24, 20, 22, 23, 31, 28, 27, 26], [29, 34, 36, 33, 32, 38, 47, 37, 40, 41, 44, 46, 39, 45, 42, 48, 49, 57, 52, 55, 60, 50, 51, 56, 54, 59, 58]]
48: [[53, 43, 2, 35, 7, 5], [11, 13, 21, 6, 4], [8, 3, 1, 9], [24, 12, 15, 16, 10, 22], [17, 19, 18, 14, 20, 26, 23], [25, 28], [29, 31, 27, 30, 32, 41, 33, 37, 36, 38, 46, 39, 34, 44, 42, 40, 45, 47, 54, 49, 57, 52, 50, 51, 48, 55, 58, 59, 56, 60]]
49: [[53, 43, 2, 35, 7], [5, 11, 13, 21, 6], [1, 3, 4, 12, 26], [25, 10, 16, 8, 9, 20, 22, 17, 19, 15, 14, 23, 24, 27, 28], [18, 31, 30, 29, 32, 37, 33, 39, 41, 36, 34, 45, 47, 40, 38, 42, 46, 44, 49], [48, 57, 50, 51, 52, 58, 54, 55, 56, 60, 59]]
50: [[53, 43, 2, 35, 7], [3, 1, 13, 21], [6, 4, 5, 12, 8, 26, 24, 10, 9, 23, 11, 15, 14, 16, 18, 17, 20, 22, 19, 25, 27, 28, 31, 29, 30, 34], [38, 39, 32, 41, 33], [37, 36], [44, 40, 42, 47, 45, 46, 50, 49, 57, 52, 51], [54, 55, 48, 58, 59, 56, 60]]
51: [[53, 43, 2, 35, 7], [5, 3, 13, 21, 6, 1, 10, 4, 11, 26, 12, 8, 9], [15, 17, 23, 16, 18, 14, 24, 22, 25, 20, 19, 29, 28, 27, 30, 31, 34, 32, 38, 33, 40, 37, 46, 44, 36, 42, 39, 45, 41, 47, 54, 48, 55, 49, 51, 50, 52, 56, 59, 58, 57, 60]]
52: [[53, 43, 2, 35, 7], [5, 3, 13, 21, 6], [1, 8, 10, 12, 26, 28, 4, 9, 15], [11, 27, 14, 16, 17], [23, 18, 20, 19, 24, 22, 29], [31, 25, 33, 30, 34, 32], [38, 36, 37, 47, 44], [39, 42, 40, 41, 46, 45], [54, 49, 56, 52, 50, 51, 48], [55, 57, 60, 59, 58]]
53: [[53, 43, 2, 35, 7, 5], [11, 13, 21, 6, 3], [1, 4, 12, 24, 17, 15, 9, 8, 10, 28, 14], [16, 19, 20, 23, 22, 18, 31, 27, 25, 29, 26], [46, 30, 34, 32, 36, 33, 40, 37, 47, 39, 41, 45, 38, 44, 42, 48, 49, 59, 50, 51, 52, 54, 60, 55, 56, 57, 58]]
54: [[53, 43, 2, 35, 7], [1, 11, 13, 21, 6, 12, 15, 3, 14, 4, 26, 10, 8, 16, 25, 22, 27, 28, 5, 9, 23, 19, 17, 18, 20, 29, 24, 31], [30, 33, 34, 38, 32, 40, 36, 37, 39, 47, 44], [42, 45, 41, 46, 54, 49, 57, 48, 51, 50, 58, 60, 52, 56, 55, 59]]
55: [[53, 43, 2, 35, 7], [5, 11, 13, 21, 6, 1, 3, 4], [9, 16, 24, 14, 8, 12, 19, 27, 17, 31, 18], [20, 15, 22, 25, 23, 26, 10, 29, 30, 28, 37, 34, 41, 32, 36, 33, 39, 47, 38, 40, 42, 44, 45, 54, 50, 49, 51, 55, 46, 48, 60, 52, 56, 59, 57, 58]]
56: [[53, 43, 2, 35, 7], [3, 11, 13, 21, 6], [5, 15, 9, 8, 26, 4, 10, 20, 12, 1], [14, 18, 16, 17, 19, 23], [25, 30, 22], [27, 29, 28], [24, 31, 33, 34, 38, 32, 44, 36, 37, 39, 47, 41], [42, 40, 45, 46, 54, 49, 51, 48, 50, 55, 58, 52, 59, 56, 60, 57]]
57: [[53, 43, 2, 35, 7, 1], [3, 13, 21, 6, 5, 9, 4, 12, 8, 24, 10, 11, 14, 17, 23, 31, 15, 22, 25, 16, 18, 20, 26, 19, 27, 29, 30], [46, 28, 32, 33, 36, 45, 37, 39, 38, 44, 42, 40], [47, 41, 34, 50, 49, 58, 52, 55, 51, 54, 48, 56, 57, 59, 60]]
58: [[53, 43, 2, 35, 7, 5], [3, 13, 21, 4], [1, 19, 6, 12, 24], [8, 9, 15, 26, 23, 30, 11], [28, 17, 14, 16, 22, 18, 10, 20, 27, 25, 31], [29, 42, 33, 34, 36, 37, 32, 44, 39, 47, 40, 38, 41, 45, 46, 50, 51], [48, 52, 49, 55, 58, 57, 54, 59, 56, 60]]
59: [[53, 43, 2, 35, 7], [5, 3, 13, 21, 6, 4], [9, 10], [12, 18, 24, 1, 27, 22, 17, 29, 8, 16, 11, 14, 20, 23, 15, 19, 25, 30, 26, 28, 31, 36, 40, 32, 38, 33, 37, 34, 39, 47, 42, 44, 41, 46, 45, 54, 49, 59, 55, 50, 48, 56], [51, 52, 58, 60, 57]]
60: [[53, 43, 2, 35, 7], [5, 11, 13, 1, 22, 4, 6, 3, 8, 20, 9, 25, 10, 12, 30, 14, 31, 15, 26, 16, 17, 19, 18, 21, 24, 29, 23, 27, 47, 28, 41, 34, 37, 38, 36, 46, 39, 32, 33, 42, 44], [40, 45, 50, 49, 57, 48, 51, 54, 52, 58, 60, 59, 55, 56]]
61: [[53, 43, 2, 35, 7, 5], [3, 13, 21, 6, 1, 11, 12, 9, 4, 10, 14], [24, 30, 15, 25, 18, 8, 17, 23, 19, 22, 28, 16, 20, 29, 26, 27, 42, 31, 40, 34, 38, 36, 32, 37, 33, 39, 46, 45, 41, 47, 44, 48, 49, 59, 50, 51, 52, 57], [55, 54, 56, 60, 58]]
62: [[53, 43, 2, 35, 7], [1, 3, 13, 21, 6, 5, 15, 8, 4, 26, 9, 12, 25, 10, 14, 17, 11, 19, 18, 16, 23, 20, 30, 27, 22, 29, 28, 24, 31, 33, 34, 38, 32, 45, 36, 37, 39, 47], [41, 42, 40, 44, 46, 54, 51, 57, 52, 48, 50, 49], [55, 56, 59, 58, 60]]
63: [[53, 43, 2, 35, 7], [1, 11, 13, 21, 6], [12, 14, 3, 20, 4], [10, 5, 15, 16, 26, 23], [8, 30, 9, 17, 18, 22], [19, 27, 24, 28, 31], [25, 29, 34, 33, 32, 36, 41, 38, 39, 47, 45], [37, 42, 44, 40, 46, 54, 48, 56, 49, 51, 50, 57, 59, 52, 60, 55, 58]]
64: [[53, 43, 2, 35, 7], [5, 3], [13, 21, 6, 12, 11], [9, 1, 24, 8, 4], [26, 15, 10, 14, 17, 22, 16, 23, 20, 18, 19, 30, 25, 31, 29, 27, 28, 34, 36, 32, 37, 38, 33, 39, 40, 42, 41, 44, 45, 47, 46, 50, 49, 48, 52, 58, 51], [54, 55, 56, 59, 60, 57]]
65: [[53, 43, 2, 35, 7, 5], [11, 13, 3], [8, 16, 1, 4, 15, 25, 14, 31, 28, 17, 10, 21, 6], [9, 12, 27, 20, 23, 18, 19, 22, 29, 24, 26, 30, 32, 33, 39, 38, 36, 40, 47, 42, 34, 37, 41, 46, 44, 45, 50, 49, 54, 52, 51, 57, 58, 48, 55, 59, 56], [60]]
66: [[53, 43, 2, 35, 7, 5], [11, 13, 21, 6, 3], [10, 8, 20, 1, 4, 15, 9, 12, 31, 28, 17, 14, 16], [26, 22, 23, 19, 18, 24, 29, 25, 27, 30, 32], [34, 33, 37, 40, 41, 47], [46, 36, 38, 39, 42, 44, 45, 54, 49, 50, 55, 51, 59, 58, 48, 52, 56, 57, 60]]
67: [[53, 43, 2, 35, 7, 5], [9, 13, 21, 6, 1], [10, 8, 20, 17, 4, 15, 11, 12, 31, 3, 22, 14, 18], [26, 16, 19, 23, 24, 27, 29, 30, 25, 28, 41], [32, 33, 37, 40, 34, 44], [46, 39, 47, 38, 42, 36, 45, 54, 49, 50, 51, 55], [56, 58, 48, 52, 59, 60, 57]]
68: [[53, 43, 2, 35, 7], [5, 3, 13, 21, 6, 4, 9, 8, 12, 10, 25, 1, 15, 14, 11, 29, 27, 22, 19, 23, 17, 16, 20, 18, 31, 24, 30, 28, 26, 33, 36, 34, 38, 32, 37, 45], [46], [39, 47, 44, 41, 40, 42, 54, 49, 59, 48, 50, 51, 55, 52, 60, 56, 57, 58]]
69: [[53, 43, 2, 35, 7], [4, 3, 13, 21, 6], [1, 9, 5, 10, 8, 30, 12, 20], [14, 19, 15, 11, 16, 18, 22, 17, 25, 23, 24], [26, 27, 31, 28, 29], [41, 32, 36, 33, 45, 34], [37, 47, 42, 38, 44, 40], [39, 46, 54, 49, 55, 48, 52, 50, 58, 51, 56, 57, 60, 59]]
70: [[53, 43, 2, 35, 7], [5, 3, 13, 21, 6], [4, 9, 10, 1, 27, 25], [11, 8], [14, 17, 12, 16], [23, 18, 26, 20, 22, 24, 19, 30, 31, 29, 28, 15, 32, 41], [33, 39, 37, 36, 34, 45, 47, 38, 46, 44, 40, 42, 54, 49, 59, 52, 51, 50, 56, 48, 55, 58, 60, 57]]
71: [[53, 43, 2, 35, 7], [5, 3, 13, 21, 6], [1, 9], [4, 10, 25, 26, 8], [12, 11, 14, 29, 17, 22], [24, 15, 30, 18, 19, 16, 27], [31, 20, 23, 28, 33, 32], [37, 38, 34, 36, 46, 40], [41, 45, 39, 42, 47, 44], [54, 48, 51, 52, 50, 49], [55, 57, 58, 59, 56, 60]]
72: [[53, 43, 2, 35, 7], [5, 3, 13, 21, 6], [1, 9, 4, 12, 11, 16, 14], [10, 8, 17, 15], [19, 20, 23, 18, 22], [24, 27, 31, 26, 29, 25], [28, 30, 39, 45, 36], [34, 33, 41], [32, 42, 47, 37, 40], [38, 44, 46, 54, 49, 57, 55, 51, 52, 58, 48], [50, 59, 60, 56]]
73: [[53, 43, 2], [35, 7, 5, 3], [13, 21, 6, 1, 9, 11, 8, 26], [4, 14, 12, 10, 28, 27, 15, 16, 18, 17, 20, 22, 23], [19, 24, 29, 31, 30, 25, 37], [32, 39, 34, 33, 47], [36, 46, 41, 44, 40, 38], [42, 45, 48, 49, 57, 50], [51, 52, 56, 55, 60, 58], [54, 59]]
