0: [[7, 35, 1, 2], [3, 4, 30], [28, 13, 5, 6, 21], [9, 8, 12], [11, 27, 14], [15, 16, 17, 23, 25, 10, 18], [19, 26, 20, 31], [22, 24, 29, 40, 32], [34, 39, 45], [37, 36, 33, 38, 43, 42], [44, 47, 54, 56], [46, 48, 41], [59, 50, 51, 52], [49, 53, 55, 60, 57], [58]]
20: [[7, 2, 35], [1, 3, 4, 30, 28], [13, 21, 22, 15, 5, 10, 6, 14, 9, 11, 8, 19, 24, 12, 17, 18, 16, 23, 20], [25, 27, 26, 29, 31, 32, 45, 42, 39, 37], [47, 33, 34, 40, 46, 41, 36, 50], [38], [43, 44, 49, 52, 51, 48, 54, 53, 55, 57, 56, 59, 58, 60]]
21: [[7, 2, 35], [1, 3, 4, 30, 28], [13, 21, 22, 14, 8, 10, 5, 12, 6, 11, 24, 19, 9], [15, 20, 18, 16, 23, 25, 17, 26, 27, 31, 29, 32, 45, 34, 55, 39, 33, 36, 42, 38, 46, 41, 40, 43, 37, 44, 60], [53, 47, 51, 49, 54, 48, 50, 59, 58, 56, 52, 57]]
22: [[7, 2, 35, 1], [3, 4, 30, 28, 13, 5, 8, 6, 9, 11, 14, 12, 10, 15, 17, 16, 23], [18, 22, 20, 19, 25, 21, 26, 24, 27, 29, 31, 32, 33, 34, 37, 36, 44, 38, 41, 40, 43, 45], [46, 39, 60, 42, 56], [59, 47, 52, 50, 53, 55, 51, 48], [58, 57, 49, 54]]
23: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 21, 5, 6], [24, 15, 9, 14, 10, 8, 11, 12, 18, 22, 19], [20, 17, 27, 16, 26, 23, 25], [31, 29, 32, 36, 43, 37, 33, 34, 39, 38, 40, 47, 44, 45, 42, 41, 46, 52, 50, 49, 53, 55, 48, 59, 57, 51, 56, 54, 58, 60]]
24: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 21, 5, 6], [8, 11, 9, 12], [10, 14, 18, 15, 26, 19, 17, 16, 20, 27, 22, 29, 23, 24, 25, 31, 40, 36, 32, 33], [38, 42, 37, 39], [34, 46, 45], [41, 43, 47, 44, 48, 49, 52, 50], [51, 53, 55, 54, 56, 57, 58, 59, 60]]
25: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 21, 5, 6, 24, 10, 8, 9, 14, 15, 11, 19, 16, 12, 22, 17, 25, 18, 26, 20, 23, 27, 31, 29, 40, 36, 32, 34, 33, 37], [39, 42, 41, 38, 43], [45, 44, 47, 46, 48, 55, 50, 54, 51, 53, 49, 52, 57, 59, 58, 60, 56]]
26: [[7, 2, 35, 1], [3, 4, 30, 28, 13, 21, 5, 6, 10, 8, 14, 12, 15, 11, 9, 24, 26, 16, 22], [20, 23, 19, 17, 18, 31, 25, 27, 29, 40], [33, 32, 34, 39], [36, 46, 45, 41], [43, 37, 38, 42, 47, 56, 59, 44, 51], [54, 50, 53], [52, 49, 60, 48, 55, 57, 58]]
27: [[7, 2, 35, 1], [3, 4, 30, 28], [13, 21, 5, 6, 16], [9, 10, 12, 8, 15], [14, 19, 31, 18, 20, 11, 24, 22, 25, 27, 17, 23, 26, 29, 40], [37, 33, 34, 39, 32, 36, 42, 41, 43], [38, 44, 45, 47, 46, 49, 53, 52], [51, 48, 55, 50, 54, 56, 58, 57, 59, 60]]
28: [[7, 2, 35, 1], [3, 4, 30, 28, 13, 21], [5, 14, 6, 8, 9, 11, 10, 15, 12, 27, 23, 22, 16, 19, 20, 17, 18, 26, 25, 29, 24, 31, 40, 44, 33, 38, 32, 46, 39, 41, 34, 36, 37, 47, 42, 43, 45, 60], [51, 50, 52, 48, 49, 55, 58, 53, 54, 56, 57, 59]]
29: [[7, 2, 35, 1], [3, 4, 30, 28, 13, 21], [5, 14, 6, 8, 9, 11, 10, 15, 12, 27, 23, 22, 16, 19, 20, 17, 18, 26, 25, 29, 24, 31, 40, 44, 33, 38, 32, 46, 39, 41, 34, 36, 37, 47, 42, 43, 45, 60], [51, 50, 52, 48, 49, 55, 58, 53, 54, 56, 57, 59]]
30: [[7, 2, 35, 1, 3, 4, 30, 28], [13, 5, 21, 22, 24], [10, 9, 14, 6, 11, 16, 12, 8, 27, 15, 18, 17, 23, 19, 20, 26, 29], [31, 25, 32], [37, 33, 53, 39, 36, 34], [43, 46, 38, 41, 42, 40, 45, 44, 48, 55, 47, 50], [52, 49, 51, 54, 57, 56, 59, 58, 60]]
31: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 21, 5, 6], [8, 11, 9, 10, 14, 15, 12, 19, 16, 17, 22], [18, 20, 24, 27, 23, 25, 26, 29, 31, 40, 33], [32, 37, 34, 46], [36, 43, 38, 42, 45, 47, 39, 41, 44, 48, 55, 50, 56, 49], [53, 51, 54, 52, 59, 57, 58, 60]]
32: [[7, 2, 35, 1], [3, 4, 30, 28, 13, 21, 5, 6, 10], [15, 11, 9, 12, 8, 14, 19], [18, 17, 20, 23, 22, 26, 16, 25, 31, 24, 27, 29, 32, 47, 33, 36], [39, 38, 34, 45, 37, 41], [42, 44, 40, 43], [46, 56, 51, 48, 52], [50, 53, 49, 54, 59, 55, 58, 57, 60]]
33: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 21, 5], [14, 8, 25], [11, 6, 9, 10, 12], [16, 17, 15, 18], [20, 19, 23, 22, 24, 26, 31, 27, 29, 40, 45], [32, 36, 33, 37, 34, 43, 38, 41, 39, 42], [46, 44, 47, 60, 49, 52, 50, 55, 53, 48, 54, 56, 51], [57, 59, 58]]
34: [[7, 2, 35, 1, 3], [4, 30, 28], [13, 21, 5, 6], [9, 8, 10, 15, 14, 11, 12, 29, 26], [16, 22, 20, 19, 27, 24, 17, 18, 25, 23, 31, 32, 33, 34, 38, 37, 44, 46, 41], [39, 42, 40, 36, 45, 47, 52, 43, 51, 50, 48, 49, 55, 54, 53, 60, 58, 59, 57, 56]]
35: [[7, 2, 35, 1], [3, 4, 30, 28], [13, 21, 5, 6, 8], [10, 9, 12, 11, 14, 15, 19, 22, 20], [17, 27, 16, 18], [23, 24, 25, 26], [29, 31, 32, 37], [33, 34, 46, 36, 39, 42], [41, 47, 38, 40], [43, 45, 44, 56, 49, 54], [51, 48, 53, 55, 52, 50, 60, 57, 58, 59]]
36: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 21, 5, 6, 20, 10, 12, 14], [8, 15, 9, 19], [22, 24, 11, 27], [18, 25, 16, 23], [17, 29, 26, 31, 40, 45], [33, 34, 39, 36], [37, 42, 41, 32, 44, 38], [47, 46, 49, 57, 51, 52, 43, 48, 53, 50], [54, 55, 58, 56, 59, 60]]
37: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 21, 5], [6, 8, 11, 10, 9, 14, 31, 12, 15, 18, 19, 16, 17, 24, 20, 22], [23, 27, 26, 25, 29, 36, 37, 32, 33, 34, 38, 39, 45, 43, 44, 41, 42, 40, 47, 46, 48, 53, 49, 54, 50, 52, 51, 55, 59, 56, 58, 57, 60]]
38: [[7, 2, 35, 1], [3, 4, 30, 28, 13, 21, 5, 6, 8, 11, 9, 15, 12, 10, 19, 18, 14, 17, 20, 23, 22, 24, 16, 31, 25, 26, 27, 29, 40, 32, 33, 34, 38, 36, 42, 39, 37, 45, 41, 43, 46, 47, 44], [57, 49, 54, 50, 48, 51, 52, 53, 59, 55, 56, 58, 60]]
39: [[7, 2, 35, 1], [3, 4, 30, 28], [13, 21, 5, 6], [9, 10, 8, 12, 14, 31, 11], [23, 16, 15, 17, 18, 20, 19, 25, 22], [26, 29, 24, 27, 36, 33, 39, 32, 34, 45, 37, 46, 40, 42, 38, 43, 41, 44, 47, 48, 55, 49, 54, 50, 52, 60, 53, 51, 56, 57, 59, 58]]
40: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 21, 5, 14, 6, 10, 8, 11, 15, 9], [12, 25, 22, 16, 23, 17], [19, 18, 26, 20], [27, 24, 31, 29, 40, 37, 32, 33], [36, 42, 38, 43, 34, 39, 44, 45, 46, 41, 60, 56], [59, 47, 54, 49, 48, 55, 50, 58, 51, 53, 57, 52]]
41: [[7, 2, 35, 1], [3, 4, 30, 28, 13], [21, 9, 31, 5, 8, 6, 14, 11, 10, 15, 12, 20, 17, 19, 16, 18, 24, 22, 23, 26, 27, 29, 25, 32, 37, 33, 36, 34, 38, 47, 41, 43, 39, 40, 42, 44, 45, 46, 48, 55, 53, 54, 50], [49, 52, 51, 59, 56, 58, 57, 60]]
42: [[7, 2, 35, 1, 3], [4, 30], [28, 13, 21, 5, 6, 9, 8], [11, 15, 10, 12, 14, 19, 20, 17, 16, 24, 18, 31], [25, 26, 23, 22, 27, 29, 32, 37, 40, 34, 33, 46, 39, 41, 36, 38, 47, 43, 42, 60, 45, 52, 59, 49, 50, 48, 53, 44, 51, 55, 58, 57, 56, 54]]
43: [[7, 2, 35, 1], [3, 4, 30, 28, 13], [21, 5, 6, 24, 10, 15, 9, 12, 8, 17, 11, 14, 23], [22, 18, 20, 31, 19, 16, 25, 27, 26, 29, 32, 37, 33, 34, 39, 38, 46, 40, 36, 47, 43, 41, 42, 44, 48, 60, 55], [45, 54, 49, 52, 51, 50, 59, 53, 58, 56, 57]]
44: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 21, 5, 6, 25, 10, 14], [9, 8, 12, 11], [27, 15, 18, 22, 17, 16, 19, 20, 24, 23, 26], [29, 31, 36, 37, 33, 32, 38, 34, 44, 39], [40, 41, 42, 43, 45, 46, 47, 48, 51, 53, 50, 49, 54], [52, 55, 56], [57, 58, 59, 60]]
45: [[7, 2, 35, 1], [3, 4, 30, 28, 13, 21, 5, 6, 24], [10, 15, 9, 8, 14, 11, 12, 16, 18, 22, 17, 19, 20, 23, 25, 26, 31, 27, 29, 32, 45, 33, 34, 36, 37, 38, 47, 39, 44, 40, 41, 43, 42, 46], [48, 49, 51, 54], [50, 52, 53, 55, 56, 57, 58, 59, 60]]
46: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 21, 5, 9, 6, 10, 11, 15, 19, 27, 14, 31], [17, 25, 18, 26], [8, 23, 12, 16, 29, 40, 45, 34, 32, 38, 37, 20, 22], [24, 33, 43, 39, 36, 42, 41, 47, 44, 46, 48, 55, 51, 52, 49, 53, 50, 54, 57, 56, 58, 59, 60]]
47: [[7, 2, 35, 1], [3, 4, 30, 28, 13, 21, 17, 10, 5, 11], [12, 24, 14, 6, 8, 20, 9, 15, 16, 19, 18], [22, 23, 25, 27], [26, 31, 29, 32, 44, 34, 37, 33, 38, 46, 39, 43, 36, 45], [41, 42, 40, 47], [50, 49, 53, 55, 48, 51, 52, 54, 59, 57, 56, 58, 60]]
48: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 21, 5, 14], [24, 9, 12, 8, 10, 11, 15, 16, 6, 18, 17, 20, 22, 25, 19, 27, 23, 26, 31, 29, 40, 37], [33, 32, 34, 42, 39, 36, 38, 41, 45, 43], [44, 46, 47, 48, 51, 52, 50, 53, 49], [54, 56, 57, 55, 59, 58, 60]]
49: [[7, 2, 35, 1], [3, 4, 30, 28, 13, 21, 5, 6, 8], [10, 15, 9], [12, 14, 11, 17, 20, 19, 18, 16, 23, 22, 24, 27, 29, 31, 25, 26, 36, 45, 33, 34, 46, 43, 32, 40, 38, 37, 44, 39, 42, 41, 47, 48, 49, 53, 54, 51, 52, 50, 55, 57, 56], [58, 59, 60]]
50: [[7, 2, 35, 1], [3, 4, 30], [28], [13, 21, 5, 6, 24, 11, 12, 8, 10, 15, 9, 29, 14, 17, 18, 16, 20, 22, 19, 27, 23, 31, 25, 26, 36, 32, 33, 34, 37, 43, 39, 38, 41, 40, 47, 45, 42, 46, 44, 56, 51, 49, 48, 50, 55, 52, 53, 60, 54, 57, 58, 59]]
51: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 21, 5, 6, 24], [11, 12, 8, 9, 10, 14, 16, 23, 27], [22, 17, 18, 15, 19, 20, 25, 26, 31, 29], [40, 45, 32, 33, 37, 34, 36, 38, 43, 39], [41, 44, 42, 46], [47, 48, 59, 49], [51, 52, 53, 50, 55, 56, 54, 57], [58, 60]]
52: [[7, 2, 35, 1, 3, 4, 30, 28], [13, 21, 15, 6], [24, 10, 5, 12, 9, 11, 27, 8, 14, 17, 16, 20, 22, 18, 26, 19, 23, 25, 31, 29, 32, 37, 33, 34, 42, 36, 40, 44, 39, 46, 45, 38, 41, 47, 43, 48, 51, 55, 50, 54, 52, 53, 57, 49, 56, 58, 59, 60]]
53: [[7, 2, 35, 1], [3, 4, 30, 28], [13, 5, 11, 12, 21, 6], [9, 15, 14], [8, 16, 17, 24, 19, 31, 22, 18, 10], [27, 25, 26, 23, 20, 29, 40, 36, 32], [33, 38, 34, 37], [39, 42, 46, 45, 41, 43, 47, 44, 48, 49, 54, 50, 51, 55, 52, 53, 57, 56, 59, 58, 60]]
54: [[7, 2, 35, 1], [3, 4, 30, 28], [13, 21, 20, 5], [6, 8, 15], [10, 9, 11, 12, 31, 18, 14], [16, 17, 22, 24, 25, 19, 27, 23, 26, 29, 44, 33, 32, 34, 37, 39, 46], [40, 36, 41, 43, 38, 42, 45, 47], [48, 53, 57, 51, 52, 49, 50, 54, 58, 60, 56, 55, 59]]
55: [[7, 2, 35, 1], [3, 4, 30, 28], [13, 21, 5, 6], [10, 11, 8], [9, 14, 15, 12, 17, 24, 19, 18, 20, 16, 22, 26, 23, 31, 27, 29, 25, 40, 36, 32, 33, 34, 37], [38, 39, 43, 42, 41, 45], [44, 47, 46], [48, 55, 49, 54, 50, 53, 51, 56], [57, 59, 52, 58, 60]]
56: [[7, 2, 35, 1, 3, 4, 30, 28], [13, 21, 5, 6], [8, 11, 9, 12, 15, 10, 14, 25, 23, 26], [17, 16, 19, 18, 22, 20, 24, 29, 31, 27], [32, 37, 34, 33], [36, 46, 38, 44, 45, 39, 43, 40], [42, 41, 55, 56, 57, 47, 50, 53, 48, 51, 52, 58, 54, 49, 59, 60]]
57: [[7, 2, 35, 1, 3], [4, 30, 28], [13, 5, 14, 9, 18, 21, 6], [8, 11, 15, 12, 17, 19, 20, 16, 23, 24, 25, 27, 22, 31, 26, 10], [29, 32, 37], [46, 38, 44, 33], [39, 41, 43, 40, 47, 34], [36, 60, 45, 48], [59, 49, 54, 52, 53, 50, 42, 55, 51, 56, 58, 57]]
58: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 5, 9, 6, 24, 10, 11, 8, 27, 15, 18, 17, 12, 19], [14, 22, 16, 21, 31, 23, 20, 25, 26, 29, 36, 33, 32, 34, 38, 37, 39, 40, 42, 45, 43, 41, 46, 47, 44, 48, 55, 52, 51, 54, 49, 57, 53, 50, 58, 59, 60, 56]]
59: [[7, 1, 34, 2, 6], [3, 4, 30], [28, 13, 5, 21], [14, 24, 11, 9, 8, 31, 12, 15, 10, 18], [17], [20, 23, 22, 16, 19, 27], [25, 26, 29, 32, 36, 33, 38, 35], [37, 39, 43, 40], [42, 45, 41, 47], [44, 59, 48, 51], [49, 54, 53, 46, 50, 52, 55, 58, 56, 57], [60]]
60: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 5, 9, 6], [24, 8, 11, 12, 10, 14, 15, 17, 16, 26, 18], [19, 20, 23, 21, 27, 25, 22, 31, 29, 40, 37], [32, 33, 34, 44], [36, 41, 39, 38, 45], [43, 42, 46, 47, 48, 51, 50, 52, 49, 55, 53, 54, 56, 58, 59, 57, 60]]
61: [[7, 2, 35], [1, 3, 4, 30, 28], [13, 5, 8, 6, 9, 11, 14], [12, 10, 15, 17, 19, 22, 24, 16, 20, 18], [27, 21, 26, 23, 25, 29, 31, 32, 33, 42, 37, 36, 47, 34, 39, 40, 41], [45, 38, 55, 54, 43], [56, 51, 60, 53, 48, 44, 46, 49, 57], [58, 59, 50, 52]]
62: [[7, 2, 35, 1, 3, 4, 30, 28], [13, 21, 5, 6], [8, 11, 12, 9, 15, 10, 14, 19], [22, 27, 23, 17, 18, 24, 16, 20, 25, 26], [31, 29, 32, 45, 33, 34, 37, 40, 46, 38, 43, 39, 41, 36, 42, 47, 44, 52, 49, 50, 51, 53, 48, 55, 54, 56, 58, 57, 59, 60]]
63: [[7, 2, 35, 1, 3, 4, 30, 28, 13, 21, 9, 6, 5, 12, 11, 8], [15, 10, 17, 14, 19, 16], [20, 22, 18, 24, 26, 23, 31, 27, 25, 29, 32, 33, 37, 34, 38, 36, 47, 40], [41, 44, 39, 42, 45], [46, 43, 48, 52, 51, 53, 50], [49, 55, 58, 54, 56, 59, 57, 60]]
64: [[7, 2, 35, 1, 3], [4, 30, 28], [13, 5, 21, 6, 20, 8], [9, 14, 12, 11, 10, 27, 22, 17, 18, 16, 25, 15, 24, 19, 23, 31, 26], [29, 32, 36, 33, 34, 44, 38, 37, 41, 46, 40, 42, 39, 45, 60, 43, 48, 51, 49, 47, 50], [53, 54, 56, 52, 55, 59, 58, 57]]
65: [[7, 2, 35, 1, 3], [4, 30, 28], [13, 21], [9, 14, 5, 6, 8, 11, 12, 10, 24, 26], [25, 15, 27, 20, 19, 16, 17, 31, 18, 22, 23, 29, 40, 33, 32, 34, 38, 36, 47, 42, 39, 43, 37, 41, 44, 45, 46, 48, 59, 51, 54, 52, 53, 50, 49, 60, 56, 57, 55, 58]]
66: [[7, 2, 35, 1, 3], [4, 30, 28, 13], [21, 9, 6, 5], [8, 10, 11, 14, 12, 27, 15, 25, 16], [18, 17, 19, 26, 22, 20, 23, 24, 31], [29, 40, 37, 32], [39, 33, 36, 38], [43, 41, 46, 34, 45], [44, 47, 56, 42, 49, 50, 54, 51, 53, 48, 52, 57, 59, 58, 55, 60]]
67: [[7, 2, 35, 1], [3, 4, 30, 28, 13, 5, 9, 24, 21, 6], [8, 15, 12, 11, 27, 14, 17, 10], [16, 20, 22, 18, 25, 19, 31, 23], [26, 29, 32, 37, 33, 34, 46, 47, 38, 36, 43, 44, 42, 39, 40, 45, 41, 48, 49, 53, 51, 50, 52, 55, 54, 57, 58, 56, 59, 60]]
68: [[7, 2, 35], [1, 3, 4, 30, 28, 13, 21, 6, 5, 10, 14, 9, 11, 12, 8, 15, 17, 27, 16, 18, 20, 22, 23, 29, 19, 24, 25, 26, 33, 34, 31, 36, 38, 39, 37, 32, 41, 43, 40, 47, 42, 44, 46, 45, 56, 49, 50, 55, 52, 51, 48, 53, 60, 54, 59], [57, 58]]
69: [[7, 2, 35, 1], [3, 4, 30, 28], [13, 21, 5, 6, 8, 10, 15, 9, 14, 11, 29, 12, 18, 19, 20, 17, 22, 16, 26, 31, 25, 23], [24, 27, 40, 36, 33, 32, 34, 46, 37, 42, 39, 38, 45, 43, 41, 44, 47, 48, 51, 49, 52, 50, 53, 55, 54, 56, 59, 57, 58, 60]]
70: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 21, 5, 6], [10, 8, 9], [12, 14, 11, 15, 17], [23, 26, 18, 19, 27, 22, 16, 20, 24], [25, 29, 31, 32], [37, 33, 36, 34], [38, 39, 40, 41], [46, 44, 42, 43, 45, 47], [56, 55, 48, 59], [50, 53, 54, 51, 49, 52], [60, 58, 57]]
71: [[7, 2, 35, 1, 3, 4, 30, 28, 13, 21, 6, 5], [24, 8, 10, 12, 9, 11, 25, 31, 19, 15, 16], [14, 17, 18, 20, 29, 27, 23, 26, 22, 36, 33, 32, 34, 37], [38, 42, 40, 39, 41, 43, 45, 44], [46, 47, 48, 55, 49, 54, 53, 52, 50, 51, 56, 58, 57, 59, 60]]
72: [[7, 2, 35, 1], [3, 4, 30, 28, 13, 21, 5, 6, 10, 9, 11, 8, 12, 14, 31, 24, 15, 19, 17, 16, 23, 25, 22, 18, 20, 27, 26, 29, 32, 36, 34, 37, 33, 46, 47, 38], [39, 40, 44, 42, 41, 43, 45, 48, 49, 51, 50, 52, 53, 55, 54, 57], [60, 59, 56, 58]]
73: [[7, 2, 35, 1], [3, 4, 30, 28, 13, 21, 9, 6, 5, 10, 8, 11, 14, 15, 27, 12, 17, 16, 22, 18, 19, 26, 24, 20, 23, 25, 31, 29, 40, 36, 32, 39, 33, 37, 47, 42, 38, 34, 45, 44, 41, 43, 46, 48, 51, 50, 54, 55, 53, 49, 57, 56, 59], [58, 52, 60]]
