0: [[20], [18, 53, 13, 23], [24, 1], [35, 2, 4, 43, 12, 22], [27], [47, 75], [3, 34], [6, 5], [7], [19], [57], [25, 14, 15], [81, 17, 16, 21], [26, 11, 50], [28, 31, 32, 29], [30, 56, 59, 33], [37, 40, 36], [38], [9, 42], [44, 39, 8], [45, 41, 46, 60], [48, 61], [51, 54, 52, 49], [58, 55, 62], [63], [64], [66, 78], [71, 67, 68], [65], [69, 76, 77, 10], [70, 73, 72, 83, 82], [74, 79], [85], [80, 84, 87], [86, 88]]
11: [[36, 6, 22, 23, 24, 3, 2, 8, 5, 4, 11, 7, 1, 9, 10, 15, 14, 17, 16, 13, 12], [18, 19, 20, 27, 21, 28, 30, 56, 25, 26, 46, 29, 31, 59, 35, 34, 37, 58, 50, 32, 41, 47, 39], [33, 38, 40, 42, 44, 48, 60, 45, 43, 51, 54, 49, 55, 52, 53, 62, 57, 61, 63, 64, 65, 76, 67], [74, 66, 75, 73, 68, 78, 69, 70, 77, 71, 72, 79, 83, 80, 82, 84, 87, 81, 85, 86, 88]]
12: [[36, 6, 22, 23, 24, 3, 1, 2, 7, 4, 5, 12, 13, 14, 9, 30, 10, 8, 62, 15, 29, 16], [28, 17, 21, 18, 20, 19, 25, 26, 57, 43, 61, 50, 47, 27, 37, 11, 31, 44, 39, 32, 33, 34], [40, 45, 48, 42, 59, 35, 52, 58, 46, 54, 38, 41, 49, 51, 53, 56, 60, 63, 55, 65, 68, 66, 69], [71, 64, 67, 78, 70, 74, 75, 73, 76, 72, 77, 79, 87, 81, 80, 84, 83, 82, 85, 86, 88]]
13: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 14, 11, 12, 13, 7, 9, 10, 15, 8, 20, 19, 16], [17, 21, 28, 27, 39, 25, 31, 26, 52, 47, 29, 30, 59, 42, 18, 37, 33, 35, 45, 34, 40, 44, 32], [43, 46, 41, 49, 50, 55, 38, 51, 53, 48, 54, 62, 56, 57, 58, 61, 60, 63, 67, 68, 80, 66], [64, 72, 71, 77, 65, 69, 75, 70, 78, 74, 79, 73, 84, 76, 81, 83, 82, 86, 85, 87, 88]]
14: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 7, 13, 11, 14, 8, 12, 10, 9, 28, 31, 18, 15, 17], [16, 19, 20, 50, 21, 27, 29, 25, 57, 40, 55, 42, 49, 26, 30, 33, 38, 32, 48, 61, 46, 35, 47], [34, 37, 43, 41, 44, 54, 45, 39, 59, 52, 51, 53, 58, 62, 56, 60, 63, 66, 65, 69, 72], [73, 74, 64, 76, 68, 70, 79, 81, 75, 71, 77, 67, 84, 83, 78, 82, 80, 87, 88, 86, 85]]
15: [[36, 6, 22, 23, 24, 9, 1, 2, 5, 4, 3, 7, 13, 12, 15, 8, 14, 10, 16, 25, 17, 29], [11, 19, 18, 27, 20, 21, 28, 31, 56, 26, 57, 46, 51, 50, 34, 39, 42, 33, 37, 38, 44, 32], [35, 59, 40, 41, 43, 47, 45, 60, 52, 48, 55, 49, 53, 54, 58, 62, 61, 63, 30, 67, 64, 65, 66], [76, 69, 74, 68, 77, 75, 73, 78, 70, 71, 72, 79, 86, 81, 82, 84, 85, 80, 83, 87, 88]]
16: [[36, 6, 22, 23, 24, 9, 1, 2, 5, 4, 15, 3, 14, 10, 8, 43, 30, 13, 12, 29, 28, 56], [17, 7, 18, 19, 20, 11, 16, 21, 61, 25, 51, 26, 35, 37, 60, 34, 40, 27, 39, 31, 32, 58, 52, 44, 33], [38, 57, 41, 47, 46, 42, 45, 48, 50, 54, 59, 53, 49, 55, 63, 62, 64, 67, 68, 65], [69, 66, 78, 70, 73, 72, 71, 74, 75, 76, 79, 77, 85, 81, 80, 86, 82, 83, 84, 87, 88]]
17: [[36, 6, 22, 23, 24, 9, 16, 2, 5, 1, 3, 12, 11, 4, 8, 7, 26, 27, 10, 14, 13], [19, 20, 21, 25, 18, 29, 30, 59, 17, 33, 28, 31, 15, 57, 34, 32, 62, 42, 35, 46, 43, 47, 51], [37, 38, 44, 41, 40, 39, 45, 48, 63, 49, 50, 52, 54, 53, 56, 55, 60, 61, 58, 66, 64, 70, 67], [65, 73, 71, 69, 74, 68, 79, 72, 75, 77, 78, 76, 82, 83, 80, 81, 84, 85, 87, 86, 88]]
18: [[36, 6, 22, 23, 24, 3, 16, 2, 1, 4, 5, 7, 8, 15, 11, 30, 9, 14, 19, 10, 12, 13], [17, 28, 20, 26, 25, 18, 62, 21, 29, 27, 44, 31, 40, 48, 61, 50, 37, 59, 32, 34, 47, 33, 43], [35, 39, 45, 41, 46, 42, 51, 38, 52, 54, 49, 55, 53, 57, 60, 56, 58, 63, 65, 64, 82, 66], [69, 70, 75, 68, 76, 67, 78, 77, 71, 73, 79, 72, 85, 86, 80, 74, 83, 81, 84, 87, 88]]
19: [[36, 6, 22, 23, 24, 3, 16, 2, 7, 4, 33, 1, 15, 5, 29, 8, 10, 12, 9, 13], [11, 14, 57, 27, 17, 18, 19, 21, 26, 31, 20, 25, 37, 42, 43, 28, 40, 59, 58, 49, 38, 30, 32, 35], [34, 41, 46, 48, 50, 62, 45, 44, 47, 63, 39, 51, 53, 52, 54, 55, 60, 56, 61, 68, 64, 81, 70], [67, 66, 71, 69, 73, 72, 74, 77, 75, 76, 78, 65, 87, 85, 80, 84, 79, 82, 83, 86, 88]]
20: [[36, 6, 22, 23, 24, 3, 16, 2, 7, 4, 33, 1, 15, 5, 29, 8, 10, 12, 9, 13, 11, 14, 57, 27], [17, 18, 19, 21, 26, 31, 20, 25, 37, 42, 43, 28, 40, 59, 58, 49, 38, 30, 32, 35], [34, 41, 46, 48, 50, 62, 45, 44, 47, 63, 39, 51, 53, 52, 54, 55, 60, 56, 61, 68, 64, 81, 70], [67, 66, 71, 69, 73, 72, 74, 77, 75, 76, 78, 65, 87, 85, 80, 84, 79, 82, 83, 86, 88]]
21: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 14, 11, 9, 8, 31, 13, 10, 7, 12, 28, 25], [16, 21, 53, 19, 15, 17, 18, 20, 27, 40, 30, 29, 26, 34, 63, 50, 33, 35, 51, 46, 38, 37, 32], [41, 43, 39, 42, 44, 45, 55, 47, 49, 52, 48, 54, 60, 62, 56, 59, 57, 61, 58, 66, 72, 65, 68], [69, 64, 67, 73, 78, 74, 76, 70, 77, 71, 75, 79, 86, 81, 85, 80, 83, 82, 87, 84, 88]]
22: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 14, 7, 13, 9, 10, 8, 25, 11, 12, 17, 15, 20], [16, 19, 18, 31, 27, 62, 21, 29, 33, 39, 57, 28, 63, 26, 30, 37, 32, 51, 42, 44, 34, 35, 43], [40, 41, 46, 45, 38, 47, 52, 49, 55, 48, 50, 53, 54, 56, 61, 58, 59, 60, 67, 68, 64, 66], [72, 76, 71, 77, 65, 78, 69, 74, 79, 70, 75, 80, 82, 73, 81, 83, 84, 85, 86, 87, 88]]
23: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 14, 11, 8, 25, 7, 13, 9, 15, 17, 12, 18, 16, 19], [20, 28, 21, 29, 31, 56, 27, 51, 47, 26, 30, 37, 33, 48, 57, 50, 35, 32, 62, 34, 42, 40], [43, 44, 41, 45, 55, 38, 53, 39, 46, 54, 49, 58, 52, 60, 63, 59, 61, 66, 72, 68, 64, 10], [74, 73, 67, 77, 65, 70, 79, 76, 69, 71, 75, 78, 81, 88, 82, 80, 84, 85, 87, 86, 83]]
24: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 14, 11, 9, 12, 7, 8, 10, 31, 13, 19, 18, 17], [21, 29, 16, 26, 30, 25, 15, 20, 28, 47, 44, 27, 59, 54, 40, 39, 33, 32, 34, 35, 51, 37, 38], [43, 60, 58, 41, 45, 46, 49, 42, 50, 48, 52, 63, 55, 57, 61, 53, 56, 62, 67, 68, 65, 66], [64, 70, 77, 71, 73, 69, 74, 75, 76, 78, 79, 72, 82, 81, 80, 83, 84, 86, 87, 85, 88]]
25: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 14, 10, 13, 8, 15, 9, 7, 11, 12, 16, 25, 17, 20, 48], [19, 27, 21, 56, 26, 59, 31, 28, 61, 29, 51, 46, 30, 33, 41, 50, 18, 47, 37, 34, 44, 35, 32], [42, 38, 58, 39, 52, 53, 55, 62, 40, 43, 45, 54, 49, 60, 57, 63, 66, 72, 65, 69], [64, 67, 74, 68, 76, 77, 78, 70, 73, 71, 75, 79, 82, 80, 81, 85, 83, 84, 87, 86, 88]]
26: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 11, 7, 8, 25, 9, 14, 15, 17, 16, 12, 13], [18, 19, 20, 28, 21, 29, 27, 48, 58, 63, 46, 26, 30, 37, 31, 49, 56, 50, 35, 32, 62, 34, 38], [40, 33, 42, 41, 61, 43, 44, 53, 39, 45, 47, 52, 55, 51, 57, 54, 59, 60, 66, 72, 68, 64, 10], [74, 67, 73, 77, 65, 70, 78, 76, 69, 71, 75, 79, 83, 80, 82, 84, 85, 81, 87, 86, 88]]
27: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 14, 10, 28, 9, 11, 13, 7, 15, 8, 12, 17, 16, 18], [21, 27, 26, 20, 31, 60, 19, 32, 39, 29, 30, 47, 54, 40, 37, 33, 25, 42, 38, 34, 41, 35], [43, 44, 50, 45, 51, 46, 59, 49, 53, 48, 55, 62, 52, 57, 56, 58, 61, 63, 67, 68, 64, 70], [66, 78, 77, 71, 65, 69, 75, 73, 74, 76, 79, 72, 84, 80, 83, 82, 88, 86, 85, 87, 81]]
28: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 13, 10, 8, 9, 7, 11, 12, 14, 62, 15, 16, 20], [19, 18, 21, 17, 25, 26, 29, 28, 56, 63, 33, 27, 40, 46, 30, 45, 31, 32, 43, 39, 41, 34], [35, 37, 55, 38, 42, 51, 44, 57, 49, 47, 48, 53, 50, 52, 54, 58, 60, 59, 61, 66, 68, 69, 64], [65, 76, 75, 67, 77, 70, 71, 73, 78, 72, 79, 74, 82, 81, 87, 80, 85, 88, 83, 84, 86]]
29: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 15, 8, 7, 9, 11, 14, 30, 26, 18, 16, 10, 12, 13], [19, 21, 17, 20, 25, 29, 31, 28, 63, 45, 27, 32, 34, 56, 37, 33, 40, 43, 39, 42, 44, 46, 47], [38, 54, 41, 35, 57, 49, 51, 52, 48, 53, 55, 61, 50, 58, 60, 59, 62, 66, 68, 65, 64], [67, 76, 75, 69, 73, 70, 71, 72, 78, 74, 77, 87, 82, 81, 79, 84, 80, 88, 83, 85, 86]]
30: [[36, 6, 22, 23, 24, 9, 1, 2, 5, 4, 11, 15, 3, 30, 7, 8, 25, 10, 17, 14, 12, 13], [18, 16, 20, 19, 50, 21, 26, 27, 28, 29, 35, 46, 45, 37, 47, 38, 32, 52, 34, 33, 42], [39, 40, 49, 41, 48, 44, 51, 43, 59, 53, 58, 57, 54, 60, 55, 56, 62, 63, 61, 31, 81, 64, 65, 67], [74, 71, 69, 70, 68, 66, 73, 79, 77, 72, 76, 78, 83, 75, 84, 87, 82, 85, 80, 86, 88]]
31: [[36, 6, 22, 23, 24, 9, 1, 2, 5, 4, 11, 3, 13, 15, 8, 10, 7, 12, 57, 14, 16, 19], [18, 25, 20, 17, 58, 29, 21, 26, 31, 60, 27, 32, 35, 50, 28, 53, 43, 34, 33, 45, 40, 30, 39], [41, 42, 44, 46, 38, 47, 55, 48, 62, 49, 51, 54, 37, 56, 52, 59, 63, 61, 64, 65, 66, 67], [71, 68, 69, 70, 75, 72, 73, 79, 74, 76, 77, 78, 82, 81, 86, 80, 83, 85, 84, 87, 88]]
32: [[36, 6, 22, 23, 24, 9, 5, 2, 1, 4, 15, 3, 7, 11, 25, 14, 10, 12, 29, 8, 16, 18, 13], [27, 20, 21, 19, 26, 17, 31, 28, 53, 44, 54, 30, 56, 43, 57, 39, 34, 35, 42, 32, 37, 33], [41, 40, 45, 46, 47, 48, 49, 55, 50, 51, 58, 52, 59, 60, 61, 62, 63, 38, 66, 64, 65, 68], [67, 70, 69, 78, 71, 72, 73, 75, 76, 74, 77, 83, 82, 81, 80, 85, 86, 79, 87, 84, 88]]
33: [[36, 6, 22, 23, 24, 2, 3, 1, 9, 4, 15, 5, 8, 11, 13, 28, 7, 10, 14, 16, 12, 56, 18], [17, 20, 19, 25, 30, 29, 27, 60, 46, 45, 40, 47, 21, 50, 35, 48, 33, 38, 42, 32, 37, 43], [26, 31, 34, 55, 39, 59, 41, 53, 54, 51, 44, 49, 63, 62, 52, 57, 58, 61, 64, 68, 65, 67], [66, 69, 76, 71, 70, 75, 72, 77, 73, 74, 78, 79, 83, 81, 80, 86, 82, 84, 85, 87, 88]]
34: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 9, 14, 10, 13, 11, 8, 15, 12, 43, 19, 7, 20], [27, 17, 18, 25, 21, 28, 60, 16, 53, 31, 51, 26, 29, 32, 57, 30, 40, 33, 34, 37, 39, 44], [38, 46, 59, 41, 42, 45, 35, 47, 52, 54, 50, 61, 48, 49, 55, 56, 58, 62, 63, 67, 64, 69, 74], [66, 78, 76, 65, 70, 77, 68, 75, 71, 72, 79, 73, 83, 81, 80, 82, 87, 84, 85, 86, 88]]
35: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 13, 7, 11, 8, 9, 10, 12, 14, 28, 29, 18, 15, 16], [17, 19, 21, 20, 26, 25, 31, 27, 57, 41, 63, 40, 33, 56, 37, 30, 42, 32, 53, 44, 46, 39, 47], [34, 35, 43, 38, 45, 54, 55, 48, 49, 51, 52, 61, 50, 58, 60, 59, 62, 66, 68, 69, 72], [73, 64, 67, 65, 77, 70, 71, 74, 78, 75, 76, 83, 86, 81, 79, 82, 80, 84, 85, 87, 88]]
36: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 7, 15, 8, 9, 11, 13, 10, 12, 30, 14, 26, 18, 17], [16, 21, 20, 50, 27, 31, 29, 25, 63, 44, 19, 34, 28, 32, 37, 33, 39, 35, 40, 59, 43, 42, 47], [38, 55, 41, 45, 56, 49, 46, 48, 51, 52, 54, 53, 58, 62, 57, 60, 61, 66, 65, 68, 64], [67, 78, 72, 77, 69, 70, 79, 81, 75, 73, 74, 71, 80, 83, 76, 84, 82, 86, 87, 85, 88]]
37: [[36, 6, 22, 23, 24, 9, 1, 2, 5, 4, 3, 19, 13, 12, 10, 7, 14, 15, 8, 11, 16, 20], [18, 17, 26, 27, 21, 25, 28, 29, 56, 31, 46, 34, 33, 62, 58, 47, 42, 30, 38, 37, 44, 32], [35, 57, 39, 40, 54, 45, 41, 50, 51, 43, 55, 53, 61, 48, 49, 60, 52, 63, 59, 64, 65, 83, 66], [68, 70, 72, 77, 69, 74, 75, 79, 71, 73, 76, 67, 78, 81, 82, 84, 85, 80, 86, 87, 88]]
38: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 13, 11, 8, 10, 14, 15, 7, 9, 31, 12, 16, 29, 17, 21], [19, 20, 25, 18, 26, 27, 28, 55, 51, 54, 50, 42, 56, 30, 34, 38, 57, 37, 32, 45, 40, 43, 35], [39, 33, 53, 47, 44, 41, 52, 62, 48, 46, 61, 49, 59, 60, 58, 63, 65, 64, 74, 66], [71, 67, 69, 70, 68, 76, 73, 77, 79, 72, 78, 81, 82, 75, 80, 84, 83, 85, 87, 86, 88]]
39: [[36, 6, 22, 23, 24, 9, 1, 2, 5, 4, 11, 15, 3, 8, 7, 10, 14, 12, 30, 13, 16], [51, 17, 18, 19, 21, 20, 25, 28, 26, 27, 62, 44, 31, 43, 57, 32, 54, 29, 33, 34, 37, 38, 59, 40], [41, 35, 49, 45, 42, 39, 48, 47, 46, 55, 52, 50, 53, 60, 58, 56, 61, 86, 71, 64, 65, 68], [69, 78, 74, 63, 66, 72, 67, 73, 75, 70, 77, 85, 76, 81, 80, 79, 82, 84, 83, 87, 88]]
40: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 13, 7, 10, 11, 9, 8, 12, 15, 30, 14, 16, 29, 17], [19, 18, 20, 25, 26, 27, 31, 21, 43, 59, 58, 50, 33, 28, 32, 37, 38, 40, 47, 39, 35, 44, 46], [34, 45, 41, 42, 62, 51, 48, 49, 63, 56, 52, 61, 54, 53, 55, 57, 60, 65, 68, 67, 64], [71, 66, 70, 79, 69, 74, 75, 72, 76, 73, 78, 77, 83, 81, 80, 87, 82, 86, 84, 85, 88]]
41: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 13, 7, 9, 12, 8, 14, 10, 11, 16, 30, 25, 29], [17, 15, 21, 18, 19, 20, 26, 27, 28, 58, 31, 59, 33, 47, 35, 34, 40, 37, 38, 61, 57, 32, 46], [43, 41, 44, 54, 42, 45, 62, 63, 39, 56, 52, 60, 55, 48, 49, 50, 51, 53, 66, 68, 80, 69], [67, 64, 65, 79, 70, 71, 78, 73, 83, 72, 76, 77, 75, 74, 81, 85, 82, 84, 86, 87, 88]]
42: [[36, 6, 22, 23, 24, 11, 1, 2, 5, 4, 10, 3, 7, 8, 13, 12, 9, 14, 15, 25, 16, 48], [19, 49, 53, 28, 18, 27, 17, 62, 20, 29, 41, 31, 43, 60, 32, 34, 21, 39, 26, 30, 33, 38, 40], [61, 44, 35, 42, 47, 45, 50, 56, 51, 52, 46, 37, 54, 57, 55, 59, 58, 63, 66, 64, 65, 67], [78, 68, 69, 71, 70, 79, 72, 73, 74, 75, 76, 77, 83, 80, 82, 87, 81, 84, 85, 86, 88]]
43: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 13, 7, 9, 12, 8, 10, 14, 11, 56, 27, 28, 16, 26], [17, 15, 18, 19, 54, 29, 31, 20, 35, 49, 44, 47, 30, 53, 37, 57, 21, 34, 40, 38, 25, 33, 45], [32, 41, 59, 42, 39, 58, 43, 46, 52, 51, 48, 50, 55, 63, 60, 61, 62, 67, 64, 65, 66], [73, 68, 78, 69, 71, 72, 75, 77, 76, 74, 79, 70, 84, 81, 82, 86, 83, 80, 87, 85, 88]]
44: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 14, 15, 8, 11, 9, 7, 13, 10, 30, 12, 18, 19, 16], [51, 20, 17, 21, 27, 25, 59, 26, 62, 45, 28, 32, 34, 54, 33, 29, 42, 31, 39, 43, 37], [40, 38, 35, 41, 44, 47, 57, 48, 49, 53, 56, 46, 60, 52, 55, 50, 58, 61, 63, 66, 68, 65, 64], [67, 75, 74, 69, 73, 70, 77, 71, 79, 72, 76, 87, 82, 81, 78, 80, 84, 85, 83, 86, 88]]
45: [[36, 6, 22, 23, 24, 9, 1, 2, 5, 3, 11, 4, 8, 12, 7, 10, 14, 13, 15, 16, 20, 58, 25], [18, 27, 17, 21, 31, 28, 19, 29, 63, 30, 39, 35, 45, 33, 26, 48, 42, 32, 38, 61, 34], [37, 44, 41, 43, 40, 59, 46, 47, 52, 53, 50, 49, 54, 55, 57, 51, 56, 60, 62, 66, 73, 64, 65], [70, 71, 67, 69, 77, 68, 76, 72, 75, 74, 78, 79, 84, 81, 80, 82, 83, 85, 87, 86, 88]]
46: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 9, 15, 13, 7, 11, 10, 8, 12, 30, 16, 17, 37, 20], [14, 21, 18, 26, 19, 31, 27, 25, 33, 28, 29, 59, 35, 50, 46, 53, 32, 38, 34, 39], [41, 45, 44, 60, 40, 49, 42, 48, 63, 52, 47, 43, 56, 57, 55, 58, 61, 54, 62, 51, 64, 70, 80, 69], [66, 68, 65, 78, 76, 67, 75, 74, 72, 79, 73, 71, 83, 85, 77, 81, 87, 82, 84, 86, 88]]
47: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 9, 7, 13, 12, 8, 26, 10, 11, 25, 14, 29, 20], [21, 15, 17, 16, 19, 18, 28, 30, 60, 27, 31, 59, 35, 45, 32, 34, 52, 37, 39, 53, 41, 42, 38], [47, 33, 44, 62, 43, 40, 46, 50, 55, 57, 54, 56, 58, 48, 49, 61, 51, 65, 64, 70, 66, 69], [75, 72, 63, 71, 67, 68, 76, 73, 87, 77, 78, 79, 80, 74, 81, 82, 86, 84, 83, 85, 88]]
48: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 13, 7, 8, 10, 11, 15, 9, 12, 46, 14, 25, 16, 17], [18, 29, 19, 20, 28, 21, 31, 30, 59, 33, 26, 52, 51, 27, 35, 49, 32, 37, 38, 41, 44, 42, 39], [34, 40, 43, 45, 47, 56, 48, 54, 50, 53, 55, 61, 57, 58, 60, 62, 63, 64, 73, 72, 66], [71, 76, 65, 67, 78, 68, 69, 70, 79, 74, 77, 87, 83, 81, 75, 84, 80, 88, 85, 86, 82]]
49: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 7, 11, 28, 8, 16, 9, 19, 12, 14, 15, 13, 18], [57, 17, 20, 21, 84, 25, 26, 29, 27, 53, 10, 46, 63, 30, 43, 54, 59, 34, 32, 39, 40, 41, 31], [47, 35, 37, 38, 33, 42, 48, 44, 51, 45, 52, 49, 50, 60, 55, 56, 61, 58, 67, 64, 82, 62], [66, 69, 68, 70, 65, 72, 73, 78, 74, 76, 75, 77, 83, 71, 81, 79, 80, 85, 87, 86, 88]]
50: [[36, 6, 22, 23, 24, 3, 1, 2, 7, 4, 5, 12, 9, 13, 8, 26, 10, 11, 56, 15, 29, 16, 14], [17, 21, 18, 20, 19, 25, 28, 27, 47, 61, 34, 45, 30, 33, 35, 31, 44, 58, 32, 37], [39, 40, 41, 48, 38, 59, 50, 53, 62, 42, 54, 43, 46, 49, 51, 52, 55, 60, 57, 63, 65, 68, 70, 64], [69, 67, 71, 72, 66, 78, 75, 73, 77, 74, 76, 79, 84, 81, 82, 86, 83, 80, 85, 87, 88]]
