0: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3], [47, 7, 35, 2], [17, 43, 56, 55, 1, 13, 14, 11, 8, 50, 6, 21], [15, 4, 10], [16, 26, 5, 18], [22, 28, 31], [25, 33], [32, 20, 19], [45], [37, 39, 29, 46], [34, 42], [41, 54], [44, 38, 53], [48, 51, 58], [59, 49, 57, 60]]
25: [[27, 9], [52, 40, 23], [24, 44, 36], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13], [14, 8, 50], [11, 6, 21], [15, 4, 10], [16, 26, 18], [5, 22, 28], [31, 25], [33, 32, 20], [19, 45, 37], [39, 29, 46], [34, 42], [41, 54, 12], [38, 53, 48], [51, 58, 59], [49, 57, 60]]
26: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [26, 17], [33, 56, 1], [13, 21], [14, 8, 50], [6, 11, 15], [4, 10, 16], [5, 18], [43, 22, 28], [31, 25, 55], [32, 20, 19], [45, 37, 39], [29, 46], [42, 58], [41, 54, 34, 38, 44, 48, 51, 53, 59, 49, 57, 60]]
27: [[27, 9], [52, 40, 23], [24, 44, 36], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13], [14, 8, 50], [11, 6, 21], [15, 4, 10], [16, 26, 18], [5, 22, 28], [31, 25], [33, 32, 20], [19, 45, 37], [39, 29, 46], [34, 42], [41, 54, 12], [38, 53, 48], [51, 58, 59], [49, 57, 60]]
28: [[27, 9], [52, 40], [23, 24, 12], [36, 30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13], [14, 11], [8, 50], [6, 21], [15, 4, 10], [18, 16], [26, 5, 22], [28, 31, 25], [33, 32], [20, 19, 45], [37, 39, 29], [46, 34], [42, 41, 54], [44, 38], [51, 48, 53], [58, 59], [49, 57, 60]]
29: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13], [26, 21], [8, 50], [11, 15, 4], [6, 10, 16], [5, 14, 18], [22, 28, 31], [25, 33, 32], [20, 19, 45], [37, 39], [46, 58, 42], [29, 54, 53], [44, 38, 34], [48, 51], [41, 59], [49, 57, 60]]
30: [[27, 9], [52, 40, 23], [24, 12, 36], [30, 3, 47], [7, 35, 2], [17, 43], [56, 55, 1], [13, 14, 11], [8, 50, 6], [21, 15, 4], [10, 16, 26], [18, 5], [22, 28, 31], [25, 33, 32], [20, 19, 45], [37, 39, 29], [46, 42, 58], [54, 34, 44], [38, 53, 48], [51, 41, 59], [49, 57, 60]]
31: [[27, 9], [52, 40, 23, 24], [36, 12, 30], [3, 47, 7], [35, 2, 26], [17, 33, 56], [1, 13, 21], [14, 8, 50], [6, 11, 15], [4, 10, 16], [5, 18, 43], [22, 28, 31], [25, 55, 32], [20, 19, 45], [37, 39, 46, 29, 42, 34, 41, 54, 44, 38, 53, 48, 51, 58, 59], [49, 57, 60]]
32: [[27, 9], [52, 40, 23], [24, 12, 36], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13, 14, 8], [50, 11, 6, 21, 15, 4, 10, 16, 26, 18, 5], [22, 28, 31, 25, 33, 32, 20, 19], [45, 37, 39], [29, 46, 34], [42, 41, 54], [53, 38, 44], [48, 51, 58, 59, 49, 57, 60]]
33: [[27, 9, 52], [40, 23, 24], [12, 36, 30], [3, 47, 7], [35, 2, 17], [43, 56, 55], [1, 13, 21], [26, 8, 50], [11, 15, 6], [4, 10, 16], [5, 18, 14], [22, 28], [31, 25, 33], [32, 20, 19], [45, 37, 39], [29, 46], [42, 53], [54, 58, 44], [38, 34, 48], [51, 41, 59], [49, 57, 60]]
34: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13], [26, 21, 8], [50, 11, 15], [4, 6, 10], [16, 5, 14], [18, 22, 28], [31, 25, 33, 32], [20, 19, 45, 37, 39, 46, 58, 42, 29], [54, 53, 44, 38, 34, 48, 51, 41, 59], [49, 57, 60]]
35: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [26, 17, 33], [56, 1, 13, 21, 14], [8, 50, 6, 11, 15, 4, 10, 16, 5, 18, 43], [22, 28, 31, 25, 55, 32, 20, 19], [45, 37, 39, 29, 46, 42, 58, 41, 54, 34, 38, 44, 48, 51, 53, 59, 49, 57, 60]]
36: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [25, 43, 56], [55, 1], [13, 21, 26], [8, 50, 6], [11, 15, 4, 10], [16, 14, 5, 18], [22, 28, 31], [17, 33, 32], [20, 19], [45, 37, 39], [29, 46], [42, 53], [54, 58, 44], [38, 34, 48, 51, 41, 59, 49, 57, 60]]
37: [[27, 9], [52, 40, 23], [24, 12, 36], [30, 3, 47], [7, 35], [2, 17, 43], [56, 55], [1, 13, 14], [8, 50, 11], [6, 21, 15], [4, 10, 16], [26, 18], [5, 22, 28], [31, 25], [33, 32, 20], [19, 45], [37, 39], [29, 46, 34], [42, 41], [54, 58, 38, 44], [48, 51, 53], [59, 49, 57], [60]]
38: [[27, 9], [52, 40, 23], [24, 12, 36], [30, 3], [47, 7, 35], [2, 17, 43], [56, 55], [1, 13, 14], [8, 50, 11], [6, 21, 15], [4, 10, 16], [26, 18], [5, 22, 28], [31, 25, 33], [32, 20, 19], [45], [37, 39, 29, 46, 34], [42, 41, 54, 58, 38, 44], [48, 51, 53, 59, 49, 57, 60]]
39: [[27, 9], [52, 40, 23], [24, 12, 36], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13], [21, 26, 8], [50, 6, 11], [14, 10, 4], [22, 15, 5], [16, 18, 28], [31, 25, 33], [32, 20, 19], [45, 37], [39, 29, 46], [42, 53, 54], [58, 44, 38, 34], [48, 51, 41], [59, 49, 57], [60]]
40: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13], [14, 11, 8], [50, 6, 21], [15, 4, 10], [16, 26, 18], [5, 22, 28], [31, 25], [33, 32, 20], [19, 45, 37], [39, 29], [46, 34, 42, 41, 54], [44, 38, 51, 48, 53, 58, 59, 49, 57, 60]]
41: [[27, 9], [52, 40, 23], [24, 12, 36], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13], [14, 11, 8, 50, 6, 21, 15], [4, 10, 16, 26, 18, 5, 22, 28], [31, 25, 33, 32, 20], [19, 45, 37, 39], [29, 46, 34], [42, 41, 54, 44, 38, 53, 48, 51, 58, 59, 49, 57, 60]]
42: [[27, 9], [52, 40, 23], [24, 12, 36], [30, 3, 47], [7, 35, 2], [25, 43], [56], [55, 1, 13, 21, 26, 8, 50, 6, 11], [15, 4, 10, 16, 14, 5, 18, 22, 28, 31, 17, 33, 32, 20, 19, 45, 37, 39, 29, 46, 34, 41, 42, 54, 53, 38, 44, 48, 51, 58, 59, 49, 57, 60]]
43: [[27, 9], [52, 40], [23, 24], [36, 12], [30, 3], [47, 7], [35, 2, 26], [43, 56, 55], [1, 13, 17], [21, 8, 50], [11, 15], [4, 6, 10], [16, 5, 18], [29, 22, 28], [31, 25, 14], [32, 20, 19], [45, 37, 39], [33, 46, 34], [42, 54], [53, 44], [38, 58, 48], [51, 41, 59], [49, 57, 60]]
44: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35], [2, 17, 43], [56, 55], [1, 13, 14], [11, 8, 50], [6, 21, 15], [4, 10], [16, 26], [5], [18, 22], [28, 31, 25, 33], [32, 20, 19], [45, 37, 39], [29, 46, 34], [42, 41, 54, 44], [38, 51, 48], [53, 58, 59], [49, 57], [60]]
45: [[27, 9], [52, 40, 23], [24, 12, 44], [30, 3], [47, 7, 35], [2, 17, 43], [56, 55], [1, 13], [14, 11, 8], [50, 6, 21], [26, 10, 4], [22, 15, 5], [16, 18, 28, 31, 25], [33, 32, 20, 19], [45, 37, 39], [29, 46, 42], [53, 54, 58], [36, 38, 34], [48, 51], [41], [59, 49, 57, 60]]
46: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13], [14, 11, 8], [50, 6], [21, 26, 10], [4, 22, 15], [5, 16, 18], [28, 31, 25], [33, 32], [20, 19, 45], [37, 39], [29, 46, 34], [42, 41, 54], [44, 38, 53], [48, 51, 58], [59, 49, 57, 60]]
47: [[27, 9, 52], [40, 23, 24], [12, 36, 30], [3, 47, 7], [35, 2, 17], [43, 56, 55], [1, 13, 14], [11, 8], [50, 6, 21], [15, 4, 10], [16, 26, 18], [5, 22, 28, 31], [25], [33, 32], [20, 19, 45], [37, 39, 29, 46], [42, 58, 41], [54, 34, 38], [44, 48, 51, 53], [59, 49, 57], [60]]
48: [[27, 9, 52], [40, 23, 24], [12, 36, 30], [3, 47, 7], [35, 2, 17], [43, 56], [55, 1, 13], [14, 8, 50], [11, 6, 21, 15], [4, 10, 16], [26, 18, 29], [22, 28], [31], [25, 33, 32], [20, 19, 45], [37, 39], [5, 46, 34], [42, 41, 54], [44, 38, 53], [48, 51, 58], [59, 49, 57], [60]]
49: [[27, 9], [52, 40, 23], [24, 12, 36], [30, 3, 47], [7, 35, 2], [17, 43], [56, 55, 1], [13, 14, 8, 50], [11, 6, 21, 15], [4, 10, 16, 26, 18], [5, 22, 28, 31, 25, 33, 32, 20, 19], [45, 37, 39, 29, 46, 34, 42, 41, 54, 53, 38, 44, 48, 51, 58, 59, 49, 57, 60]]
50: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43], [56, 55, 1], [13, 14], [11, 8, 50], [6, 21, 15], [4, 10, 16], [26, 5], [18], [22, 28, 31], [25, 33], [32, 20, 19], [45, 37, 39], [29, 46], [34, 42], [41, 54], [44, 38, 53], [48, 51, 58], [59, 49], [57, 60]]
51: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3], [47, 7], [35, 2, 17], [43, 56, 55], [1, 13, 14], [11, 8, 50], [6, 21, 15, 4], [10, 16, 26, 5], [18, 22, 28, 31, 25, 33, 32, 20, 19, 45, 37, 39, 29, 46, 34, 42, 41, 54, 44, 38, 51, 48, 53], [58, 59, 49, 57, 60]]
52: [[27, 9], [52, 40], [23, 24], [36, 12, 30], [3, 47, 7], [35, 2, 17], [43, 56, 55], [1, 13, 14], [11, 8, 50], [6, 21, 15], [4, 10, 16], [26, 18, 5, 22], [28, 31, 25], [33, 32, 20], [19, 45, 37], [39, 53, 46], [42, 41, 29], [54, 34, 38], [44, 48, 51], [58, 59], [49, 57, 60]]
53: [[27, 9], [52, 40, 23], [24, 36, 12, 30], [3, 47, 7], [35, 2, 25], [43, 56, 55], [1, 13], [21, 26, 8], [50, 6, 11], [15, 4, 10, 16], [14, 5, 18], [22, 28, 31], [17, 33, 32], [20, 19, 45, 37], [39, 29, 46], [42, 53, 54], [58, 44, 38], [34, 48, 51, 41, 59], [49, 57, 60]]
54: [[27, 9, 52], [40, 23, 24], [12, 36], [30, 3], [47, 7, 35], [2, 26, 17], [33, 56, 1], [13, 21, 14], [11, 8, 53], [15, 6, 10, 4], [16, 5], [18], [29, 22, 28], [31, 25, 43, 32], [20, 19, 45], [37, 39, 50], [46, 34, 42], [41, 54, 44], [38, 51, 48], [55, 58, 59], [49, 57, 60]]
55: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56, 55, 1, 13, 21], [26, 8, 50, 11, 15, 4, 6, 10, 16, 14, 5, 18, 22, 28, 31, 25, 33, 32, 20, 19, 45, 37, 39, 46, 58, 42, 29, 54, 53, 44, 38, 34, 48, 51, 41, 59, 49, 57, 60]]
56: [[27, 9, 52], [40, 23], [24], [12, 36, 30], [3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13], [21, 26, 8], [50, 11], [15, 6, 4, 10], [22, 14], [5, 16, 18, 28], [31, 25, 33, 32], [20, 19, 45], [37, 39, 46], [58, 42, 29], [54, 53, 44, 38, 34, 48, 51], [41, 59, 49, 57, 60]]
57: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13, 14], [11, 8, 50, 6, 21, 15, 4, 10, 16], [26, 5, 18, 22, 28, 31, 25, 33, 32], [20, 19, 45, 37, 39, 46, 29, 42, 34, 41, 54, 44, 38, 53, 48, 51, 58, 59, 49, 57, 60]]
58: [[27, 9], [52], [40, 23], [24, 36], [12, 30], [3, 47], [7, 35], [2, 26, 43], [56, 55, 1], [13, 17, 21], [8, 50, 11], [15, 4, 6], [10, 16, 5], [18, 29], [22, 28, 31], [25, 14, 32], [20, 19], [45, 37, 39], [33, 46, 34], [42, 41, 54], [53, 38, 44, 48], [51, 58, 59], [49, 57], [60]]
59: [[27, 9], [52, 40], [23, 24], [36, 12, 30], [3, 47, 7], [35, 2, 26], [17, 33, 56], [1], [13, 21], [14, 8, 50], [6, 11, 15], [4, 10, 16], [5, 18, 43], [22, 28, 31], [25, 55, 32, 20, 19], [45, 37, 39, 29, 46, 42, 58, 41, 54, 34], [38, 44, 48, 51, 53, 59, 49, 57, 60]]
60: [[27, 9], [52, 40, 23], [24, 12, 36], [30, 3, 47], [7, 35, 2], [17, 43, 56, 55, 1, 13, 14, 11], [8, 50, 6, 21], [15, 4], [10, 16, 26], [18, 5, 22], [28, 31, 25], [33, 32, 20], [19, 45, 37], [39, 53], [46, 42, 41], [29, 54, 34, 38, 44, 48, 51, 58, 59, 49, 57, 60]]
61: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13], [14, 11, 8, 50], [6, 21, 15, 4, 10, 16, 26, 18, 5], [22, 28, 31, 25, 33, 32, 20, 19, 45, 37, 39, 53, 46, 42, 29, 41, 54, 44, 38, 34, 48, 51, 58, 59, 49, 57, 60]]
62: [[27, 9], [52, 40, 23], [24, 36], [12, 30], [3, 47, 7], [35, 2, 25], [43, 56, 55], [1, 13, 21], [26, 8], [50, 6, 11], [15], [4, 10, 16, 14], [5, 18, 22], [28, 31], [17, 33, 32, 20], [19, 45, 37], [39, 29, 46], [42, 53, 54, 58], [44, 38, 34], [48, 51, 41], [59, 49, 57], [60]]
63: [[27, 9], [52, 40], [23, 24], [36, 12, 30], [3, 47, 7], [35, 2, 17], [43, 56, 55], [1, 13, 14, 11], [8, 50, 6, 21, 15, 4, 10, 16, 26, 5, 18, 22, 28, 31, 25, 34, 32, 20, 19, 45, 37, 39, 46, 29, 42, 33, 41], [54, 44, 38, 53], [48, 51, 58], [59, 49, 57, 60]]
64: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3], [47, 7], [35, 2, 17], [43, 56, 55], [1, 13, 14], [11, 8, 50], [6, 21, 15], [4, 10, 16, 26], [5, 18, 22, 28], [31, 25, 33], [32, 20, 19, 45, 37, 39, 29, 46, 34, 42, 41, 54, 44, 38, 51, 48, 53, 58, 59, 49, 57, 60]]
65: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3], [47, 7, 35, 2], [17, 43], [56, 55], [1, 13, 14, 21], [11, 8, 50], [15, 4, 6, 10], [16, 26], [5, 18], [22], [28, 31, 25], [33, 32], [20, 19, 45, 37], [39, 46, 29], [34, 42], [41, 54], [44, 38], [53, 48, 51], [58, 59, 49], [57, 60]]
66: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47, 7], [35, 2, 17], [43, 56, 55], [1, 13, 14, 11], [8, 50, 6, 21], [15, 4, 10], [16], [26, 18, 5, 22, 28], [31, 25, 33, 32, 20, 19], [45, 37, 39, 29, 46, 42, 58, 41, 54, 34, 38, 44, 48, 51, 53, 59, 49, 57, 60]]
67: [[27], [9, 52], [40, 23], [18, 24, 12], [36, 30, 3], [47, 7, 35], [2, 17, 43], [56, 55], [1, 13, 14], [11, 21, 6], [8, 50, 26], [15, 4, 16], [5, 22, 28], [31, 25, 33], [32, 20, 19, 45], [37, 39, 29], [46, 34, 42], [41, 54, 44], [38, 51, 48, 53, 10], [58, 59, 49, 57], [60]]
68: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43], [56, 55, 1], [13, 14], [11], [8, 50, 6, 21, 15, 4, 10, 16, 26], [5, 18, 22, 28, 31, 25, 33, 32, 20, 19, 45, 37, 39, 29, 46, 34, 42, 41, 54, 44, 38, 51, 48, 53, 58, 59, 49, 57, 60]]
69: [[27, 9], [52, 40, 23], [24, 12, 36], [30, 3, 47], [7, 35, 2], [25, 43], [56, 55, 1], [13, 21, 26, 8, 50, 6, 11, 15, 4, 10, 16, 14, 5, 18, 22, 28, 31, 17, 33, 32, 20, 19, 45, 37, 39, 29, 46, 34, 41, 42, 54, 53, 38, 44, 48, 51, 58, 59, 49, 57, 60]]
70: [[27, 9], [52, 40], [23, 24], [36, 12], [30, 3], [47, 7], [35, 2, 17], [43, 56, 55], [1, 13, 14], [11, 8, 50], [6, 21, 15], [4, 10], [16, 26, 5], [18, 22], [28, 31, 25], [33, 32], [20, 19], [45, 37, 39], [29, 46], [34, 42], [41, 54, 44], [38, 53], [48, 51], [58, 59], [49, 57, 60]]
71: [[27, 9], [52, 40, 23], [24, 12, 36], [30, 3, 47], [7, 35, 2], [17, 43], [56, 55, 1, 13], [15, 26, 8, 50, 11], [21, 6, 4, 10, 16, 5, 18, 14, 22], [28, 31, 25, 33, 32, 20, 19, 45, 37, 39, 29, 46, 42, 53, 54, 58, 44, 38, 34, 48, 51, 41, 59, 49, 57, 60]]
72: [[27, 9, 52], [40, 23], [24], [12, 36, 30], [3, 47, 7], [35, 2, 17], [43, 56, 55], [1, 13], [21, 26, 8], [50, 6, 11], [15, 4, 10], [16, 14, 18], [5, 22, 28], [31, 25, 33], [32, 20, 19], [45, 37, 39], [29, 46], [34], [42, 41], [54, 44, 38, 51], [48, 53, 58], [59, 49, 57, 60]]
73: [[27, 9], [52, 40, 23], [18, 24, 44], [30, 3, 47], [7, 35, 2], [17, 43], [56, 55, 1], [13, 14], [11, 8, 6], [21, 26, 15], [4, 10, 16], [50, 12], [5, 22, 28], [31, 25, 33], [32, 20, 19], [45, 37, 39], [29, 46], [34, 42], [41, 54, 36], [38, 51, 48], [53, 58, 59, 49, 57, 60]]
