0: [[7, 4, 1, 3, 35, 14, 2], [12, 40, 5, 29, 9, 11, 10, 18], [17, 25, 8, 30, 15, 13, 16, 6, 21], [22, 23], [27, 19, 24, 31, 26, 20, 28, 47, 32], [33, 39, 34, 38, 37, 42, 41], [44, 43], [45, 36, 46, 50, 53, 51, 48], [57, 49, 52], [55, 54, 58, 56], [59, 60]]
11: [[7, 4, 1, 2, 35, 3], [5, 40, 12, 27, 30, 8, 21, 6, 14, 15, 9, 13], [11, 16, 23, 17, 18, 24, 26, 28, 29, 19, 31, 20, 22, 25, 44, 10], [33, 36, 32, 38, 39, 46, 45, 37, 34, 41, 42], [53, 47, 50, 43, 49, 58, 57, 48, 59, 51, 56, 52, 54, 55, 60]]
12: [[7, 4, 1, 2, 35, 3, 5, 11], [41, 8, 20, 13, 9], [12, 15, 30, 10], [6, 14, 18, 22, 24, 23, 16, 27], [19, 21, 17, 31, 26, 25, 29, 28], [39, 33, 38, 36, 34, 37, 46], [32, 47, 45, 42, 43, 44, 59], [40, 50, 51], [49, 48, 55, 53, 52, 57], [58, 56, 60, 54]]
13: [[7, 4, 1, 3, 35, 2, 11, 5], [8, 28, 10, 12, 22, 15, 6, 14, 30, 23, 27], [31, 9, 17, 16, 18, 19, 13, 21, 20, 24, 25, 26, 29], [60, 37, 33, 44, 34, 36, 32, 39, 38, 46, 45, 47, 40, 42, 43, 50], [55, 41, 48, 53, 51, 49, 54, 52, 58, 56, 59, 57]]
14: [[7, 4, 1, 2, 35, 11], [3, 12, 43, 5, 20, 25], [6, 30, 15, 8, 21, 14], [26, 23, 9, 10, 19, 13, 16, 17, 18, 22, 29, 24, 28, 27, 31, 39], [33, 34, 32, 36, 40, 37, 38, 42, 41, 45, 47], [46, 44, 50, 54, 49, 48, 57, 51, 52, 55, 53, 60, 58, 56, 59]]
15: [[7, 4, 1, 2, 35, 3], [9, 10, 47, 13, 5, 14, 12, 8, 6, 11], [20, 15, 16, 26, 21, 18, 23, 27, 17, 19, 25, 22, 30, 24, 29, 31, 28, 33, 32, 44, 36, 34, 37, 38, 39, 43, 42, 40, 41, 54, 45, 56], [46, 48, 49, 51, 50, 52, 55, 57, 59, 58, 53, 60]]
16: [[7, 4, 1, 3, 35, 2], [5, 40, 12, 29, 11, 8, 6, 9, 13, 15, 22, 14], [31, 20, 23, 16, 18, 21, 19, 24, 26, 27, 17, 25, 28, 30, 47, 10], [32, 37, 38], [42, 34, 41, 45, 36, 39], [33, 43, 54, 44, 51, 46], [50, 48, 52, 49, 56, 53, 57, 58, 55, 59, 60]]
17: [[7, 4, 1, 2, 35, 5], [10, 12, 6, 15, 24, 8, 3, 31, 11, 17], [9, 13, 22, 14, 21, 16, 19, 20, 18], [23, 28, 29, 27, 25, 26, 30, 45, 33, 32, 36, 38, 34, 41, 39, 44, 40, 37, 42], [47, 46, 53, 48, 43, 50, 49, 51, 55, 58, 57, 56, 52, 59], [54, 60]]
18: [[7, 4, 1, 3, 35, 2], [8, 6, 9, 17, 10, 5, 12, 28, 11], [30, 26, 14, 15, 16, 21, 13, 18, 19, 20, 23, 22, 31, 25, 24, 29, 27], [44, 47, 34, 37, 32, 38, 36, 40, 45, 33, 39, 46, 42, 52, 41, 43], [48, 54, 49, 55, 51, 53, 50, 58, 56, 57, 59, 60]]
19: [[7, 4, 1, 3, 35, 2], [5, 40, 12, 29, 11, 8, 26, 9, 14, 13, 21, 6], [31, 16, 19, 15, 23, 22, 17, 24, 20, 25, 18, 27, 28, 30, 44, 10], [33, 36, 32, 38, 34, 41, 45, 37, 39, 42, 43, 53, 47, 51, 46, 49, 48, 52, 50], [57, 54, 55, 59, 58, 56, 60]]
20: [[7, 4, 1, 2, 35, 3], [5, 6, 47, 13, 21, 12], [9, 8], [17, 27, 30, 11, 10, 16, 19, 14, 15, 22, 20, 23, 26], [25, 24, 18, 29, 28, 31, 34, 33, 36, 32, 38, 37, 39, 44, 41, 42, 43, 40, 54, 45, 51, 52, 50, 48, 56, 46, 58, 49, 53, 55, 57, 59, 60]]
21: [[7, 4, 1, 2, 35, 3], [5, 9, 42, 8, 11, 14, 6, 12, 13, 10, 18, 15, 16, 26, 20, 22], [19, 23, 21, 28], [25, 24, 27, 17, 31, 30, 29, 47, 34, 44, 32, 38, 33, 36, 37, 39, 43, 46, 41, 48, 40, 45, 50, 51], [49, 57, 54, 53, 55, 59, 58, 52, 56, 60]]
22: [[7, 4, 1, 3, 35, 2], [5, 14, 42, 19, 21, 13, 6, 8, 10, 9, 11, 29], [26, 16, 12, 18, 15, 31, 20, 28, 23, 17, 22, 24, 25, 30], [27, 33, 32, 36, 37, 38, 39, 34, 40, 41, 45, 46, 43, 50, 47, 54, 52, 48, 49, 51, 53, 57, 44, 58, 56, 59, 55, 60]]
23: [[7, 4, 1, 2, 35, 5, 3, 8], [45, 9, 21, 19, 11, 6, 14], [12, 18, 17, 20, 10, 25], [15, 13, 27, 16, 22, 28, 23, 31], [24, 30], [26, 29, 46, 33, 32, 36, 34, 37, 38], [40, 39, 43, 44, 50, 41, 47, 52, 48], [42, 49, 51, 55, 56, 53, 57, 59], [58, 54, 60]]
24: [[7, 4, 1, 2, 35], [3, 13, 44, 14, 5, 29, 9, 6, 27, 8, 12, 10, 21, 16, 11, 15, 19, 22, 17, 25, 18, 26, 20, 24, 23, 28], [30, 31, 34, 36, 32, 42, 37, 38, 39], [41, 40, 43, 45, 47, 50, 46, 54], [52, 48, 57], [33, 51, 53, 55, 49, 56, 58, 60, 59]]
25: [[7, 4, 1, 2, 35, 6, 3], [11, 41, 8, 5, 22, 10, 12, 9, 17, 18, 13, 16, 14, 20, 15, 23], [29, 25, 28, 19, 30, 24, 21, 27, 31, 26, 47, 33, 36, 32, 37, 42, 39, 43, 38, 40, 44, 45, 46], [49, 34, 52, 48, 54, 56, 50, 51, 55, 59, 57, 58, 53, 60]]
26: [[7, 4, 1, 2, 35, 9], [3, 11, 42, 6, 20, 24, 5, 30, 14, 8, 26, 12, 10, 15, 17, 13, 25, 19], [22, 28, 18, 27], [29, 23, 16], [21, 31, 38, 33, 45], [32, 34, 39, 37, 36], [40, 43, 41, 47, 44, 46, 55, 48], [53, 50, 57, 51, 49, 52, 56], [58, 59, 54, 60]]
27: [[7, 4, 1, 2, 35], [3, 13, 8, 9, 27, 5, 15, 30, 12, 19, 11, 23, 20, 14, 16, 17, 18, 28, 22, 29, 24, 26, 31, 25, 44, 37, 33, 32, 34, 38, 10, 21, 6], [36, 41, 47, 39, 40, 46, 43], [42, 45, 51, 52, 54, 48, 57, 50], [49, 53, 56, 58, 55, 59, 60]]
28: [[7, 4, 1, 2, 35, 5, 3, 6], [40, 8, 24, 9, 10, 31, 12, 13, 14], [16, 30, 11, 15], [19, 27, 20, 18, 23, 17, 21, 22, 28, 26, 29], [25, 46, 33, 36, 32, 45, 37, 38, 34, 39, 47, 42, 41], [43, 48, 52, 44], [56, 49, 51, 50, 55, 54, 57, 58, 53, 59, 60]]
29: [[7, 4, 1, 2, 35, 5], [3, 15, 41, 8, 6, 30], [10, 11, 9, 13, 12, 14, 16, 21, 17, 19, 29], [20, 18, 22, 23, 25, 26, 27], [28, 24, 31, 46], [34, 45, 33, 32, 37, 36, 39, 42, 43, 40, 44, 55], [47, 50, 53, 48, 49, 51, 54, 52, 38, 57], [59, 58, 56, 60]]
30: [[7, 4, 1, 3, 35, 2, 5, 8], [40, 9, 11], [24, 10, 27, 12, 20, 14, 6], [31, 15, 19, 13, 17, 26, 21, 16, 18, 23, 22, 28, 25, 30, 29, 46, 33, 44, 34, 38, 32, 36, 43, 37, 39, 42, 59, 47, 41, 51, 50, 45, 56, 49, 52, 53, 54, 55, 57, 58, 48, 60]]
31: [[7, 4, 1, 2, 35, 5, 3], [15, 33, 6, 31, 12, 9, 11], [23, 28, 14, 16], [10, 13, 8, 19, 29, 21, 26, 18, 17, 20, 22], [24, 25, 27, 30, 46, 41, 45, 32, 36, 34, 42, 37, 40], [47, 38, 39, 53], [44, 52, 43, 48, 49, 50, 51, 56, 54, 57, 58, 59, 55, 60]]
32: [[7, 4, 1, 2, 35], [3, 13, 46, 8, 12, 30], [27, 9, 11, 5], [10, 15, 17, 6, 14, 18], [16, 19, 22, 25, 20, 21, 24, 26, 23, 28, 29, 31], [45], [34, 38, 39, 33, 32, 37, 36, 40, 41, 43, 42, 44], [47, 55], [52, 50, 57, 48, 51, 53, 54, 49, 56, 58, 60], [59]]
33: [[7, 4, 1, 2, 35], [3, 13, 46, 8, 12, 30], [27, 9, 11, 5], [10, 15, 17, 6, 14, 18], [16, 19, 22, 25, 20, 21, 24, 26, 23, 28, 29], [31], [45, 34, 38, 39, 33, 32, 37, 36, 40, 41, 43, 42], [44], [47], [55, 52], [50, 57, 48, 51, 53, 54, 49, 56, 58, 60, 59]]
34: [[7, 4, 1, 2, 35, 6, 13, 3], [45, 5, 21, 10, 8, 24, 14, 29, 12, 17, 15, 11, 18, 9, 16, 26, 19], [20, 22, 23, 28, 31, 30, 27, 25, 37, 33, 36, 34, 43, 39, 32, 41, 40, 38, 42, 50, 51, 47, 54, 44, 46, 48, 53, 49, 52, 55, 56], [59, 57, 58, 60]]
35: [[7, 4, 1, 2, 35, 3, 9], [6, 40, 8, 21, 27, 5, 15], [10, 12, 11, 13, 26, 17], [22, 18, 14, 16, 20, 19, 23, 24], [30, 25], [28, 29, 31, 41, 32, 34, 37, 33, 36, 38], [39, 44, 43, 48, 45, 55, 46, 47, 52], [49, 53, 42, 50, 58, 51, 54, 57], [56, 59, 60]]
36: [[7, 4, 1, 2, 35, 6, 13, 3], [45, 5, 21, 10, 8, 24, 14, 29, 12, 17, 15, 11, 18, 9, 16, 26, 19], [20, 22, 23, 28, 31, 30, 27, 25, 37, 33, 36, 34, 43, 39, 32, 41, 40, 38, 42, 50, 51, 47, 54, 44, 46, 48, 53, 49, 52, 55, 56], [59, 57, 58, 60]]
37: [[7, 4, 1, 2, 35, 6, 13, 3], [45, 5, 21, 10, 8, 24, 14, 29, 12, 17, 15, 11, 18, 9, 16, 26, 19], [20, 22, 23, 28, 31, 30, 27, 25, 37, 33, 36, 34, 43, 39, 32, 41, 40, 38, 42, 50, 51, 47, 54, 44, 46, 48, 53, 49, 52, 55, 56], [59, 57, 58, 60]]
38: [[7, 4, 1, 2, 35, 13, 3, 6], [45, 5, 10, 8, 24, 14, 12, 17, 15, 11, 18, 9, 16, 26, 19, 21, 29], [20, 22, 23, 28, 31, 30, 27, 25, 37, 33, 36, 34, 43, 39, 32, 41, 40, 38, 42, 50, 51, 47, 54, 44, 46, 48, 53, 49, 52, 55, 56], [59, 57, 58, 60]]
39: [[7, 4, 1, 3, 35, 2], [9, 5, 40, 12, 13, 20, 6, 11, 26], [8, 10, 14, 15, 17, 16, 23, 18, 21, 27], [19, 24, 22, 30, 25, 28, 29, 31, 47, 33, 36, 32, 37, 38, 34, 39, 45, 46, 41, 42, 43, 48, 44, 50, 51, 49, 53, 54, 52, 55, 56, 57, 58, 59, 60]]
40: [[7, 4, 1, 2, 35, 11], [3, 13, 41, 8, 29, 14, 5, 6, 9, 26, 30, 12, 28, 23, 10, 18], [15, 16, 17, 19, 22, 20, 21, 27, 24, 31, 25, 32, 33, 36], [37, 38, 39, 34, 44, 40, 43, 46, 42, 47], [45, 54, 48, 52, 49, 51, 50, 55, 59, 56, 53, 57, 58, 60]]
41: [[7, 4, 1, 2, 35, 3], [5, 6, 40, 8, 21, 14], [9, 10, 17], [28, 15, 11, 12, 18, 22, 13, 16, 19, 23, 26, 20, 25, 27, 24, 30, 29, 31, 47, 32, 36, 39, 34, 33, 38, 41, 37, 42, 43, 45, 50, 46, 44, 48, 51, 49, 52, 54, 58, 55, 53, 57, 56, 59, 60]]
42: [[7, 4, 1, 2, 35, 5, 3, 9], [41, 12, 8, 24, 22, 29, 10], [20], [6, 15, 30, 11, 18, 13, 14, 26, 19, 21, 17], [16, 23, 28, 25, 31, 27, 46, 33, 44, 34, 32, 38, 40, 39, 37, 36, 42], [58, 43, 47, 54, 52, 45, 48, 57, 51, 55, 50, 49, 53, 56, 59, 60]]
43: [[7, 4, 1, 2, 35, 3, 11, 9], [45, 15, 17, 30, 10], [8, 18, 28, 26, 5], [14, 13, 16, 12, 19, 6], [22, 21, 27, 20, 23, 24, 31, 25, 29, 46, 33, 38, 32, 34, 39, 43, 36, 37, 42, 40, 47, 60, 41, 44, 53, 48], [49, 54, 51, 58, 50, 52, 56, 59, 55, 57]]
44: [[7, 4, 1, 2, 35, 3, 11, 47, 5, 8, 6, 10, 18, 15, 9, 13, 31, 30, 12, 21, 19, 20, 25, 14, 16, 17, 22, 23, 27, 24, 26, 28, 29, 37, 34], [36, 33, 32, 38, 39, 42, 40, 41, 43, 44, 46, 45, 51, 48], [52, 49, 50, 55, 53, 54, 56, 59, 58, 57, 60]]
45: [[7, 4, 1, 2, 35, 5, 10, 12, 43], [6, 24, 9, 11, 15, 27, 17, 31, 28, 8, 13, 3, 16, 19, 20, 18, 23, 14, 22, 21, 25, 26, 30, 29, 37, 32, 44, 33, 38, 34, 39, 36, 40, 41, 45], [60, 42, 53, 46, 51, 50, 49, 57, 48, 47, 54, 52, 56, 59], [58, 55]]
46: [[7, 4, 1, 2, 35, 3, 6, 5], [45, 10, 25, 8, 9, 30], [20, 12, 27, 17, 13, 11, 23, 15, 14, 16, 22, 19, 21, 18, 28, 24, 26, 31, 29, 43, 34, 42, 33, 32, 39, 36, 38, 37, 44], [40, 50, 41, 46], [53, 48, 47, 51, 49, 56, 52, 55, 57, 54, 58, 59, 60]]
47: [[7, 4, 1, 2, 35, 3, 6], [15, 41, 8, 25, 10, 5, 30, 20, 9, 18, 16, 31, 11, 19, 13, 12, 23, 27, 21, 14, 17, 28, 22, 26, 29, 24, 42, 33, 44, 38, 32, 39, 36], [34, 45, 43, 40, 37, 47, 46, 53, 48, 49, 54, 51, 50, 55, 52, 57, 58, 59, 56], [60]]
48: [[7, 4, 1, 2, 35, 9], [3, 5, 45, 12], [28, 10, 6, 13, 27, 8, 30, 11, 19, 14, 15, 16, 18, 23, 20, 17, 26, 21, 24, 29, 31, 22, 25, 46, 33, 32, 34, 37, 39, 38, 42, 36, 41, 40, 44, 51, 43, 47, 55, 59, 48, 49, 52, 54, 56, 50, 57, 53, 60, 58]]
49: [[7, 4, 1, 2, 35, 5], [3, 41, 9, 28, 8, 24, 22, 13], [10, 6, 11, 15, 30, 12, 14, 16, 21, 20, 19], [25], [17, 18, 23, 26, 27], [31, 43, 29, 33, 32, 36], [37, 38, 34, 40, 39, 44, 46, 42, 52, 47, 54], [45, 55, 48, 53, 51, 49, 50, 57, 56, 60, 59, 58]]
50: [[7, 4, 1, 2, 35, 3, 5], [11, 45, 9, 6, 14, 10, 8, 16], [12, 18, 15, 19, 26, 31, 13, 17, 30, 20], [21, 25, 23, 24, 22], [27, 29, 28, 33, 36, 46, 34, 32, 37, 39], [43, 38, 40, 41, 44, 54, 42, 47, 48, 53, 51, 52], [50, 55, 56, 49, 57, 58, 59, 60]]
51: [[7, 4, 1, 2, 35], [9, 3, 5, 43, 6, 12], [14, 10, 30, 11, 16, 31, 13, 18, 8, 15, 17, 19, 21, 26, 20, 23, 22, 25, 24, 28, 27, 29], [39, 34, 37, 33, 32, 36, 42, 38, 40, 44, 45, 47, 54, 41, 51, 53, 50, 55, 48, 49, 52, 46, 56, 58, 57, 60, 59]]
52: [[7, 4, 1, 2, 35, 13, 5], [11, 47, 9, 22, 20, 6, 3, 8, 24, 15, 16, 10, 12, 14, 18, 19, 21, 17, 23, 27, 25, 30, 26, 29, 28, 31, 39, 34, 33], [38, 43, 32, 36, 37, 40, 41, 46, 42, 50, 44, 55, 48, 45, 58, 51, 53, 52, 54, 49, 56, 57, 59, 60]]
53: [[7, 4, 1, 3, 35, 9, 5], [6, 47, 2, 21, 12, 10, 8, 15, 31], [11, 13, 14, 16, 17, 24, 23, 22, 28, 19, 20, 18, 26, 29, 25, 27, 30, 39, 33], [38, 36, 32, 34, 42, 45, 37, 40, 43, 46, 44, 55, 41, 52], [50, 49, 58, 54, 51, 53, 57, 48, 56, 59, 60]]
54: [[7, 4, 1, 2, 35, 3, 5, 10, 44, 12, 25, 24, 8, 9, 16, 29], [19, 6, 11, 14, 15, 13, 17, 18, 21, 23, 28, 31, 22, 26, 20, 27, 30, 46, 33], [36, 32, 37, 34, 41, 38, 45], [42, 39, 43, 53, 47, 40, 50, 48, 52, 49, 51, 54, 59, 55, 57, 58, 56, 60]]
55: [[7, 4, 1, 3, 35, 5], [2, 41, 12, 29, 11, 10, 24, 14, 8, 9, 21, 6], [31, 20, 19, 15, 23, 26, 13, 16], [22, 25, 17, 27, 30, 18, 45, 28], [32, 36, 34, 39, 38, 33, 42, 37], [44, 40, 47, 52, 43, 48, 46, 49, 51, 54, 50, 57, 53, 55, 56, 59, 60, 58]]
56: [[7, 4, 1, 2, 35, 5, 3], [14, 41, 15, 29, 6, 8, 11], [9, 10, 24, 20, 17, 12, 21, 19, 13], [16, 26, 22, 18, 25, 28, 23, 27, 31], [30, 47, 34, 32, 33, 36, 40], [37, 38, 45, 42, 43, 44], [39, 46, 52, 48, 50, 55, 49], [53, 57, 54, 58, 56], [59, 51, 60]]
57: [[7, 4, 1, 2, 35, 5], [3, 6, 41, 15, 10, 21, 11, 12, 28], [31, 8, 13, 9, 17, 19, 16, 14, 20], [18, 23, 22, 25, 26, 27, 24, 29, 30], [47, 33, 44, 32, 36, 38, 37], [40, 39, 42, 34, 43, 45], [48, 46, 52, 50, 49, 51, 54], [57, 55, 58, 56, 53], [59, 60]]
58: [[7, 4, 1, 2, 35, 11, 3, 6], [40, 12, 24, 8, 10, 5, 22, 15, 26, 28], [14, 17, 9, 19, 20, 18, 27, 13, 16], [21, 25, 23], [30, 29, 31, 38, 33, 44, 32, 34], [36, 37, 43, 39, 45, 41], [46, 42, 47, 50, 55, 53, 49, 57, 52, 48, 59], [54, 56, 60, 51, 58]]
59: [[7, 4, 1, 3, 35, 6, 2, 12], [45, 9, 24, 5, 15, 10, 19, 31], [14, 28, 8, 13, 21, 16, 23], [17, 18], [20, 11, 22, 29, 25, 26, 30, 27, 37, 32, 33, 39, 38, 34], [43, 36], [41, 40, 46, 49, 44, 50, 54, 51, 42, 53, 57, 48, 47, 55, 52, 56, 59, 58, 60]]
60: [[7, 4, 1, 2, 35, 3], [5, 14, 41, 9, 29], [11, 10, 6, 8, 28, 12, 13], [15, 18, 17, 22, 27, 19], [23, 30, 24, 25, 20, 21, 16, 26], [31, 46, 33], [38, 34, 36, 37, 39], [40, 45, 42, 43, 48, 47, 44, 52, 32], [49, 50, 51, 53, 54, 57, 55, 56], [58, 59, 60]]
61: [[7, 4, 1, 2, 35, 13, 3], [12, 47, 9, 22, 23, 6, 5, 10, 24, 8, 17, 11, 14, 15, 18, 19, 21, 16, 20, 26, 25, 27, 28, 29, 31, 30, 39, 34, 36, 38, 45, 32, 33, 43, 41], [40, 37, 46, 50, 44, 55, 60, 42, 58, 48, 53, 56, 49, 52, 54, 59, 51, 57]]
62: [[7, 4, 1, 2, 35, 11], [9, 3, 40, 22, 12, 13, 14, 6, 8], [5, 10, 16, 18, 15, 20, 25, 26, 17], [19, 31, 21, 24, 23, 27, 30, 28], [29, 47, 32, 33, 41, 38, 36, 39], [34, 45, 43, 37, 42, 52, 44, 46, 51, 48], [49, 50, 56, 53, 54, 57, 58, 55, 59, 60]]
63: [[7, 4, 1, 2, 35, 3], [5, 15, 6, 12, 23, 10, 8, 29, 14, 31], [26, 11, 13, 9, 19, 16, 28, 17, 21, 20, 18, 22], [24, 25, 27], [30, 47, 38, 33, 36, 34, 32, 39], [37, 45, 43, 41, 44], [46, 42, 53, 51, 40, 48, 49, 55, 52, 56, 58], [50, 54, 57, 59, 60]]
64: [[7, 4, 1, 2, 35, 11, 3], [6, 40, 13, 17, 5, 8, 9], [10, 12, 18, 14], [21, 20, 15, 23, 19, 16, 30, 24, 26, 25, 28], [22, 31, 27, 29], [46, 33, 38], [34, 39, 37, 47, 36, 32, 42, 41, 43, 60, 44, 45, 52, 48], [49, 50, 51, 55, 53, 56, 58, 54, 59, 57]]
65: [[7, 4, 1, 2], [35, 11, 3, 5, 33, 6, 8, 28, 9, 15, 14, 10, 26, 12, 22, 13], [17, 19, 18, 16, 27, 20, 21, 24, 25, 31, 23], [29, 30, 38, 34, 44, 32, 36, 39, 37, 42, 40, 45, 41], [46, 52, 47, 54, 50, 43, 48, 53, 51, 59, 55, 60, 58, 49, 56, 57]]
66: [[7, 4, 1, 2, 35, 6, 13, 3, 40, 12, 20, 11], [9, 5, 14, 23, 31, 25, 8, 10, 18, 16, 19, 15, 17, 22, 21, 26, 24], [30, 28, 29, 27, 37, 34, 36, 33, 39, 32, 38, 42], [41], [44, 43], [45, 50, 47, 51, 52, 49, 48, 46, 55, 53, 58], [54, 56, 57, 60, 59]]
67: [[7, 4, 1, 2], [35, 11, 5], [6, 33, 3, 9, 31, 8, 12, 15, 24, 26, 10, 19, 13, 21, 16, 14, 17, 23, 22, 18, 20, 27, 25, 28, 30, 29, 39, 34, 44, 32, 37, 36, 38, 40, 43, 45, 41, 42, 52, 46, 54, 48, 47, 49, 50, 53, 57, 51, 56, 59, 55, 60, 58]]
68: [[7, 4, 1, 2, 35, 3, 11], [14, 43], [9, 30, 5, 10, 6, 8, 12, 21], [28, 18, 13, 24, 20], [15, 23, 17, 19], [22, 27, 25, 31], [16, 26, 29, 47, 33, 32, 36, 34, 37, 38, 41, 45], [40, 42], [44, 39, 46, 52, 50, 51, 48, 49, 53, 56, 54, 57, 58, 59, 55, 60]]
69: [[7, 4, 1, 3, 35, 2, 9, 46, 12, 29, 5, 8, 14, 27, 6], [13, 24, 22, 11, 15, 16, 23, 18, 10], [19, 20, 17, 21, 26, 25, 28, 31], [30, 39, 32, 36, 34, 38, 33, 37], [41, 40, 42, 44, 43, 50], [47, 51, 52, 49, 45, 48], [55, 53, 54, 57, 58, 56, 59, 60]]
70: [[7, 4, 1, 2, 35, 5, 3, 11, 45, 9, 30, 6, 12, 8, 18, 13], [10, 28, 14, 15, 23, 16, 19, 17, 20, 21, 22, 24, 25, 31, 26, 27], [29, 39, 32, 33, 37, 34, 38, 42, 36, 44, 40, 43, 53, 41], [47, 46, 50, 49, 48, 58, 51, 52, 55, 54, 56, 59, 57, 60]]
71: [[7, 4, 1, 2, 35, 11, 8, 9, 41, 5], [29, 6, 10, 14, 12, 13, 22, 16, 30, 15, 31, 17, 3, 23, 24, 18], [20, 27, 25, 19, 21, 26, 28, 47, 34, 32, 33, 38, 37, 39, 36, 45, 42, 40, 43, 44, 46, 48, 58, 51, 55, 50, 49, 56, 54, 52, 53, 57, 59, 60]]
72: [[7, 4, 1, 2, 35, 3, 13, 40, 8, 5, 9, 11, 12, 14, 27, 30, 17, 15, 19, 20, 29, 23, 16], [22, 18, 24, 28, 26, 25, 31, 39, 10, 21, 6], [32, 33, 37], [38, 36, 42, 41, 34, 43, 45, 53, 50, 46, 52, 48, 47, 49, 58, 51, 54, 44, 55, 57, 56, 59, 60]]
73: [[7, 4, 1, 3, 35, 5], [2, 14, 6, 8, 23, 9], [10, 28, 12, 27, 11, 13, 15, 17, 21, 19, 25, 18], [22, 16, 29, 26, 20, 24, 30, 31, 44, 34, 37, 36, 38, 32], [43, 40, 45, 33, 39, 42, 47, 46, 52, 49, 41, 48, 53, 50, 51, 56, 57, 58, 54, 59, 55, 60]]
