0: [[11, 7, 35, 27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6], [9, 8], [10, 29, 14], [13, 15, 19, 21], [17, 16, 23], [18, 24], [25, 26, 28], [30, 31, 32, 33], [37, 34]]
27: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20], [5, 36, 6], [9, 8, 10], [29, 14, 13], [15, 19, 21], [17, 16, 23], [18, 24, 25], [26, 28, 30], [31, 32], [33, 37, 34]]
28: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20], [5, 36, 6], [9, 8, 10], [29, 14, 13], [15, 19, 21], [17, 16, 23], [18, 24, 25], [26, 28, 30], [31, 32, 33], [37, 34]]
29: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6], [9, 8, 10], [29, 14, 13], [15, 19, 21], [17, 16, 23, 18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
30: [[11, 7, 35, 27, 2, 1], [3, 4, 22, 12, 20, 5, 36, 6, 9, 8, 10, 29, 14, 13, 15, 19], [21, 17, 16, 23, 18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
31: [[11, 7, 35], [27, 2], [1, 3, 4], [22, 12, 20], [5, 36, 6], [9, 8], [10, 29, 14], [13, 15, 19], [21, 17, 16], [23, 18], [24, 25, 26], [28, 30, 31, 32], [33, 37, 34]]
32: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20], [5, 36, 6, 9, 8, 10, 29], [14, 13, 15, 19, 21, 17, 16, 23, 18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
33: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6, 9], [8, 10, 29], [14, 13, 15], [19, 21, 17], [16, 23], [18, 24, 25, 26], [28, 30, 31, 32, 33, 37, 34]]
34: [[11, 7, 35, 27, 2, 1, 3, 4, 22, 12, 20, 5, 36, 6], [9, 8, 10, 29, 14, 13, 15, 19, 21, 17, 16, 23], [18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
35: [[11, 7, 35, 27], [2, 1, 3, 4, 22, 12], [20, 5, 36, 6, 9, 8, 10, 29, 14, 13, 15, 19, 21, 17, 16, 23], [18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
36: [[11, 7, 35], [27, 2, 1, 3, 4, 22], [12, 20, 5], [36], [6, 9, 8, 10, 29, 14, 13, 15, 19, 21, 17, 16, 23, 18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
37: [[11, 7], [35, 27, 2, 1], [3, 4], [22, 12, 20], [5, 36, 6], [9, 8, 10], [29, 14, 13], [15, 19, 21], [17, 16], [23, 18, 24], [25, 26], [28, 30, 31, 32], [33, 37, 34]]
38: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20, 5, 36, 6, 9, 8, 10, 29, 14, 13, 15, 19, 21, 17, 16, 23], [18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
39: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6, 9], [8, 10, 29], [14, 13, 15], [19, 21, 17], [16, 23], [18, 24, 25], [26, 28, 30], [31, 32, 33, 37, 34]]
40: [[11, 7, 35, 27, 2, 1], [3, 4, 22, 12, 20, 5, 36, 6, 9, 8, 10, 29, 14, 13, 15, 19], [21, 17, 16], [23, 18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
41: [[11, 7, 35, 27, 2, 1, 3, 4, 22], [12, 20, 5, 36, 6, 9, 8, 10, 29, 14, 13], [15, 19, 21, 17, 16, 23, 18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
42: [[11, 7, 35], [27, 2], [1, 3, 4], [22, 12, 20], [5, 36, 6], [9, 8, 10], [29, 14, 13], [15, 19], [21, 17, 16, 23], [18, 24, 25], [26, 28, 30, 31, 32, 33, 37, 34]]
43: [[11, 7], [35, 27, 2], [1, 3, 4], [22, 12, 20], [5, 36, 6], [9, 8, 10], [29, 14, 13], [15, 19, 21], [17, 16, 23, 18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
44: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6, 9], [8, 10, 29], [14, 13, 15], [19, 21, 17, 16, 23, 18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
45: [[11, 7, 35, 27, 2], [1, 3], [4, 22, 12], [20, 5, 36], [6, 9, 8], [10, 29, 14], [13, 15, 19, 21, 17, 16, 23, 18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
46: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6, 9], [8, 10, 29], [14, 13, 15], [19, 21, 17], [16, 23, 18, 24], [25, 26], [28, 30, 31], [32, 33], [37, 34]]
47: [[11, 7], [35, 27, 2], [1, 3, 4], [22, 12, 20], [5, 36, 6], [9, 8, 10, 29, 14, 13, 15, 19, 21, 17, 16, 23, 18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
48: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6, 9], [8, 10, 29], [14, 13, 15], [19, 21, 17], [16, 23], [18, 24, 25], [26, 28, 30], [31, 32, 33], [37, 34]]
49: [[11, 7, 35], [27, 2, 1, 3], [4, 22, 12], [20, 5], [36, 6, 9], [8, 10, 29, 14], [13, 15], [19, 21, 17, 16, 23, 18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
50: [[11, 7], [35, 27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6, 9], [8, 10, 29], [14, 13, 15], [19, 21, 17], [16, 23, 18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
51: [[11, 7, 35], [27, 2, 1, 3, 4, 22, 12, 20, 5, 36, 6, 9, 8, 10], [29, 14, 13, 15, 19, 21, 17, 16, 23, 18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
52: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6, 9], [8, 10, 29], [14, 13, 15], [19, 21], [17, 16, 23], [18, 24, 25], [26, 28, 30], [31, 32, 33], [37, 34]]
53: [[11, 7], [35, 27, 2], [1, 3], [4, 22, 12], [20, 5, 36], [6, 9, 8], [10, 29, 14], [13, 15, 19, 21, 17, 16, 23, 18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
54: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6, 9], [8, 10, 29], [14, 13, 15], [19, 21, 17], [16, 23, 18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
55: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20, 5, 36, 6, 9, 8, 10, 29, 14, 13, 15, 19, 21, 17, 16, 23, 18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
56: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20, 5, 36, 6, 9, 8, 10, 29, 14, 13, 15, 19, 21, 17, 16, 23, 18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
57: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20, 5, 36, 6, 9, 8, 10, 29, 14, 13, 15, 19, 21, 17, 16, 23, 18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
58: [[11, 7], [35, 27, 2], [1, 3, 4], [22, 12, 20], [5, 36, 6], [9, 8, 10], [29, 14], [13, 15, 19], [21, 17, 16], [23, 18, 24], [25, 26, 28, 30, 31, 32, 33, 37, 34]]
59: [[11, 7, 35], [27, 2], [1, 3, 4, 22], [12, 20, 5], [36, 6, 9], [8, 10], [29, 14, 13], [15, 19, 21], [17, 16, 23], [18, 24, 25], [26, 28, 30], [31, 32], [33, 37, 34]]
60: [[11, 7, 35], [27, 2], [1, 3, 4], [22, 12, 20], [5, 36, 6, 9, 8, 10, 29, 14, 13, 15, 19, 21, 17, 16, 23, 18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
61: [[11, 7, 35, 27], [2, 1, 3], [4, 22, 12], [20, 5, 36], [6, 9], [8, 10, 29, 14], [13, 15], [19, 21, 17, 16, 23, 18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
62: [[11, 7, 35, 27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6, 9], [8, 10], [29, 14, 13], [15, 19, 21, 17, 16, 23], [18, 24, 25], [26, 28, 30], [31, 32, 33], [37, 34]]
63: [[11, 7], [35, 27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6, 9], [8, 10], [29, 14, 13], [15, 19, 21], [17, 16], [23, 18, 24], [25, 26, 28, 30], [31, 32], [33, 37, 34]]
64: [[11, 7], [35, 27, 2], [1, 3, 4], [22, 12, 20], [5, 36, 6], [9, 8, 10], [29, 14, 13], [15, 19], [21, 17, 16, 23], [18, 24, 25, 26, 28, 30, 31], [32, 33, 37, 34]]
65: [[11, 7], [35, 27, 2], [1, 3, 4], [22, 12, 20], [5, 36, 6], [9, 8, 10], [29, 14, 13], [15, 19, 21, 17, 16, 23, 18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
66: [[11, 7], [35, 27, 2], [1, 3, 4], [22, 12, 20], [5, 36], [6, 9], [8, 10, 29], [14, 13, 15, 19], [21, 17], [16, 23, 18, 24], [25, 26, 28, 30, 31], [32, 33, 37, 34]]
67: [[11, 7], [35, 27, 2], [1, 3, 4], [22, 12, 20], [5, 36, 6], [9, 8, 10], [29, 14, 13], [15, 19, 21], [17, 16], [23, 18], [24, 25, 26], [28, 30, 31], [32, 33, 37, 34]]
68: [[11, 7, 35, 27], [2, 1, 3], [4, 22, 12, 20], [5, 36, 6, 9], [8, 10], [29, 14, 13], [15, 19, 21, 17], [16, 23], [18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
69: [[11, 7, 35], [27, 2, 1], [3, 4], [22, 12, 20], [5, 36], [6, 9, 8], [10, 29, 14, 13, 15, 19, 21, 17, 16, 23, 18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
70: [[11, 7, 35], [27, 2, 1, 3], [4, 22, 12], [20, 5, 36], [6, 9, 8], [10, 29, 14], [13, 15, 19], [21, 17, 16], [23, 18], [24, 25, 26], [28, 30, 31], [32, 33, 37, 34]]
71: [[11, 7, 35], [27, 2, 1], [3, 4], [22, 12, 20, 5, 36, 6, 9, 8, 10, 29, 14, 13, 15, 19, 21, 17, 16, 23, 18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
72: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6, 9], [8, 10, 29], [14, 13, 15], [19, 21, 17], [16, 23, 18], [24, 25], [26, 28, 30], [31, 32, 33], [37, 34]]
73: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6, 9], [8, 10, 29], [14, 13, 15], [19, 21, 17], [16, 23, 18], [24, 25], [26, 28, 30], [31, 32, 33], [37, 34]]
