0: [[6, 5, 3], [1, 2], [10, 4, 14], [7, 11], [8, 13, 9], [12, 15, 19, 17, 16, 20, 18, 22], [23, 21, 24]]
33: [[1], [2, 10, 4], [14, 7, 11], [8, 13, 9, 6, 5], [12, 15, 19], [17, 16, 3], [20, 18], [22, 23], [21, 24]]
34: [[2, 10, 3], [4, 14, 1], [7, 11], [8, 13], [9, 12, 6, 5], [15, 19, 17, 16], [20, 18], [22, 23], [21, 24]]
35: [[1], [2, 10, 4, 3], [14, 7], [11, 8], [13, 9, 12, 6, 5], [15, 19, 17, 16, 20, 18], [22, 23], [21, 24]]
36: [[1], [2, 10], [4, 14], [7, 11], [8, 13, 9, 6, 5], [12, 15, 19], [17, 16, 20, 3], [18, 22, 23, 21], [24]]
37: [[1, 2, 10], [4, 14, 3], [7, 11, 8], [13, 9, 6], [12, 15, 19, 17, 5], [16, 20, 18, 22, 23, 21, 24]]
38: [[1], [2, 10, 3], [4, 14], [7, 11], [8, 13, 9, 12, 6, 5], [15, 19, 17, 16, 20, 18, 22, 23, 21, 24]]
39: [[1, 2, 10], [4, 14, 7], [11, 8, 13], [9, 12, 15, 6, 5], [19, 17, 16, 3], [20, 18, 22, 23, 21, 24]]
40: [[1], [2, 10], [4, 14, 7, 11, 6], [8, 13, 9, 12, 5], [15, 19], [17, 16, 3], [20, 18], [22, 23], [21, 24]]
41: [[1, 2], [10, 4, 3], [14, 7], [11, 8], [13, 9, 6, 5], [12, 15, 19], [17, 16, 20, 18, 22, 23, 21, 24]]
42: [[1], [2, 10, 4, 14, 3], [7, 11, 8], [13, 9, 12, 15, 6, 5], [19, 17, 16, 20, 18, 22, 23, 21, 24]]
43: [[3, 1, 2, 6], [10, 4, 14], [7, 11, 8, 13, 9, 12, 5], [15, 19, 17, 16, 20, 18, 22, 23, 21, 24]]
44: [[6, 5, 3], [1, 2, 10], [4, 14, 7, 11], [8, 13], [9, 12, 15, 19, 17, 16, 20, 18, 22, 23, 21, 24]]
45: [[6, 5, 3, 1, 2, 10], [4, 14, 7, 11], [8, 13, 9, 12, 15, 19, 17, 16, 20, 18, 22, 23, 21, 24]]
46: [[3, 1, 2], [10, 4, 14, 7, 11, 8, 13, 9, 6, 5], [12, 15, 19], [17, 16, 20, 18, 22, 23, 21, 24]]
47: [[6, 5, 3], [1, 2, 10], [4, 14, 7], [11, 8, 13, 9, 12, 15, 19, 17, 16, 20, 18, 22, 23, 21, 24]]
48: [[5, 6], [1, 3], [2, 10, 4, 14], [7, 11, 8, 13, 9, 12, 15, 19, 17, 16, 20, 18, 22, 23, 21, 24]]
49: [[6, 5], [3, 1, 2, 10, 4, 14, 7, 11, 8, 13, 9, 12, 15, 19, 17, 16, 20, 18, 22, 23, 21], [24]]
