0: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 12, 28, 24]]
23: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 24, 12, 28]]
24: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 28, 12, 24]]
25: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 24, 28, 12]]
26: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 28, 12, 24]]
27: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 28, 12, 24]]
28: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 28, 12, 24]]
29: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 28, 12, 24]]
30: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 28, 24, 10, 12]]
31: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 24, 12, 28]]
32: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 28, 24, 10, 12]]
33: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 28, 24, 12, 10]]
34: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 28, 12, 24]]
35: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 28, 12, 24]]
36: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 24, 12, 28]]
37: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 24, 28, 10, 12]]
38: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 28, 12, 24]]
39: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 28, 12, 24]]
40: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 12, 10, 28, 24]]
41: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 24, 10, 12, 28]]
42: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 28, 12, 24]]
43: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 28, 12, 24]]
44: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 28, 10, 12, 24]]
45: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 12, 28, 10, 24]]
46: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 28, 24, 12, 10]]
47: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 24, 28, 12, 10]]
48: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 24, 12, 28]]
49: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 28, 12, 24]]
50: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 28, 12, 24]]
51: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 12, 28, 24]]
52: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 12, 28, 24]]
53: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 12, 28, 24]]
54: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 12, 28, 24]]
55: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 12, 28, 24]]
56: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 12, 28, 24]]
57: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 12, 28, 24]]
58: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 12, 28, 24]]
59: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 28, 24, 10, 12]]
