0: [[18], [5, 1, 13, 23], [2, 12, 22], [4, 20, 15, 3, 14], [7, 31], [28], [26, 59, 8], [17, 50], [16, 6, 9, 10], [21, 24, 34, 39], [29, 25, 55, 11], [19, 27, 58, 30, 32], [33, 35], [46, 36], [42, 44, 40], [47, 45, 54, 37], [38, 49], [56, 41], [48, 51], [52, 62, 43], [53, 63, 60, 57], [70, 74], [64, 66, 67, 78], [69, 61, 72], [65, 68], [73, 76], [75, 71, 77], [79, 82, 81], [80, 83], [87, 84, 86], [85, 88]]
11: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 40, 32, 39, 45, 38, 37, 53, 42, 44, 43, 47, 46, 56, 52, 58, 62, 49, 55, 48, 50, 51, 54, 60, 61, 57, 63, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
12: [[22, 5, 36, 1, 2, 6, 16, 12, 13, 28, 29, 24, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 52, 32, 39, 37, 44, 38, 42, 40, 47, 43, 60, 46, 45, 55, 48, 50, 49, 51, 54, 58, 57, 56, 61, 62, 63, 53, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
13: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 48, 32, 39, 45, 42, 38, 37, 40, 46, 43, 57, 60, 54, 44, 62, 47, 49, 56, 55, 52, 50, 51, 53, 63, 61, 58, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
14: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 44, 32, 39, 37, 42, 38, 50, 40, 43, 46, 47, 45, 61, 52, 51, 54, 48, 63, 49, 53, 62, 55, 56, 57, 58, 60, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
15: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 52, 32, 39, 38, 40, 37, 45, 44, 43, 62, 42, 60, 61, 46, 51, 58, 47, 54, 49, 48, 50, 56, 53, 55, 57, 63, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
16: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 44, 32, 39, 37, 38, 42, 40, 43, 46, 47, 45, 60, 55, 53, 49, 50, 48, 51, 56, 54, 52, 57, 61, 62, 63, 58, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
17: [[5, 36, 1, 2, 6, 16, 24, 28, 29, 23, 12, 13, 22], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 40, 32, 39, 45, 42, 38, 44, 47, 46, 48, 62, 37, 61, 49, 43, 50, 53, 55, 52, 58, 57, 54, 51, 56, 60, 63, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
18: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 52, 32, 39, 37, 42, 38, 43, 40, 47, 46, 44, 56, 53, 60, 55, 63, 48, 49, 50, 61, 45, 54, 51, 58, 57, 62, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
19: [[5, 36, 1, 2, 6, 16, 24, 28, 29, 23, 12, 13, 22], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 52, 32, 39, 37, 38, 42, 54, 44, 40, 51, 43, 46, 45, 60, 48, 50, 47, 61, 57, 55, 49, 53, 63, 56, 58, 62, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
20: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 48, 32, 39, 45, 42, 43, 37, 38, 40, 51, 47, 44, 54, 53, 46, 50, 63, 52, 49, 55, 56, 57, 60, 58, 62, 61, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
21: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 48, 32, 39, 45, 38, 44, 40, 37, 47, 42, 43, 58, 46, 61, 49, 50, 52, 55, 54, 51, 56, 53, 57, 62, 63, 60, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
22: [[5, 36, 1, 2, 6, 16, 24, 28, 29, 23, 12, 13, 22], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 52, 32, 39, 37, 42, 44, 40, 43, 38, 54, 46, 45, 55, 47, 50, 48, 49, 51, 58, 56, 53, 57, 62, 63, 60, 61, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
23: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 40, 32, 39, 45, 42, 37, 44, 46, 38, 48, 47, 43, 55, 52, 58, 51, 50, 49, 54, 56, 57, 53, 60, 61, 62, 63, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
24: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 40, 32, 39, 45, 38, 37, 44, 43, 42, 47, 63, 58, 52, 50, 46, 48, 57, 49, 53, 51, 55, 54, 56, 60, 61, 62, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
25: [[22, 5, 36, 1, 2, 6, 16, 12, 13, 28, 29, 24, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 52, 32, 39, 37, 42, 38, 58, 44, 45, 40, 60, 47, 43, 46, 51, 50, 48, 49, 53, 54, 56, 61, 63, 55, 62, 57, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
26: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 48, 32, 39, 46, 42, 37, 38, 40, 43, 45, 47, 63, 44, 57, 50, 55, 54, 53, 49, 51, 56, 52, 58, 62, 60, 61, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
27: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 40, 32, 39, 45, 38, 44, 37, 42, 46, 47, 43, 51, 55, 52, 60, 54, 57, 49, 48, 50, 61, 53, 56, 58, 63, 62, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
28: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 52, 32, 39, 37, 42, 40, 44, 47, 43, 50, 38, 56, 57, 53, 45, 58, 55, 49, 46, 48, 51, 54, 60, 61, 62, 63, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
29: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 52, 32, 39, 37, 38, 42, 40, 43, 58, 45, 47, 53, 46, 44, 62, 63, 48, 60, 51, 49, 54, 55, 57, 56, 50, 61, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
30: [[22, 5, 36, 1, 2, 6, 16, 12, 13, 28, 29, 24, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 44, 32, 39, 37, 42, 38, 57, 48, 43, 40, 49, 47, 63, 46, 45, 50, 53, 51, 55, 52, 61, 54, 56, 62, 60, 58, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
31: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 44, 32, 39, 37, 38, 40, 43, 42, 46, 47, 45, 56, 55, 53, 51, 50, 49, 58, 48, 52, 54, 61, 63, 57, 60, 62, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
32: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 48, 32, 39, 45, 42, 37, 44, 46, 38, 43, 40, 63, 54, 47, 50, 57, 51, 53, 55, 61, 56, 52, 49, 58, 60, 62, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
33: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 52, 32, 39, 37, 42, 43, 38, 45, 44, 40, 46, 53, 47, 54, 61, 50, 49, 51, 48, 55, 63, 56, 57, 58, 62, 60, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
34: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 48, 32, 39, 45, 42, 44, 38, 37, 43, 40, 47, 46, 62, 50, 52, 55, 49, 51, 53, 54, 56, 58, 57, 60, 61, 63, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
35: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 52, 32, 39, 37, 43, 44, 38, 42, 45, 46, 47, 58, 48, 40, 49, 62, 51, 54, 55, 63, 53, 50, 56, 61, 57, 60, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
36: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 40, 32, 39, 46, 42, 37, 45, 47, 44, 43, 63, 50, 54, 48, 51, 38, 58, 49, 52, 55, 60, 53, 56, 57, 61, 62, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
37: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 52, 32, 39, 37, 42, 44, 46, 40, 43, 47, 45, 38, 48, 53, 51, 54, 56, 49, 50, 55, 57, 63, 61, 62, 58, 60, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
38: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 52, 32, 39, 37, 38, 46, 40, 44, 43, 42, 45, 47, 51, 58, 49, 50, 48, 53, 54, 55, 57, 61, 56, 60, 63, 62, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
39: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 52, 32, 39, 37, 42, 43, 38, 44, 40, 46, 45, 47, 61, 50, 51, 55, 56, 49, 48, 53, 58, 54, 62, 63, 57, 60, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
40: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 48, 32, 39, 45, 42, 37, 38, 40, 43, 44, 63, 62, 49, 51, 46, 47, 56, 52, 50, 54, 53, 55, 57, 58, 60, 61, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
41: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 41, 33, 59, 31], [19, 10, 26, 34, 27, 35, 52, 32, 39, 37, 42, 44, 38, 40, 45, 46, 43, 47, 50, 56, 51, 58, 48, 55, 49, 53, 54, 57, 60, 62, 63, 61, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
42: [[22, 5, 36, 1, 2, 6, 16, 12, 13, 28, 29, 24, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 52, 32, 39, 37, 38, 44, 42, 40, 47, 43, 45, 61, 54, 48, 51, 55, 53, 46, 49, 50, 60, 57, 56, 63, 62, 58, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
43: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 52, 32, 39, 37, 42, 38, 40, 43, 56, 46, 44, 47, 45, 49, 51, 54, 50, 48, 53, 55, 57, 61, 60, 58, 62, 63, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
44: [[22, 5, 36, 1, 2, 6, 16, 12, 13, 28, 29, 24, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 40, 32, 39, 45, 38, 44, 37, 46, 42, 48, 47, 53, 43, 55, 49, 51, 50, 57, 52, 58, 54, 63, 56, 62, 61, 60, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
45: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 48, 32, 39, 45, 38, 37, 42, 40, 44, 43, 47, 61, 46, 49, 51, 62, 50, 53, 54, 57, 58, 55, 60, 52, 56, 63, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
46: [[22, 5, 36, 1, 2, 6, 16, 12, 13, 28, 29, 24, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 52, 32, 39, 37, 42, 38, 50, 40, 43, 61, 49, 45, 54, 44, 58, 46, 47, 48, 51, 53, 57, 55, 56, 63, 62, 60, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
47: [[5, 36, 1, 2, 6, 16, 24, 28, 29, 23, 12, 13, 22], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 44, 32, 39, 37, 42, 46, 45, 40, 38, 43, 63, 55, 51, 47, 58, 49, 50, 52, 54, 53, 60, 56, 48, 57, 62, 61, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
48: [[22, 5, 36, 1, 2, 6, 16, 12, 13, 28, 29, 24, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 48, 32, 39, 46, 42, 37, 40, 38, 50, 63, 60, 43, 51, 57, 45, 47, 44, 49, 54, 52, 56, 53, 58, 61, 62, 55, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
49: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 52, 32, 39, 37, 42, 43, 40, 38, 45, 47, 60, 44, 62, 46, 50, 51, 54, 49, 48, 63, 57, 56, 53, 61, 55, 58, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
50: [[22, 5, 36, 1, 2, 6, 16, 12, 13, 28, 29, 24, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 41, 33, 59, 31], [19, 10, 26, 34, 27, 35, 52, 32, 39, 37, 42, 38, 58, 44, 45, 43, 46, 63, 40, 47, 50, 48, 54, 61, 49, 53, 51, 55, 56, 62, 60, 57, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
