0: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
39: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17], [22, 21, 23, 24]]
40: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17], [22, 21, 23, 24]]
41: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17], [22, 21, 23, 24]]
42: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17], [22, 21, 23, 24]]
43: [[16, 10, 2, 1, 7, 4, 6, 14, 3], [11, 5, 9, 12, 8, 13, 15, 19, 18, 20, 17], [22, 21, 23, 24]]
44: [[16, 10, 2, 1, 7, 4, 6, 14, 3], [11, 5, 9, 12, 8, 13, 15, 19, 18, 20, 17], [22, 21, 23, 24]]
45: [[16, 10, 2, 1, 7, 4, 6, 14, 3], [11, 5, 9, 12, 8, 13, 15, 19, 18, 20, 17], [22, 21, 23, 24]]
46: [[16, 10, 2, 1, 7, 4, 6, 14, 3], [11, 5, 9, 12, 8, 13, 15, 19, 18, 20, 17], [22, 21, 23, 24]]
47: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22, 21], [23, 24]]
48: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22, 21], [23, 24]]
49: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22, 21], [23, 24]]
