0: [[9, 13, 22, 1, 2], [3, 5, 4, 6], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
34: [[9, 13, 22, 2, 1], [5, 4, 6, 7, 3], [11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
35: [[9, 13, 22, 2, 1], [5, 4, 3], [6, 7, 11, 10], [14, 8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
36: [[9, 13, 22, 1], [2, 5, 4], [6, 7, 11, 10, 3], [14, 8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
37: [[22, 1, 2, 9, 13], [3, 5, 4, 6, 7], [11, 10, 14, 8], [12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
38: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20, 21], [23, 24]]
39: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20, 21], [23, 24]]
40: [[9, 13, 22, 2, 1, 3], [5, 4, 6, 7], [11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
41: [[9, 13, 22, 1], [2, 5, 3], [4, 6, 7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
42: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19], [20, 21, 23, 24]]
43: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19], [20, 21, 23, 24]]
44: [[9, 13, 22, 1, 2, 3, 5], [4, 6, 7, 11], [10, 14, 8], [12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
45: [[9, 13, 22, 1, 2, 3], [5, 4, 6, 7], [11, 10, 14, 8, 12], [15, 18, 17, 16, 19, 20], [21, 23, 24]]
46: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10], [14, 8, 12, 15, 18, 17, 16, 19], [20, 21, 23, 24]]
47: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10], [14, 8, 12, 15, 18, 17, 16, 19], [20, 21, 23, 24]]
48: [[9, 13, 22, 1], [2, 5, 4], [6, 7, 11, 10, 3], [14, 8, 12, 15, 18, 17, 16, 19], [20, 21, 23, 24]]
49: [[22, 1, 2, 3, 9, 13], [5, 4, 6, 7], [11, 10, 14, 8], [12, 15, 18, 17, 16, 19, 20, 21], [23, 24]]
