0: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
38: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20, 21], [23, 24]]
39: [[1, 19, 2], [9, 3, 4, 10, 6], [5, 7, 14], [11, 13, 8, 15, 12], [16, 17, 18, 22, 20], [21, 23, 24]]
40: [[2], [3, 4, 10, 6], [5, 7, 14], [11, 13, 8, 1, 19, 9], [15, 12, 16, 17, 18, 22, 20], [21, 23, 24]]
41: [[2, 3, 4, 1, 19], [10, 6, 5, 7, 14], [11, 13, 8, 9], [15, 12], [16, 17, 18, 22, 20], [21, 23, 24]]
42: [[1, 19, 2, 9], [3, 4, 10, 6, 5, 7], [14, 11, 13], [8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
43: [[1, 19, 2, 9], [3, 4, 10, 6, 5, 7], [14, 11, 13], [8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
44: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22], [20, 21, 23, 24]]
45: [[1, 19, 2, 9], [3, 4, 10, 6, 5, 7], [14, 11, 13], [8, 15, 12, 16], [17, 18, 22, 20], [21, 23, 24]]
46: [[1, 19, 2, 9, 3], [4, 10, 6, 5, 7], [14, 11, 13], [8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
47: [[2, 3], [4, 10, 6, 5, 7], [14, 11], [13, 8, 1, 19, 9], [15, 12, 16, 17, 18, 22, 20], [21, 23, 24]]
48: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14], [11, 13, 8], [15, 12, 16, 17, 18, 22], [20, 21, 23, 24]]
49: [[1, 19, 2, 9], [3, 4, 10, 6, 5, 7], [14, 11, 13], [8, 15], [12, 16, 17, 18, 22, 20, 21], [23, 24]]
