0: [[1, 8], [27, 26, 21], [7, 15, 11, 4, 2, 3, 19, 13, 29, 12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
49: [[1, 8, 27], [26, 21, 7], [15, 11], [4, 2, 3, 19, 13, 29, 12, 14, 5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
50: [[1, 8, 27], [26, 21, 7], [15, 11], [4, 2, 3, 19, 13, 29, 12, 14, 5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
51: [[1, 8, 27, 26, 21], [7, 15, 11], [4, 2, 3, 19, 13, 29, 12, 14, 5, 25, 6], [20, 28], [18, 24, 10], [16, 23, 17, 9, 22]]
52: [[1, 8, 27, 26, 21], [7, 15, 11], [4, 2, 3, 19, 13, 29, 12, 14, 5, 25, 6], [20, 28], [18, 24, 10], [16, 23, 17, 9, 22]]
53: [[1, 8, 27], [26, 21, 7, 15, 11], [4, 2, 3, 19, 13, 29, 12, 14, 5, 25, 6], [20, 28], [18, 24, 10], [16, 23, 17, 9, 22]]
54: [[1, 8, 27], [26, 21, 7], [15, 11, 4, 2, 3, 19, 13, 29, 12, 14, 5], [25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
55: [[1, 8, 27, 26, 21], [7, 15, 11], [4, 2], [3, 19, 13, 29, 12, 14, 5, 25, 6, 20, 28], [18, 24, 10], [16, 23, 17, 9, 22]]
56: [[1, 8, 27, 26, 21], [7, 15, 11], [4, 2, 3, 19, 13, 29, 12, 14, 5, 25, 6], [20, 28, 18], [24, 10], [16, 23, 17, 9, 22]]
57: [[1, 8, 27, 26, 21, 7, 15, 11, 4, 2, 3], [19, 13, 29], [12, 14, 5], [25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
58: [[1, 8], [27, 26, 21, 7, 15, 11, 4, 2, 3, 19, 13], [29, 12, 14, 5, 25], [6, 20, 28], [18, 24, 10], [16, 23, 17, 9, 22]]
59: [[1, 8, 27], [26, 21, 7, 15, 11, 4, 2, 3, 19, 13, 29], [12, 14, 5], [25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
