0: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 15, 1, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
29: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
30: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
31: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
32: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
33: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
34: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
35: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 12], [15, 7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
36: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 12], [15, 7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
37: [[16, 3, 18, 9], [13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
38: [[16, 3], [18, 9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
39: [[16, 3], [18, 9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
40: [[16, 3], [18, 9, 13, 5, 8, 4, 20, 19, 1, 15, 12], [7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
41: [[16, 3, 18], [9, 13, 5, 8, 20, 19, 1, 15, 12, 4], [7, 6, 11, 10, 2, 17, 14], [22, 23, 21, 24]]
42: [[16, 3, 18], [9, 13, 5, 8, 20, 19, 1, 12, 4], [15, 7, 6, 11, 10, 2, 17, 14], [22, 23, 21, 24]]
43: [[16, 3], [18, 9, 13, 5, 8, 4, 20, 19, 1, 12], [15, 7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
44: [[16, 3], [18, 9, 13, 5, 8, 4, 20, 19, 1, 12], [15, 7, 6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
45: [[16, 3, 18, 9], [13, 5, 8, 4, 20, 19, 1, 15, 7, 12], [6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
46: [[16, 3, 18, 9], [13, 5, 8, 4, 20, 19, 1, 15, 7, 12], [6, 11, 10, 2, 14, 22, 17], [23, 21, 24]]
47: [[16, 3], [18, 9, 13, 5, 8, 20, 19, 1, 12, 4], [15, 7, 6, 11, 10, 2, 17, 14], [22, 23, 21, 24]]
48: [[16, 3, 18], [9, 13, 5, 4, 20, 19, 1, 12, 8], [15, 7, 6, 11, 10, 2, 17], [14, 22, 23, 21, 24]]
49: [[16, 3, 18], [9, 13, 5, 8, 4, 20, 19, 1, 15, 7, 12], [6, 11, 10, 2, 14, 22, 23, 17], [21, 24]]
