0: [[16, 3, 2, 18], [9, 1], [11, 7], [13, 6], [4, 5], [15, 8], [10, 14], [12, 19, 17, 20, 22], [21, 23, 24]]
18: [[2], [1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20], [22, 21], [23, 24]]
19: [[2], [1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20], [22, 21], [23, 24]]
20: [[2], [1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20], [22, 21], [23, 24]]
21: [[2], [1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20], [22, 21], [23, 24]]
22: [[2], [1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20], [22, 21], [23, 24]]
23: [[2], [1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20], [22, 21], [23, 24]]
24: [[2], [1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20], [22, 21], [23, 24]]
25: [[2], [1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20], [22, 21], [23, 24]]
26: [[2], [1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20], [22, 21], [23, 24]]
27: [[2], [1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20], [22, 21], [23, 24]]
28: [[2], [1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20], [22, 21], [23, 24]]
29: [[2], [1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20], [22, 21], [23, 24]]
30: [[2], [1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14, 12], [19, 17, 20], [22, 21], [23, 24]]
31: [[2], [9, 1], [11, 7, 16], [13, 6], [4, 5, 15], [8, 10, 3, 18], [14, 12], [19, 17, 20], [22, 21, 23, 24]]
32: [[2], [1, 11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20, 9], [22, 21], [23, 24]]
33: [[2], [9, 1], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 10, 14], [12, 19, 18], [17, 20, 22, 21], [23, 24]]
34: [[2], [1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 10, 14], [12, 19], [17, 20, 18], [22, 21], [23, 24]]
35: [[2], [1, 9], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 10, 18], [14, 12, 19], [17, 20], [22, 21], [23, 24]]
36: [[2], [9, 1], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20, 22, 21, 23, 24]]
37: [[2], [9, 1], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20, 22, 21, 23, 24]]
38: [[2], [9, 1], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20, 22, 21, 23, 24]]
39: [[2], [9, 1], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20, 22, 21, 23, 24]]
40: [[2], [9, 1], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19], [17, 20, 22, 21, 23, 24]]
41: [[2], [9, 1], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19, 17, 20, 22, 21, 23, 24]]
42: [[2], [9, 1], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14], [12, 19, 17, 20, 22, 21, 23, 24]]
43: [[2], [9, 1], [11, 7, 16], [13, 6, 3], [4, 5], [15, 8, 18], [10, 14, 12, 19, 17, 20, 22, 21, 23, 24]]
44: [[2], [1, 9], [11, 7, 13], [6, 4, 16, 3], [5, 15], [8, 10], [14, 12], [19, 17, 18], [20, 22, 21], [23, 24]]
45: [[16, 3], [2, 18], [9, 1], [11, 7], [13, 6, 4, 5, 15, 8, 10, 14, 12, 19, 17, 20, 22, 21, 23, 24]]
46: [[16, 3], [2, 18], [9, 1], [11, 7], [13, 6, 4, 5, 15, 8, 10, 14, 12, 19, 17, 20, 22, 21, 23, 24]]
47: [[16, 3], [2, 18], [9, 1, 11], [7, 13, 6, 4, 5], [15, 8, 10, 14, 12, 19, 17, 20, 22, 21, 23, 24]]
48: [[16, 3], [2, 18], [9, 1, 11], [7, 13, 6, 4, 5, 15, 8, 10, 14, 12, 19, 17, 20, 22, 21, 23, 24]]
49: [[16, 3], [2, 18], [9, 1, 11, 7, 13, 6, 4, 5, 15, 8, 10, 14, 12, 19, 17, 20, 22, 21, 23, 24]]
