0: [[23, 22], [20, 25], [24, 28], [21, 15, 27, 26], [4, 29, 8], [3, 11], [9, 17, 18], [7, 2, 1, 19], [6, 5], [16, 13, 10, 12, 14]]
33: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26, 4], [29, 8, 3, 11], [9, 17, 18, 7, 2, 1, 19, 12, 5, 16, 13, 10, 6, 14]]
34: [[23, 22], [20, 25], [24, 28], [21, 15, 27], [26, 4], [29, 8, 3, 11, 9, 17, 18, 7, 2, 1, 19, 6, 5, 16, 13, 12, 10, 14]]
35: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26, 4], [29, 14, 3], [11, 8, 9, 17, 18, 7, 2, 1, 6, 5, 16, 13, 12, 10, 19]]
36: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26, 4, 29], [8, 3, 11], [9, 17, 18, 7], [2, 1, 19], [6, 5, 16], [13, 10, 14], [12]]
37: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26, 4], [29, 8], [3, 11], [9, 17], [18, 7, 2], [1, 19], [6, 5], [16, 13, 12], [10, 14]]
38: [[23, 22], [20, 25], [24, 28, 21], [15, 27, 26, 4], [29, 8, 3, 11, 9, 17, 18, 7, 2, 1, 19], [6, 5, 16, 13, 12, 10, 14]]
39: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26, 4], [29, 8, 3], [11, 9, 17], [18], [7, 2, 1, 19, 6, 5, 16, 13, 10, 14, 12]]
40: [[23, 22], [20, 25], [24, 28, 21], [15, 27, 26, 4], [29, 8, 3, 11, 9, 17, 18], [7, 2], [1, 19, 6, 5, 16, 13, 10, 12, 14]]
41: [[23, 22], [20, 25], [24, 28, 21], [15, 27, 26], [4, 29], [8, 3, 11], [9, 17, 18, 7], [2, 1], [19, 6, 5], [16, 12, 13], [10, 14]]
42: [[23, 22], [20, 25], [24, 28, 21], [15, 27, 26], [4, 29, 8], [3, 11], [9, 17], [18, 7], [2, 1], [19, 6, 5, 16], [13, 10], [12, 14]]
43: [[23, 22], [20, 25], [24, 28, 21], [15, 27, 26], [4, 29], [8, 3, 11], [9, 17], [18, 7], [2, 1, 19, 6], [5, 16], [13, 10, 12, 14]]
44: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26], [4, 29], [8, 3], [11, 9], [17, 18, 7], [2, 1], [19, 6], [5, 16, 12], [13, 10, 14]]
45: [[23, 22], [20, 25], [24, 28, 21], [15, 27, 26, 4, 29, 8, 3, 11, 9, 17], [18, 7, 2, 1, 19, 6, 5, 16, 12, 13, 10, 14]]
46: [[23, 22], [20, 25], [24, 28, 21, 15, 27], [26, 4, 29, 8], [3, 11, 9, 17, 18, 7, 2, 1, 19, 6, 5, 16, 13, 10, 12, 14]]
47: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26, 4, 29], [14, 3, 11, 9, 17, 18, 7, 2, 1, 19, 6, 5, 16, 12], [13], [10, 8]]
48: [[23, 22], [20, 25], [24, 28, 21], [15, 27, 26], [4, 29], [8, 3], [11, 9, 17], [18, 7], [2, 1], [19, 6, 5], [13, 12], [16, 10, 14]]
49: [[23], [20, 25], [24, 28, 21], [15, 27, 26], [4, 29], [3, 8], [11, 9, 17], [18, 7], [2, 1, 19, 6], [5, 16, 13, 12, 22], [10, 14]]
50: [[23, 22, 20], [25, 24, 28], [21, 15, 27], [26, 4, 29], [8, 3], [11, 9, 17], [18, 7], [2, 1, 19, 6, 5, 16, 13, 12, 10, 14]]
51: [[23, 22], [20, 25, 24, 28], [21, 15], [27, 26, 4, 29], [8, 3, 11, 9, 17, 18, 7, 2, 1, 19], [6, 5, 16], [12, 13, 10, 14]]
52: [[23, 22], [20, 25], [24, 28, 21, 15], [27, 26, 4, 29], [8, 3, 11, 9], [17, 18, 7, 2, 1, 19, 6, 5, 16, 13, 12], [10, 14]]
53: [[23, 22, 20], [25, 24], [28, 21], [15, 27, 26, 4], [29, 8], [3, 11], [9, 17, 18], [7, 2, 1], [19, 14], [6, 5], [16, 10, 12, 13]]
54: [[23, 22], [20, 25], [24, 28], [21, 15, 27], [26, 4], [29, 8, 3], [11, 9], [17, 18, 7], [2, 1], [19, 6], [5, 13], [12, 10], [16, 14]]
55: [[23, 22, 20], [25, 24], [28, 21], [15, 27, 26, 4], [29, 8], [3, 11, 9], [17, 18, 7], [2, 1, 19], [6, 5], [16, 12, 13], [10, 14]]
56: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26, 4], [29, 8], [3, 11], [9, 17], [18, 7], [2, 1], [19, 12, 5], [16, 13], [10, 14, 6]]
57: [[23, 22], [20, 25], [24, 28], [21, 15], [27, 26, 4], [29, 8], [3, 11, 9], [17, 18, 7], [2, 1], [19, 6], [5, 16, 12, 13], [10, 14]]
58: [[23, 22], [20, 25, 24], [28, 21], [15, 27, 26, 4, 29, 8, 3, 11, 9, 17, 18, 7, 2, 1, 19, 6, 5, 16, 13, 12, 10, 14]]
59: [[23, 22], [20, 25, 24, 28, 21, 15, 27, 26, 4, 29, 8, 3, 11, 9, 17, 18, 7, 2, 1, 19, 6, 5, 16, 13, 10], [12, 14]]
