0: [[2, 1, 13, 10], [4, 22, 5], [14, 11, 7], [6, 9], [20, 15, 8, 12, 19, 17], [18, 16, 3], [23, 21, 24]]
33: [[2], [4, 5, 22, 14, 11, 7, 10], [6, 9, 20, 15, 1], [8, 12, 13], [19, 17], [18, 16, 3], [23, 21, 24]]
34: [[2, 4, 5, 1, 10], [22, 14], [11, 7, 6, 9, 20, 15, 8], [12, 13], [19, 17], [18, 16, 3], [23, 21, 24]]
35: [[2, 4], [5, 22, 14, 11, 7, 6, 9, 20, 10], [15, 8], [12, 13], [19, 17, 1], [18, 16, 3], [23, 21, 24]]
36: [[2], [4, 5, 22, 14, 11, 7, 6, 10], [9, 20, 15], [8, 12, 13, 19, 17, 1], [18, 16, 3], [23, 21, 24]]
37: [[2, 4, 5, 22, 14, 11, 1, 10], [7, 6], [9, 20], [15, 8, 12, 13, 19, 17], [18, 16, 3], [23, 21, 24]]
38: [[2], [4, 5], [22, 14, 11, 10], [7, 6, 9, 20, 1], [15, 8, 12, 13, 19, 17, 18, 16, 3], [23, 21, 24]]
39: [[2], [4, 5, 22, 14, 11, 7, 10], [6, 9, 3, 1], [20, 15], [8, 12, 13, 19, 17, 18, 16], [23, 21, 24]]
40: [[2, 4, 5, 22, 14, 11, 10], [7, 6], [9, 20, 15], [8, 12, 13, 19, 17, 1], [18, 16, 3], [23, 21, 24]]
41: [[2, 1], [4, 5, 10], [22, 14, 11, 7, 6, 9], [20, 15, 8, 12, 13, 19, 17, 18], [16, 23, 3], [21, 24]]
42: [[2, 1], [4, 5, 10], [22, 14, 11, 7, 6, 9], [20, 15, 8, 12, 13, 19, 17, 18], [16, 23, 3], [21, 24]]
43: [[2, 4, 5, 22, 14, 1, 10], [11, 7], [6, 9], [20, 15, 8, 12, 13, 19], [17, 18, 3], [16, 23, 21, 24]]
44: [[2, 4, 5, 22, 14, 1, 10], [11, 7], [6, 9], [20, 15, 8, 12, 13, 19], [17, 18, 3], [16, 23, 21, 24]]
45: [[2, 1], [4, 5, 10], [22, 14, 11, 7, 6, 9], [20, 15, 8, 12, 13, 19], [17, 18, 3], [16, 23, 21, 24]]
46: [[2, 4, 5, 22, 14, 11, 1, 10], [7, 6], [9, 20], [15, 8, 12, 13, 19, 17], [18, 16, 23, 3], [21, 24]]
47: [[2, 4, 5, 22, 14, 10], [11, 7, 6, 9], [20, 15], [8, 12], [13, 19, 1], [17, 18, 3], [16, 23, 21, 24]]
48: [[2, 4, 5, 22, 3, 10], [14, 11], [7, 6], [9, 20, 15, 8, 12], [13, 19, 17, 18, 1], [16, 23, 21, 24]]
49: [[3, 1, 10, 2, 4], [5, 22, 14, 11, 7, 6, 9], [20, 15], [8, 12], [13, 19], [17, 18], [16, 23, 21, 24]]
