0: [[6, 2], [17, 9, 1], [23, 22], [4, 8], [20, 3], [7, 12], [15, 11, 13, 10], [5, 25], [19, 16, 29, 18, 14], [28, 24], [21, 26, 27]]
20: [[6, 2], [17, 9], [1, 23, 22, 4, 8, 20], [3, 7, 12, 15], [11, 13], [10, 5, 25, 19, 16], [29, 18], [14, 28, 24], [21, 26, 27]]
21: [[6, 2, 17], [9, 1], [23, 22], [4, 8], [20, 3], [7, 14, 15], [11, 13, 10], [25, 5, 19], [16, 29], [18, 12], [28, 24, 21], [26, 27]]
22: [[6, 2, 17], [9, 1, 23], [22, 4], [8, 20], [12, 3], [7, 15, 11], [13, 10], [5, 25], [19, 16], [29, 18, 14], [28, 24, 21], [26, 27]]
23: [[6, 2, 17], [9, 1, 23], [22, 4], [8, 20], [12, 3], [7, 15, 11], [13, 10], [5, 25], [19, 16], [29, 18, 14], [28, 24, 21], [26, 27]]
24: [[6, 2], [17, 9], [1, 23], [22, 4, 8], [20, 12, 3], [7, 15, 11, 13, 10], [25, 5], [19, 16, 29], [18, 14, 28, 24, 21, 26, 27]]
25: [[6, 2], [17, 9], [1], [23, 22], [4, 8], [20, 12, 3], [7, 15], [11, 13], [10, 5, 25], [19, 16, 29, 18, 14, 28, 24, 21], [26, 27]]
26: [[6, 2], [17, 9], [1, 23, 22], [4, 8], [20, 12, 3], [7, 15], [11, 13], [10, 25, 5], [19, 16], [29, 18], [14, 28, 24, 21], [26, 27]]
27: [[6, 2], [17, 9, 1], [23, 22, 4], [8, 20], [12, 3], [7, 15, 11], [13, 10], [25, 5], [19, 16, 29], [18, 14, 28], [24, 21], [26, 27]]
28: [[6, 2], [17], [9, 1], [23, 22], [4, 8], [20, 12], [3, 7, 15], [11, 13], [10, 5], [25, 19, 16], [29, 18], [14, 28, 24], [21, 26, 27]]
29: [[6, 2], [17, 9], [1, 23], [22, 4], [8, 20], [3, 7], [12, 15], [11, 13], [5, 25, 10], [19, 16], [29, 18, 14], [28, 24], [21, 26, 27]]
30: [[6, 2], [17, 9], [1, 23], [22, 4], [8, 20], [3, 7], [12, 15], [11, 13], [10, 5, 25], [19, 16], [29, 18, 14], [28, 24], [21, 26, 27]]
31: [[6], [2, 17], [9, 1], [23, 22], [4, 8], [20, 3, 7], [12, 15], [11, 13, 10], [25, 5], [19, 16, 29], [18, 14, 28], [24, 21, 26, 27]]
32: [[6, 2], [17, 9, 1], [23, 22], [4, 8], [20, 3], [7, 12, 15], [11, 13, 10], [25, 5, 19], [16, 29], [18, 14, 28], [24, 21, 26, 27]]
33: [[6, 2], [17, 9], [1, 23], [22, 4], [20, 3], [7, 8, 12], [15, 11, 13], [10, 5, 25], [19, 16], [29, 18, 14], [28, 24, 21, 26, 27]]
34: [[6, 2], [17, 9], [1], [23, 22], [4, 8], [20, 3], [7, 12], [15, 11, 13], [10, 5, 25], [19, 16], [29, 18, 14, 28, 24, 21, 26, 27]]
35: [[6, 2], [17, 9], [1, 23], [22, 4, 8], [20, 12, 3], [7, 15, 11], [13, 10, 25], [5, 19], [16, 29, 18], [14, 28, 24], [21, 26, 27]]
36: [[6, 2], [17, 9], [1, 23], [22, 4], [8, 20], [13, 7], [12, 15, 11], [3, 10], [5, 25, 19], [16, 29], [18, 14], [28, 24], [21, 26, 27]]
37: [[6, 2], [17, 9], [1], [23, 22], [4, 8], [20, 3], [7, 12], [15, 11], [13, 5], [25, 10], [19, 16, 29], [18, 14], [28, 24, 21], [26, 27]]
38: [[6, 2], [17, 9], [1, 23], [22], [4, 8, 20], [3, 7], [12, 15, 11], [13, 10, 5], [25, 19, 16], [29, 18], [14, 28, 24], [21, 26, 27]]
39: [[6, 2, 17], [9, 1, 23], [22, 4, 8, 20], [3, 7], [12, 15, 11], [13, 5, 25], [10, 19, 16], [29, 18, 14], [28, 24, 21], [26, 27]]
40: [[6, 2], [17, 9], [1], [23], [4, 8], [20, 3], [7, 12, 22], [15, 11, 13, 5, 10], [25, 19], [16, 29, 18, 14], [28, 24, 21, 26, 27]]
41: [[6, 2], [17, 9, 1], [23, 22], [4, 8], [20, 3], [7, 12], [15, 11], [13, 10], [5, 25, 19], [16, 29, 18], [14, 28], [24, 21, 26, 27]]
42: [[6, 2], [17, 9], [1, 23, 22], [4, 8], [20, 3], [7, 12], [15, 11, 13], [5, 25, 10], [19, 16, 29, 18, 14, 28, 24, 21, 26, 27]]
43: [[6, 2, 17, 9], [1, 23, 22, 4], [8, 20], [3, 7, 12], [15, 11, 13], [5, 25, 10], [19, 16], [29, 18, 14], [28, 24, 21, 26, 27]]
44: [[6, 2], [17, 9], [1, 23], [22, 4], [8, 20, 3], [7, 12], [15, 11], [13, 5], [25, 10, 19], [16, 29, 18], [14, 28, 24], [21, 26, 27]]
45: [[6, 2], [17, 9], [1, 23], [22, 4], [8, 20], [3, 7], [12, 15], [11, 13], [10, 25], [5, 19, 16], [29, 18, 14], [28, 24], [21, 26, 27]]
46: [[6, 2], [17, 9, 1], [23, 22], [4, 8], [20, 12, 3], [7, 15, 11, 13, 10, 5, 25, 19, 16, 29, 18, 14, 28, 24, 21, 26, 27]]
47: [[6, 2], [17, 9], [1, 23], [22, 4], [8, 20], [3], [7], [15, 11, 13], [5, 25], [19, 10, 16], [29, 18], [12, 28, 24], [14, 21, 26, 27]]
48: [[6, 2], [17, 9], [1, 23], [22, 4], [8, 20], [3, 7], [15, 11, 13, 5], [25, 19, 10], [16, 29, 18], [12, 14], [28, 24], [21, 26, 27]]
49: [[6, 2], [17, 9], [1, 23], [22, 4, 8], [20, 3], [7, 12], [15, 11, 13], [10, 5, 21], [19, 16], [29, 18, 14], [28, 24, 25, 26, 27]]
50: [[6, 2, 17], [9, 1], [23, 22], [4, 8], [20, 3, 7], [12, 15, 11], [13, 10], [5, 25, 19, 16, 29, 18, 14, 28, 24, 21, 26, 27]]
51: [[6, 2], [17, 9], [1, 23, 22], [4, 8, 20, 3, 7, 12, 15, 11, 13, 10, 5, 25, 19, 16, 29, 18, 14, 28, 24, 21, 26, 27]]
52: [[6, 2], [17, 9], [1, 23, 22], [4, 8, 20], [3, 7], [12, 15], [11, 13, 10], [25, 5, 19], [16, 29], [18, 14, 28], [24, 21, 26, 27]]
53: [[6, 2], [17, 9, 1], [23, 22, 4, 8, 20, 3, 7, 14, 15, 11, 13, 5, 25, 10, 19, 16, 29, 18, 12, 28, 24, 21, 26, 27]]
54: [[6, 2], [17, 9, 1], [23, 22], [4, 8, 20], [3, 7, 12, 15], [11, 13], [10, 5, 25, 19, 16, 29, 18, 14, 28, 24, 21, 26, 27]]
55: [[6, 2], [17, 9], [1, 23], [22, 4, 8], [20, 3, 7], [12, 15, 11], [13, 10], [5, 25, 19], [16, 29, 18, 14, 28, 24, 21, 26, 27]]
56: [[6, 2], [17, 9, 1, 23], [22, 4], [8, 20, 3, 7, 12, 15, 11, 13, 10, 25, 5, 19, 16, 29, 18, 14, 28, 24, 21, 26, 27]]
57: [[6, 2], [17, 9], [1], [23, 22], [4, 8], [20, 3, 7], [12, 15], [11, 13, 10, 5, 25, 19, 16, 29, 18, 14, 24, 28, 21, 26, 27]]
58: [[6, 2], [17, 9, 1, 23, 22, 4, 8, 20, 3, 7, 12, 15, 11, 13, 10, 5, 25, 19, 16, 29, 18, 14, 28, 24, 21, 26], [27]]
59: [[6, 2], [17, 9], [1, 23, 22], [4, 8, 20], [3, 7], [12, 15, 11], [13, 10, 5, 25, 19, 16, 29, 18, 14, 28, 24, 21, 26, 27]]
