0: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 28, 20, 25, 24], [21, 27, 26]]
36: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 28, 25, 24], [21, 27, 26]]
37: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 28, 25, 24], [21, 27, 26]]
38: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 25, 24, 28], [21, 27, 26]]
39: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 24, 25, 28], [21, 27, 26]]
40: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 16], [10, 20, 25, 28, 24], [21, 27, 26]]
41: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [10, 19, 16, 14], [18, 20, 24, 25, 28], [21, 27, 26]]
42: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [10, 19, 16, 14], [18, 28, 24, 25, 20], [21, 27, 26]]
43: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 24], [10, 20, 28, 25, 16], [21, 27, 26]]
44: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [10, 19, 18, 16], [24, 28, 25, 14, 20], [21, 27, 26]]
45: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [19, 18, 16, 10], [14, 28, 25, 20, 24], [21, 27, 26]]
46: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 19, 18, 20], [10, 24, 28, 25, 16], [21, 27, 26]]
47: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [19, 18, 10, 28], [16, 25, 24, 14, 20], [21, 27, 26]]
48: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [10, 19, 18, 24], [14, 28, 16, 20, 25], [21, 27, 26]]
49: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [10, 18, 14, 19], [16, 20, 24, 25, 28], [21, 27, 26]]
50: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [10, 19, 18, 14], [28, 24, 16, 20, 25], [21, 27, 26]]
51: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 18, 16, 20], [10, 28, 24, 25, 19], [21, 27, 26]]
52: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [10, 18, 16, 24], [14, 20, 19, 25, 28], [21, 27, 26]]
53: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [10, 18, 16, 14], [19, 28, 25, 20, 24], [21, 27, 26]]
54: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [14, 18, 16, 10], [19, 20, 24, 25, 28], [21, 27, 26]]
55: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [10, 19, 16, 18], [26, 20, 24, 25, 14], [21, 27, 28]]
56: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [26, 19, 18, 10], [14, 20, 24, 16, 28], [21, 27, 25]]
57: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [10, 18, 16, 26], [14, 28, 19, 24, 20], [21, 27, 25]]
58: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [26, 18, 10, 14], [20, 24, 25, 16, 19], [21, 27, 28]]
59: [[29, 3], [23, 7, 22], [9, 4, 8, 12], [1, 2, 5, 6], [11, 15, 13, 17], [27, 18, 10, 16], [14, 20, 24, 19, 25], [21, 28, 26]]
