0: [[8, 28, 18, 22, 14, 25], [27, 31], [35, 24, 2, 33], [17, 32, 4], [1, 7], [9, 16], [21, 6, 36], [10, 26], [34, 30, 29, 13, 15, 3], [11, 5, 20, 12, 19], [37, 23]]
44: [[8, 28, 18, 22, 14, 25], [27, 31], [35, 24, 2, 33, 17, 32, 4, 1, 7, 9, 16, 21], [6, 36], [10, 26], [34, 30, 29, 13, 15], [3, 11], [5, 20, 12, 19, 37, 23]]
45: [[8, 28, 18], [22, 14, 25, 27, 31, 35], [24, 2], [33, 17, 32, 4], [1, 7, 9, 16], [21, 6, 36], [10, 26], [34, 30, 29, 13, 15], [3, 11, 5, 20, 12], [19, 37], [23]]
46: [[8, 28, 18, 22, 14, 25, 27, 31], [35, 24, 2, 33, 17, 32, 4, 1, 7, 9, 16, 21, 6, 36, 10], [26, 34, 30, 29, 13, 15, 3, 11, 5, 20, 12, 19, 37, 23]]
47: [[8, 28], [18, 22, 14, 25, 27, 31], [35, 24, 2, 33], [17, 32, 4, 1, 7, 9], [16, 21], [6, 36, 10, 26], [34, 30, 29, 13], [15, 3, 11], [5, 20, 12, 19, 37, 23]]
48: [[8, 28, 18, 22, 14, 25], [27, 31, 35, 24, 2], [33, 17, 32], [4, 1], [7, 9], [16, 21, 6], [36, 10, 26, 34, 30], [29, 13, 15, 3], [11, 5, 20, 12, 19, 37], [23]]
49: [[8, 28, 18, 22], [14, 25], [27, 31, 35, 24], [2, 33, 17], [32, 4], [1, 7], [9, 16], [21, 6, 36], [10, 26, 34, 30, 29], [13, 15, 3, 11], [5, 20, 12, 19, 37, 23]]
50: [[8, 28, 18, 22, 14, 25], [27, 31], [35, 24, 2, 33], [17, 32], [4, 1, 7], [9, 16, 21, 6, 36, 10, 26, 34, 30, 29, 13, 15, 3, 11, 5, 20, 12, 19], [37, 23]]
51: [[8, 28], [18, 22, 14], [25, 27], [31, 35], [24, 2, 33, 17], [32, 4], [1, 7, 9, 16], [21, 6, 36], [10, 26], [34, 30], [29, 13, 15, 3], [11, 5, 20, 12], [19, 37, 23]]
52: [[8, 28, 18, 22, 14], [25, 27, 31], [35, 24, 2, 33, 17], [32, 4, 1], [7, 9], [16, 21], [6, 36, 10, 26], [34, 30, 29], [13, 15, 3, 11, 5], [20, 12], [19, 37, 23]]
53: [[8, 28, 18], [22, 14, 25, 27, 31], [35, 24, 2, 33], [17, 32, 4, 1], [7, 9, 16, 21], [6, 36], [10, 26, 34], [30, 29, 13, 15, 3], [11, 5, 20], [12, 19, 37, 23]]
54: [[8, 28], [18, 22, 14, 25], [27, 31], [35, 24, 2, 33, 17], [32, 4, 1, 7, 9], [16, 21], [6, 36, 10, 26], [34, 30, 29, 13], [15, 3, 11], [5, 20, 12, 19, 37, 23]]
55: [[8, 28], [18, 22], [14, 25, 27, 31], [35, 24, 2, 33, 17, 32], [4, 1], [7, 9, 16, 21], [6, 36, 10, 26, 34, 30, 29, 13, 15, 3], [11, 5, 20, 12, 19, 37, 23]]
56: [[8, 28, 18, 22, 14, 25], [27, 31, 35, 24, 2, 33], [17, 32, 4, 1, 7], [9, 16, 21, 6], [36, 10, 26, 34], [30, 29, 13, 15, 3, 11, 5, 20], [12, 19, 37, 23]]
57: [[8, 28, 18, 22], [14, 25, 27], [31, 35, 24], [2, 33, 17], [32, 4], [1, 7, 9], [16, 21, 6, 36], [10, 26, 34, 30, 29], [13, 15, 3], [11, 5, 20], [12, 19], [37, 23]]
58: [[8, 28, 18], [22, 14, 25, 27, 31, 35, 24, 2, 33, 17], [32, 4, 1, 7, 9, 16, 21, 6, 36, 10, 26, 34, 30, 29, 13, 15, 3, 11, 5, 20, 12, 19, 37, 23]]
59: [[8, 28, 18, 22], [14, 25, 27, 31], [35, 24, 2], [33, 17, 32], [4, 1, 7, 9, 16, 21, 6, 36, 10, 26, 34], [30, 29], [13, 15], [3, 11, 5, 20, 12, 19, 37, 23]]
60: [[8, 28, 18, 22, 14, 25], [27, 31, 35, 24, 2, 33, 17], [32, 4, 1], [7, 9, 16, 21, 6, 36, 10, 26, 34, 30, 29, 13, 15, 3, 11, 5, 20], [12, 19, 37, 23]]
61: [[8, 28], [18, 22, 14, 25, 27], [31, 35], [24, 2, 33, 17], [32, 4, 1, 7, 9], [16, 21, 6], [36, 10, 26, 34], [30, 29, 13, 15, 3], [11, 5, 20, 12], [19, 37, 23]]
62: [[8, 28], [18, 22, 14, 25], [27, 31, 35, 24], [2, 33, 17, 32], [4, 1, 7, 9], [16, 21, 6, 36, 10], [26, 34, 30, 29], [13, 15, 3, 11], [5, 20, 12], [19, 37, 23]]
63: [[8, 28, 18, 22], [14, 25, 27], [31, 35, 24, 2, 33, 17, 32], [4], [1, 7], [9, 16, 21, 6, 36, 10, 26, 34, 30, 29, 13, 15, 3, 11, 5, 20, 12, 19, 37, 23]]
64: [[8, 28, 18], [22, 14], [25, 27, 31], [35, 24, 2, 33, 17, 32], [4, 1], [7, 9, 16, 21], [6, 36, 10, 26, 34, 30, 29], [13, 15, 3, 11, 5, 20, 12, 19, 37, 23]]
65: [[8, 28, 18], [22, 14, 25, 27, 31], [35, 24, 2, 33, 17, 32, 4, 1, 7, 9, 16, 21, 6, 36, 10, 26, 34, 30, 29], [13, 15, 3, 11, 5, 20, 12, 19, 37, 23]]
66: [[8, 28, 18, 22, 14, 25], [27, 31, 35, 24], [2, 33, 17], [32, 4, 1, 7], [9, 16, 21, 6], [36, 10, 26, 34], [30, 29, 13, 15], [3, 11], [5, 20, 12, 19, 37, 23]]
67: [[8, 28], [18, 22, 14, 25], [27, 31, 35, 24], [2, 33, 17], [32, 4, 1, 7, 9, 16], [21, 6, 36, 10, 26, 34, 30, 29, 13, 15, 3, 11, 5, 20, 12, 19, 37, 23]]
68: [[8, 28], [18, 22], [14, 25, 27, 31], [35, 24, 2, 33], [17, 32], [4, 1, 7, 9, 16, 21, 6, 36, 10, 26, 34, 30, 29, 13, 15, 3, 11, 5], [20, 12, 19, 37, 23]]
69: [[8, 28], [18, 22], [14, 25, 27, 31, 35, 24, 2, 33], [17, 32, 4, 1, 7, 9, 16, 21, 6, 36, 10, 26, 34, 30, 29, 13, 15, 3, 11, 5, 20, 12, 19, 37, 23]]
70: [[8, 28, 18], [22, 14], [25, 27, 31], [35, 24], [2, 33, 17, 32], [4, 1, 7, 9, 16], [21, 6, 36, 10, 26, 34], [30, 29], [13, 15, 3, 11, 5, 20, 12], [19], [37, 23]]
71: [[8, 28, 18, 22, 14, 25], [27, 31, 35, 24], [2, 33, 17, 32], [4, 1, 7], [9, 16, 21], [6, 36, 10, 26, 34, 30, 29, 13, 15, 3, 11], [5, 20], [12, 19], [37, 23]]
72: [[8, 28, 18], [22, 14, 25, 27, 31], [35, 24, 2, 33, 17, 32], [4, 1, 7, 9, 16, 21, 6, 36, 10, 26, 34, 30, 29, 13, 15, 3, 11, 5, 20, 12, 19, 37, 23]]
73: [[8, 28], [18, 22], [14, 25, 27], [31, 35], [24, 2, 33, 17], [32, 4, 1, 7, 9, 16, 21, 6, 36, 10, 26, 34], [30, 29, 13, 15, 3, 11, 5, 20, 12, 19, 37, 23]]
