0: [[23, 24], [19, 8], [4, 21, 22], [2, 16, 3, 10], [7, 6, 11], [5, 12], [13, 1, 9], [18, 15], [14, 17, 20]]
21: [[23, 24], [19, 8, 4], [21, 22, 2], [16, 3, 10], [7, 6, 11], [5, 12, 13], [1, 9, 18, 15], [14, 17, 20]]
22: [[23, 24], [19, 8, 4], [21, 22], [2, 16, 3], [10, 7, 6, 11, 5, 12, 13, 1, 9], [18, 15, 14, 17, 20]]
23: [[23, 24], [19, 8], [4, 21], [22, 2], [16, 3, 10], [7, 6, 11], [5, 12, 13], [1, 9, 18, 15, 14, 17, 20]]
24: [[23, 24], [19, 8, 4], [21, 22], [2, 16, 3], [10, 7, 6], [11, 5, 12], [13, 1, 9], [18, 15, 14, 17, 20]]
25: [[23, 24], [19, 8], [4, 21, 22], [2, 16, 3], [10, 7, 6], [11, 5, 12], [13, 1, 9, 18, 15, 14, 17, 20]]
26: [[23, 24], [19, 8], [4, 21, 22], [2, 16, 3], [10, 7, 6], [11, 5], [12, 13, 1], [9, 18, 15], [14, 17, 20]]
27: [[23, 24], [19, 8], [4, 21, 22], [2, 16], [3, 10, 7], [6, 11, 5], [12, 13, 1], [9, 18, 15], [14, 17, 20]]
28: [[23, 24], [19, 8], [4, 21, 22], [2, 16], [3, 10, 7], [6, 11, 5, 12, 13], [1, 9, 18, 15, 14, 17, 20]]
29: [[23, 24], [19, 8], [4, 21, 22], [2, 16, 3], [10, 7], [6, 11, 5], [12, 13, 1], [9, 18, 15, 14], [17, 20]]
30: [[23, 24], [19, 8], [4, 21, 22], [2, 16, 3], [10, 7, 6], [11, 5, 12], [13, 1], [9, 18], [15, 14, 17, 20]]
31: [[23, 24], [19, 8], [4, 21], [22, 2], [16, 3], [10, 7, 6], [11, 5, 12], [13, 1, 9], [18, 15, 14], [17, 20]]
32: [[23, 24], [19, 8, 4], [21, 22], [2, 16, 3], [10, 7], [6, 11, 5], [12, 13, 1, 9, 18, 15, 14, 17, 20]]
33: [[23, 24], [19, 8], [4, 21], [22, 2], [16, 3], [10, 7, 6], [11, 5, 12], [13, 1], [9, 18, 15], [14, 17, 20]]
34: [[23, 24], [19, 8, 4], [21, 22, 2], [16, 3, 10], [7, 6], [11, 5, 12], [13, 1, 9], [18, 15, 14], [17, 20]]
35: [[23, 24], [19, 8, 4], [21, 22], [2, 16, 3], [10, 7, 6], [11, 5], [12, 13, 1], [9, 18, 15, 14, 17, 20]]
36: [[23, 24], [19, 8, 4], [21, 22, 2], [16, 3], [10, 7], [6, 11], [5, 12, 13], [1, 9, 18], [15, 14, 17, 20]]
37: [[23, 24], [19, 8, 4], [21, 22, 2], [16, 3, 10], [7, 6], [11, 5], [12, 13, 1], [9, 18, 15], [14, 17, 20]]
38: [[23, 24], [19, 8], [4, 21], [22, 2, 16], [3, 10, 7], [6, 11, 5, 12], [13, 1], [9, 18, 15], [14, 17, 20]]
39: [[23, 24], [19, 8], [4, 21], [22, 2], [16, 3, 10], [7, 6], [11, 5, 12], [13, 1, 9, 18, 15], [14, 17, 20]]
40: [[23, 24], [19, 8], [4, 21], [22, 2, 16], [3, 10, 7, 6], [11, 5, 12, 13, 1, 9, 18, 15, 14, 17, 20]]
41: [[23, 24], [19, 8], [4, 21], [22, 2, 16], [3, 10, 7, 6, 11, 5, 12, 13, 1, 9, 18, 15, 14, 17, 20]]
42: [[23, 24], [19, 8, 4], [21, 22], [2, 16], [3, 10, 7], [6, 11, 5, 12, 13, 1, 9, 18, 15, 14, 17], [20]]
43: [[23, 24], [19, 8, 4], [21, 22], [2, 16], [3, 10, 7, 6, 11], [5, 12], [13, 1], [9, 18], [15, 14, 17], [20]]
44: [[23, 24], [19, 8], [4, 21], [22, 2], [16, 3], [10, 7], [6, 11], [5, 12], [13, 1, 9, 18, 15], [14, 17], [20]]
45: [[23, 24, 19], [8, 4, 21, 22, 2, 16, 3, 10, 7, 6, 11], [5, 12, 13, 1, 9, 18, 15, 14, 17, 20]]
46: [[23, 24, 19], [8, 4, 21], [22, 2, 16], [3, 10], [7, 6, 11], [5, 12, 13, 1, 9], [18, 15, 14, 17, 20]]
47: [[23, 24, 19], [8, 4], [21, 22], [2, 16, 3], [10, 7], [6, 11, 5], [12, 13, 1], [9, 18, 15], [14, 17, 20]]
