0: [[7, 2, 35, 1], [19, 4, 3, 20], [8, 30, 5, 15, 18], [14, 10, 26, 11, 13, 27, 9, 17, 16, 21, 6], [12, 24, 31], [22, 23, 38, 60], [25, 29, 28, 32], [36, 33, 39, 40, 34], [37, 45, 43, 47, 41, 56, 42, 53, 51, 50, 46], [44, 55, 54], [59, 48, 52, 58], [57, 49]]
19: [[7, 2, 35], [1, 19, 4, 3, 20, 8, 30, 5, 15], [11, 14, 10, 12, 9], [13, 18, 21, 6, 22, 17, 23, 28, 24], [16, 25, 26, 29], [42, 27, 31, 37, 34, 38, 33, 46, 36, 32, 39, 43, 40, 41, 44, 51, 45, 53, 50, 47, 52], [48, 49, 55, 58, 54, 56, 60, 57, 59]]
20: [[7, 2, 35, 1], [19, 4, 3, 20], [8, 30, 5, 15, 18], [13, 9, 6, 11, 10, 12, 21, 22, 26, 17, 14, 16, 24], [29, 23, 31, 41, 25, 27, 28, 32], [33, 36, 37, 46, 34, 38, 42, 40, 43, 39, 45, 44, 47, 59, 51, 49, 52, 53, 50, 55, 56, 48, 60, 54, 57, 58]]
21: [[7, 2, 35, 1], [19, 4, 3, 20], [8, 30, 5, 15, 18], [11, 6, 12, 9, 10, 13, 26, 25, 14, 17, 16, 24, 31], [23, 21, 22, 29, 28, 59, 27], [33, 32, 37, 38, 34, 42, 36], [41, 40, 43, 39, 47, 45, 44, 46, 50], [49, 51, 48, 52, 53, 54, 58, 55, 56, 57, 60]]
22: [[7, 2, 35], [1, 19, 4, 3], [20, 8, 30, 5, 15], [12, 6, 10, 9, 11, 26, 14, 13, 21], [16, 17, 18, 22, 25, 23], [24, 28, 27, 42, 31], [29, 34, 32, 37, 39, 47, 36, 33], [41, 43, 40, 44, 46], [54, 45, 53, 50, 38, 48, 52], [55, 49, 58, 51, 57, 56, 60, 59]]
23: [[7, 2, 35, 1], [19, 4, 3, 20, 8, 30, 5, 15, 10, 11, 14], [9, 12, 6, 13, 29, 17, 16, 22, 23, 21, 31], [18, 25, 24, 28, 26, 27, 39, 33, 42, 52], [32, 38, 37, 34, 36, 46, 41, 40, 43, 44, 45, 47, 58, 48, 53, 50, 51], [49, 54, 55, 59, 56, 57, 60]]
24: [[7, 2, 35], [1, 19, 4, 3], [20, 8, 30, 5, 15], [12, 6, 10, 9, 11, 26, 14, 13, 21], [16, 17, 18, 22, 25, 23], [24, 28, 27, 42, 31], [29, 34, 32, 37, 39, 47, 36, 33], [41, 43, 40, 44, 46], [54, 45, 53, 50, 38, 48, 52], [55, 49, 58, 51, 57, 56, 60, 59]]
25: [[7, 2, 35, 1], [19, 4, 3, 20, 8, 30, 5, 15, 10, 11, 14], [9, 12, 6, 13, 29, 17, 16, 22, 23, 21, 31], [18, 25, 24, 28, 26, 27, 39, 33, 42, 52], [32, 38, 37, 34, 36, 46, 41, 40, 43, 44, 45, 47, 58, 48, 53, 50, 51], [49, 54, 55, 59, 56, 57, 60]]
26: [[7, 2, 35, 1], [19, 4, 3, 20, 8, 30, 5, 15, 10, 12, 11, 9, 13, 6, 14, 22, 17, 16, 18, 23, 21, 25, 27, 24, 26, 29, 28, 31, 45, 32, 44, 53, 36, 37, 38, 34, 39, 46, 41, 40, 43, 42, 47, 33, 58, 48], [54, 50, 49, 51, 55, 52, 59, 57, 56, 60]]
27: [[7, 2, 35, 1], [19, 4, 3, 20], [8, 30, 5], [15, 18, 10, 6, 9, 11, 13, 12, 14, 16, 21, 22, 17, 26], [27, 31, 28, 25, 23], [29, 42, 24, 37], [32, 48], [33, 36, 38, 39, 40, 45, 34], [41, 46, 47, 50], [49, 43, 44, 51, 54], [52, 55, 53, 56, 57, 59, 58, 60]]
28: [[7, 2, 35], [1, 19, 4, 3, 20], [8, 30, 5, 15, 18, 6, 9, 13, 29, 26, 10, 11, 12, 14, 24, 16, 21, 22, 23, 17, 25, 28, 27, 31, 33, 34, 36, 37, 39, 42, 38, 41, 44, 46, 43, 52, 32, 40, 47, 56, 45, 48, 54, 50, 49, 51, 53, 55, 58, 57, 59, 60]]
29: [[7, 2, 35], [1, 19, 4, 3, 20], [8, 30, 5, 15, 18, 14, 9, 13, 6, 12, 26, 27, 28, 10, 24, 11, 25, 22, 16, 17, 21, 42, 59, 31, 23, 29, 36, 37, 39, 32, 38, 45, 34, 44, 41, 43, 52, 40, 46, 47, 53, 51, 54, 49, 33, 48, 50, 55, 58, 56, 60, 57]]
30: [[7, 2, 35, 1], [19, 4, 3, 20], [8, 30, 5, 15, 18, 13, 12, 9, 11, 10, 14, 23, 21, 27, 16, 6, 17, 24, 29, 22, 31, 41, 25, 26, 28, 33, 32, 36, 45, 46, 34, 38, 42, 44, 43, 37, 39, 47, 40, 59, 50, 48, 52, 53, 49], [55, 56, 51, 58, 54, 57, 60]]
31: [[7, 2, 35, 1], [19, 4, 3, 20, 8], [30, 5, 15, 18, 10], [11, 9, 13, 12, 14, 6, 17, 16, 21, 23, 25, 28, 22, 24, 26, 27, 31, 32, 29, 36, 44, 33, 40, 41, 37, 39, 34, 38, 42, 46, 43, 47, 45, 49, 51, 60, 50, 52, 48, 54, 59, 53, 55, 57, 56, 58]]
32: [[7, 2, 35], [1, 19, 4, 3], [20, 8, 30, 5, 15], [28, 6, 11, 12], [9, 29, 10, 13, 21], [14, 17, 22, 16, 24, 18], [23, 27, 25, 58, 26], [31, 37, 32, 38, 33, 46, 36], [34, 39, 43, 40, 41, 47, 52, 45], [44, 50, 42, 51, 48], [49, 53, 55, 54, 56, 60, 57, 59]]
33: [[7, 2, 35, 1], [19, 4, 3, 20, 8], [30, 5, 15, 6], [18, 13, 9, 26, 10, 11, 14, 21, 17, 12, 16], [23, 25, 24, 22, 28, 27, 39, 31], [60, 37, 50, 36, 38, 29, 41, 33, 47, 46, 34, 42, 40, 32, 43, 44, 49], [45, 52, 48, 51, 54, 53, 55, 57, 58, 56], [59]]
34: [[7, 2, 35, 1], [19, 4, 3, 20, 8, 30, 5, 15, 11, 13, 6, 9, 14, 10, 12, 21, 17, 18, 23, 22, 16, 24, 25, 26, 29, 31, 27, 44, 28, 59, 36, 32, 33, 41, 38, 39, 34, 43, 46, 56, 37, 40, 42], [53, 51, 45, 54, 47, 52, 48, 50, 49, 55, 57, 58, 60]]
35: [[7, 35, 1, 2], [19, 4, 3, 20], [8, 30, 5, 15, 14, 16, 9, 6], [13, 11, 17, 12, 22, 21], [28, 23, 27, 18], [31, 24, 26, 29, 10], [25, 37, 32, 36], [39, 33, 34, 40, 41], [38, 45, 43, 44, 53, 42, 46, 47, 50, 48, 52], [60, 49, 51], [55, 54, 56, 58], [57, 59]]
36: [[7, 2, 35, 1], [19, 4, 3, 20, 8], [30, 5, 15, 10, 12, 14, 9, 13, 6, 18, 11, 16, 21, 23, 22, 17, 31, 26, 24, 27, 44, 25, 29, 28, 32, 34, 38, 37, 36, 33, 46, 39, 40, 41, 42, 47, 43, 45, 48, 50, 49, 51, 54], [53, 52, 55, 58, 59, 57, 60, 56]]
37: [[7, 2, 35, 1, 19], [4, 3, 20, 8, 30], [5, 15, 29, 11, 9, 10, 12], [6, 17, 13, 21, 14, 22, 16, 23], [31, 27, 18, 24, 26, 25], [28, 47, 44, 33, 32], [38, 37, 39, 34, 41, 36, 40, 42, 43, 46, 48, 45, 51], [49, 50, 56, 52, 54, 57, 53, 55, 59, 58, 60]]
38: [[7, 2, 35, 1, 19], [4, 3, 20, 8, 30, 5, 15], [12, 14, 11, 10, 13, 6, 9], [22, 21, 24, 17], [23, 16, 18, 27, 31, 26, 28, 29], [25, 33, 36, 41, 52, 32], [34, 37, 45, 39, 46, 40], [42, 43, 44, 38, 47, 58, 48], [51, 50, 53, 54, 55], [59, 49, 56, 57, 60]]
39: [[7, 2, 35, 1], [19, 4, 3, 20, 8], [30, 5, 15, 18, 11], [14, 9, 12, 6, 13, 10, 17, 16, 21, 23, 25], [29, 22, 27, 24, 26, 31, 33, 28, 37, 42, 32], [40, 34, 41, 39, 36, 38, 44, 46, 43, 47], [45, 48, 51, 60, 49, 52, 50], [55, 58, 53, 54, 56, 57, 59]]
40: [[7, 2, 35, 1], [19, 4, 3, 20], [8, 30, 5, 15, 18], [11, 12, 25, 6, 14, 9, 23], [10, 13, 16, 22, 17, 24, 31, 21], [27, 41, 29, 26, 28, 33], [32, 36, 45, 34, 38, 37, 42, 44, 43, 40, 39, 47, 48, 46, 50, 51, 52, 53, 49], [54, 57, 55, 58, 56, 59, 60]]
41: [[7, 2, 35, 1, 19], [4, 3, 20, 8, 30, 5, 15], [12, 10, 27, 14], [13, 6, 9, 11, 21, 17, 24, 16], [18, 22, 25, 23, 26, 29], [31, 28, 37, 32, 36], [52, 38, 46, 33, 45, 34], [39, 40, 41, 55, 43], [44, 53, 50, 42, 48], [56, 47, 54, 49, 58, 57, 51, 60, 59]]
42: [[7, 2, 35], [1, 19, 4, 3], [20, 8, 30, 5, 15], [27, 6, 10, 14, 9, 24, 11, 13, 21], [12, 17, 23, 22, 28], [16, 25, 18, 29, 58, 26, 31, 37, 34], [38, 33, 46, 36], [32, 39, 43, 40, 41, 42, 55, 45, 44, 50, 47, 48, 51, 49, 52, 53, 54, 56, 60, 57, 59]]
43: [[7, 2, 35, 1, 19], [4, 3, 20, 8, 30, 5, 15, 26, 11, 6, 9, 12, 13, 29, 10, 14], [18, 21, 22, 16, 24, 17, 28, 27, 56, 23, 25, 33, 34, 32, 36, 31, 37, 39], [44, 41, 38, 43, 42, 46, 47, 45, 40, 50], [51, 48, 49, 54, 55, 52, 53, 58, 59, 60, 57]]
44: [[7, 2, 35, 1], [19, 4, 3, 20, 8, 30, 5, 15, 14, 12, 9], [25, 10, 6, 26, 27, 13, 21, 18, 11, 23, 16], [22, 31, 24, 45, 32, 29, 17], [28, 33, 37, 34, 39], [38, 40, 36, 46, 42, 44], [47, 43, 41, 50, 48], [51, 53, 52, 54, 55, 49, 57, 60, 58], [59, 56]]
45: [[7, 2, 35, 1, 19, 4, 3, 20, 8, 30, 5, 15, 27], [11, 10, 6, 9, 24, 12, 13, 21, 14, 17, 18, 16, 28, 22, 23, 25, 29, 58, 26, 31, 47, 32, 38, 33, 45, 36, 39, 42, 43, 34, 41, 37, 59, 44, 40], [50, 46, 48, 49, 51, 52, 53, 54, 55, 60, 56, 57]]
46: [[7, 2, 35, 1, 19], [4, 3, 20, 8], [30, 5, 15, 18, 12, 9, 25, 13, 11, 14, 17, 16, 24, 23, 28, 22, 26, 10, 21, 6], [43, 59, 27, 29, 31, 33, 36, 32, 40, 34, 38, 41, 39, 37, 42, 44, 51, 45, 54, 46, 48, 52, 47, 50, 49, 57, 53, 60, 55, 58, 56]]
47: [[7, 2, 35, 1], [19, 4, 3, 20, 8, 30, 5, 15, 14, 12, 9], [6, 10, 11, 22, 13, 21, 17], [26, 16, 18, 27, 25], [23, 29, 24, 28, 45, 34], [44, 33, 37, 38, 32], [31, 36, 40, 46, 42, 60, 43, 41, 39], [54, 48], [49, 53, 52, 55, 47, 58, 57, 59, 50, 51, 56]]
48: [[7, 2, 35, 1], [19, 4, 3, 20, 8], [30, 5, 15, 18, 14, 10, 11, 6, 13, 27, 12, 21, 16, 9, 17, 22, 24, 26, 29, 25], [47, 28, 23, 31, 32, 41, 34, 33, 37, 38, 36, 39, 45, 42, 43, 44, 40, 50, 46, 51, 48, 55, 53, 54, 52, 56, 57, 59, 58, 60, 49]]
49: [[7, 2, 35, 1], [19, 4, 3, 20, 8], [30, 5, 15, 6, 9], [10, 11, 13], [26, 14, 17], [21, 12, 16, 18, 23, 22, 28, 24, 31, 25, 27, 29, 34, 33, 32, 38, 39], [37, 36, 43, 44, 40, 41, 45, 46, 42, 51, 58, 48], [47, 52, 49, 50, 54, 55, 53, 56, 59, 57, 60]]
50: [[7, 2, 35, 1, 19], [4, 3, 20, 8, 30, 5], [15, 26, 14, 9, 11], [12, 10, 13, 21, 6], [17, 18, 16, 23, 24, 25, 22, 27, 29, 28, 45, 31, 32, 34, 37, 33, 39], [36, 46, 43, 38, 41, 40, 42, 44, 51, 47, 50, 48, 55, 58, 53, 49, 57, 59, 52, 54, 60, 56]]
51: [[7, 2, 35, 1], [19, 4, 3, 20, 8, 30, 5, 15, 10, 6, 13, 12, 9, 11, 21], [14, 23, 17, 28, 16, 18, 25, 22, 24, 26, 27, 29, 47, 60, 39, 50, 36, 38, 45, 31, 33, 40, 46, 34, 58, 42, 32, 37, 44, 49, 41, 43, 48, 51, 52, 53, 55, 57], [54], [56, 59]]
52: [[7, 2, 35, 1], [19, 4, 3, 20], [8, 30, 5, 15, 18, 9], [10, 26, 11, 13, 28, 17, 6, 12, 16, 22, 14], [23, 29, 21, 25, 37, 56, 27, 24, 31, 38, 33, 42, 41], [34, 47, 39, 44], [36, 40, 43, 46, 53], [52, 51, 45, 32, 49, 55, 54, 48, 50, 59, 58, 60, 57]]
53: [[7, 2, 35, 1], [19, 4, 3, 20, 8], [30, 5, 15, 10, 27, 6, 11, 13, 12, 26, 9, 22], [14, 18, 16, 25, 24, 21, 28, 17, 23, 31, 29, 37, 33, 34, 32, 36, 38, 39, 42, 40, 41, 43, 44, 50, 46, 45, 52, 51, 47, 48, 59, 49, 54, 55, 58, 53, 56, 57, 60]]
54: [[7, 2, 35, 1], [19, 4, 3, 20], [8, 30, 5], [15, 18, 10, 6, 11, 9, 12, 13, 14, 16, 21, 29, 22, 26], [25, 27, 28, 24, 31], [23, 43, 17, 37], [46, 52, 32, 39, 38, 33, 36], [40, 34, 41, 42, 44, 51, 49, 50, 45], [47, 54, 48, 55, 58], [57, 53, 59, 56, 60]]
55: [[7, 2, 35, 1], [19, 4, 3, 20, 8, 30], [5, 15, 11, 6, 13, 9, 12, 10, 14, 17, 25, 18], [21, 16, 23, 26, 22, 27, 24, 29, 28, 59, 31, 32, 33, 34, 36, 38, 40, 37, 41, 42, 43, 39, 44, 45, 46, 47, 58, 51, 49, 52, 50, 48, 53, 56, 57], [54, 55, 60]]
56: [[7, 2, 35, 1], [19, 4, 3, 20, 8, 30, 5, 15, 11, 12, 10], [25, 14, 6, 27, 13, 29, 24, 18, 9, 23, 16, 17, 44, 60, 21, 22, 26, 28, 31, 37, 32, 34, 33, 47, 36, 38, 58, 39, 41, 43, 46, 45, 40, 50, 49, 42, 59], [48, 51], [57, 53, 54, 52, 55, 56]]
57: [[7, 2, 35, 1, 19], [4, 3, 20, 8], [30, 5, 15, 18], [14, 10, 13, 9, 12, 29, 21, 16, 11, 17, 6], [24, 27, 22, 26, 25, 41, 56, 23], [28, 31, 34, 37, 39, 32, 38, 46, 33, 44, 43, 36, 55, 42, 45, 40, 50, 48, 49, 54, 47, 51], [53, 52, 57, 58, 60, 59]]
58: [[7, 2, 35, 1], [19, 4, 3, 20, 8], [30, 5, 15, 18], [9, 10, 11, 6, 13], [28, 12, 21, 17, 16, 14, 22, 23, 31, 26, 25, 47, 24], [27, 29, 32, 40, 33, 34, 41, 38, 36, 39, 44, 37, 42, 43, 45, 53, 50, 51, 49, 55, 46, 54, 52, 48, 56, 60, 58, 59, 57]]
59: [[7, 2, 35], [1, 19, 4, 3], [20, 8, 30, 5], [15, 10, 11, 13, 9], [16, 12, 6, 17, 21, 14, 29], [24, 22, 18, 23, 26, 27, 31, 25], [28, 36, 32, 33, 34, 37], [38, 39, 42, 46, 44], [43, 47, 40, 53, 54, 51, 41, 45, 48, 52], [50, 56, 49, 55, 60, 58, 59, 57]]
60: [[7, 2, 35, 1], [19, 4, 3, 20, 8, 30, 5], [15, 6, 9, 10], [11, 16, 13, 28], [12, 21, 17, 24, 14, 18, 22, 31, 25, 23, 45, 27, 26, 29, 36, 40, 33, 32, 34, 38, 37, 39, 47, 41, 42, 53], [44, 43, 55, 51], [48, 46, 50, 49, 52], [54, 56, 59, 58, 57, 60]]
61: [[7, 2, 35, 1], [19, 4, 3, 20, 8, 30, 5, 15, 9, 13, 22, 10, 6, 11, 12, 14, 21, 27, 18, 17, 26, 23, 25, 24, 31, 16, 28, 29, 37, 32, 33, 52, 45, 38, 36, 39, 42, 44, 43, 40, 34, 41, 46, 48, 50, 47, 55, 51, 49, 54, 58, 53, 57, 56], [59, 60]]
62: [[7, 2, 35, 1], [19, 4, 3, 20, 8, 30, 5, 15, 9, 10, 6, 11, 12, 14, 21], [13, 23, 17, 29, 16, 22], [31, 27, 18, 24, 25, 28, 47, 60, 32, 33, 34], [37, 26, 38, 36, 46, 40, 41, 59, 42, 43, 39, 55, 51], [45, 56, 49, 53, 44, 54, 52, 57, 48, 50, 58]]
63: [[7, 2, 35, 1, 19, 4, 3, 20, 8, 30, 5, 15, 18, 11], [9, 10, 6, 12, 29, 13, 21, 14, 16, 23, 22, 17, 27, 26, 25, 47, 24, 28, 31, 32, 40, 34, 36, 41, 38, 33, 39, 44, 37, 42, 43, 45], [51, 46, 48, 49, 53, 50, 54, 52, 59, 55, 60, 58, 57, 56]]
64: [[7, 2, 35, 1, 19], [4, 3, 20, 8, 30], [5, 15, 29, 11, 10, 6, 12], [14, 13, 9, 18, 23, 17, 16, 21], [24, 26, 25, 27, 28, 22], [31, 47, 32, 33, 52], [41, 37, 39, 38, 34, 36, 42, 43, 49, 44, 40, 46, 51], [45, 54, 58, 48, 50, 55, 53, 57, 59, 60, 56]]
65: [[7, 2, 35, 1], [19, 4, 3, 20, 8], [30, 5, 15, 26, 10, 13, 17, 6, 12, 28], [9, 11, 14, 29, 18, 22, 23], [24, 16, 25, 40], [21, 27, 31, 33, 34, 32], [41, 43, 37, 36], [38, 45, 42, 44, 39, 46, 55, 53, 48], [47, 49, 57, 50, 51, 52, 56, 59, 54, 58, 60]]
66: [[7, 2, 35], [1, 19, 4, 3, 20], [8, 30, 5, 15, 10, 13, 11, 9, 17, 12], [16, 6, 21, 14, 29, 24, 18], [22, 23, 26, 25], [31, 27, 28, 36, 32, 33], [34, 39, 38, 37, 55], [46, 44, 42, 43, 40, 41, 47, 49, 50, 45, 48, 52, 54, 53, 51, 59, 58, 57, 56, 60]]
67: [[7, 2, 35, 1], [19, 4, 3, 20, 8], [30, 5, 15, 6, 11, 10, 9, 13], [26, 14, 17, 21, 12, 16], [18, 23, 22, 28, 24, 25, 27, 31, 29, 39, 33], [32, 38, 34, 37, 36, 41], [45, 46, 40, 43, 59, 42, 44, 58, 50, 47, 52, 48, 51, 49, 55, 53, 56, 54, 57, 60]]
68: [[7, 2, 35, 1], [19, 4, 3, 20, 8], [30, 5, 15, 26, 11, 14], [25, 13, 9, 10, 18], [21, 16, 12, 6, 23, 17, 31, 22, 24, 27, 28, 32, 29, 36, 42, 49, 34, 39, 33, 38, 37, 46, 43, 41, 47, 40, 44, 48, 50, 51, 45, 56, 52, 55, 59, 53, 58, 54, 60], [57]]
69: [[7, 2, 35, 1], [19, 4, 3, 20, 8], [30, 5, 15, 6, 11, 10, 9, 13], [26, 14, 17, 21, 12, 16], [18, 23, 22, 28, 24, 25, 27, 31, 29, 39, 33], [32, 38, 34, 37, 36, 41], [45, 46, 40, 43, 59, 42, 44, 58, 50, 47, 52, 48, 51, 49, 55, 53, 56, 54, 57, 60]]
70: [[7, 2, 35, 1], [19, 4, 3, 20], [8, 30, 5, 15, 18, 10, 14], [6, 12, 9, 11, 13], [17, 21, 25, 16], [23, 28], [22, 24, 26, 27, 31, 32, 29], [38, 34, 36, 40], [37, 39, 41, 45, 33], [42, 44, 43, 47, 46, 49, 51, 60, 55, 56, 48, 54, 59, 53, 50, 58, 52, 57]]
71: [[7, 2, 35, 1, 19], [4, 3, 20, 8, 30, 5, 15, 14, 6], [9, 22, 12, 11, 18, 16, 13, 28, 17, 10, 21], [23, 27, 24, 26, 25, 31, 29, 39, 33, 34, 52, 32, 37, 38, 42, 36, 46, 41, 40, 47, 43, 45, 55, 51, 44, 54, 57, 49, 48, 53, 50, 59, 60, 58, 56]]
72: [[7, 2, 35, 1, 19, 4], [3, 20, 8, 30, 5, 15, 18, 10, 6, 25, 13, 9, 11, 22, 14, 28, 21, 12, 17, 16, 23, 31, 26, 44, 27, 29, 24, 37, 32, 36, 33, 42, 39, 45, 40, 38, 43, 41, 34, 46, 47, 57, 50, 49, 54, 51, 48, 53], [52, 55, 59, 56, 58, 60]]
73: [[7, 2, 35, 1, 19], [4, 3, 20, 8, 30], [5, 15, 26, 10, 6, 9, 13], [12, 11, 23, 14], [22, 16], [18, 17, 21, 28], [25, 29, 24, 27, 31, 55, 37, 32], [39, 36, 34, 33, 40, 41, 43, 42, 38, 53, 47], [44, 45, 50, 46, 48, 51, 49, 52, 57, 56, 58, 59, 54, 60]]
