0: [[9, 7], [22, 6, 2, 1, 37, 3, 4, 27], [5, 12, 14, 11], [8, 15, 10], [24, 29, 18], [17, 13, 20, 16, 19, 23, 21], [25, 26, 28], [30, 31, 32, 35, 33, 34], [36]]
35: [[9, 7], [22, 6, 2, 1, 37, 3, 4, 27], [5, 12, 14], [11, 8, 15, 10], [24, 29, 18, 17, 13, 20], [16, 19, 23, 21, 25, 26, 28, 30, 31, 32, 35, 33, 34, 36]]
36: [[9, 7, 22], [6, 2, 1], [37, 3, 4], [27, 5, 12], [14, 11, 8], [15, 10], [24, 29, 18], [17, 13, 20], [16, 19, 23], [21, 25, 26], [28, 30, 31], [32, 35, 33, 34], [36]]
37: [[9, 7, 22], [6, 2, 1], [37, 3, 4], [27, 5, 12], [14, 11, 8], [15, 10], [24, 29, 18], [17, 13, 20], [16, 19, 23], [21, 25, 26], [28, 30, 31], [32, 35, 33, 34], [36]]
38: [[9, 7, 22], [6, 2, 1], [37, 3], [4, 27, 5], [12, 14], [11, 8, 15], [10, 24], [29, 18, 17], [13, 20, 16], [19, 23, 21], [25, 26, 28], [30, 31, 32], [35, 33, 34], [36]]
39: [[9, 7], [22, 6, 2, 1, 37], [3, 4, 27], [5, 12, 14], [11, 8, 15, 10, 24, 29], [18], [17, 13, 20, 16, 19, 23, 21, 25, 26, 28, 30, 31, 32, 35, 33, 34, 36]]
40: [[9, 7, 22, 6], [2, 1, 37, 3, 4, 27], [5, 12, 14, 11, 8, 15, 10, 24, 29, 18, 17, 13, 20], [16, 19, 23, 21, 25, 26, 28, 30, 31, 32, 35, 33, 34, 36]]
41: [[9, 7], [22, 6], [2, 1], [37, 3, 4], [27, 5, 12], [14, 11, 8], [15, 10, 24, 29], [18, 17, 13, 20], [16, 19, 23], [21, 25, 26], [28, 30, 31], [32, 35, 33, 34], [36]]
42: [[9, 7, 22], [6, 2, 1, 37, 3, 4, 27, 5], [12, 14, 11, 8], [15, 10, 24, 29, 18, 17, 13, 20, 16, 19, 23], [21, 25, 26, 28, 30, 31, 32, 35, 33], [34, 36]]
43: [[9, 7], [22, 6, 2, 1, 37, 3, 4, 27], [5, 12, 14, 11, 8, 15], [10], [24, 29, 18, 17, 13, 20, 16, 19, 23, 21, 25, 26, 28, 30, 31, 32, 35, 33], [34, 36]]
44: [[9, 7], [22, 6], [2, 1, 37], [3, 4, 27, 5], [12, 14, 11], [8, 15, 10], [24, 29, 18, 17], [13, 20, 16, 19], [23, 21, 25], [26, 28], [30, 31], [32, 35, 33, 34, 36]]
45: [[9, 7], [22, 6, 2, 1], [37, 3], [4, 27, 5, 12, 14, 11, 8, 15, 10, 24, 29, 18, 17, 13, 20, 16, 19, 23, 21, 25, 26, 28, 30, 31, 32, 35, 33, 34, 36]]
46: [[9, 7], [22, 6, 2], [1, 37, 3], [4, 27, 5], [12, 14, 11], [8, 15, 10], [24, 29, 18], [17, 13], [20, 16, 19], [23, 21, 25, 26], [28, 30, 31, 32], [35], [33, 34, 36]]
47: [[9, 7, 22], [6, 2, 1], [37, 3, 4], [27, 5, 12], [14, 11, 8, 15, 10, 24, 29], [18, 17, 13], [20, 16, 19, 23, 21, 25], [26], [28], [30, 31, 32], [35, 33, 34, 36]]
48: [[9, 7, 22, 6, 2, 1, 37, 3], [4, 27, 5, 12], [14, 11, 8, 15, 10, 24, 29, 18, 17, 13, 20], [16, 19, 23, 21, 25, 26, 28, 30, 31], [32, 35], [33, 34, 36]]
49: [[9, 7, 22], [6, 2, 1], [37, 3, 4], [27, 5], [12, 14, 11], [8, 15, 10], [24, 29, 18], [17, 13, 20], [16, 19, 23, 21], [25, 26], [28, 30, 31, 32, 35], [33, 34, 36]]
50: [[9, 7], [22, 6], [2, 1, 37], [3, 4, 27], [5, 12, 14, 11], [8, 15, 10], [24, 29, 18, 17, 13, 20, 16, 19, 23, 21, 25], [26, 28, 30, 31, 32, 35, 33, 34, 36]]
51: [[9, 7, 22], [6, 2, 1], [37, 3, 4], [27], [5, 12, 14, 11, 8, 15, 10], [24, 29, 18, 17, 13, 20, 16, 19, 23, 21, 25, 26, 28, 30, 31, 32, 35, 33, 34, 36]]
52: [[9, 7, 22], [6, 2, 1], [37, 3, 4], [27, 5, 12], [14, 11], [8, 15, 10, 24, 29, 18], [17, 13, 20, 16], [19, 23, 21, 25], [26, 28, 30, 31, 32, 35, 33, 34, 36]]
53: [[9, 7], [22, 6, 2], [1, 37], [3, 4, 27], [5, 12, 14], [11, 8, 15], [10, 24, 29], [18, 17, 13], [20, 16, 19], [23, 21, 25, 26], [28, 30, 31, 32], [35, 33, 34, 36]]
54: [[9, 7, 22], [6, 2, 1], [37, 3, 4], [27], [5, 12, 14, 11, 8, 15, 10, 24, 29, 18, 17, 13, 20, 16, 19, 23, 21, 25, 26, 28, 30, 31, 32, 35, 33, 34, 36]]
55: [[9, 7], [22, 6], [2, 1, 37], [3, 4, 27], [5, 12, 14, 11], [8, 15, 10, 24], [29, 18, 17], [13, 20, 16], [19, 23, 21, 25], [26, 28, 30, 31, 32], [35, 33], [34, 36]]
56: [[9, 7], [22, 6, 2, 1], [37, 3, 4, 27], [5, 12, 14], [11, 8, 15, 10, 24], [29, 18, 17, 13], [20, 16, 19, 23, 21, 25, 26, 28], [30, 31, 32, 35], [33, 34, 36]]
57: [[9, 7, 22], [6, 2, 1], [37, 3, 4, 27, 5, 12, 14, 11], [8, 15, 10, 24], [29, 18, 17, 13, 20, 16, 19, 23], [21, 25, 26, 28, 30, 31, 32, 35, 33], [34, 36]]
58: [[9, 7], [22, 6, 2, 1], [37, 3, 4, 27], [5, 12, 14], [11], [8, 15, 10, 24, 29, 18, 17, 13, 20, 16, 19, 23, 21, 25, 26, 28, 30, 31], [32, 35, 33, 34, 36]]
59: [[9, 7], [22, 6, 2], [1, 37, 3], [4, 27, 5], [12, 14, 11, 8], [15, 10, 24], [29, 18, 17], [13, 20, 16, 19, 23], [21, 25, 26], [28, 30, 31], [32, 35, 33, 34], [36]]
60: [[9, 7], [22, 6, 2], [1, 37, 3], [4, 27, 5, 12, 14], [11, 8], [15, 10, 24, 29, 18, 17, 13, 20, 16, 19, 23, 21, 25, 26, 28, 30, 31, 32, 35, 33, 34, 36]]
61: [[9, 7], [22, 6], [2, 1, 37], [3, 4], [27, 5], [12, 14, 11], [8, 15, 10], [24, 29, 18, 17], [13, 20, 16, 19], [23, 21, 25], [26, 28, 30], [31, 32, 35, 33], [34, 36]]
62: [[9, 7], [22, 6, 2], [1, 37, 3], [4, 27, 5], [12, 14, 11], [8, 15, 10, 24, 29, 18, 17], [13, 20, 16], [19, 23, 21, 25, 26, 28], [30], [31, 32, 35, 33, 34, 36]]
63: [[9, 7], [22, 6], [2, 1, 37, 3, 4, 27, 5, 12, 14, 11, 8, 15, 10, 24, 29, 18, 17, 13, 20, 16, 19, 23, 21, 25, 26, 28, 30, 31, 32, 35, 33, 34, 36]]
64: [[9, 7], [22, 6, 2], [1, 37], [3, 4], [27], [5, 12, 14, 11, 8, 15, 10, 24, 29, 18, 17, 13, 20, 16, 19, 23, 21, 25, 26, 28, 30, 31, 32, 35, 33, 34, 36]]
65: [[9, 7, 22], [6, 2, 1], [37, 3, 4, 27], [5, 12, 14, 11], [8, 15, 10, 24], [29, 18, 17], [13, 20, 16], [19, 23, 21, 25], [26, 28, 30], [31, 32, 35], [33, 34, 36]]
66: [[9, 7, 22, 6], [2, 1], [37, 3, 4, 27, 5], [12, 14, 11, 8, 15, 10, 24, 29, 18, 17, 13, 20, 16, 19, 23, 21, 25, 26, 28, 30, 31, 32, 35, 33, 34, 36]]
67: [[9, 7], [22], [6, 2, 1, 37, 3, 4, 27, 5, 12, 14, 11, 8, 15, 10, 24, 29, 18, 17, 13, 20, 16, 19, 23, 21, 25, 26, 28, 30, 31, 32, 35, 33, 34, 36]]
68: [[9, 7], [22, 6], [2, 1, 37], [3, 4], [27, 5, 12], [14, 11], [8, 15, 10, 24], [29], [18, 17, 13], [20, 16, 19], [23, 21, 25], [26, 28, 30, 31, 32, 35], [33], [34, 36]]
69: [[9, 7], [22, 6, 2], [1, 37, 3], [4, 27, 5], [12, 14, 11], [8, 15, 10], [24], [29, 18, 17, 13, 20, 16, 19, 23, 21, 25, 26, 28, 30, 31, 32, 35, 33, 34, 36]]
70: [[9, 7], [22, 6, 2], [1, 37, 3], [4, 27, 5], [12, 14, 11], [8, 15, 10], [24], [29, 18, 17, 13, 20, 16, 19, 23, 21, 25, 26, 28, 30, 31, 32, 35, 33, 34, 36]]
71: [[9, 7], [22, 6], [2, 1, 37], [3], [4, 27, 5], [12, 14, 11, 8, 15, 10, 24, 29, 18, 17, 13, 20, 16, 19, 23, 21, 25, 26, 28, 30], [31, 32, 35, 33, 34, 36]]
72: [[9, 7, 22], [6, 2, 1], [37], [3, 4, 27, 5], [12, 14, 11, 8], [15, 10, 24], [29, 18, 17, 13], [20, 16, 19, 23], [21, 25, 26], [28, 30, 31], [32, 35, 33], [34, 36]]
73: [[9, 7], [22, 6, 2], [1, 37, 3], [4, 27, 5], [12, 14, 11], [8, 15, 10, 24], [29, 18, 17], [13, 20, 16], [19, 23, 21, 25, 26], [28, 30, 31, 32], [35, 33, 34, 36]]
