0: [[2, 9, 1], [5, 3, 6, 4], [10, 14], [15, 8], [7, 11], [12, 13], [16, 18], [17, 19, 20], [21, 22, 23, 24]]
23: [[2], [3], [6, 4, 10, 14, 15], [8, 7], [11, 12, 5], [13, 16], [18, 17, 9], [19, 20, 1], [21, 22, 23, 24]]
24: [[2], [3, 6, 4, 10, 5], [14, 15, 8], [7, 11, 12], [13, 16, 18], [17, 19, 9, 1], [20, 21], [22, 23, 24]]
25: [[2], [3, 6, 9], [4, 10, 5], [14, 15], [8, 7, 11, 12], [13, 16, 18, 17, 1], [19, 20], [21, 22, 23, 24]]
26: [[2], [3, 6, 9], [4, 10], [14, 15, 8, 5], [7, 11], [12, 13, 1], [16, 18, 17, 19], [20, 21], [22, 23, 24]]
27: [[2, 9], [1, 5, 3, 6, 4, 10, 14, 15, 8, 7, 11, 12, 13, 16, 18, 17, 19, 20, 21, 22], [23, 24]]
28: [[2], [3, 6, 9], [4, 10, 5], [14, 15], [8, 7, 11], [12, 13, 16, 18, 17], [19, 20, 1], [21, 22], [23, 24]]
29: [[2], [3], [6, 4, 9, 5], [10, 14], [15, 8, 7], [11, 12, 13], [16, 18, 17], [19, 20, 21, 1], [22, 23, 24]]
30: [[2], [3, 6, 4, 10, 5], [14, 15], [8, 7, 11], [12, 13, 16, 18], [17, 19, 9, 1], [20, 21], [22, 23, 24]]
31: [[2], [3, 6], [4, 10], [14, 15], [8, 7, 9, 5], [11, 12, 13, 1], [16, 18], [17, 19, 20, 21, 22], [23, 24]]
32: [[2], [3, 6, 4, 10], [14, 15], [8, 7, 9], [11, 12, 5], [13, 16, 18], [17, 19, 20, 1], [21, 22], [23, 24]]
33: [[2], [3], [6, 4, 10, 9, 5], [14, 15], [8, 7, 11], [12, 13, 16, 18, 17], [19, 20, 1], [21, 22], [23, 24]]
34: [[2, 9, 1], [5, 3, 6], [4, 10], [14, 15], [8, 7], [11, 12, 13], [16, 18, 17], [19, 20, 21, 22], [23, 24]]
35: [[2], [3, 6], [4, 10], [14, 15], [8, 7, 9, 5], [11, 12, 13, 1], [16, 18], [17, 19, 20, 21], [22, 23, 24]]
36: [[2], [3, 6, 9], [4, 10, 5], [14, 15], [8, 7, 11, 12], [13, 16, 18, 17, 1], [19, 20], [21, 22], [23, 24]]
37: [[2], [6, 9], [4, 10, 3], [14, 15], [8, 7], [11, 12], [13, 16, 1], [18, 17, 5], [19, 20, 21, 22], [23, 24]]
38: [[2], [3, 6], [4, 10], [14, 15], [8, 7, 5], [11, 12, 13, 16], [18, 17, 9], [19, 20, 21, 1], [22, 23, 24]]
39: [[2], [3], [6, 4, 10, 5], [14, 15], [8, 7, 9], [11, 12], [13, 16, 18, 17], [19, 20, 21, 22, 1], [23, 24]]
40: [[2, 9, 1, 5], [3, 6], [4, 10, 14], [15, 8, 7, 11, 12, 13, 16, 18, 17, 19, 20, 21, 22, 23, 24]]
41: [[2, 9, 1], [5, 3, 6], [4, 10], [14, 15, 8, 7], [11, 12, 13, 16, 18, 17, 19, 20, 21, 22, 23, 24]]
42: [[2, 9, 1, 5], [3, 6], [4, 10, 14, 15], [8, 7, 11, 12, 13, 16, 18, 17, 19, 20, 21, 22, 23, 24]]
43: [[2], [5], [3, 6, 4, 10], [14, 15, 8, 7, 9], [11, 12, 13, 16, 18, 17, 19, 20, 21, 22, 23, 24, 1]]
44: [[2, 9], [1, 5, 3, 6, 4, 10, 14, 15, 8, 7, 11, 12, 13], [16, 18, 17, 19, 20, 21, 22, 23, 24]]
45: [[2], [3, 6], [4, 10], [14, 15], [8, 7, 9, 5], [11, 12, 13, 16, 1], [18, 17, 19, 20, 21, 22, 23, 24]]
46: [[2], [5, 1], [3, 6, 4, 10, 14, 15, 8, 9], [7, 11, 12, 13, 16, 18, 17, 19, 20, 21, 22, 23, 24]]
47: [[2], [3, 6, 1], [4, 10], [14, 15], [8, 7, 9], [11, 12, 5], [13, 16, 18, 17], [19, 20, 21, 22, 23, 24]]
48: [[2], [5, 3], [6, 4, 9, 1], [10, 14, 15], [8, 7, 11, 12, 13, 16, 18, 17, 19, 20, 21, 22, 23, 24]]
49: [[2, 9], [1, 5, 3, 6], [4, 10], [14, 15], [8, 7, 11, 12, 13, 16, 18, 17, 19, 20, 21, 22, 23, 24]]
