0: [[9, 7, 11], [2, 13, 1], [5, 3, 6], [8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22, 4], [21, 23, 24]]
23: [[9, 7, 6, 11], [2, 13, 1], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
24: [[9, 7, 11, 6], [2, 13, 1], [5], [3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22, 4], [21, 23, 24]]
25: [[9, 7, 11, 6], [2, 13, 1], [5], [3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22, 4], [21, 23, 24]]
26: [[9, 7, 11, 6], [2, 13, 1], [5], [3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22, 4], [21, 23, 24]]
27: [[9, 6], [1, 2, 13], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17, 7, 11], [16, 18], [20, 22], [21, 23, 24]]
28: [[9, 6], [1, 2, 13], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17, 7, 11], [16, 18], [20, 22], [21, 23, 24]]
29: [[9, 6], [1, 2, 13], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17, 7, 11], [16, 18], [20, 22], [21, 23, 24]]
30: [[9, 6], [1, 2, 13], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17, 7, 11], [16, 18], [20, 22], [21, 23, 24]]
31: [[9, 6], [1, 2, 13], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17, 7, 11], [16, 18], [20, 22], [21, 23, 24]]
32: [[9, 6], [1, 2, 13], [4, 5], [3, 8, 12, 10, 15, 14, 19, 17, 7, 11], [16, 18], [20, 22], [21, 23, 24]]
33: [[9, 7, 11], [2, 13, 4, 1], [5, 3, 6], [8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
34: [[9], [1, 2, 13, 4], [5, 3, 6], [8, 12, 10, 15, 14, 19, 17, 7, 11], [16, 18], [20, 22], [21, 23, 24]]
35: [[9, 7, 6, 11], [2], [13, 4, 1], [5, 3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
36: [[9, 7, 6, 11], [2], [13, 4, 1], [5, 3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
37: [[9, 7, 6, 11], [2], [13, 4, 1], [5, 3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
38: [[9, 7, 6, 11], [2], [13, 4, 1], [5, 3, 8, 12, 10, 15, 14, 19, 17], [16, 18], [20, 22], [21, 23, 24]]
39: [[7, 6, 11], [1, 2, 13], [4, 5], [3, 8, 12, 10, 15, 14, 19], [17, 16, 9], [18, 20], [22, 21, 23, 24]]
40: [[7, 6, 11], [1, 2, 13], [4, 5], [3, 8, 12, 10, 15, 14, 19], [17, 16, 9], [18, 20], [22, 21, 23, 24]]
41: [[9], [1, 2], [13, 4, 6], [5, 3, 8, 12, 10, 15, 14, 19, 17, 7, 11], [16, 18], [20, 22], [21, 23, 24]]
42: [[9], [1, 2], [13, 4, 6], [5, 3, 8, 12, 10, 15, 14, 19, 17, 7, 11], [16, 18], [20, 22], [21, 23, 24]]
43: [[9], [1, 2], [13, 4, 6], [5, 3, 8, 12, 10, 15, 14, 19, 17, 7, 11], [16, 18], [20, 22], [21, 23, 24]]
44: [[7, 11], [1, 2, 9], [13, 4, 6], [5, 3, 8, 12, 10, 15, 14, 19], [17, 16], [18, 20], [22, 21, 23, 24]]
45: [[9, 7, 11], [2, 13, 1], [5, 3, 6], [8, 12, 10, 15, 14, 19, 17, 16], [18, 20], [22, 21, 4], [23, 24]]
46: [[9, 7, 11], [2, 13, 1], [5, 6], [3, 8, 12, 10, 15, 14, 19, 17, 16], [18, 20], [22, 21, 4], [23, 24]]
47: [[9, 7, 11], [2, 13, 1], [5, 6], [3, 8, 12, 10, 15, 14, 19, 17, 16], [18, 20], [22, 21, 4], [23, 24]]
48: [[11, 1, 9, 6], [2, 13], [4, 5, 3, 8, 12, 10, 15, 14, 19], [17, 16, 7], [18, 20], [22, 21, 23, 24]]
49: [[9, 7, 11], [2, 13, 4], [5, 3, 6], [8, 12, 10, 15, 14, 19], [17, 16, 1], [18, 20], [22, 21, 23, 24]]
