0: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
27: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
28: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
29: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
30: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
31: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
32: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
33: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
34: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
35: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
36: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
37: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
38: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
39: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
40: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
41: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
42: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
43: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
44: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
45: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
46: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
47: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
48: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
49: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
50: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
51: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
52: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
53: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
54: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
55: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
56: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
57: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
58: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
59: [[11, 8, 3, 4, 12], [17, 1, 6, 2, 9], [5, 13, 15, 16, 10, 14], [18, 7, 19, 22, 28, 23, 24], [25, 20, 21, 29, 26, 27]]
