0: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 14, 22, 19, 12, 18, 23], [28, 24], [29, 21, 26, 27, 25]]
23: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 12, 14, 19, 18, 22, 23], [28, 24], [29, 21, 26, 27, 25]]
24: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 14, 22, 18, 19, 12, 23], [28, 24], [29, 21, 26, 27, 25]]
25: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 14, 12, 19, 18, 23, 22], [28, 24], [29, 21, 26, 27, 25]]
26: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 14, 12, 19, 18, 22, 23], [28, 24], [29, 21, 26, 27, 25]]
27: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 18, 22, 12, 23, 19, 14], [28, 24], [29, 21, 26, 27, 25]]
28: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 14, 12, 18, 23, 19, 22], [28, 24], [29, 21, 26, 27, 25]]
29: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 14, 12, 19, 18, 22, 23], [28, 24], [29, 21, 26, 27, 25]]
30: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 18, 12, 19, 14, 23, 22], [28, 24], [29, 21, 26, 27, 25]]
31: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 12, 14, 19, 22, 23, 18], [28, 24], [29, 21, 26, 27, 25]]
32: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 12, 14, 18, 19, 23, 22], [28, 24], [29, 21, 26, 27, 25]]
33: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 12, 14, 23, 22, 19, 18], [28, 24], [29, 21, 26, 27, 25]]
34: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 18, 14, 23, 12, 19, 22], [28, 24], [29, 21, 26, 27, 25]]
35: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 18, 14, 19, 12, 23, 22], [28, 24], [29, 21, 26, 27, 25]]
36: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 18, 14, 23, 12, 19, 22], [28, 24], [29, 21, 26, 27, 25]]
37: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 18, 22, 19, 12, 23, 14], [28, 24], [29, 21, 26, 27, 25]]
38: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 12, 14, 18, 19, 23, 22], [28, 24], [29, 21, 26, 27, 25]]
39: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 12, 14, 22, 19, 18, 23], [28, 24], [29, 21, 26, 27, 25]]
40: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 14, 12, 19, 22, 18, 23], [28, 24], [29, 21, 26, 27, 25]]
41: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 14, 22, 19, 12, 23, 18], [28, 24], [29, 21, 26, 27, 25]]
42: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 18, 14, 19, 12, 23, 22], [28, 24], [29, 21, 26, 27, 25]]
43: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 18, 14, 19, 12, 23, 22], [28, 24], [29, 21, 26, 27, 25]]
44: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 19, 18, 23, 12, 22, 14], [28, 24], [29, 21, 26, 27, 25]]
45: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 14, 12, 18, 23, 19, 22], [28, 24], [29, 21, 26, 27, 25]]
46: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 14, 12, 19, 18, 23, 22], [28, 24], [29, 21, 26, 27, 25]]
47: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 14, 12, 18, 23, 19, 22], [28, 24], [29, 21, 26, 27, 25]]
48: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 14, 12, 18, 23, 19, 22], [28, 24], [29, 21, 26, 27, 25]]
49: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 12, 14, 19, 23, 18, 22], [28, 24], [29, 21, 26, 27, 25]]
50: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 12, 18, 23, 19, 22, 14], [28, 24], [29, 21, 26, 27, 25]]
51: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 14, 12, 19, 18, 23, 22], [28, 24], [29, 21, 26, 27, 25]]
52: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 18, 12, 23, 14, 19, 22], [28, 24], [29, 21, 26, 27, 25]]
53: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 12, 14, 19, 22, 18, 23], [28, 24], [29, 21, 26, 27, 25]]
54: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 18, 14, 19, 12, 23, 22], [28, 24], [29, 21, 26, 27, 25]]
55: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 14, 12, 19, 18, 23, 22], [28, 24], [29, 21, 26, 27, 25]]
56: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 14, 12, 23, 28, 19, 22], [18, 24], [29, 21, 26, 27, 25]]
57: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 14, 28, 12, 18, 23, 22], [19, 24], [29, 21, 26, 27, 25]]
58: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 14, 12, 19, 28, 18, 22], [23, 24], [29, 21, 26, 27, 25]]
59: [[17, 9, 4, 2, 1], [3, 5, 11, 6, 10], [7, 13, 15, 8], [20, 16, 12, 14, 23, 18, 19, 22], [29, 24], [28, 21, 26, 27, 25]]
