0: [[1, 15, 2, 9, 8, 13], [17, 5, 6, 11, 7], [3, 12, 18, 16], [4, 22], [10, 19, 14, 20], [21, 23, 24]]
17: [[1, 15, 2], [9, 8], [13, 17], [5, 6, 11, 7], [3, 12, 16], [18, 4, 22], [10, 19], [14, 20], [21, 23, 24]]
18: [[11, 7, 16], [1, 15, 2, 9], [8, 13], [17, 5, 6, 3], [12, 18], [4, 22, 10, 19], [14, 20, 21], [23, 24]]
19: [[1, 15, 2, 9, 8, 13], [17, 5], [6, 3, 12, 11, 7], [18, 4, 16], [22, 10, 19, 14], [20, 21, 23, 24]]
20: [[15, 2], [9, 8], [13, 17, 11, 7], [5, 6], [3, 12], [18, 4, 16], [22, 10, 19, 1], [14, 20], [21, 23, 24]]
21: [[1], [15, 2, 9], [8, 13, 17], [5, 6, 3], [12, 18, 4, 16], [22, 10, 11, 7], [19, 14, 20], [21, 23, 24]]
22: [[11, 7, 16], [1, 15, 2], [9, 8, 13], [17, 5], [6, 3], [12, 18], [4, 22, 10], [19, 14], [20, 21], [23, 24]]
23: [[1, 15, 2, 9, 8, 13], [17, 5], [6, 3, 12, 18, 16], [4, 22], [10, 19, 11, 7], [14, 20, 21, 23, 24]]
24: [[1, 15], [2, 9], [8, 13], [17, 5, 6, 11, 7], [3, 12, 18, 16], [4, 22, 10, 19], [14, 20, 21], [23, 24]]
25: [[11, 7], [16, 1], [15, 2], [9, 8], [13, 17, 5], [6, 3], [12, 18, 4], [22, 10, 19, 14], [20, 21], [23, 24]]
26: [[11, 7, 16, 15, 2, 9, 1], [13, 8], [17, 5, 6, 3, 12, 18, 4, 22, 10, 19, 14], [20, 21, 23, 24]]
27: [[11, 7, 16], [1, 15, 2, 9], [8, 13], [17, 5], [6, 3], [12, 18], [4, 22], [10, 19], [14, 20, 21, 23, 24]]
28: [[11, 7, 16, 1], [15, 2], [9, 8], [13, 17], [5, 6, 3], [12, 18], [4, 22, 10, 19], [14, 20, 21], [23, 24]]
29: [[15, 2], [9, 8], [13, 17, 11, 7], [5, 6], [3, 12, 1], [18, 4, 16], [22, 10, 19, 14], [20, 21], [23, 24]]
30: [[11, 7], [16, 1], [15, 2], [9, 8, 13], [17, 5, 6, 3, 12], [18, 4], [22, 10, 19], [14, 20, 21], [23, 24]]
31: [[11, 7, 16], [1, 15], [2, 9], [8, 13], [17, 5], [6, 3], [12, 18, 4, 22, 10], [19, 14], [20, 21], [23, 24]]
32: [[11, 7, 16], [1, 15, 2, 9, 8, 13], [17, 5, 6], [3, 12, 18, 4], [22, 10, 19, 14, 20, 21, 23, 24]]
33: [[11, 7, 16], [1, 15, 2], [9, 8, 13, 17], [5, 6], [3, 12], [18, 4, 22, 10], [19, 14], [20, 21, 23, 24]]
34: [[1, 15, 2, 9, 8], [13, 17], [5, 6], [3, 12, 18, 4, 16], [22, 10, 19, 11, 7], [14, 20], [21, 23], [24]]
35: [[11, 7], [16, 1], [15, 2], [9, 8], [13, 17], [5, 6], [3, 12, 18], [4, 22, 10], [19, 14], [20, 21, 23, 24]]
36: [[11, 7, 16], [1, 15, 2], [9, 8, 13], [17, 5], [6, 3, 12], [18, 4, 22], [10, 19, 14, 20, 21, 23, 24]]
37: [[11, 7, 16], [1, 15, 2], [9, 8], [13, 17, 5], [6, 3], [12, 18, 4, 22], [10, 19], [14, 20, 21, 23, 24]]
38: [[11, 7], [16, 1], [15, 2], [9, 8, 13], [17, 5], [6, 3, 12], [18, 4, 22], [10, 19, 14, 20, 21, 23, 24]]
39: [[11, 7], [16, 1], [15, 2], [9, 8], [13, 17], [5, 6], [3, 12, 18], [4, 22], [10, 19, 14, 20, 21, 23, 24]]
40: [[11, 7, 16], [1, 15], [2, 9, 8, 13], [17, 5, 6], [3, 12, 18, 4, 22, 10, 19, 14, 20, 21, 23, 24]]
41: [[11, 7, 16], [1, 15, 2], [9, 8], [13, 17, 5, 6], [3, 12], [18, 4, 22, 10, 19, 14, 20, 21, 23, 24]]
42: [[11, 7], [16, 1, 15, 2], [9, 8, 13, 17], [5], [6, 3, 12, 18, 4, 22, 10, 19, 14, 20, 21, 23, 24]]
43: [[11, 7], [16, 1, 15, 2], [9, 8], [13, 17, 5], [6, 3, 12], [18, 4, 22, 10, 19, 14, 20, 21, 23, 24]]
44: [[11, 7], [16, 1, 15], [2, 9, 8], [13, 17, 5, 6, 3, 12, 18, 4, 22, 10, 19, 14, 20, 21, 23, 24]]
45: [[11, 7], [16, 1, 15], [2, 9], [8, 13], [17, 5], [6, 3], [12, 18], [4], [22, 10, 19, 14, 20, 21, 23, 24]]
46: [[1], [15, 2], [9, 8, 13], [17, 5, 6, 11, 7], [3, 12], [18, 4, 16], [22], [10, 19, 14, 20, 21, 23, 24]]
47: [[11, 7], [16, 1], [15, 2], [9, 8], [13, 17, 5], [6, 3, 12], [18, 4, 22, 10, 19, 14, 20, 21, 23, 24]]
48: [[1, 15], [2, 9, 8], [13, 17], [5, 6, 11, 7], [3, 12, 18, 16], [4, 22, 10], [19, 14, 20, 21, 23, 24]]
49: [[11], [7, 16, 1, 15, 2, 9, 8, 13, 17, 5, 6, 3, 12, 18, 4, 22, 10, 19, 14, 20, 21, 23], [24]]
