0: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
33: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
34: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
35: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
36: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
37: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
38: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
39: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
40: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
41: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
42: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
43: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
44: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
45: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
46: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
47: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
48: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
49: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
50: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
51: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
52: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
53: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
54: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
55: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
56: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
57: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
58: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
59: [[1, 6, 5, 3, 19, 2, 10, 14], [13, 16, 4, 15, 8, 9, 11, 12], [7, 24, 22, 17, 18, 23, 28], [21, 25, 27, 20, 26, 29]]
