0: [[52, 15, 41], [78, 11, 17], [21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14], [16, 23, 24], [19, 18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42], [39, 34], [45, 56, 46], [40, 44, 47], [54, 49], [48, 61, 55], [50, 53, 59], [58, 62, 57], [63, 67, 66], [68, 84, 64], [71, 69, 73], [75, 72, 76], [80, 74, 70], [77, 81, 86], [79, 82], [85, 83, 87, 88]]
14: [[52, 15, 41], [78, 11], [17, 21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24], [19, 18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42, 39], [34, 45, 56], [46, 40], [44, 47, 54], [49, 48, 61], [55, 50, 53], [59, 58, 62], [57, 63, 67], [66, 68, 84], [64, 71, 69, 73], [75, 72, 76, 80], [74, 70, 77], [81, 86, 79, 82, 85, 83, 87, 88]]
15: [[52, 15, 41], [78, 11, 17], [21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24, 19], [18, 20, 28], [29, 25, 60], [27, 43, 31], [51, 35, 32], [30, 33, 36], [42, 39], [34, 45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53, 59], [58, 62], [57, 63, 67], [66, 68, 84], [64, 71, 69], [73, 75], [72, 76, 80], [74, 70, 77], [81, 86], [79, 82, 85], [83, 87, 88]]
16: [[52, 15], [41, 78, 11], [17, 21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14], [16, 23, 24], [19, 18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42, 39], [34, 45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53, 59], [58, 62, 57], [63, 67, 66], [68, 84, 64], [71, 69, 73], [75, 72, 76], [80, 74, 70], [77, 81, 86], [79, 82, 85], [83, 87, 88]]
17: [[52, 15, 41], [78, 11], [17, 21, 26], [37, 65, 7], [3, 5, 38], [4, 1], [8, 6, 10], [9, 2, 22], [12, 13, 14], [16, 23, 24], [19, 18, 20], [28, 29, 25, 60], [27, 43, 31], [51, 35, 32], [30, 33], [36, 42, 39], [34, 45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53, 59], [58, 62, 57], [63, 67, 66], [68, 84], [64, 71, 69], [73, 75, 72], [76, 80, 74], [70, 77, 81, 86], [79, 82, 85], [83, 87, 88]]
18: [[52, 15, 41], [78, 11, 17], [21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14], [16, 23, 24], [19, 18], [20, 28, 29], [25, 60], [27, 43, 31], [51, 35, 32], [30, 33, 36], [42, 39], [34, 45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53, 59], [58, 62, 57], [63, 67, 66], [68, 84, 64], [71, 69, 73], [75, 72, 76], [80, 74, 70], [77, 81, 86], [79], [82, 85, 83, 87, 88]]
19: [[52, 15], [41, 78, 11], [17, 21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24], [19, 18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42, 39], [34, 45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53, 59], [58, 62, 57], [63, 67, 66], [68, 84, 64, 71], [69, 73, 75], [72, 76, 80], [74, 70, 77], [81, 86], [79, 82, 85], [83, 87, 88]]
20: [[52, 15, 41], [78, 11], [17, 21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22], [12, 13, 14], [16, 23, 24], [19, 18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30], [33, 36, 42], [39, 34, 45], [56, 46, 40], [44, 47, 54], [49, 48, 61], [55, 50, 53], [59, 58, 62], [57, 63, 67], [66, 68, 84], [64, 71, 69], [73, 75, 72], [76, 80, 74], [70, 77, 81], [86, 79, 82], [85, 83, 87, 88]]
21: [[52, 15, 41], [78, 11, 17], [21, 26, 37], [65, 7], [3, 5, 38], [4, 1, 8, 6], [10, 9], [2, 22, 12], [13, 14, 16], [23, 24, 19], [18, 20, 28], [29, 25, 60], [27, 43, 31], [51, 35, 32], [30, 33, 36], [42, 39, 34], [45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53], [59, 58, 62], [57, 63, 67], [66, 68, 84], [64, 71, 69], [73, 75, 72], [76, 80, 74], [70, 77, 81], [86, 79, 82], [85, 83, 87, 88]]
22: [[52, 15, 41], [78, 11], [17, 21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24, 19], [18, 20, 28], [29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42, 39], [34, 45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53, 59], [58, 62, 57], [63, 67, 66], [68, 84, 64], [71, 69, 73], [75, 72, 76], [80, 74, 70], [77, 81, 86], [79, 82, 85, 83, 87, 88]]
23: [[52, 15, 41], [78, 11], [17, 21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24], [19, 18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42, 39], [34, 45, 56], [46, 40], [44, 47, 54], [49, 48, 61], [55, 50, 53], [59, 58, 62], [57, 63, 67], [66, 68, 84], [64, 71, 69], [73, 75, 72], [76, 80, 74], [70, 77, 81, 86, 79, 82, 85, 83, 87, 88]]
24: [[52, 15, 41], [78, 11, 17], [21, 26, 37], [65, 7, 3], [5, 38, 4], [1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24], [19, 18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42, 39], [34, 45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53, 59], [58, 62, 57], [63, 67, 66], [68, 84, 64], [71, 69, 73], [75, 72, 76], [80, 74, 70, 77, 81, 86, 79, 82, 85, 83, 87, 88]]
25: [[52, 15, 41], [78, 11, 17], [21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24], [19, 18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30], [33, 36], [42, 39, 34], [45, 56, 46], [40, 44, 47], [54, 49, 48], [61, 55, 50], [53, 59], [58, 62, 57], [63, 67, 66], [68, 84, 64, 71, 69, 73, 75, 72, 76, 80, 74, 70, 77, 81, 86, 79, 82, 85, 83, 87, 88]]
26: [[52, 15, 41], [78, 11], [17, 21, 26], [37, 65, 7], [3, 5, 38], [4, 1], [8, 6, 10], [9, 2, 22], [12, 13, 14], [16, 23, 24], [19, 18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30], [33, 36, 42], [39, 34, 45], [56, 46, 40], [44, 47, 54], [49, 48, 61], [55, 50, 53], [59, 58, 62], [57, 63, 67], [66, 68, 84], [64, 71, 69], [73, 75, 72], [76, 80, 74], [70, 77, 81], [86, 79, 82], [85, 83, 87], [88]]
27: [[52, 15, 41], [78, 11, 17], [21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14], [16, 23, 24], [19, 18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42], [39, 34, 45], [56, 46, 40], [44, 47, 54], [49, 48], [61, 55, 50], [53, 59, 58], [62, 57, 63], [67, 66, 68], [84, 64, 71], [69, 73, 75], [72, 76, 80], [74, 70, 77], [81, 86], [79, 82, 85], [83, 87, 88]]
28: [[52, 15], [41, 78, 11], [17, 21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14], [16, 23, 24], [19, 18, 20], [28, 29, 25, 60], [27, 43, 31], [51, 35], [32, 30, 33], [36, 42, 39], [34, 45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53, 59], [58, 62, 57], [63, 67, 66], [68, 84, 64], [71, 69, 73], [75, 72, 76], [80, 74, 70], [77, 81, 86], [79, 82, 85], [83, 87, 88]]
29: [[52, 15], [41, 78, 11], [17, 21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24, 19], [18, 20, 28], [29, 25, 60], [27, 43, 31], [51, 35, 32], [30, 33, 36], [42, 39, 34], [45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53, 59], [58, 62], [57, 63], [67, 66, 68], [84, 64, 71], [69, 73], [75, 72, 76], [80, 74], [70, 77, 81], [86, 79, 82], [85, 83, 87], [88]]
30: [[52, 15, 41], [78, 11, 17], [21, 26, 37], [65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24, 19], [18, 20, 28, 29], [25, 60], [27, 43, 31], [51, 35], [32, 30, 33], [36, 42, 39], [34, 45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53, 59], [58, 62, 57], [63, 67, 66, 68, 84, 64, 71, 69, 73, 75, 72, 76, 80, 74, 70, 77], [81, 86, 79, 82, 85, 83, 87, 88]]
31: [[52, 15, 41], [78, 11, 17], [21, 26, 37], [65, 7, 3], [5, 38, 4], [1, 8, 6], [10, 9, 2], [22, 12, 13], [14, 16, 23], [24, 19, 18], [20, 28, 29], [25, 60], [27, 43, 31], [51, 35, 32], [30, 33], [36, 42, 39], [34, 45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53, 59], [58, 62, 57], [63, 67, 66], [68, 84, 64], [71, 69, 73], [75, 72, 76], [80, 74, 70], [77, 81, 86], [79, 82, 85], [83, 87, 88]]
32: [[52, 15], [41, 78, 11], [17, 21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24], [19, 18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42, 39, 34], [45, 56, 46], [40, 44, 47], [54, 49, 48], [61, 55], [50, 53, 59], [58, 62, 57], [63, 67, 66], [68, 84, 64], [71, 69, 73], [75, 72, 76], [80, 74, 70], [77, 81, 86], [79, 82, 85], [83, 87, 88]]
33: [[52, 15, 41], [78, 11], [17, 21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24], [19, 18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42], [39, 34, 45], [56, 46, 40], [44, 47, 54], [49, 48, 61], [55, 50], [53, 59, 58], [62, 57, 63], [67, 66, 68], [84, 64, 71], [69, 73, 75], [72, 76, 80], [74, 70, 77], [81, 86, 79], [82, 85, 83, 87], [88]]
34: [[52, 15], [41, 78, 11], [17, 21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22], [12, 13, 14], [16, 23, 24], [19, 18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42, 39], [34, 45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53, 59], [58, 62], [57, 63, 67], [66, 68, 84], [64, 71, 69], [73, 75, 72], [76, 80, 74, 70], [77, 81, 86], [79, 82, 85], [83, 87, 88]]
35: [[52, 15, 41], [78, 11, 17], [21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24, 19], [18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42], [39, 34, 45], [56, 46, 40], [44, 47, 54], [49, 48], [61, 55, 50], [53, 59, 58], [62, 57, 63], [67, 66], [68, 84, 64], [71, 69, 73], [75, 72, 76], [80, 74, 70], [77, 81, 86], [79, 82, 85], [83, 87, 88]]
36: [[52, 15], [41, 78, 11], [17, 21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24, 19], [18, 20, 28], [29, 25, 60], [27, 43, 31], [51, 35, 32], [30, 33, 36], [42, 39, 34], [45, 56, 46], [40, 44], [47, 54, 49], [48, 61, 55], [50, 53, 59], [58, 62, 57], [63, 67, 66], [68, 84, 64], [71, 69, 73], [75, 72, 76], [80, 74, 70], [77, 81, 86], [79, 82, 85], [83, 87, 88]]
37: [[52, 15, 41], [78, 11, 17], [21, 26, 37], [65, 7, 3], [5, 38, 4], [1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24, 19], [18, 20, 28], [29, 25, 60], [27, 43, 31], [51, 35, 32], [30, 33, 36], [42, 39, 34], [45, 56, 46], [40, 44, 47], [54, 49], [48, 61, 55], [50, 53, 59], [58, 62, 57], [63, 67, 66, 68, 84, 64, 71, 69, 73, 75, 72, 76, 80, 74, 70, 77, 81, 86, 79, 82, 85, 83, 87, 88]]
38: [[52, 15, 41], [78, 11, 17], [21, 26, 37], [65, 7, 3], [5, 38], [4, 1, 8], [6, 10, 9], [2, 22], [12, 13, 14], [16, 23, 24], [19, 18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42, 39], [34, 45, 56], [46, 40, 44], [47, 54], [49, 48, 61], [55, 50], [53, 59, 58], [62, 57, 63], [67, 66, 68], [84, 64, 71], [69, 73], [75, 72, 76], [80, 74, 70], [77, 81, 86], [79, 82, 85], [83, 87, 88]]
39: [[52, 15, 41], [78, 11, 17], [21, 26, 37], [65, 7, 3], [5, 38], [4, 1, 8], [6, 10, 9], [2, 22], [12, 13, 14], [16, 23, 24], [19, 18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42, 39], [34, 45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53, 59], [58, 62, 57], [63, 67, 66], [68, 84, 64], [71, 69, 73], [75, 72, 76], [80, 74, 70, 77, 81, 86, 79, 82, 85, 83, 87, 88]]
40: [[52, 15, 41], [78, 11, 17], [21, 26, 37], [65, 7, 3], [5, 38, 4], [1, 8], [6, 10, 9], [2, 22, 12], [13, 14], [16, 23], [24, 19, 18], [20, 28], [29, 25, 60], [27, 43, 31], [51, 35, 32], [30, 33], [36, 42, 39], [34, 45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53, 59], [58, 62, 57], [63, 67, 66], [68, 84, 64], [71, 69, 73], [75, 72, 76], [80, 74, 70], [77, 81, 86], [79, 82, 85], [83, 87, 88]]
41: [[52, 15, 41], [78, 11, 17], [21, 26, 37], [65, 7, 3], [5, 38, 4], [1, 8, 6], [10, 9, 2], [22, 12, 13], [14, 16, 23], [24, 19], [18, 20, 28], [29, 25, 60], [27, 43, 31], [51, 35, 32], [30, 33, 36], [42, 39, 34], [45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53], [59, 58, 62], [57, 63, 67], [66, 68, 84], [64, 71, 69], [73, 75, 72], [76, 80, 74], [70, 77], [81, 86], [79, 82, 85], [83, 87, 88]]
42: [[52, 15, 41], [78, 11, 17], [21, 26, 37], [65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24, 19], [18, 20, 28], [29, 25, 60], [27, 43, 31], [51, 35, 32], [30, 33], [36, 42, 39], [34, 45, 56], [46, 40, 44], [47, 54, 49], [48, 61], [55, 50, 53], [59, 58, 62], [57, 63, 67], [66, 68], [84, 64, 71], [69, 73, 75], [72, 76, 80], [74, 70], [77, 81, 86], [79, 82, 85], [83, 87, 88]]
43: [[52, 15, 41], [78, 11, 17], [21, 26], [37, 65, 7], [3, 5], [38, 4, 1], [8, 6, 10], [9, 2, 22], [12, 13, 14], [16, 23, 24], [19, 18, 20], [28, 29], [25, 60], [27, 43, 31], [51, 35, 32], [30, 33, 36], [42, 39, 34], [45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53, 59], [58, 62, 57], [63, 67, 66], [68, 84, 64], [71, 69, 73, 75], [72, 76], [80, 74, 70, 77, 81, 86, 79, 82, 85, 83, 87, 88]]
44: [[52, 15, 41], [78, 11, 17], [21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24, 19], [18, 20, 28], [29, 25, 60], [27, 43, 31], [51, 35, 32], [30, 33, 36], [42, 39, 34], [45, 56, 46], [40, 44, 47], [54, 49, 48], [61, 55, 50], [53, 59, 58], [62, 57, 63], [67, 66, 68], [84, 64, 71], [69, 73, 75], [72, 76], [80, 74, 70], [77, 81, 86], [79, 82, 85], [83, 87, 88]]
45: [[52, 15, 41], [78, 11, 17], [21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10], [9, 2, 22], [12, 13, 14], [16, 23, 24], [19, 18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42, 39], [34, 45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53, 59, 58], [62, 57, 63, 67, 66, 68, 84, 64, 71, 69, 73, 75, 72, 76, 80, 74, 70, 77, 81, 86, 79, 82, 85, 83, 87], [88]]
46: [[52, 15, 41], [78, 11], [17, 21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24, 19], [18, 20, 28], [29, 25, 60], [27, 43, 31], [51, 35, 32], [30, 33, 36], [42, 39, 34], [45, 56, 46], [40, 44, 47], [54, 49, 48], [61, 55, 50], [53, 59, 58], [62, 57, 63], [67, 66, 68], [84, 64, 71], [69, 73, 75], [72, 76], [80, 74, 70], [77, 81, 86], [79, 82, 85], [83, 87, 88]]
47: [[52, 15, 41], [78, 11], [17, 21, 26], [37, 65, 7, 3], [5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24], [19, 18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30], [33, 36, 42], [39, 34, 45], [56, 46, 40], [44, 47, 54], [49, 48, 61], [55, 50, 53, 59, 58, 62, 57, 63], [67, 66], [68, 84, 64, 71, 69, 73, 75, 72, 76, 80, 74, 70, 77, 81, 86, 79, 82, 85, 83, 87, 88]]
48: [[52, 15, 41], [78, 11], [17, 21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24, 19], [18, 20, 28], [29, 25, 60], [27, 43, 31], [51, 35, 32], [30, 33, 36], [42, 39, 34], [45, 56, 46], [40, 44, 47], [54, 49, 48], [61, 55, 50, 53], [59, 58], [62, 57, 63], [67, 66, 68], [84, 64, 71], [69, 73], [75, 72, 76], [80, 74, 70], [77, 81, 86], [79, 82, 85], [83, 87, 88]]
49: [[52, 15, 41], [78, 11], [17, 21, 26], [37, 65, 7], [3, 5, 38], [4, 1, 8], [6, 10, 9], [2, 22, 12], [13, 14, 16], [23, 24, 19], [18, 20, 28], [29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42, 39], [34, 45, 56], [46, 40], [44, 47, 54], [49, 48, 61], [55, 50, 53], [59, 58, 62], [57, 63, 67], [66, 68, 84], [64, 71, 69, 73], [75, 72, 76, 80], [74, 70, 77], [81, 86, 79, 82, 85, 83, 87, 88]]
50: [[52, 15, 41], [78, 11, 17], [21, 26, 37], [65, 7, 3], [5, 38], [4, 1, 8], [6, 10, 9], [2, 22], [12, 13, 14], [16, 23, 24], [19, 18, 20], [28, 29, 25], [60, 27, 43], [31, 51, 35], [32, 30, 33], [36, 42, 39], [34, 45, 56], [46, 40, 44], [47, 54, 49], [48, 61, 55], [50, 53, 59, 58, 62, 57, 63, 67, 66, 68, 84, 64, 71, 69, 73, 75, 72, 76, 80, 74, 70, 77, 81, 86, 79, 82, 85, 83, 87, 88]]
