0: [[39], [32, 56, 37, 17, 25], [48], [38, 40, 59, 4, 44, 18], [58, 29, 8, 45], [35, 57, 7, 2], [22, 53, 41, 42], [36, 30, 3, 31, 46, 50, 51], [1, 5], [14, 49, 26], [15, 55, 33, 6, 10], [20, 28, 60, 19, 24, 34, 12], [47], [43, 23, 27, 11], [52, 9, 13, 21], [16, 54]]
11: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 10, 6, 13, 15, 16, 21, 19, 25, 29], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
12: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 10, 6, 13, 15, 16, 19, 21, 29, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
13: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 13, 29, 16, 15, 19, 21, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
14: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 13, 19, 15, 29, 16, 21, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
15: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 13, 29, 16, 25, 21, 19, 15], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
16: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 13, 15, 16, 21, 19, 25, 29], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
17: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 15, 13, 16, 21, 29, 19, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
18: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 29, 13, 15, 16, 21, 19, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
19: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 13, 29, 16, 15, 21, 19, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
20: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 13, 19, 15, 29, 16, 21, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
21: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 13, 15, 21, 29, 16, 19, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
22: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 15, 13, 16, 29, 19, 25, 10, 21, 6], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
23: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 15, 10, 25, 13, 16, 19, 21, 29], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
24: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 19, 13, 29, 16, 15, 25, 21, 10], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
25: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 10, 15, 6, 19, 16, 29, 13, 21, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
26: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 13, 29, 16, 15, 21, 19, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
27: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 10, 6, 13, 29, 16, 19, 21, 15, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
28: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 16, 15, 13, 10, 21, 19, 25, 29], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
29: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 29, 13, 16, 15, 19, 21, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
30: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 29, 13, 15, 25, 21, 16, 19], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
31: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 13, 29, 16, 15, 21, 19, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
32: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 10, 15, 16, 13, 6, 29, 19, 25, 21], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
33: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 29, 13, 15, 16, 19, 21, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
34: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 29, 13, 15, 25, 19, 21, 16], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
35: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 13, 15, 16, 21, 19, 25, 29], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
36: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 10, 6, 13, 29, 16, 15, 21, 19, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
37: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 13, 15, 16, 19, 21, 29, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
38: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 13, 15, 16, 21, 19, 29, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
39: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 10, 6, 13, 29, 15, 16, 19, 21, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
40: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 15, 6, 10, 19, 16, 13, 21, 25, 29], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
41: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 10, 6, 15, 13, 16, 21, 19, 25, 29], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
42: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 13, 29, 15, 21, 16, 19, 25], [23, 18, 22, 28, 30, 26, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
43: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 10, 6, 13, 15, 16, 19, 21, 29, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
44: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 13, 15, 16, 21, 19, 25, 29], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
45: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 10, 6, 29, 13, 15, 25, 19, 16, 21], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
46: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 13, 21, 16, 29, 15, 25, 19], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
47: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 15, 13, 16, 19, 21, 29, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
48: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 29, 13, 15, 21, 19, 25, 16], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
49: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 10, 6, 29, 13, 15, 16, 19, 21, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
50: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 10, 6, 15, 21, 16, 19, 13, 25, 29], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
51: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 10, 6, 13, 15, 16, 21, 19, 25, 29], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
52: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 10, 15, 13, 16, 19, 25, 21, 29, 6], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
53: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 13, 29, 15, 25, 16, 19, 21], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
54: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 13, 29, 21, 15, 16, 19, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
55: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 29, 13, 19, 16, 21, 25, 15], [23, 26, 22, 28, 18, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
56: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 13, 29, 21, 15, 16, 19, 25], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
57: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 10, 6, 15, 13, 16, 19, 21, 25, 29], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
58: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 13, 29, 25, 15, 21, 19, 16], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
59: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 29, 13, 15, 25, 19, 21, 16], [23, 18, 22, 28, 26, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
60: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 13, 29, 15, 31, 21, 19, 16], [23, 18, 22, 28, 26, 30, 25, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
61: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 16, 31, 13, 21, 19, 15, 29], [23, 18, 22, 28, 26, 30, 25, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
62: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 13, 31, 15, 16, 21, 29, 19], [23, 18, 22, 28, 26, 30, 25, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
63: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 10, 15, 13, 16, 29, 19, 26, 21], [23, 18, 22, 28, 25, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
64: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 13, 10, 15, 16, 29, 19, 21, 26], [23, 18, 22, 28, 25, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
65: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 13, 16, 15, 19, 29, 26, 21, 10], [23, 18, 22, 28, 25, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
66: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 10, 6, 15, 13, 26, 16, 19, 21, 29], [23, 18, 22, 28, 25, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
67: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 15, 13, 28, 26, 21, 10, 19, 25], [23, 16, 22, 18, 30, 29, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
68: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 19, 6, 13, 10, 16, 15, 21, 25, 31], [23, 18, 22, 28, 26, 30, 29, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
69: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 10, 6, 26, 15, 16, 13, 19, 25, 21], [23, 18, 22, 28, 29, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
70: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 10, 6, 13, 21, 26, 15, 25, 19, 16], [23, 18, 22, 28, 29, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
71: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 15, 6, 13, 10, 21, 16, 26, 19, 25], [23, 18, 22, 28, 29, 30, 31, 36, 38, 42, 34, 45, 39, 37, 41, 40, 43, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
72: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 10, 6, 26, 13, 19, 15, 25, 16, 21], [23, 18, 22, 28, 29, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
73: [[20, 35, 33, 2, 32], [17, 9, 1, 7, 3, 4, 14, 5, 8, 24, 12, 27, 11, 6, 13, 10, 21, 15, 25, 19, 16, 26], [23, 18, 22, 28, 29, 30, 31, 36, 38, 42, 34, 45, 39, 37, 43, 40, 41, 44, 46], [47, 51, 48, 49, 52, 54, 56, 53, 58, 50, 55, 57, 59, 60]]
