0: [[15, 9, 20, 8], [3, 10, 14, 4], [6, 1, 2, 13, 5], [7, 11], [22, 12, 16, 17, 19, 18], [24, 21, 23]]
21: [[14, 4, 20, 3, 10], [6, 1, 2, 13, 9, 8], [5, 7, 11, 22, 12, 16], [17, 19, 18, 15], [24, 21, 23]]
22: [[15, 9, 8], [20, 3, 10, 6, 1, 14], [2, 13, 5, 4], [7, 11], [22, 12, 16, 17, 19, 18], [24, 21, 23]]
23: [[15, 9, 8], [20, 3, 10, 6, 1, 14], [2, 13, 5, 4], [7, 11], [22, 12, 16, 17, 19, 18], [24, 21, 23]]
24: [[9, 4, 20], [3, 10, 14], [6, 1, 2, 13, 5], [7, 11, 22, 12, 16], [17, 19, 18, 15, 8], [24, 21, 23]]
25: [[9, 4, 20], [3, 10, 14], [6, 1, 2, 13, 5], [7, 11, 22, 12, 16], [17, 19, 18, 15, 8], [24, 21, 23]]
26: [[9, 4, 20], [3, 10, 14], [6, 1, 2, 13, 5], [7, 11, 22, 12, 16], [17, 19, 18, 15, 8], [24, 21, 23]]
27: [[9, 4, 20], [3, 10, 14], [6, 1, 2, 13, 5], [7, 11, 22, 12, 16], [17, 19, 18, 15, 8], [24, 21, 23]]
28: [[9, 4, 20], [3, 10, 14], [6, 1, 2, 13, 5], [7, 11, 22, 12, 16], [17, 19, 18, 15, 8], [24, 21, 23]]
29: [[9, 4, 20], [3, 10, 14], [6, 1, 2, 13, 5], [7, 11, 22, 12, 16], [17, 19, 18, 15, 8], [24, 21, 23]]
30: [[9, 4, 20], [3, 10, 14], [6, 1, 2, 13], [5, 7, 11, 22, 12, 16], [17, 19, 18, 15, 8], [24, 21, 23]]
31: [[15, 9, 8, 14, 4], [20, 3, 10, 6], [1, 2], [13, 5, 7, 11, 22, 12], [16, 17, 19, 18], [24, 21, 23]]
32: [[9, 4, 20], [3, 10, 14], [6, 1, 2, 13, 5], [7, 11, 22, 12, 16, 17], [19, 18, 15, 8], [24, 21, 23]]
33: [[9, 4, 20], [3, 10, 14], [6, 1, 2, 13, 5], [7, 11, 22, 12, 16, 17], [19, 18, 15, 8], [24, 21, 23]]
34: [[14, 4, 20, 3, 10], [6, 1, 9], [2, 13, 5, 7, 11, 22, 8], [12, 16, 17, 19, 18, 15], [24, 21, 23]]
35: [[14, 4, 20, 3], [10, 6, 1, 2, 13, 5, 9, 8], [7, 11], [22, 12, 16, 17, 19, 18, 15], [24, 21, 23]]
36: [[14, 4, 20, 3], [10, 6, 1, 2, 13, 5, 9, 8], [7, 11], [22, 12, 16, 17, 19, 18, 15], [24, 21, 23]]
37: [[15, 9, 8, 14, 4, 20], [3, 10], [6, 1, 2, 13], [5, 7, 11, 22, 12], [16, 17, 19, 18], [24, 21, 23]]
38: [[14, 4, 20], [3, 10, 6, 1, 2, 13, 9, 8], [5, 7, 11], [22, 12, 16, 17, 19, 18, 15], [24, 21, 23]]
39: [[14, 4, 20, 3], [10, 6, 1, 2, 13, 9, 8], [5, 7, 11], [22, 12, 16, 17, 19, 18, 15], [24, 21, 23]]
40: [[15, 9, 8, 14, 4, 20], [3, 10], [6, 1, 2], [13, 5, 7, 11, 22, 12], [16, 17, 19, 18], [24, 21, 23]]
41: [[14, 4], [20, 3, 10, 6, 1, 9], [2, 13, 5, 7, 8], [11, 22, 12, 16, 17, 19, 18, 15], [24, 21, 23]]
42: [[14, 4], [20, 3, 10, 6, 1, 9], [2, 13, 5, 7, 8], [11, 22, 12, 16, 17, 19, 18, 15], [24, 21, 23]]
43: [[9, 4], [20, 3], [10, 6, 1, 2, 13, 5, 14], [7, 11, 22, 12, 16], [17, 19, 18, 15, 8], [24, 21, 23]]
44: [[15, 9, 8, 14, 4], [20, 3, 10, 6, 1], [2, 13, 5, 7, 11, 22], [12, 16], [17, 19, 18], [24, 21, 23]]
45: [[14, 4, 20, 3], [10, 6, 1, 9], [2, 13, 5, 7, 11, 8], [22, 12, 16, 17, 19, 18, 15], [24, 21, 23]]
46: [[14, 4, 20, 3], [10, 6, 1, 9], [2, 13, 5, 7, 11, 8], [22, 12, 16, 17, 19, 18, 15], [24, 21, 23]]
47: [[15, 9, 20, 3, 10, 8], [6, 1], [2, 13], [5, 7, 14, 4], [11, 22, 12, 16, 17, 19, 18], [24, 21, 23]]
48: [[15, 9, 8], [20, 3, 10, 6, 1, 14], [2, 13, 5, 4], [7, 11], [22, 12, 16, 17, 19, 18, 24], [21, 23]]
49: [[9, 4, 14], [20, 3, 10, 6, 1, 2], [13, 5], [7, 11, 22, 12, 16], [17, 19, 15, 8], [18, 24, 21, 23]]
