0: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
19: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
20: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
21: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
22: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
23: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
24: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
25: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
26: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
27: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
28: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
29: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
30: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
31: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
32: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
33: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
34: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
35: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
36: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
37: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
38: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
39: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
40: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
41: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
42: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
43: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
44: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
45: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
46: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
47: [[2, 10], [9, 1, 3], [11, 7], [20, 13, 12], [14, 8, 19], [22, 4, 5], [6, 15], [16, 18, 17], [21, 23, 24]]
