0: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
26: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
27: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
28: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
29: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
30: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
31: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
32: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
33: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
34: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
35: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
36: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
37: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
38: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
39: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
40: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
41: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
42: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
43: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
44: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
45: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
46: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
47: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
48: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
49: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 15], [5, 25], [9, 10, 13, 16, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
50: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 10], [5, 25], [9, 13, 15, 17, 19, 18, 16], [20, 22], [21, 26, 27], [23, 28, 29]]
51: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 10, 12], [5, 25], [9, 15, 13, 16, 18, 17, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
52: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 10, 12], [5, 25], [9, 13, 15, 17, 16, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
53: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 10], [5, 25], [9, 13, 15, 17, 19, 16, 18], [20, 22], [21, 26, 27], [23, 28, 29]]
54: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 13, 12], [5, 25], [9, 10, 15, 16, 17, 19, 18], [20, 22], [21, 26, 27], [23, 28, 29]]
55: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 13, 12], [5, 25], [9, 10, 16, 15, 17, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
56: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 13], [5, 25], [9, 15, 19, 17, 16, 18, 10], [20, 22], [21, 26, 27], [23, 28, 29]]
57: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 12, 13], [5, 25], [9, 15, 16, 17, 18, 19, 10], [20, 22], [21, 26, 27], [23, 28, 29]]
58: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 13, 10], [5, 25], [9, 15, 12, 16, 18, 17, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
59: [[24, 1], [3, 11, 14], [6], [7, 2, 4, 8, 10, 13], [5, 25], [9, 15, 12, 17, 16, 18, 19], [20, 22], [21, 26, 27], [23, 28, 29]]
