0: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18, 21], [23, 26, 24, 27], [29, 25, 28, 31], [62, 43, 36, 41], [35, 33], [42, 32, 38], [34, 39, 44], [40, 47], [45, 46], [51, 50, 56], [61, 48], [53, 49, 54], [52, 55, 57], [59, 58, 60, 63], [64, 71, 67], [65, 66, 78], [76, 68, 69], [70, 75, 72], [73, 74, 77], [79, 82], [81, 80, 86, 83, 85], [84, 87, 88]]
20: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18, 21], [23, 26], [24, 27, 29], [25, 28, 31], [62, 43], [36, 41], [35, 33, 42, 32], [38, 34, 39, 44], [40, 47, 45], [46, 51], [50, 56, 61, 48], [53, 49, 54], [52, 55, 57], [59, 58, 60, 63], [64, 71, 67], [65, 66, 78], [76], [68, 69, 70, 75, 72, 73, 74, 77, 79, 82, 81, 80, 86, 83, 85, 84, 87, 88]]
21: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18], [21, 23, 26, 24], [27, 29, 25, 28], [31, 62, 43], [36, 41, 35], [33, 42, 32, 38], [34, 39, 44], [40, 47, 45, 46], [51, 50], [56, 61, 48, 53, 49, 54, 52, 55, 57, 59, 58, 60, 63, 64, 71, 67, 65, 66, 78, 76, 68, 69, 70, 75, 72, 73, 74, 77, 79, 82, 81, 80, 86, 83, 85, 84, 87, 88]]
22: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16], [18, 21], [23, 26, 24], [27, 29, 25, 28], [31, 62, 43, 36], [41, 35, 33], [42, 32, 38, 34], [39, 44, 40], [47, 45], [46, 51, 50], [56, 61, 48], [53, 49, 54, 52], [55, 57], [59, 58, 60, 63, 64, 71, 67, 65, 66, 78, 76, 68, 69, 70, 75, 72, 73], [74, 77, 79, 82, 81, 80, 86, 83, 85, 84, 87, 88]]
23: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18, 21], [23, 26, 24, 27], [29, 25, 28], [31, 62, 43], [36, 41, 35], [33, 42, 32], [38, 34, 39, 44], [40, 47, 45], [46, 51, 50, 56, 61, 48, 53, 49, 54, 52, 55, 57, 59, 58, 60, 63, 64, 71, 67, 65, 66, 78, 76, 68, 69, 70, 75, 72, 73, 74, 77, 79, 82, 81, 80, 86, 83, 85, 84, 87, 88]]
24: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18], [21, 23], [26, 24, 27], [29, 25, 28], [31, 62, 43], [36, 41, 35, 33], [42, 32, 38], [34, 39, 44], [40, 47, 45], [46, 51], [50, 56, 61], [48, 53, 49], [54, 52, 55, 57, 59], [58, 60, 63], [64, 71, 67, 65, 66, 78, 76, 68, 69, 70, 75], [72, 73, 74], [77, 79, 82], [81, 80, 86], [83, 85, 84], [87, 88]]
25: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18], [21, 23, 26], [24, 27, 29], [25, 28], [31, 62, 43], [36, 41, 35], [33, 42, 32, 38], [34, 39, 44, 40], [47, 45, 46], [51, 50], [56, 61, 48], [53, 49], [54, 52, 55], [57, 59, 58], [60, 63, 64, 71], [67, 65], [66, 78, 76, 68, 69, 70], [75, 72, 73, 74, 77, 79, 82, 81, 80, 86, 83, 85], [84, 87, 88]]
26: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18, 21], [23, 26], [24, 27, 29], [25, 28, 31], [62, 43], [36, 41], [35, 33, 42, 32, 38, 34, 39, 44, 40], [47, 45, 46, 51, 50, 56, 61, 48, 53, 49, 54, 52, 55], [57, 59, 58, 60, 63, 64, 71, 67, 65, 66, 78, 76, 68, 69, 70, 75, 72, 73, 74, 77, 79, 82, 81, 80, 86, 83, 85, 84, 87, 88]]
27: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18], [21, 23, 26, 24], [27, 29], [25, 28, 31], [62, 43], [36, 41, 35], [33, 42, 32], [38, 34, 39], [44, 40, 47], [45, 46], [51, 50, 56], [61, 48], [53, 49, 54], [52, 55, 57, 59], [58, 60], [63, 64, 71], [67, 65, 66], [78, 76, 68, 69], [70, 75, 72, 73], [74, 77, 79], [82, 81, 80], [86, 83, 85], [84, 87, 88]]
28: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18, 21], [23, 26, 24, 27], [29, 25, 28, 31], [62, 43, 36, 41], [35, 33, 42, 32], [38, 34, 39, 44, 40, 47, 45, 46, 51, 50], [56, 61, 48, 53, 49, 54, 52, 55, 57, 59, 58, 60, 63, 64, 71, 67, 65, 66], [78, 76, 68, 69, 70, 75, 72, 73, 74, 77, 79, 82, 81, 80, 86, 83, 85, 84], [87, 88]]
29: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16], [18, 21, 23], [26, 24, 27], [29, 25, 28], [31, 62, 43], [36, 41, 35], [33, 42, 32], [38, 34], [39, 44, 40], [47, 45, 46], [51, 50, 56], [61, 48, 53], [49, 54], [52, 55, 57], [59, 58], [60, 63, 64], [71, 67, 65], [66, 78, 76, 68], [69, 70, 75], [72, 73, 74], [77, 79, 82], [81, 80, 86], [83, 85, 84, 87], [88]]
30: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18, 21], [23, 26, 24], [27, 29, 25, 28, 31], [62, 43, 36], [41, 35, 33, 42, 32, 38, 34, 39, 44, 40, 47, 45, 46, 51, 50, 56, 61, 48, 53, 49, 54, 52, 55, 57, 59, 58, 60, 63, 64, 71, 67, 65, 66, 78, 76, 68, 69, 70, 75, 72, 73, 74, 77, 79, 82, 81, 80, 86, 83, 85, 84, 87, 88]]
31: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18], [21, 23], [26, 24, 27], [29, 25, 28], [31, 62], [43, 36], [41, 35, 33], [42, 32, 38], [34, 39, 44], [40, 47, 45], [46, 51, 50], [56, 61], [48, 53, 49, 54, 52], [55, 57, 59, 58, 60, 63, 64, 71, 67, 65, 66, 78, 76, 68, 69, 70, 75, 72, 73, 74, 77, 79, 82, 81, 80, 86, 83, 85, 84, 87, 88]]
32: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6], [8, 11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18], [21, 23, 26], [24, 27, 29], [25, 28, 31], [62, 43], [36, 41], [35, 33, 42], [32, 38], [34, 39, 44], [40, 47], [45, 46, 51, 50], [56, 61], [48, 53, 49], [54, 52, 55], [57, 59, 58, 60], [63, 64], [71, 67, 65], [66, 78], [76, 68, 69], [70, 75, 72], [73, 74, 77], [79, 82, 81, 80, 86], [83, 85, 84, 87, 88]]
33: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18, 21], [23, 26, 24, 27], [29, 25], [28, 31, 62, 43], [36, 41, 35], [33, 42], [32, 38, 34], [39, 44, 40], [47, 45, 46, 51], [50, 56, 61, 48], [53, 49, 54], [52, 55, 57, 59], [58, 60, 63], [64, 71], [67, 65, 66], [78, 76, 68], [69, 70, 75], [72, 73, 74], [77, 79, 82], [81, 80, 86], [83, 85, 84, 87, 88]]
34: [[19, 7, 5, 37], [9, 2, 3, 1], [4, 10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20, 17], [16, 18, 21], [23, 26, 24], [27, 29, 25, 28], [31, 62], [43, 36, 41, 35], [33, 42, 32, 38], [34, 39, 44, 40], [47, 45], [46, 51, 50], [56, 61, 48], [53, 49, 54], [52, 55, 57], [59, 58, 60], [63, 64], [71, 67, 65], [66, 78, 76], [68, 69, 70], [75, 72, 73], [74, 77, 79, 82], [81, 80, 86], [83, 85, 84, 87], [88]]
35: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8, 11], [30, 22], [12, 13, 14], [15, 20, 17], [16, 18, 21, 23], [26, 24, 27, 29], [25, 28, 31], [62, 43, 36, 41], [35, 33], [42, 32, 38], [34, 39, 44, 40], [47, 45, 46], [51, 50, 56], [61, 48], [53, 49, 54], [52, 55, 57, 59], [58, 60], [63, 64, 71], [67, 65, 66], [78, 76], [68, 69, 70], [75, 72, 73], [74, 77], [79, 82, 81], [80, 86, 83, 85, 84, 87, 88]]
36: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18], [21, 23], [26, 24], [27, 29, 25], [28, 31, 62], [43, 36], [41, 35, 33], [42, 32, 38], [34, 39, 44], [40, 47, 45], [46, 51, 50], [56, 61], [48, 53, 49], [54, 52, 55], [57, 59], [58, 60], [63, 64, 71, 67], [65, 66, 78], [76, 68, 69], [70, 75, 72], [73, 74, 77], [79, 82, 81], [80, 86, 83, 85, 84, 87, 88]]
37: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20, 17], [16, 18, 21, 23], [26, 24], [27, 29, 25, 28], [31, 62, 43], [36, 41], [35, 33, 42, 32], [38, 34], [39, 44, 40, 47], [45, 46, 51], [50, 56], [61, 48], [53, 49, 54, 52], [55, 57], [59, 58, 60], [63, 64, 71], [67, 65, 66, 78], [76, 68], [69, 70, 75], [72, 73], [74, 77, 79, 82], [81, 80, 86], [83, 85, 84], [87, 88]]
38: [[19, 7], [5, 37, 9, 2], [3, 1, 4, 10], [6, 8, 11], [30, 22, 12], [13, 14, 15], [20, 17, 16, 18], [21, 23, 26], [24, 27, 29], [25, 28, 31], [62, 43, 36], [41, 35, 33], [42, 32, 38], [34, 39], [44, 40, 47], [45, 46], [51, 50, 56], [61, 48, 53], [49, 54, 52], [55, 57, 59], [58, 60, 63], [64, 71, 67], [65, 66, 78], [76, 68, 69], [70, 75, 72], [73, 74, 77], [79, 82], [81, 80, 86, 83, 85, 84, 87, 88]]
39: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18, 21], [23, 26, 24, 27], [29, 25, 28, 31], [62, 43, 36, 41, 35, 33, 42, 32], [38, 34], [39, 44, 40, 47, 45, 46, 51, 50], [56, 61, 48, 53, 49], [54, 52, 55, 57, 59], [58, 60], [63, 64, 71], [67, 65, 66], [78, 76, 68], [69, 70], [75, 72, 73], [74, 77, 79], [82, 81, 80, 86, 83, 85, 84, 87, 88]]
40: [[19, 7, 5, 37], [9, 2, 3], [1, 4], [10, 6, 8], [11, 30, 22, 12], [13, 14], [15, 20, 17], [16, 18, 21], [23, 26], [24, 27, 29], [25, 28, 31], [62, 43, 36], [41, 35, 33], [42, 32, 38], [34, 39, 44], [40, 47], [45, 46, 51, 50, 56], [61, 48], [53, 49, 54], [52, 55, 57], [59, 58], [60, 63, 64, 71, 67], [65, 66, 78, 76, 68, 69, 70, 75, 72, 73, 74, 77, 79, 82, 81, 80, 86, 83, 85, 84, 87, 88]]
41: [[19, 7, 5], [37, 9, 2], [3, 1], [4, 10, 6], [8, 11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18], [21, 23, 26], [24, 27], [29, 25, 28], [31, 62, 43], [36, 41, 35], [33, 42, 32], [38, 34, 39], [44, 40], [47, 45, 46], [51, 50, 56], [61, 48, 53], [49, 54, 52], [55, 57, 59], [58, 60, 63], [64, 71, 67, 65], [66, 78, 76, 68], [69, 70, 75], [72, 73, 74, 77], [79, 82, 81], [80, 86, 83, 85], [84, 87, 88]]
42: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18, 21], [23, 26], [24, 27, 29], [25, 28, 31, 62], [43, 36, 41, 35], [33, 42, 32], [38, 34], [39, 44, 40], [47, 45], [46, 51, 50], [56, 61, 48], [53, 49, 54, 52], [55, 57], [59, 58, 60, 63, 64, 71, 67, 65, 66, 78, 76, 68, 69, 70, 75, 72, 73], [74, 77, 79, 82, 81, 80, 86, 83, 85, 84, 87, 88]]
43: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18, 21], [23, 26], [24, 27, 29], [25, 28, 31, 62], [43, 36, 41, 35], [33, 42, 32], [38, 34], [39, 44, 40], [47, 45], [46, 51, 50], [56, 61, 48], [53, 49, 54, 52], [55, 57], [59, 58, 60, 63, 64, 71, 67, 65, 66, 78, 76, 68, 69, 70, 75, 72, 73], [74, 77, 79, 82, 81, 80, 86, 83, 85, 84, 87, 88]]
44: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16], [18, 21, 23, 26], [24, 27, 29], [25, 28, 31], [62, 43, 36], [41, 35, 33], [42, 32], [38, 34, 39], [44, 40, 47, 45], [46, 51, 50, 56], [61, 48, 53, 49], [54, 52, 55, 57, 59, 58, 60, 63, 64], [71, 67, 65, 66, 78, 76, 68, 69, 70, 75, 72, 73, 74, 77, 79, 82, 81, 80, 86, 83, 85, 84, 87, 88]]
45: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16], [18, 21, 23], [26, 24, 27], [29, 25, 28], [31, 62], [43, 36, 41], [35, 33, 42], [32, 38, 34, 39], [44, 40, 47, 45], [46, 51, 50], [56, 61, 48], [53, 49, 54, 52], [55, 57, 59], [58, 60, 63], [64, 71], [67, 65, 66, 78], [76], [68, 69, 70, 75, 72, 73, 74, 77, 79, 82, 81, 80, 86, 83, 85, 84, 87, 88]]
46: [[19, 7], [5, 37, 9], [2, 3, 1], [4, 10, 6], [8, 11, 30], [22, 12], [13, 14, 15], [20, 17, 16], [18, 21, 23], [26, 24, 27], [29, 25, 28], [31, 62], [43, 36, 41], [35, 33], [42, 32, 38], [34, 39], [44, 40], [47, 45, 46], [51, 50, 56], [61, 48], [53, 49, 54], [52, 55, 57], [59, 58, 60], [63, 64, 71], [67, 65], [66, 78, 76], [68, 69, 70], [75, 72], [73, 74, 77], [79, 82, 81], [80, 86, 83], [85, 84, 87, 88]]
47: [[19, 7], [5, 37, 9], [2, 3, 1], [4, 10, 6], [8, 11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18], [21, 23, 26], [24, 27, 29], [25, 28, 31], [62, 43], [36, 41, 35], [33, 42], [32, 38, 34], [39, 44, 40], [47, 45, 46], [51, 50, 56], [61, 48, 53], [49, 54, 52, 55], [57, 59, 58, 60], [63, 64, 71], [67, 65], [66, 78, 76, 68], [69, 70], [75, 72, 73], [74, 77], [79, 82], [81, 80, 86, 83], [85, 84, 87, 88]]
48: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18], [21, 23], [26, 24, 27], [29, 25, 28], [31, 62, 43, 36, 41], [35, 33, 42], [32, 38, 34, 39, 44, 40, 47, 45, 46, 51, 50], [56, 61, 48, 53, 49, 54, 52, 55, 57, 59, 58, 60, 63, 64, 71, 67, 65, 66, 78, 76, 68, 69, 70, 75, 72], [73, 74, 77, 79, 82, 81, 80, 86, 83, 85, 84, 87, 88]]
49: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20], [17, 16, 18], [21, 23], [26, 24, 27], [29, 25, 28], [31, 62, 43, 36, 41], [35, 33, 42], [32, 38, 34, 39, 44, 40, 47, 45, 46, 51, 50], [56, 61, 48, 53, 49, 54, 52, 55, 57, 59, 58, 60, 63, 64, 71, 67, 65, 66, 78, 76, 68, 69, 70, 75, 72], [73, 74, 77, 79, 82, 81, 80, 86, 83, 85, 84, 87, 88]]
50: [[19, 7, 5, 37], [9, 2], [3, 1, 4], [10, 6, 8], [11, 30], [22, 12, 13], [14, 15, 20, 17], [16, 18, 21], [23, 26, 24, 27], [29, 25, 28, 31], [62, 43, 36, 41, 35, 33, 42], [32, 38], [34, 39, 44, 40], [47, 45, 46], [51, 50], [56, 61, 48], [53, 49, 54], [52, 55, 57], [59, 58, 60, 63, 64], [71, 67, 65, 66, 78], [76, 68], [69, 70, 75], [72, 73, 74], [77, 79], [82, 81, 80, 86, 83, 85, 84, 87, 88]]
