0: [[22], [23, 24], [5, 17], [16, 3, 18], [2, 12, 11, 1], [9, 8, 13, 15], [19, 4], [6, 7], [10, 14, 20], [21]]
32: [[22], [23, 24], [5, 17, 16, 3], [18, 2, 12], [11, 1], [9, 8], [13], [15, 19], [4, 6, 7, 10, 14, 20, 21]]
33: [[22], [23, 24], [5, 17], [16, 3, 18], [2], [12, 11, 1], [9, 8], [13, 15], [19, 4, 6, 7], [10], [14, 20, 21]]
34: [[22], [23, 24], [5, 17], [16], [3, 18, 2, 12, 11], [1, 9], [8, 13, 15, 19, 4, 6, 7, 10], [14, 20, 21]]
35: [[22, 23, 24], [5, 17, 16, 3], [18, 2, 12, 11], [1, 9], [8, 13], [15, 19, 4, 6, 7, 10], [14, 20, 21]]
36: [[22, 23], [24, 5, 17], [16, 3], [18, 2, 12, 11], [1, 9], [8, 13], [15, 19, 4, 6], [7, 10, 14], [20, 21]]
37: [[22], [23, 24, 5, 17], [16, 3, 18, 2], [12], [11, 1, 9, 8, 13], [15, 19], [4, 6, 7, 10, 14, 20, 21]]
38: [[22], [23, 24, 5], [17, 16], [3, 18], [2, 12, 11], [1, 9], [8, 13], [15, 19], [4, 6, 7], [10, 14, 20], [21]]
39: [[22], [23], [24, 5], [17, 16, 3], [18, 2], [12, 11, 1, 9, 8, 13, 15], [19, 4], [6, 7, 10, 14, 20, 21]]
40: [[22, 23], [24, 5], [17, 16, 3], [18, 2, 12], [11], [1, 9], [8, 13], [15, 19, 4], [6, 7, 10, 14], [20, 21]]
41: [[22, 23], [24, 5, 17, 16, 3, 18, 2, 12, 11, 1, 9], [8, 13, 15, 19, 4, 6, 7, 10, 14, 20, 21]]
42: [[22, 23], [24, 5, 17], [16, 3, 18], [2, 12, 11], [1, 9, 8], [13], [15, 19, 4, 6, 7, 10, 14, 20, 21]]
43: [[22, 23, 24, 5], [17, 16], [3, 18], [2, 12, 11], [1], [9, 8, 13, 15, 19, 4, 6, 7, 10, 14, 20, 21]]
44: [[22, 23], [24, 5, 17, 16], [3, 18, 2], [12, 11, 1, 9, 8, 13, 15, 19, 4, 6, 7, 10, 14, 20, 21]]
45: [[22, 23, 24, 5, 17, 16, 3, 18], [2, 12], [11, 1], [9], [8, 13], [15, 19], [4, 6, 7, 10, 14, 20], [21]]
46: [[22, 23], [24, 5, 17], [16], [3, 18], [2, 12], [11, 1], [9], [8, 13], [15, 19, 4, 6, 7, 10, 14, 20, 21]]
47: [[22, 23], [24, 5, 17], [16, 3, 18], [2, 12], [11, 1], [9, 8], [13, 15, 19], [4, 6], [7, 10], [14, 20, 21]]
