0: [[35, 5, 12], [31, 34], [33], [18, 14, 3, 24, 27, 22], [4, 10, 19, 20, 15, 2, 6, 23, 7, 1, 9, 8, 11, 37, 17, 21], [25, 28], [30, 16, 29, 32, 26, 13], [36]]
14: [[35, 5, 12], [31, 34], [33], [18, 14, 3, 24, 27, 22], [4], [10, 19, 20, 15, 2, 6], [23, 7, 1, 9, 8], [11, 37, 17], [21], [25, 28, 30, 16, 29, 32, 26, 13], [36]]
15: [[35, 5, 12], [31, 34], [33], [18, 14, 3, 24], [27, 22, 4, 10], [19, 20, 15, 2, 6, 23, 7, 1, 9, 8, 11, 37, 17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
16: [[35, 5, 12], [31, 34], [33, 18], [14, 3, 24, 27, 22], [4, 10, 19, 20, 15, 2, 6, 23, 7, 1, 9, 8, 11, 37, 17, 21, 25], [28, 30, 16, 29, 32, 26, 13, 36]]
17: [[35, 5, 12], [31, 34], [33, 18], [14, 3], [24, 27, 22, 4, 10], [19, 20, 15, 2], [6, 23], [7, 1, 9, 8, 11, 37], [17, 21, 25, 28, 30], [16, 29, 32, 26, 13, 36]]
18: [[35, 5, 12], [31, 34], [33], [18, 14, 3, 24, 27, 22], [4], [10, 19, 20, 15, 2, 6], [23, 7, 1, 9, 8], [11, 37, 17, 21, 25, 28, 30, 16, 29, 32], [26, 13, 36]]
19: [[35, 5, 12], [31, 34], [33], [18, 14, 3, 24, 27], [22, 4, 10], [19, 20, 15], [2], [6, 23], [7, 1], [9, 8], [11, 37, 17, 21, 25], [28, 30, 16, 29, 32, 26, 13, 36]]
20: [[35, 5, 12], [31, 34, 33], [18, 14], [3], [24, 27, 22], [4, 10, 19, 20], [15, 2, 6], [23, 7, 1, 9], [8, 11, 37, 17], [21, 25, 28], [30, 16, 29, 32, 26, 13, 36]]
21: [[35, 5, 12], [31, 34], [33, 18, 14, 3, 24], [27, 22, 4], [10, 19, 20], [15, 2, 6, 23], [7, 1, 9], [8, 11, 37, 17], [21, 25, 28, 30, 16, 29], [32], [26, 13, 36]]
22: [[35, 5, 12, 31], [34, 33], [18], [14, 3, 24, 27, 22, 4], [10, 19, 20, 15, 2, 6], [23, 7], [1, 9, 8, 11, 37, 17], [21, 25, 28], [30, 16, 29, 32, 26, 13, 36]]
23: [[35, 5, 12], [31, 34], [33], [18, 14, 3, 24, 27, 22], [4, 10], [19], [20, 15, 2, 6, 23, 7, 1, 9, 8, 11, 37, 17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
24: [[35, 5, 12, 31], [34, 33], [18], [14, 3, 24, 27, 22, 4], [10, 19, 20, 15, 2, 6], [23, 7], [1, 9, 8, 11, 37, 17], [21, 25, 28], [30, 16, 29, 32, 26, 13, 36]]
25: [[35, 5, 12], [31, 34, 33], [18, 14, 3, 24], [27], [22, 4, 10, 19], [20, 15, 2], [6, 23, 7, 1, 9], [8, 11, 37], [17, 21, 25], [28, 30, 16, 29, 32, 26, 13, 36]]
26: [[35, 5, 12], [31, 34, 33, 18, 14, 3, 24, 27, 22, 4, 10], [19, 20, 15, 2, 6, 23, 7, 1, 9, 8, 11], [37, 17, 21, 25, 28], [30, 16, 29, 32, 26, 13, 36]]
27: [[35, 5, 12], [31, 34, 33], [18, 14, 3, 24], [27, 22, 4, 10], [19, 20, 15], [2, 6, 23, 7, 1], [9, 8, 11, 37, 17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
28: [[35, 5, 12], [31, 34], [33, 18, 14, 3], [24, 27], [22, 4, 10, 19, 20, 15], [2, 6], [23, 7, 1, 9, 8, 11], [37, 17, 21, 25, 28, 30], [16, 29], [32, 26, 13], [36]]
29: [[35, 5, 12], [31, 34], [33, 18, 14, 3, 24, 27], [22], [4, 10, 19, 20, 15, 2, 6, 23, 7, 1, 9, 8, 11, 37, 17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
30: [[35, 5, 12], [31, 34], [33, 18, 14, 3, 24, 27], [22], [4, 10, 19, 20, 15, 2, 6, 23, 7, 1, 9, 8, 11, 37, 17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
31: [[35, 5], [12, 31, 34], [33], [18, 14, 3, 24, 27], [22, 4, 10, 19, 20, 15, 2, 6, 23, 7, 1, 9], [8, 11, 37, 17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
32: [[35, 5, 12], [31, 34], [33, 18], [14], [3, 24, 27], [22, 4, 10, 19], [20], [15, 2, 6, 23], [7, 1, 9], [8, 11, 37, 17], [21, 25, 28, 30], [16, 29, 32], [26, 13, 36]]
33: [[35, 5, 12], [31, 34], [33], [18, 14, 3, 24, 27, 22], [4], [10, 19, 20], [15, 2, 6, 23], [7, 1, 9, 8, 11, 37, 17], [21, 25, 28, 30, 16, 29], [32, 26], [13, 36]]
34: [[35, 5, 12], [31, 34], [33, 18, 14, 3, 24, 27], [22, 4, 10], [19, 20, 15, 2], [6, 23, 7], [1, 9, 8, 11, 37, 17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
35: [[35, 5, 12], [31, 34], [33, 18, 14, 3], [24, 27, 22], [4, 10, 19, 20, 15], [2, 6, 23], [7, 1, 9, 8, 11], [37, 17, 21], [25, 28, 30, 16, 29], [32], [26, 13, 36]]
36: [[35, 5, 12], [31, 34, 33], [18, 14, 3], [24, 27, 22, 4, 10], [19, 20, 15, 2, 6, 23, 7, 1, 9, 8, 11, 37, 17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
37: [[35, 5, 12], [31, 34], [33, 18, 14, 3], [24, 27], [22], [4, 10, 19, 20, 15, 2, 6, 23, 7, 1, 9], [8, 11, 37, 17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
38: [[35, 5, 12], [31, 34], [33], [18, 14], [3, 24], [27, 22], [4, 10, 19], [20, 15, 2, 6, 23, 7], [1, 9, 8, 11, 37, 17], [21, 25, 28, 30], [16, 29, 32], [26, 13, 36]]
39: [[35, 5, 12], [31, 34], [33], [18, 14, 3, 24, 27, 22], [4, 10, 19], [20, 15, 2, 6], [23, 7, 1], [9, 8, 11, 37, 17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
40: [[35, 5, 12], [31, 34], [33], [18, 14, 3, 24, 27, 22], [4, 10, 19], [20, 15, 2, 6], [23, 7, 1], [9, 8], [11, 37, 17, 21, 25, 28, 30, 16, 29, 32], [26, 13, 36]]
41: [[35, 5, 12], [31, 34], [33, 18, 14, 3], [24, 27, 22, 4, 10, 19], [20, 15], [2], [6, 23, 7, 1, 9, 8], [11, 37, 17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
42: [[35, 5, 12], [31, 34, 33], [18, 14], [3, 24, 27, 22, 4, 10, 19, 20, 15, 2], [6, 23, 7, 1, 9, 8, 11, 37, 17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
43: [[35, 5, 12], [31, 34, 33], [18, 14, 3, 24], [27, 22, 4], [10, 19, 20, 15], [2, 6, 23, 7, 1, 9], [8, 11, 37], [17], [21, 25, 28, 30, 16, 29], [32, 26], [13, 36]]
44: [[35, 5, 12], [31, 34, 33, 18, 14, 3, 24, 27], [22, 4, 10, 19, 20, 15, 2, 6, 23, 7, 1, 9, 8, 11, 37, 17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
45: [[35, 5, 12], [31, 34, 33], [18, 14], [3, 24, 27, 22, 4, 10], [19, 20, 15, 2], [6, 23, 7, 1, 9, 8], [11, 37, 17, 21, 25, 28, 30], [16, 29, 32, 26, 13, 36]]
46: [[35, 5, 12], [31, 34], [33, 18, 14, 3, 24, 27], [22, 4, 10], [19, 20, 15], [2, 6], [23, 7, 1, 9, 8], [11, 37], [17], [21, 25, 28], [30, 16], [29, 32, 26], [13, 36]]
47: [[35, 5, 12], [31, 34], [33, 18, 14, 3, 24, 27], [22, 4, 10, 19, 20, 15], [2, 6, 23, 7, 1, 9], [8, 11, 37, 17, 21], [25, 28, 30], [16], [29, 32, 26, 13], [36]]
48: [[35, 5, 12], [31, 34, 33, 18, 14, 3, 24, 27, 22, 4], [10, 19, 20, 15, 2, 6, 23, 7, 1], [9, 8, 11, 37, 17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
49: [[35, 5, 12], [31], [34, 33, 18, 14, 3, 24], [27], [22, 4, 10, 19, 20, 15, 2, 6, 23, 7, 1, 9, 8, 11, 37, 17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
50: [[35, 5, 12], [31, 34], [33, 18], [14, 3], [24, 27], [22, 4, 10, 19, 20, 15], [2, 6, 23, 7], [1, 9, 8, 11, 37, 17], [21, 25], [28, 30, 16, 29, 32, 26], [13, 36]]
51: [[35, 5, 12], [31, 34, 33], [18, 14], [3, 24, 27], [22, 4], [10], [19, 20, 15, 2, 6], [23, 7, 1], [9, 8, 11], [37], [17, 21], [25, 28], [30, 16], [29, 32, 26, 13], [36]]
52: [[35, 5, 12], [31, 34], [33, 18, 14], [3], [24, 27, 22, 4, 10, 19, 20, 15], [2], [6, 23, 7, 1, 9, 8, 11, 37, 17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
53: [[35, 5, 12], [31, 34], [33], [18, 14, 3, 24, 27, 22], [4], [10, 19, 20], [15], [2, 6, 23, 7, 1, 9], [8, 11], [37, 17, 21, 25, 28, 30, 16], [29], [32, 26, 13, 36]]
54: [[35, 5, 12], [31, 34, 33, 18, 14, 3, 24, 27, 22, 4, 10, 19, 20, 15, 2, 6, 23, 7, 1], [9, 8, 11, 37, 17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
55: [[35, 5], [12, 31, 34], [33], [18, 14], [3, 24, 27, 22, 4, 10], [19, 20, 15, 2], [6, 23, 7, 1, 9, 8], [11, 37, 17, 21, 25, 28, 30], [16, 29, 32, 26, 13, 36]]
56: [[35, 5, 12, 31], [34, 33, 18, 14], [3, 24, 27, 22], [4, 10], [19], [20, 15, 2, 6], [23, 7, 1], [9, 8, 11, 37], [17], [21, 25, 28], [30, 16, 29, 32], [26, 13, 36]]
57: [[35, 5, 12], [31, 34, 33], [18], [14, 3], [24], [27, 22, 4, 10, 19, 20], [15, 2, 6, 23, 7, 1, 9, 8, 11, 37, 17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
58: [[35, 5, 12], [31, 34], [33], [18, 14, 3, 24], [27, 22, 4], [10, 19, 20], [15], [2, 6], [23, 7], [1, 9, 8], [11, 37], [17, 21, 25], [28, 30, 16, 29], [32], [26, 13, 36]]
59: [[35, 5, 12], [31, 34, 33, 18, 14, 3, 24, 27, 22, 4, 10, 19, 20, 15, 2], [6, 23, 7, 1, 9, 8, 11, 37, 17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
60: [[35, 5, 12], [31, 34, 33, 18, 14, 3], [24, 27], [22], [4, 10, 19, 20, 15, 2, 6], [23, 7, 1, 9, 8], [11, 37, 17, 21], [25, 28, 30], [16, 29, 32, 26, 13, 36]]
61: [[35, 5, 12, 31, 34, 33], [18, 14, 3, 24, 27, 22, 4, 10, 19, 20, 15, 2, 6, 23, 7], [1, 9, 8, 11, 37, 17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
62: [[35, 5, 12, 31], [34, 33, 18, 14, 3, 24], [27, 22, 4, 10, 19, 20, 15], [2, 6], [23, 7, 1, 9, 8, 11], [37], [17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
63: [[35, 5, 12], [31, 34, 33, 18], [14, 3, 24], [27, 22, 4, 10, 19, 20, 15, 2, 6, 23, 7, 1, 9, 8, 11, 37, 17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
64: [[35, 5, 12], [31, 34, 33], [18], [14, 3, 24, 27, 22], [4, 10], [19, 20, 15], [2], [6, 23, 7, 1, 9, 8], [11, 37], [17, 21, 25, 28, 30, 16, 29], [32], [26, 13, 36]]
65: [[35, 5], [12], [31, 34, 33, 18, 14, 3], [24], [27, 22, 4, 10, 19, 20], [15, 2, 6, 23, 7], [1, 9, 8], [11], [37, 17, 21, 25, 28, 30, 16, 29], [32], [26, 13, 36]]
66: [[35, 5, 12], [31, 34, 33, 18], [14, 3, 24], [27], [22, 4, 10, 19, 20, 15, 2, 6, 23, 7, 1, 9, 8, 11, 37, 17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
67: [[35, 5, 12], [31, 34], [33], [18, 14, 3], [24, 27, 22], [4, 10], [19, 20], [15, 2, 6], [23, 7, 1], [9, 8], [11], [37, 17, 21], [25, 28, 30, 16, 29], [32, 26, 13, 36]]
68: [[35, 5, 12], [31, 34, 33, 18, 14], [3, 24, 27], [22, 4, 10], [19], [20, 15], [2, 6, 23], [7, 1, 9, 8, 11], [37, 17, 21], [25, 28, 30, 16, 29, 32, 26, 13, 36]]
69: [[35, 5, 12], [31], [34, 33, 18], [14, 3, 24, 27, 22, 4, 10, 19, 20, 15, 2, 6, 23, 7, 1, 9, 8, 11, 37, 17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
70: [[35, 5, 12], [31, 34], [33, 18], [14, 3], [24, 27, 22], [4, 10, 19, 20], [15, 2, 6, 23], [7], [1, 9], [8, 11, 37, 17], [21], [25, 28, 30, 16], [29, 32, 26, 13], [36]]
71: [[35], [5, 12, 31, 34, 33, 18, 14, 3, 24, 27, 22, 4, 10, 19, 20, 15, 2, 6], [23, 7, 1, 9, 8, 11, 37, 17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
72: [[35, 5, 12], [31, 34, 33], [18, 14], [3], [24, 27], [22], [4, 10, 19, 20], [15, 2], [6, 23, 7, 1, 9], [8, 11, 37, 17, 21, 25, 28, 30, 16, 29, 32, 26, 13, 36]]
73: [[35, 5, 12, 31], [34, 33, 18], [14, 3, 24, 27], [22, 4, 10, 19, 20, 15], [2, 6], [23], [7, 1, 9, 8, 11, 37], [17, 21, 25], [28, 30, 16, 29, 32], [26, 13, 36]]
