0: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
42: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
43: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
44: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
45: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
46: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
47: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
48: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
49: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
50: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
51: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
52: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
53: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
54: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
55: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
56: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
57: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
58: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
59: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
