0: [[22, 13, 5, 6, 4], [8, 14, 15], [20, 1], [10, 2], [11, 7], [16, 3], [9, 17], [12, 18, 19], [24, 21, 23]]
19: [[22], [5], [8, 14], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6], [9, 17], [12, 18, 15], [19, 24, 4], [21, 23]]
20: [[22], [5], [8, 14], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6], [9, 17], [12, 18, 15], [19, 24, 4], [21, 23]]
21: [[22], [5], [8, 14], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6], [9, 17], [12, 18, 15], [19, 24, 4], [21, 23]]
22: [[22], [5], [8, 14], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6], [9, 17], [12, 18, 15], [19, 24, 4], [21, 23]]
23: [[22], [5], [8, 14], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6], [9, 17], [12, 18, 15], [19, 24, 4], [21, 23]]
24: [[22], [5], [8, 14], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6], [9, 17], [12, 18, 15], [19, 24, 4], [21, 23]]
25: [[22], [5], [8, 14], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6], [9, 17], [12, 18, 15], [19, 24, 4], [21, 23]]
26: [[22], [5], [8, 14], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6], [9, 17], [12, 18, 15], [19, 24, 4], [21, 23]]
27: [[22], [5], [8, 14], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6], [9, 17], [12, 18, 15], [19, 24, 4], [21, 23]]
28: [[22], [5], [8, 14], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6], [9, 17], [12, 18, 15], [19, 24, 4], [21, 23]]
29: [[22], [5], [8, 14], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6], [9, 17], [12, 18, 15], [19, 24, 4], [21, 23]]
30: [[22], [5], [8, 14, 15], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6, 4], [9, 17], [12, 18, 19, 24], [21, 23]]
31: [[22], [5], [8, 14, 15], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6, 4], [9, 17], [12, 18, 19, 24], [21, 23]]
32: [[22], [5], [8, 14, 15], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6, 4], [9, 17], [12, 18, 19, 24], [21, 23]]
33: [[22], [5], [8, 14, 20, 1, 13], [10, 2], [11, 7], [16, 3, 6], [9, 17], [12, 18, 15], [19, 24, 4], [21, 23]]
34: [[6, 15], [22, 4], [13, 5], [8, 14], [20, 1, 10, 2], [11, 7], [16, 3], [9, 17], [12, 18, 19, 24], [21, 23]]
35: [[6, 15], [22, 4], [13, 5, 8, 14, 20, 1], [10, 2], [11, 7], [16, 3], [9, 17], [12, 18], [19, 24], [21, 23]]
36: [[6, 15], [22, 4], [13, 5], [8, 14], [20, 1], [10, 2], [11, 7], [16, 3], [9, 17, 12, 18, 19, 24], [21, 23]]
37: [[22], [5, 8, 15], [14, 20], [1, 10, 13], [2, 11], [7, 16], [3, 9, 6], [17, 12], [18, 19, 4], [24, 21, 23]]
38: [[6, 15], [22, 4], [13, 5], [8, 14], [20, 1, 10, 2], [11, 7], [16, 3], [9, 17], [12, 18, 19, 24, 21, 23]]
39: [[6, 15], [22, 4], [13, 5, 8, 14], [20, 1], [10, 2], [11, 7], [16, 3, 9, 17], [12, 18, 19, 24, 21, 23]]
40: [[22], [13, 5], [8, 14, 15], [20, 1], [10, 2], [11, 7], [16, 3, 9, 17, 12, 6], [18, 19, 24, 4], [21, 23]]
41: [[6, 15], [22, 4], [13, 5], [8, 14], [20, 1], [10, 2], [11, 7], [16, 3], [9, 17], [12, 18, 19, 24, 21, 23]]
42: [[22], [13, 5, 4], [8, 14, 15], [20, 1], [10, 2], [11, 7, 16], [3, 9, 17, 6], [12, 18, 19, 24, 21, 23]]
43: [[22, 4], [13, 5, 8, 14, 6, 15], [20, 1, 10, 2, 11, 7, 16, 3, 9, 17, 12, 18, 19, 24, 21, 23]]
44: [[22], [13, 5, 6, 4], [8, 14, 15], [20, 1], [10, 2], [11, 7, 16, 3, 9, 17, 12, 18, 19, 24, 21, 23]]
45: [[22], [13, 5, 6, 4], [8, 14, 15], [20, 1], [10, 2], [11, 7, 16, 3, 9, 17, 12, 18, 19, 24, 21, 23]]
46: [[6, 15], [22, 4], [13, 5], [8, 14], [20, 1, 10], [2, 11, 7, 16], [3, 9, 17, 12, 18, 19, 24, 21, 23]]
47: [[6, 15], [22, 4], [13, 5], [8, 14], [20, 1], [10, 2, 11, 7, 16], [3, 9, 17, 12, 18, 19, 24, 21, 23]]
48: [[6, 15], [22, 4], [13, 5], [8, 14, 20], [1, 10, 2], [11, 7, 16, 3, 9, 17, 12, 18, 19, 24, 21, 23]]
49: [[6, 15], [22, 4, 13], [5, 8, 14, 20, 1, 10, 2, 11, 7, 16, 3, 9, 17, 12, 18, 19, 24, 21, 23]]
