0: [[35, 1, 7, 27, 2], [3, 13, 5, 6, 21], [4, 8, 11, 12, 9], [14, 15, 16, 10, 18], [31, 23, 17, 19, 20], [22, 26, 30, 28, 25], [29, 24, 40, 32, 37], [33, 50, 51, 36, 39], [42, 47, 34, 41, 45], [38, 43, 44, 46, 55], [49, 48, 52, 53, 57], [54, 56, 58, 59, 60]]
14: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [12, 4, 11, 8, 10, 30, 9, 15, 26, 24, 20, 23, 19, 14, 22, 31, 25, 16, 17, 18, 28, 29, 37, 32], [33, 38, 34, 40, 36, 47, 39, 42, 45, 41, 46, 43, 44, 49, 48, 52, 50, 54, 59, 53, 51, 60, 56, 58, 55, 57]]
15: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6, 8, 4], [9, 14, 11, 10, 12], [15, 16, 17, 18, 31, 23, 19], [22, 20, 30], [25, 29, 24, 26, 56], [37, 32], [33, 34, 28, 36, 38, 39], [41, 45, 43, 42, 40, 47], [44, 54, 50, 55, 51], [46, 48], [49, 52, 58, 53, 57, 59, 60]]
16: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6, 8, 4, 10], [14, 12, 11, 9, 15], [18, 24, 17, 19, 22, 20, 16, 23, 28, 26], [29, 31, 25, 30, 37, 34, 32, 33, 38, 36, 39, 43, 40, 47, 41, 42, 46, 45, 44], [58], [50, 59, 48, 51, 54, 52, 49, 56, 53, 57, 55, 60]]
17: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 4, 11, 9, 10, 30, 12, 14, 19, 17, 18, 15, 24, 22], [16, 20, 28, 29, 25, 23, 26, 37, 39], [41, 33, 36, 32, 31, 47, 46], [42, 34, 38, 40, 58], [43, 44, 50, 45, 49, 48, 52, 51, 53, 54, 55, 57, 59, 60, 56]]
18: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6, 10], [4, 9, 8, 14, 12], [11, 29, 16, 15, 23, 18], [22, 19, 17, 20, 26, 30, 25], [31, 24, 28, 37, 34], [32, 36, 39, 42, 33], [38, 41, 40, 43, 47], [44, 45, 46, 48, 54, 53, 50], [51, 52, 55, 57, 49, 58], [59, 56, 60]]
19: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 4, 11, 9, 14], [12, 10, 15, 28], [17, 31, 20, 30], [16, 18, 19, 22, 23, 29, 24, 26, 25, 37, 32, 44, 36], [39, 38, 33, 42, 45, 34], [41, 46, 40, 43], [47, 50, 48, 49, 54, 55, 51, 53, 57, 52], [60, 58, 56], [59]]
20: [[35, 1, 2, 7, 27], [3], [13, 5, 21, 6, 8], [4, 9], [10, 11, 14, 12, 15, 16], [17, 23, 19, 20, 18, 28, 24, 22, 25, 31], [26, 29, 30, 37, 40, 41, 34, 32, 33], [43, 36, 42, 39, 38], [44, 45], [47, 46, 50, 51, 48, 52, 49, 55, 53, 54, 57, 59, 56, 58, 60]]
21: [[35, 1, 2, 7, 27], [3], [13, 5, 21, 6, 8], [4, 9], [14, 10, 11, 12, 15, 16], [17, 19, 20], [18, 23, 28, 29, 22, 24, 31, 30, 25, 55, 37, 40, 26, 33, 36, 38, 34, 39, 32, 47, 44, 43, 41, 45, 42, 50, 46, 51, 52, 48, 54, 53, 49, 56, 57, 59, 60, 58]]
22: [[35, 1, 2, 7, 27, 3, 13, 5, 21, 6], [10, 4, 9, 11, 14, 8, 12, 15, 16, 19, 29, 22, 24, 28, 17, 23, 18, 20, 26, 25, 30, 31, 37, 32, 33, 36, 38, 47, 42, 34], [40, 39, 41, 43, 46], [44, 45, 48, 51, 53, 50, 54, 55, 52], [49, 58, 56, 57, 60, 59]]
23: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 4], [10, 9, 14, 11, 12, 15, 18, 17, 19], [16, 22, 20, 23, 25, 28, 24, 29, 31, 26, 30], [33, 34, 36, 32, 39], [37, 38, 42, 40, 46, 41, 43, 44, 45, 47], [50, 54], [51, 48, 55, 52, 49, 53, 57, 58, 59, 56, 60]]
24: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 4, 11, 10, 14, 15, 12, 9, 20, 16, 23, 17, 18, 31], [24, 25, 19, 30, 26, 22, 28, 29, 36], [34, 42, 32, 33, 46, 39, 43, 37, 38, 41, 45, 40, 44], [58, 48, 52, 51, 47, 53, 49, 54, 50, 57, 56], [55, 60, 59]]
25: [[35, 1, 2, 7, 27, 3], [13, 5, 21, 6, 8, 4, 11, 9, 10, 14, 12], [15, 16, 29, 17, 19, 18, 20, 22, 23, 24, 28, 25, 30, 26, 31, 37, 32, 36, 33, 34, 38, 42, 43, 45, 39, 47, 41, 40, 44, 46, 50, 48, 53], [51, 49, 54, 52, 60, 55, 58, 57, 59, 56]]
26: [[35, 1, 2, 7, 27, 3], [13, 5, 21, 6, 8], [4, 11, 9, 10, 14, 12, 15], [16, 17, 23, 20, 30, 18, 22, 19, 24], [26, 29, 25, 28, 31], [37, 32, 33, 36, 39, 34, 42, 41, 38, 40, 43, 44, 47, 45, 46, 58], [50, 49, 48, 53, 51, 52, 55, 54, 57, 59, 56, 60]]
27: [[35, 1, 2, 7, 27, 3], [13, 5, 21, 6, 8], [4, 11, 9, 14, 12, 10, 15, 16, 18, 28, 17, 19, 22, 23, 30, 24, 20, 26, 25, 29, 31, 32, 33, 37, 36, 34, 44, 47, 46, 39, 43, 40, 42, 41, 45, 60, 49, 50], [53, 38, 48, 51, 55, 52, 54, 57, 59, 56, 58]]
28: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6, 8, 4], [11, 12, 19, 14, 9, 15, 20, 17, 10, 18, 16, 22, 26, 25, 28, 30, 29, 24, 23, 31, 37, 32, 41, 38, 33, 34, 46, 47, 36, 39, 42, 40, 43, 44, 45, 54, 49], [55, 50, 48, 51, 59, 52], [53, 57, 56, 58, 60]]
29: [[35, 1, 2, 7, 27, 3], [13, 5, 21, 6, 8], [4, 11, 9, 10, 12, 14], [15, 16, 17, 28, 22, 18, 20], [19, 23, 30, 24, 25], [31, 29, 26, 37, 34, 33], [32, 39, 36], [42, 46, 44, 40], [38, 45, 47, 43], [41, 56, 48, 53, 50, 49, 55, 51, 52, 58, 54, 59, 57, 60]]
30: [[35, 1, 2, 7], [27, 3, 13, 5, 21, 6, 8], [4, 9, 10, 11, 12, 14, 15, 16, 17, 22, 20, 19, 18, 24, 23, 26, 28, 31, 29, 30, 25, 36, 32, 33, 34, 37, 44, 46, 38, 40, 42, 39, 47, 45, 43, 41, 50, 48], [53, 54, 49, 51], [55, 52, 58, 56], [59, 57, 60]]
31: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 4, 15, 12, 10, 9, 11, 14, 16, 17, 22, 18, 19, 20, 23], [25, 26, 24, 30, 28, 31, 29, 33, 46, 36, 34], [32, 44, 38, 37, 45, 43, 40, 39, 41], [42, 47, 50, 52, 55, 48, 53, 49, 51, 54, 57, 56, 60, 58, 59]]
32: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 4, 15, 9, 14, 11, 12, 17, 16, 22, 23, 20, 24, 18, 10], [26, 19, 28, 30, 25, 29, 31, 33, 34, 36, 38, 37, 40, 32, 39], [42, 41, 43, 44, 47, 46, 45, 50, 49, 54, 52], [53, 55, 48, 51, 56, 57], [58, 59, 60]]
33: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6, 8, 4, 11], [10, 14, 12, 9, 15], [16, 18, 17, 19, 22], [28, 20, 23, 24, 26], [29, 31, 25, 30, 37], [32, 34, 36, 33, 38, 44, 42, 40, 39, 41, 47, 43, 45, 46], [54, 50, 59, 48, 49, 52, 53, 55, 56, 57, 51, 58, 60]]
34: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6, 8, 4, 11], [10, 14, 12, 9, 15], [16, 18, 17, 19, 22], [28, 20, 23, 24, 26], [29, 31, 25, 30, 37], [32, 34, 36, 33, 38, 44, 42, 40, 39, 41, 47, 43, 45, 46], [54, 50, 59, 48, 49, 52, 53, 55, 56, 57, 51, 58, 60]]
35: [[35, 1, 2, 7, 27, 3], [13, 5, 21, 6, 8], [4, 11, 9, 10, 14, 12, 15, 16, 29, 19, 18, 17, 20, 22, 23, 24], [26, 25, 28, 30, 31, 37, 32, 33, 34, 38, 36, 42, 39, 45, 41, 47, 43, 40, 44, 46, 50, 48, 55, 57, 49, 51, 52, 53, 54, 58, 59, 60, 56]]
36: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [10, 4, 9, 11, 14], [8, 12, 15, 16, 23, 28, 18], [30, 19, 17, 20, 26], [22, 29, 24, 25, 31, 37], [32, 33, 36, 39, 46, 34, 38], [41, 42, 43, 40, 44], [45, 47, 60, 48, 49, 50, 51, 55, 54], [52, 53, 59, 57, 56, 58]]
37: [[35, 1, 2, 7, 27], [3, 13, 5, 21], [6, 12, 4, 11, 9, 14, 8, 10, 15], [17, 16, 22, 23, 25, 20, 18, 19, 29, 24, 28, 26, 31, 30, 33, 36, 32, 34, 42, 44, 45, 38, 46, 43, 37, 39, 40, 47, 41, 48, 54, 53, 51, 49, 52, 50, 55, 56, 59, 60, 58, 57]]
38: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6, 24, 4, 11], [8, 9, 14, 12, 28, 30, 25, 31, 23, 16, 22, 10, 15, 17, 18, 19, 29, 20, 26, 53, 32, 34, 36, 37, 39, 43, 33, 40, 46, 38, 42, 41, 47, 44, 50, 45, 51, 49, 48, 52, 54, 55, 57, 58, 59, 60, 56]]
39: [[35, 1, 2, 7, 27, 3], [13, 5, 21, 6, 8, 4, 11, 9, 10, 14, 12], [15, 16, 29, 17, 19, 18, 20, 22, 23, 24, 28], [25, 30, 26, 31, 37, 32, 36, 33, 34, 38, 42, 43, 45, 39, 47, 41, 40, 44, 46, 50, 48, 53], [51, 49, 54, 52, 60, 55, 58, 57, 59, 56]]
40: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 4, 11, 9, 10, 14, 12, 15, 26, 25, 24, 19, 16, 20, 18, 23], [17, 30, 29, 22, 28], [31, 37, 32, 33, 34, 38, 39, 41, 46, 36, 44, 43, 45, 40, 42], [59, 54, 48, 51, 52, 56, 49, 55], [47, 57, 50, 53, 58, 60]]
41: [[35, 1, 2, 7, 27, 3], [13, 5, 21, 6, 14], [4, 11, 8, 10, 9, 12], [15, 16, 29, 28, 18, 17, 19, 23, 20, 31, 24, 22, 25, 26, 30, 37, 34, 32, 33, 39, 47, 46, 42, 36, 40, 38, 41, 43, 44, 45, 56, 48, 50, 51, 53, 54, 49], [52, 55, 59, 58, 57, 60]]
42: [[35, 1, 2, 7], [27, 3, 13, 5, 21, 6, 8, 4, 11, 9, 14, 12, 10, 29, 26, 18, 15, 16, 19, 22, 20, 17, 28, 24, 25, 23, 30, 31, 37, 32, 44], [36, 34, 33, 38, 40, 41, 39, 42, 47, 45, 43, 46, 50], [48, 51, 49, 52, 55, 53, 54, 57, 56, 58, 59, 60]]
43: [[35, 1, 2, 7], [27, 3, 13, 5, 21, 6, 8, 4, 11, 9, 14, 12, 10, 29, 24, 17, 15, 16, 18, 20, 22, 25, 30, 19, 28, 23, 26, 31, 37, 32, 44], [33, 34, 36, 38, 40, 43, 39, 41, 46, 45, 42, 47, 50], [48, 49, 60, 52, 55, 51, 53, 56, 57, 58, 59, 54]]
44: [[35, 1, 2, 7], [27, 3, 13, 5, 21, 6, 8, 4, 11, 9, 14, 12, 10, 29, 24, 17, 15, 16, 18, 20, 22, 25, 30, 19, 28, 23, 26, 31, 37, 32, 44], [33, 34, 36, 38, 40, 43, 39, 41, 46, 45, 42, 47, 50], [48, 49, 60, 52, 55, 51, 53, 56, 57, 58, 59, 54]]
45: [[35, 1, 2, 7], [27, 3, 13, 5, 21, 6, 8, 4, 11, 9], [14, 12, 26, 10, 15, 17, 19, 16, 18, 22, 20, 23, 29, 25, 24, 28, 31, 30, 37, 32, 40, 36, 39, 38, 33, 46, 34, 42, 44, 47, 41, 43, 45, 50, 48, 51, 52, 53, 49, 55, 54, 59, 58, 56, 57, 60]]
46: [[35, 1, 2, 7, 27, 3, 13, 5, 21, 6, 8], [4, 11, 9, 14, 12, 10, 31, 15, 16, 17, 18, 19, 20, 26, 23, 30, 22, 28, 29, 24, 25, 37, 32, 44], [36, 33, 34, 38, 42, 40, 39, 41, 46, 45, 43, 47, 50], [48, 51, 52, 49, 53, 55, 54, 56, 59, 57, 58, 60]]
47: [[35, 1, 2, 7, 27, 3], [13, 5, 21, 6, 8, 4, 11, 9, 10, 14, 12, 15, 16, 29, 17, 19, 18, 20, 22, 23, 24, 28, 25, 30, 26, 31, 37, 32, 36, 33, 34, 38, 42], [43, 45, 39, 47, 41, 40, 44, 46, 50, 48], [53, 51, 49, 54, 52, 60, 55, 58, 57, 59, 56]]
48: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6, 8], [4, 11, 9, 10, 14, 12, 15, 17, 28, 20, 18], [30, 16, 19, 24, 22], [29, 31, 23, 25, 26, 37], [40, 33, 38, 32, 34, 47, 36], [39, 41, 45, 42, 43, 44, 46, 49, 48, 53, 58, 55, 51, 54, 52, 50], [60, 57, 56, 59]]
49: [[35, 1, 2, 7, 27, 3], [13, 5, 21, 6, 8, 4, 11, 9, 15, 26], [14, 31, 17, 20, 19, 10, 12, 16, 18, 28, 25, 24, 29, 22, 23, 44, 32, 30, 37, 33, 34, 38, 43, 46, 36, 42, 40, 39, 51, 45, 47, 58, 48, 53, 41, 52, 50, 55, 49, 54, 57, 56, 60, 59]]
50: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 4, 11, 9, 12, 10, 15, 14, 16], [17, 18, 19], [23, 20, 22, 24, 26, 25, 29, 31, 28, 30, 33], [32, 38, 37, 36], [34, 47], [41, 42, 46, 39, 44, 45, 40, 43, 48, 49, 54], [58, 52, 51, 50, 53, 56, 55, 57, 60, 59]]
51: [[35, 1, 2, 7, 27, 3], [13, 5, 21, 6, 8], [4, 11, 9, 10, 30], [12, 15, 20, 17, 14, 16, 19], [23, 18, 24, 22, 25, 29, 28, 26, 31, 37, 32, 33, 36, 34, 46, 44, 45, 38, 47, 40, 41, 43, 42, 51, 50, 49, 52, 48, 39, 55, 53], [54, 56, 57, 58, 59, 60]]
52: [[35, 1, 2, 7], [27, 3, 13, 5, 21, 6, 8, 4, 15, 9], [14, 12, 10, 24, 26, 19, 11, 16, 18, 23, 20, 22, 28, 17, 25, 29, 30, 31, 37, 34, 40, 33, 32, 46, 38, 44, 36, 39, 41, 43, 45, 42, 47, 50, 48, 49, 55, 52, 53, 51, 60, 57, 56, 58, 59, 54]]
53: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 4, 9, 10], [11, 12, 14, 19, 24, 16, 28, 22, 26, 17, 20, 31, 18, 23, 25, 15, 29, 30, 37, 32, 34, 38, 36], [46, 47, 39, 33, 40, 41, 42, 43, 45, 44, 50, 49, 55, 48, 52, 54, 53, 51, 60, 57, 56, 59, 58]]
54: [[35, 1, 2, 7, 27, 3], [13, 5, 21, 6, 8], [4, 9, 10, 11, 14, 12, 15, 16, 19], [31, 22, 17, 23, 20, 18, 24], [25, 28, 26, 29, 30], [36, 38, 33, 32, 34], [40, 37, 39, 42, 43, 45, 41], [44, 46, 47, 58, 51, 54, 53, 50, 48, 52, 55, 56, 49, 57, 59], [60]]
55: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 4], [11, 9, 10, 17, 14, 15, 20, 18, 12], [16, 31, 22, 23, 28, 19, 25, 29, 24], [26, 30, 33, 32, 34, 36], [37, 39, 46, 38, 42, 40, 41, 43, 45, 44, 47, 50, 48, 49, 51, 55, 52, 53, 54, 57, 58, 59, 56, 60]]
56: [[35, 1, 2, 7, 27, 3, 13, 5, 21, 6], [8, 4, 11, 9, 10, 14, 12, 15, 17, 16, 29, 22, 24, 28, 18, 19, 20, 25, 30, 23, 31, 26, 37, 40, 33, 38, 34, 47, 43, 32, 36, 39, 45, 44], [42, 46, 41, 50, 48, 53, 58, 54, 51, 52, 49, 55, 56, 57, 60, 59]]
57: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6, 8], [4, 11, 9, 12, 10, 14, 15, 18], [17, 16, 22, 24, 19], [20, 23, 25, 26, 31], [28, 29, 30, 37, 32, 33, 38, 45], [34, 43, 39, 36, 41, 40, 42, 46, 44], [47, 48, 49, 51, 56], [53, 50, 52, 55, 54, 58, 57, 59, 60]]
58: [[35, 1, 2, 7, 27], [3, 13, 5, 21], [6, 8, 4, 11, 9, 15, 12, 24, 10, 26], [17, 19, 18], [14], [16, 20, 23, 29, 22, 25, 28, 31, 30, 33, 32, 34, 44, 37, 38, 45, 36, 39, 43, 41, 42, 46, 40, 47, 48, 55, 49, 51, 50, 53, 54, 52, 58, 60, 59, 57, 56]]
59: [[35, 1, 7, 27, 3, 2], [13, 5, 8, 21], [4, 11, 14, 9, 15, 12, 6, 10], [17, 16, 23, 18], [19, 24, 20, 22, 28, 30], [31, 25, 26, 29, 33], [34, 37, 38, 36, 45], [32, 41, 46, 39, 40, 43], [42, 58, 44, 47, 49, 60], [55, 54], [51, 53, 48, 52, 50, 56, 57, 59]]
60: [[35], [1, 2, 7, 27, 3, 13, 5, 21, 6], [8, 4, 9, 14, 10, 12, 11, 15, 19, 16, 26, 20, 17, 22, 18, 23, 28, 31, 29, 24, 30, 25, 37, 42, 33, 38], [32, 45, 44, 39, 40, 41, 46, 34, 43, 36, 47, 50], [48, 51, 49, 57, 53, 52, 55, 58, 54, 56, 59, 60]]
61: [[35, 1, 2, 7, 27, 3], [13, 5, 21, 6, 8, 4], [11, 9, 10, 14, 12, 15], [26, 17, 18, 16, 22, 19, 23], [28, 20, 25, 24, 29], [30, 31, 37, 32, 36], [33, 38, 47, 39, 46], [42, 40, 34, 44, 45], [41, 43, 48, 49], [55, 59, 52, 51, 50, 53], [56, 54, 58, 60, 57]]
62: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6, 8, 4, 11, 9, 10, 12, 14, 15, 18, 24, 20, 19, 23, 17, 22, 16, 26, 25, 28, 29, 31, 30, 32, 34, 41, 36, 33, 44, 37, 39, 42, 38, 47], [46, 40, 43, 45, 48, 50, 49, 54, 53, 52, 51, 55, 56, 59, 57, 58, 60]]
63: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 4, 11, 9, 10, 12, 14, 15, 16], [17, 19, 23, 24, 18], [20, 22, 28, 25, 29], [26, 30, 31, 37, 32, 33, 38, 43, 34, 42], [47, 36, 39, 40, 41, 44, 45, 46, 50, 48, 49], [51, 53, 55, 52, 60, 54, 56, 57, 58, 59]]
64: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6, 8, 4], [11, 12, 14, 9, 10], [15, 17, 16, 28, 20, 30, 18, 19, 26], [29, 22, 25, 24, 31, 23, 37, 34, 33, 36], [32, 38, 46, 39, 40, 41, 42, 43, 47, 44, 45, 54, 49, 51, 48, 50, 55, 53, 52, 58, 56, 57, 60, 59]]
65: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6, 8, 4, 11], [14, 9, 10, 12, 31], [20, 24, 15, 19, 23], [16, 22, 30, 17, 18, 25, 26], [28, 29, 37, 34, 32, 33, 36, 40, 39], [38, 41], [43, 42, 47, 45, 44, 46, 59, 50, 57, 48, 51, 54, 53, 49, 56, 60, 52, 55, 58]]
66: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6, 8, 4, 10], [11, 12, 9, 14, 15, 18, 25, 17, 23, 16, 19, 20, 30, 22, 26, 28, 29, 24, 31], [37, 34, 32, 33, 36, 40, 38, 39, 42, 46, 41, 43, 44, 45, 53, 58, 48, 51, 47, 54, 49, 55, 59, 56, 52, 57, 50, 60]]
67: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 4, 11], [9, 10, 12, 15], [23, 14, 16, 24, 18, 17, 19, 31, 22], [25, 26, 28, 30, 29, 20, 37], [40, 34], [33, 44], [32, 39, 45, 36, 38, 41, 43, 46, 42], [47, 58, 53, 49, 50, 48], [52, 54, 55, 51, 57, 56], [59, 60]]
68: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 4, 9, 10], [11, 12, 14, 15, 18, 17, 28, 22, 16, 20, 23, 31, 19, 26, 25, 30, 29, 24], [37, 40, 34, 47, 45, 43, 32, 39, 38, 41, 33, 36, 44, 42, 52, 50, 49, 55, 51, 46, 53, 54, 48, 58, 57, 59, 56, 60]]
69: [[35, 1, 2, 7, 27, 3, 13, 5, 21, 6, 8, 4], [11, 9, 14, 26, 12, 10, 18, 31, 15, 16], [22, 17, 19, 23, 24, 25, 29, 20, 28, 30, 37], [32, 36, 38, 33, 34, 46, 45, 44, 43, 41, 39, 40, 42], [47, 48, 50, 53, 59, 51, 55, 52, 54, 49, 56, 57, 58, 60]]
70: [[35, 1, 2, 7, 27], [3, 13, 5, 21], [6, 12, 4, 11, 9, 10, 14, 8, 15, 18, 17, 16, 19, 29, 24, 22, 20, 23, 30, 31, 26, 25, 28, 37], [32, 36, 34, 39, 47], [41, 46, 38, 33, 40, 43], [42, 48, 44, 52, 49, 50], [45, 53], [54, 55, 51, 60, 57, 59, 58, 56]]
71: [[35, 1, 2, 7], [27, 3, 13, 5, 21, 6, 8, 4, 9, 11, 10, 14, 12], [31, 18, 17, 23, 29, 16, 19, 24, 15], [22, 26, 28, 20, 25, 30], [36, 44, 33, 34, 37, 38], [39, 43], [32, 45, 47, 41, 42, 48, 46, 50], [40, 49, 51, 55, 54, 53, 52, 59, 56, 57, 58, 60]]
72: [[35, 1, 2, 7, 27, 3], [13, 5, 21, 6, 12], [4, 11, 9, 14], [8, 10, 15, 20, 16, 26, 19], [18, 23, 17, 28, 22, 25], [30, 24, 29, 31, 37, 34, 32, 38, 33, 36, 40, 39, 43, 41, 44], [45, 42, 47, 46, 50, 56, 53, 49, 48, 55, 51, 52, 58], [54, 59, 57, 60]]
73: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 12, 9, 4, 14, 10, 11, 15, 18], [19, 17, 16, 24, 26], [22, 20, 31, 23, 25], [28, 29, 30, 39, 43, 33, 36, 34], [38, 37, 41, 46, 42, 40, 32, 44, 45], [47, 58, 51], [53, 50, 48, 49, 55, 52], [54, 57, 56, 60, 59]]
