0: [[35, 7, 2, 1], [3, 5, 13, 21, 6], [28, 4, 8, 9, 11, 12, 14, 15, 16, 29, 17, 26, 18, 10], [22, 23, 24], [27, 19, 20, 25, 31, 30, 39, 32, 46, 33, 34, 44, 37, 41, 42, 38], [36, 43, 45, 51, 40, 54, 50, 56, 47, 53, 48, 52, 55, 59, 58], [49, 60, 57]]
25: [[35, 7, 2, 1], [3, 5, 13, 21, 6], [10, 4, 12, 11, 9], [8, 14, 15, 16, 23, 19, 30, 18, 22, 17], [20, 24, 25, 31, 26, 27, 28, 29, 37], [32, 33, 38, 34, 36, 42, 39, 41], [46, 40, 43, 44, 59, 45], [50, 60, 55, 47, 53], [51, 48, 49, 52, 58], [54, 56, 57]]
26: [[35, 7, 2, 1], [3, 5, 13, 21, 6], [24, 4, 8, 11, 9], [14, 15, 12, 17, 25, 30, 18, 22, 16, 19, 26, 20, 23, 28, 31, 29, 27, 37, 32, 33, 36, 34, 39, 38, 47, 40, 42, 41, 46, 44, 43, 45, 54, 60, 55, 49, 53, 50, 48, 57, 56, 51, 52, 58, 59, 10]]
27: [[35, 7, 2, 1, 3], [5, 13, 21, 6, 24], [4, 8, 9, 11, 14, 10, 15, 12, 17, 19, 16, 18], [22, 23, 28, 20, 27], [25, 26, 30, 29, 31], [37, 32, 38, 33, 40, 34], [39, 41, 36, 43, 42, 45, 46, 44], [47, 50, 56, 52, 51, 54, 48, 55, 49, 57, 53, 59, 58, 60]]
28: [[35, 7, 2, 1], [3, 5, 13, 21, 6], [10, 4, 12, 11, 9], [8, 14, 15, 16, 23, 19, 30, 18, 22, 17], [20, 24, 25, 31, 26, 27, 28, 29, 37], [32, 33, 38, 34, 36, 42, 39, 41], [46, 40, 43, 44, 59, 45], [50, 60, 55, 47, 53], [51, 48, 49, 52, 58], [54, 56, 57]]
29: [[35, 7, 2, 1], [11, 5, 13, 21, 6, 28], [4, 8, 3, 9, 14], [10, 15, 30, 18, 25, 19, 24, 16, 12, 22, 17, 29, 27, 20, 23, 26, 31, 37, 33, 38, 32, 34, 41, 39, 36, 42, 47, 40, 43, 44, 45, 49, 54, 48, 53, 55, 51, 46, 52, 58, 57, 50, 56], [60, 59]]
30: [[35, 7, 2, 1], [3, 5, 13, 21, 6], [24, 4, 8, 11, 12], [14, 10, 9, 27, 31, 25, 26, 16, 20, 15, 17], [18, 23, 19, 22, 30, 28, 29, 37, 32, 38], [36, 42, 39, 46, 33, 40, 34, 45, 43], [44, 41, 47, 51, 60, 49, 48, 50], [54, 55, 57, 53, 58, 52, 56, 59]]
31: [[35, 7, 2, 1], [3, 5, 13, 21, 6], [10, 4, 12, 11, 9, 8], [14, 15, 24, 16, 19, 26, 18, 22, 17, 31, 20, 29, 23, 28, 25, 30, 27, 37, 32, 40, 34, 42, 45, 36, 33, 44, 38, 39, 47], [41, 43, 46, 50, 48], [54, 51, 55, 49, 53], [57, 52, 58], [60, 56, 59]]
32: [[35, 7, 2, 1], [3, 5, 13, 21, 6], [30, 4, 8, 11, 15, 12, 10, 14, 18, 28, 20, 27, 22, 26, 16, 19, 9, 23, 17, 24, 25, 31, 29, 39, 32, 43, 33, 34, 36], [37, 38, 47, 40, 44, 41, 42, 45, 46, 54, 50, 58, 48, 53, 52, 51, 55, 57, 59, 49, 60, 56]]
33: [[35, 7, 2, 1, 3], [5, 13, 21, 6, 28], [4, 8, 9, 10, 12, 14, 11, 15, 23, 22, 24, 19, 17, 26, 27], [18, 20, 16, 30, 25, 29, 31, 39, 32, 36, 33, 38, 37, 34, 44, 42, 45, 40, 43, 41, 47, 51, 46, 53, 48, 49, 52, 54, 55, 60, 50, 58, 56, 59, 57]]
34: [[35, 7, 2, 1], [3, 5, 13, 21, 6], [30, 4, 8, 9, 11, 14, 12, 15, 23, 17, 16, 19, 10], [20, 27, 22], [25, 28, 29, 26], [24, 31, 39, 34, 36], [32, 33, 38, 40, 41, 46, 47, 44, 43, 37, 18], [42, 45, 52, 50, 57, 48, 49, 51, 53, 54, 56, 55, 60, 59, 58]]
35: [[35, 7, 2], [1, 3, 5, 13, 21, 6, 26, 4, 8, 11, 9, 14, 10], [12, 27, 31, 18, 17, 15, 28, 23, 30, 16, 22, 29, 19, 20, 24, 25, 37, 32, 33, 40, 34, 38, 36, 47, 39, 44, 41], [43, 42, 45, 51, 54, 53, 46, 52, 50, 48, 49, 55, 59, 56, 58, 57, 60]]
36: [[35, 7, 2, 1], [3, 5, 13, 21, 14, 28, 4, 8, 11, 9, 15, 16, 12, 10], [20, 17, 18, 19, 6, 24, 23, 22, 26, 25, 31, 30, 27, 29, 37, 32, 38, 36, 47, 33, 34, 39, 40, 46, 41, 42, 45, 43, 54, 53, 51, 44, 48], [50, 49, 55, 52, 58, 56, 59, 57, 60]]
37: [[35, 7, 2, 1], [3, 5, 13], [21, 6, 28, 4, 8, 9, 10, 11, 15, 14, 27, 17, 16, 12, 18, 19], [23, 26, 22, 29, 20, 30, 25, 31, 24, 37, 32, 46, 33, 38, 45], [36, 39, 42], [41, 34, 47, 43, 40], [51, 44, 56, 48, 52, 53, 57, 49, 54, 50, 59, 55, 58, 60]]
38: [[35, 7, 2, 1, 3], [5, 13, 21, 6, 26], [4, 12, 11, 9, 8, 14, 10], [15, 16, 22, 27, 18], [23, 17, 19, 24, 20, 25, 30, 31, 29, 28, 39, 37, 32, 33, 47, 38, 42, 36, 40, 34, 44, 41, 43, 45, 54, 46, 52, 49, 55, 50, 53, 59, 56, 48], [58, 57, 51, 60]]
39: [[35, 7, 2, 1, 3], [5, 13, 21, 6, 30, 4, 8, 11, 9], [10, 12, 14, 15, 23, 18, 16, 19, 22, 17, 28, 20, 25, 26, 27, 24, 29, 31, 37, 36, 34, 33, 32, 39, 40, 47, 38, 43, 42, 41, 45, 44, 46, 51, 50, 48, 54, 52, 49, 55, 57], [59, 58, 53, 56, 60]]
40: [[35, 7, 2, 1], [3, 5, 13, 21, 6], [28, 4, 8], [11, 9, 14, 10, 12, 24, 31, 17, 16, 20, 15], [23, 19, 18, 26], [25, 29, 22, 27, 30], [37, 33, 36, 34, 47], [39, 38, 44, 32, 42, 40], [43, 45, 46, 54, 49, 52, 48, 41, 50, 53, 55, 51, 58, 56, 59, 57, 60]]
41: [[35, 7, 2, 1, 3], [5, 13, 21, 6, 24], [4, 8, 9, 10, 14], [11, 12, 31, 15, 17, 18, 16, 23, 20, 19, 28, 29], [30, 22, 25, 27, 26], [37, 32, 33, 41, 44], [47, 39, 36, 45, 34], [42, 38, 40, 43, 46, 54, 51], [49, 50, 53, 48, 55, 52, 58, 57, 56, 59, 60]]
42: [[35, 7, 2, 1, 3], [5, 13, 21, 6], [26, 4, 12], [11, 27, 9, 14, 8, 15], [24, 10, 16, 18, 23, 17, 22, 19, 30, 20, 31, 25, 29, 28, 37, 32, 40, 33, 39, 46, 34, 38, 42, 36, 44, 41, 43, 47, 54, 50, 55, 49, 48, 52, 45, 51, 60, 53, 58, 59, 57, 56]]
43: [[35, 7, 2, 1, 3], [5, 13, 20, 21, 14], [4, 8, 10, 9, 12, 15, 6, 11, 18, 16], [25, 19, 23, 22, 17], [31, 26, 24], [27, 30, 28, 29, 37, 32, 40, 33, 34, 39, 38], [45, 36, 47, 46, 43, 41], [44, 54, 51, 42], [48, 53, 50, 49, 55, 52, 58, 57, 59, 56, 60]]
44: [[35, 7, 2, 1], [3, 5, 13, 21, 6], [26, 4, 8, 9, 11, 10], [12, 14, 19, 15, 31, 16, 24, 22, 17, 18, 23], [20, 27, 29, 25, 28, 30, 37, 44, 40, 32, 42, 34, 36, 43, 39, 33, 38, 41, 45, 56, 46, 52, 50, 55, 49, 47, 54, 48, 51, 58, 60, 57, 59, 53]]
45: [[35, 7, 2, 1], [3, 5, 13, 21, 6], [24, 4, 12, 11, 9, 10], [14, 8, 26, 29, 15, 16], [17, 25, 22, 30], [27, 18, 19, 20, 23, 28, 31, 36, 32], [33, 34, 47, 46, 39, 38, 37, 45, 43, 41, 40, 42, 44, 55, 48, 49, 52], [50, 53, 59, 54, 51, 60, 56, 57, 58]]
46: [[35, 7, 2, 1], [3, 5, 13, 21], [6, 24, 4, 8, 9, 10, 14, 11, 15, 12, 17, 25, 16, 19, 18, 20, 22, 23, 26, 30, 29, 27, 28, 31, 37, 36, 42, 33, 38, 40, 34, 39, 32, 44, 46, 47, 45, 41, 43, 55, 49, 48, 54, 51, 57, 52, 53, 50, 56, 58, 60, 59]]
47: [[35, 7, 2, 1], [3, 5, 13, 21, 6, 28, 4, 8, 11, 9, 12, 10, 14, 31, 15, 26, 29, 19, 16, 17, 18, 30, 23, 20, 22, 24, 25, 27, 37, 32, 60, 33, 42, 47, 38, 36, 39, 34, 46, 40, 41], [43, 49, 44, 52, 48, 45, 55, 50, 53, 51, 58, 59, 54, 57, 56]]
48: [[35, 7, 2, 1], [3, 5, 13, 28, 4, 8, 11, 9, 14, 12, 31, 21, 6], [30, 16, 19, 15, 17, 23, 24, 27, 18, 10], [20, 22, 26, 29, 25, 37, 40, 33, 32, 34, 39, 38, 42, 36, 41, 46, 43], [45, 44, 52, 49, 55], [47, 50, 48, 51, 53, 54, 56, 58, 57, 59, 60]]
49: [[35, 7, 2, 1], [11, 5, 13, 21], [6, 24, 12, 10, 3, 14, 9, 15, 28, 30, 8, 16, 20, 18, 4], [23, 17, 25], [22, 19, 27, 29, 26, 31, 39, 40, 46, 33, 38, 32, 37, 36, 41, 42, 44, 34, 43, 60, 45, 54, 47, 48, 49, 56, 50, 53, 51, 52, 55, 59, 58, 57]]
50: [[35, 7, 2, 1], [11, 5, 13, 21, 6], [24, 4, 3, 8, 9, 14, 15, 10, 12], [17, 19, 27, 18], [16, 22, 23, 20, 28, 25, 29, 31, 26, 30, 39, 40, 42, 33], [34, 36, 32, 37, 38, 43, 46, 41, 44, 45, 60, 48, 47, 49], [52, 50, 51, 53, 55, 54, 56, 59, 58, 57]]
51: [[35, 7, 2, 1], [3, 5, 13, 21, 6, 30, 4, 12, 11], [9, 10, 14, 8, 15, 19, 16, 22, 18, 23, 17, 20, 26, 27, 29, 24, 25, 28, 31, 39, 32, 33, 36, 34, 40, 42, 37, 41, 46, 44, 38, 45, 59, 57, 50, 53, 47, 43, 55, 49, 48, 56, 51, 58, 52, 54, 60]]
52: [[35, 7, 2, 1], [3, 5, 13, 21, 6], [24, 4, 8, 10, 9, 12, 14, 11, 15, 19], [16, 18, 22], [20, 17, 23, 27], [26, 31, 25, 30, 28], [29, 39, 32, 43, 33, 34], [44, 38, 41, 36, 40, 42, 47, 45, 46, 49, 48, 52, 56, 37, 50, 51, 54, 53, 60, 57, 55, 58, 59]]
53: [[35, 7, 2, 1], [3, 5, 13, 21, 6], [30, 4, 8], [11, 9, 14, 10, 12, 27, 26, 17, 19, 24, 16], [15, 22, 20, 31], [25, 18, 23, 28, 29], [37, 33, 38, 32, 46], [36, 41, 34, 42, 39, 40], [43, 45], [44, 48, 54, 49, 51, 47, 50, 52, 55, 53, 57, 58, 56, 60, 59]]
54: [[35, 7, 2, 1, 11], [5, 13, 21, 6, 10], [4, 3, 9, 8, 12], [15, 28, 31, 14], [27, 17, 23, 16, 18, 26, 19, 22, 29, 25, 20, 30, 24, 39, 33, 34, 36, 38, 44, 40, 42, 47, 32, 37, 41, 46, 48, 43, 50, 45, 51, 53, 49, 55, 54, 52, 57, 58, 60, 56, 59]]
55: [[35, 7, 2, 1], [3, 5, 13], [21, 6, 24, 4, 8, 9, 11, 12, 14, 10], [15, 18, 16, 26, 20], [19, 17, 27, 22, 31, 23], [30, 29, 25, 28, 37], [32, 42, 33, 34, 46, 36, 41, 38, 39, 40, 43, 44], [45, 58, 51, 48, 55, 47, 49, 52, 53, 50, 54, 56, 59, 57, 60]]
56: [[35, 7, 2, 1, 3], [5, 13, 21, 6, 28], [4, 8, 11, 10, 9, 12, 14, 15, 24, 25, 17], [18, 16, 23, 19, 30, 22, 20, 27, 29, 26, 31], [36, 33, 46, 32, 44, 34], [41, 37, 38, 39, 40, 47, 43, 42, 48, 45, 49, 52, 53, 54, 57], [50, 51, 56, 58, 55, 59, 60]]
57: [[35, 7, 2, 1], [3, 5, 13, 21], [6, 10, 4, 12, 11, 9, 8, 14, 15, 20], [23, 19, 16, 17, 18, 22, 24, 29, 27], [25, 30, 26, 31, 28, 37, 36, 56], [32, 42, 34, 40, 45, 33], [38, 44, 43, 39, 46], [41, 50, 47, 48, 53], [51, 49, 52], [57, 54, 58, 55, 60, 59]]
58: [[35, 7, 2, 1, 3], [5, 13, 21, 6, 28], [4, 12, 11, 9, 14], [8, 10, 30, 15, 29], [16, 23, 18, 17, 19, 31, 20, 25, 22, 27, 24, 26, 36, 32, 37, 33, 47, 34, 38], [45, 39, 46, 40, 42], [41, 43, 44, 50, 49, 52, 53, 51, 48, 59, 54], [57, 58, 55, 56, 60]]
59: [[35, 7, 2, 1], [3, 5, 13, 21, 6, 24, 4, 9, 11, 8, 15, 30, 22], [12, 29, 26, 14, 17, 19, 16, 23, 18, 10], [20, 31, 25, 27, 28], [37, 32, 47], [33, 38, 39], [34, 42, 44, 45, 41, 43, 40, 46, 48], [50, 58, 51, 36, 52, 49, 55, 54, 53, 56, 57, 59, 60]]
60: [[35, 7, 2, 1, 3], [5, 13, 21], [6, 24, 4], [9, 11, 12, 8, 14, 10, 15, 29, 28], [20, 22, 16, 19, 17, 26, 18, 23, 27, 25, 30, 31, 39, 32, 42, 33, 34, 44, 37, 38, 45, 40, 41, 46, 43, 50, 48, 47, 58, 51, 36, 49, 53, 54, 52, 55], [56, 57, 59, 60]]
61: [[35, 7, 2, 1], [3, 5, 13, 21, 6, 24], [4, 9, 8, 10, 14, 15, 11, 31], [12, 19, 18, 28, 23], [22, 17, 16, 26, 27, 20, 25, 29, 30, 37], [36, 38, 33, 34, 41, 43, 32], [44, 39, 40, 42], [45, 47, 46, 54, 50], [49, 55, 48, 51, 52], [53, 56, 58, 59], [57, 60]]
62: [[35, 7, 2, 1, 3], [5, 13, 21, 6, 8, 4], [10, 11, 9, 12, 14, 15], [18, 30, 19, 16, 17], [23, 20, 22, 25, 24, 27], [26, 29, 28, 31, 37], [40, 32, 38, 33, 44, 34], [39, 42, 46, 41, 43, 45], [47, 36, 54, 50, 55], [53, 49, 51, 52, 56, 48], [59, 57, 58, 60]]
63: [[35, 7, 2, 1, 11], [5, 13, 21, 6, 26], [4, 8, 3, 9, 14, 12], [10, 15, 22, 18, 17], [16, 19, 20, 31, 24, 23], [29, 25, 28, 27, 30], [37, 41, 34, 33, 46, 40, 32, 36, 38, 47, 42, 43, 39, 44, 52, 50, 45, 54, 49, 48, 51, 53, 55, 57, 56, 59, 58, 60]]
64: [[35, 7, 3, 1, 2, 5], [13, 21, 6, 28, 4], [10, 11, 8, 9, 12, 14], [24, 27, 16, 19, 17, 23, 18, 31, 15, 22, 25, 20, 29], [30, 26, 37, 32, 38, 44, 33, 40, 46, 34, 39, 36, 41], [47, 42, 43, 45, 54, 48, 50, 49, 52, 53, 51, 55, 57, 58, 59, 56, 60]]
65: [[35, 7, 2, 1, 3], [5, 13, 21, 6, 24], [4, 8, 11, 9], [15, 10, 14, 12, 16], [17, 20, 19, 23, 18, 30], [31, 28, 22, 25, 27, 26, 29, 37, 32, 33, 36, 42, 34, 38, 44, 41, 43, 46, 47], [39, 40, 45, 50, 49], [52, 53, 51, 48, 55, 56, 54, 57, 59, 58, 60]]
66: [[35, 7, 2, 1, 3], [5, 13, 21, 6, 26], [4, 8, 10, 9, 15, 14], [11, 12, 17, 18, 16], [23, 22, 19, 24, 20, 29, 25, 27, 30, 31, 28], [37, 36, 32, 33, 40, 34], [38, 47, 41, 39, 42, 43, 45], [44, 46, 54, 60, 48, 49, 51, 50, 55, 52, 58], [57, 53, 56, 59]]
67: [[35, 7, 2, 1], [3, 5, 13, 21, 6, 24, 4, 8, 11, 9, 10, 15, 14, 19], [12, 31, 16], [17, 23, 27, 18, 22, 20, 25, 29, 30, 26, 28, 37, 36, 44, 33, 42], [34, 32, 43, 38, 41], [39, 40, 47, 56, 45, 52, 48], [54, 51, 46, 49, 50, 55, 59, 60, 57, 58, 53]]
68: [[35, 7, 2, 1], [11, 5, 13, 21, 6, 26, 4, 8, 3, 9, 10, 12, 15, 17, 16, 14, 27, 20, 19, 18, 22, 29, 28, 31, 24, 25, 23, 30, 37, 40, 34], [32, 36, 33, 39, 42], [46, 41, 38, 43, 45, 47, 44, 51, 53, 60, 50, 49, 55], [54, 48], [57, 52, 56, 59, 58]]
69: [[35, 7, 2, 1], [3, 5, 13, 21, 6, 30, 4, 12, 11], [9, 10, 14, 8, 26, 15, 29, 17, 19, 16, 22, 31, 27, 18, 25, 20, 23], [28, 24, 36, 37, 33, 32, 47, 38, 39, 34, 46, 40, 42, 41, 43, 44, 60, 45, 50, 49, 54, 53, 55, 51, 52, 48, 57, 56, 58, 59]]
70: [[35, 7, 2, 1], [11, 5, 13, 21], [6, 24, 4, 8, 3, 9, 14, 12, 28, 15, 29, 30, 18, 19], [17, 20, 16, 10, 22, 23, 25, 26, 31, 27, 38, 32, 34, 33, 36, 44, 39, 42, 41, 37, 40, 43, 46, 47, 60, 50, 45, 59, 52, 48, 49, 55, 54, 51, 58, 57, 53, 56]]
71: [[35, 7, 2, 1], [3, 5, 13, 21, 6], [28, 4, 12, 9, 10, 8, 14, 15, 20], [25, 11, 26, 16, 18], [23, 17, 30, 31, 19, 22, 24, 27, 29], [37, 41, 36, 32, 34, 44, 42, 33, 38, 39, 40, 47, 43, 49], [60, 45, 48], [46, 51, 56, 50, 53, 55, 59, 58], [57, 52, 54]]
72: [[35, 7, 2, 1], [3, 5, 13, 21, 6, 28, 4, 12, 11], [9, 10, 15], [8, 30, 14, 19, 16], [26, 17, 23, 18, 20, 22, 25, 29, 31, 27, 24, 39, 32, 42, 33, 34, 36, 43, 41, 46, 47, 44, 45, 38, 40, 50, 37, 60, 48, 51, 54, 49, 55, 56, 52, 53, 58, 57, 59]]
73: [[35, 7, 2, 1, 3, 5, 13, 21, 6, 30], [4, 12, 11, 9, 10, 8, 14, 15, 16, 23, 19, 18, 17, 22, 27, 26, 20, 25, 29, 31, 28, 24, 37, 38, 33, 32, 46, 36, 39], [43, 40, 45, 42, 41, 34, 44, 47, 48, 50, 52, 55, 49, 51, 53, 54, 60, 57, 56, 58, 59]]
