0: [[10, 2, 1, 19, 4], [6, 15, 9, 8, 5], [11, 7], [12, 14, 13], [17, 16, 20, 18, 22, 3], [21, 23, 24]]
22: [[1, 10, 19, 4], [2, 6, 5, 15, 9], [8, 11, 7, 13], [12, 14], [17, 16, 20, 18, 22, 3], [21, 23, 24]]
23: [[1, 10, 19, 4], [2, 6, 5, 15, 9], [8, 11, 7, 13], [12, 14], [17, 16, 20, 18, 22, 3], [21, 23, 24]]
24: [[1, 10, 2, 6, 5, 15, 4], [9, 8], [11, 7, 13], [12, 14, 19], [17, 16, 20, 18, 22, 3], [21, 23, 24]]
25: [[1, 10, 19, 4], [2, 6, 3], [5, 15, 9, 8, 11, 7], [13, 12, 14], [17, 16, 20, 18, 22], [21, 23, 24]]
26: [[1, 10, 19, 4], [2, 6, 3], [5, 15, 9, 8, 11, 7], [13, 12, 14], [17, 16, 20, 18, 22], [21, 23, 24]]
27: [[1], [10, 2, 6, 5, 3], [15, 9, 8, 11, 7, 13], [12, 14, 19, 4], [17, 16, 20, 18, 22], [21, 23, 24]]
28: [[19, 10, 2, 1], [6, 5, 4, 3], [15, 9], [8, 11, 7], [13, 12, 14, 17, 16, 20], [18, 22], [21, 23, 24]]
29: [[1, 10, 2, 6, 19], [5, 15, 9, 8, 11], [7, 13, 12], [14, 17], [16, 20, 18, 22, 4, 3], [21, 23, 24]]
30: [[1, 10, 19, 3], [2, 6, 5, 15, 4], [9, 8, 11, 7, 13], [12, 14, 17, 16, 20], [18, 22], [21, 23, 24]]
31: [[1], [10, 2, 6, 5, 4, 3], [15, 9, 8, 11, 7], [13, 12, 19], [14, 17, 16, 20, 18, 22], [21, 23, 24]]
32: [[1], [10, 2, 19], [6, 5, 15, 9, 4], [8, 11], [7, 13, 12, 14, 17], [16, 20, 18, 22, 3], [21, 23, 24]]
33: [[1], [10, 2], [6, 5, 15, 9, 8, 11], [7, 13], [12, 14, 19, 4], [17, 16, 20, 18, 22, 3], [21, 23, 24]]
34: [[1, 10, 2, 6, 5], [15, 9], [8, 11, 7], [13, 12, 14, 17, 19], [16, 20, 18, 22, 4, 3], [21, 23, 24]]
35: [[1, 10, 19, 4], [2, 6, 5], [15, 9], [8, 11, 7, 13], [12, 14], [17, 16, 20, 18, 22, 3], [21, 23, 24]]
36: [[1, 10, 2, 6, 19, 4, 3], [5, 15, 9, 8], [11, 7], [13, 12, 14, 17, 16, 20, 18], [22, 21], [23, 24]]
37: [[1, 10, 19, 4], [2, 6, 5, 15, 9, 8, 11], [7, 13], [12, 14], [17, 16, 20, 18, 22, 3], [21, 23, 24]]
38: [[1, 10, 2, 6], [5, 15, 9, 8, 11], [7, 13], [12, 14, 17, 19], [16, 20, 18, 22, 4, 3], [21, 23, 24]]
39: [[1, 4], [10, 2, 6, 5, 3], [15, 9, 8, 11, 7], [13, 12, 19], [14, 17, 16, 20, 18], [22, 21, 23, 24]]
40: [[1, 10, 2, 6, 5, 19, 4], [15, 9], [8, 11], [7, 13, 12, 14, 17], [16, 20, 18, 22, 3], [21, 23, 24]]
41: [[1, 10, 19, 4, 3], [2, 6, 5, 15, 9], [8, 11], [7, 13, 12, 14, 17, 16, 20], [18, 22], [21, 23, 24]]
42: [[1], [10, 2, 6, 5, 4, 3], [15, 9], [8, 11, 7, 13, 12, 19], [14, 17, 16, 20, 18, 22], [21, 23, 24]]
43: [[19, 10, 4], [2, 6, 3, 1], [5, 15, 9, 8, 11], [7, 13], [12, 14, 17, 16, 20], [18, 22], [21, 23, 24]]
44: [[1], [10, 2, 6, 19, 4, 3], [5, 15, 9, 8], [11, 7], [13, 12, 14, 17, 16, 20, 18], [22, 21], [23, 24]]
45: [[1, 10, 19, 4], [2, 6, 5, 15, 9], [8, 11], [7, 13, 12], [14, 17, 16, 20, 18, 3], [22, 21, 23, 24]]
46: [[1, 10, 19, 4], [2, 6, 3], [5, 15, 9, 8, 11, 7], [13, 12], [14, 17, 16], [20, 18], [22, 21, 23, 24]]
47: [[1, 10, 19, 4], [2, 6, 3], [5, 15, 9, 8], [11, 7], [13, 12], [14, 17, 16, 20], [18, 22, 21, 23, 24]]
48: [[1, 10, 2, 6, 5, 4], [15, 9, 8, 11], [7, 13], [12, 14, 17, 19], [16, 20, 18, 22, 21, 3], [23, 24]]
49: [[1, 10, 2, 6, 3], [5, 15, 9, 8, 11], [7, 13], [12, 14, 17, 19], [16, 20, 18, 22, 21, 4], [23, 24]]
