0: [[19, 7, 5, 9, 16, 1, 2], [3, 4], [8, 6, 11, 10, 12], [13, 14], [17, 18, 15], [20, 25], [23, 28, 24, 22], [21, 27, 26, 29]]
43: [[19, 7], [5, 9, 16, 1, 2, 3, 4, 14, 6, 10, 15, 11, 13, 12, 8, 17, 21, 20, 18, 23], [22, 24, 28, 26, 27, 29, 25]]
44: [[19, 7, 5, 9, 16, 1], [2, 3, 6, 4, 14, 11, 8], [10, 13, 15, 12, 21, 22, 18], [20, 23, 17, 24, 26, 29, 27, 25, 28]]
45: [[19, 7, 5, 9, 16, 1, 2], [3, 4, 6, 10], [11, 12, 14, 13, 8, 17, 15], [18, 20, 23], [22, 29, 28, 21], [26, 27, 24, 25]]
46: [[19, 7, 5, 9, 16, 1, 2], [3, 4, 10, 6], [8, 11, 14, 13, 12], [15, 28, 17, 20, 22, 21, 29], [18, 23, 25, 24, 26, 27]]
47: [[19, 7, 5, 9, 16, 1, 2], [3, 4, 14, 6], [11, 8, 10, 29, 12, 15, 18], [17, 20, 26, 22, 13, 23, 24, 21], [27, 25, 28]]
48: [[19, 7, 5], [9, 16, 1, 2, 3, 4, 6, 12, 10, 8, 11, 29, 15, 13, 28, 17, 14, 18, 22, 20, 25, 21, 26], [23, 24, 27]]
49: [[19, 7], [5, 9, 16, 1], [2, 3, 4], [8, 10, 11], [6, 13, 15, 14, 12], [23, 18, 21, 17, 20, 22], [24, 26, 28, 25, 27, 29]]
50: [[19, 7, 5, 9], [16, 1, 2, 3], [4, 6, 10, 11, 12, 8, 29], [14, 13, 15, 17, 21, 23, 22], [18, 20, 24, 27], [25, 26, 28]]
51: [[19, 7, 5], [9, 16, 1, 2], [3, 4, 12], [6, 11, 14], [8, 10, 13], [15, 23], [21, 20, 17], [18, 22, 24], [28], [25, 27, 26, 29]]
52: [[19, 7], [5, 9, 16, 1, 2, 3, 4, 10, 12], [6, 8, 11], [13, 15, 18, 17, 20, 22, 21, 24, 26, 28, 14], [23, 29, 25, 27]]
53: [[19, 7, 5], [9, 16, 1, 2, 3], [4, 8, 6], [11, 14, 13], [10, 12, 15], [18, 21, 20, 17, 23, 22], [24, 28, 27, 25], [26, 29]]
54: [[19, 7, 5], [9, 16, 1], [2, 3, 4], [8, 6, 11, 14, 15], [10, 13, 12, 17, 21, 22, 18, 23, 20, 26, 24, 25, 27, 28, 29]]
55: [[19, 7, 5, 9, 16, 1, 10], [3, 4, 14, 2], [11, 6, 8, 13, 12, 15, 18], [23, 17, 21, 20, 24], [22, 28, 29, 27, 25, 26]]
56: [[19, 7, 5, 9], [16, 1, 2, 3, 4, 6, 8], [11, 15, 12, 10], [13, 14, 21, 22], [20, 17, 18, 23, 25, 24, 27], [28, 26, 29]]
57: [[19, 7, 5, 9, 16], [1, 2, 3], [4, 6, 10], [8, 11], [13, 12, 14, 15, 17, 18, 21, 22], [20, 25, 26, 24, 23, 29], [28, 27]]
58: [[19, 7, 5, 9], [16, 1, 2, 3, 4], [8, 6, 11, 14], [10, 12, 28, 13, 20, 22, 15], [17, 18, 21, 25, 24, 27, 23, 26, 29]]
59: [[19, 7, 5], [9, 16], [1, 2, 3, 4, 12], [6, 11], [10, 8, 13], [14, 25], [15, 18, 28, 17, 23], [20, 24, 22, 21, 27, 26, 29]]
