0: [[9, 2, 1, 19, 7], [11, 3, 4, 12, 13, 15, 8], [5, 10, 6, 24, 17, 20, 18, 22, 16, 23, 28, 14], [26, 27, 25, 21, 29]]
17: [[9, 2, 1, 19, 7], [11, 3, 4, 12, 13, 8, 10], [5, 6, 15, 24, 17, 20, 18, 23, 16, 21, 22, 14], [26, 27, 29, 25, 28]]
18: [[9, 2, 1, 19, 7], [11, 3, 4, 12, 13, 5, 8], [15, 6, 21, 16, 18, 23, 20, 17, 24, 22, 10, 14], [26, 27, 29, 25, 28]]
19: [[9, 2, 1, 19, 7], [11, 3, 4, 5, 13, 15, 8], [6, 12, 24, 16, 17, 18, 22, 20, 23, 21, 10, 14], [28, 25, 27, 26, 29]]
20: [[9, 2, 1, 19, 7], [11, 3, 4, 6, 15, 5, 10, 12], [8, 16, 29, 21, 13, 18, 17, 22, 23, 28, 14], [26, 20, 24, 25, 27]]
21: [[9, 2, 17, 3, 7], [11, 1, 4, 13, 8, 10, 12, 14], [5, 29, 20, 6, 25, 19, 18, 15, 16, 22, 24], [21, 23, 26, 28, 27]]
22: [[9, 2, 1, 19, 7], [11, 3, 4, 12, 6, 5, 8, 14], [15, 20, 17, 13, 16, 18, 22, 23, 24, 21, 10], [27, 29, 25, 26, 28]]
23: [[9, 2, 1, 19, 7], [11, 3, 4, 12, 6, 5, 8, 14], [15, 20, 17, 13, 16, 18, 22, 23, 24, 21, 10], [27, 29, 25, 26, 28]]
24: [[9, 2, 1, 19, 7], [11, 3, 4, 12, 6, 5, 8, 14], [15, 20, 17, 13, 16, 18, 22, 23, 24, 21, 10], [27, 29, 25, 26, 28]]
25: [[9, 2, 1, 19, 7], [11, 3, 4, 13, 8, 12, 14], [5, 15, 20, 17, 6, 23, 18, 22, 16, 28, 21, 10], [25, 26, 24, 27, 29]]
26: [[9, 2, 1, 19, 7], [11, 3, 4, 8, 15, 5, 12], [6, 22, 28, 18, 20, 16, 13, 17, 23, 21, 10, 14], [24, 27, 25, 26, 29]]
27: [[9, 2, 1, 19, 7], [11, 3, 4, 5, 15, 8, 12], [13, 22, 20, 17, 28, 6, 16, 18, 21, 23, 10, 14], [25, 26, 24, 27, 29]]
28: [[9, 2, 1, 19, 7], [11, 3, 4, 13, 6, 10, 12], [5, 15, 21, 20, 18, 23, 29, 22, 16, 8, 17, 14], [24, 26, 25, 27, 28]]
29: [[9, 2, 1, 19, 7], [11, 3, 4, 13, 6, 15, 5, 10], [24, 17, 12, 18, 20, 16, 23, 21, 22, 8, 14], [26, 27, 25, 28, 29]]
30: [[9, 2, 1, 17, 7], [11, 3, 4, 5, 6, 8, 14], [13, 29, 15, 16, 23, 21, 20, 19, 18, 22, 10, 12], [24, 27, 28, 26, 25]]
31: [[9, 2, 1, 19, 7], [11, 3, 4, 5, 12, 8, 10, 14], [15, 6, 21, 24, 17, 13, 18, 16, 22, 23, 20], [25, 28, 27, 29, 26]]
32: [[9, 2, 1, 19, 6], [11, 3, 4, 5, 7, 10, 12], [8, 29, 20, 13, 15, 18, 21, 16, 24, 17, 22, 14], [23, 25, 26, 27, 28]]
33: [[9, 1, 2, 19, 6], [11, 5, 4, 13, 3, 10, 12], [28, 16, 24, 8, 7, 15, 23, 17, 29, 20, 18, 14], [21, 27, 22, 25, 26]]
34: [[9, 1, 2, 19, 7], [11, 3, 4, 5, 6, 10, 14], [8, 13, 16, 28, 15, 17, 22, 26, 18, 24, 20, 12], [21, 23, 29, 25, 27]]
35: [[9, 2, 1, 19, 7], [11, 3, 4, 13, 8, 10, 12], [23, 21, 16, 5, 20, 18, 15, 17, 29, 25, 6, 14], [27, 22, 26, 24, 28]]
36: [[9, 2, 1, 19, 7], [11, 3, 4, 13, 5, 15, 8], [6, 23, 24, 16, 21, 17, 18, 28, 26, 10, 12, 14], [22, 27, 25, 20, 29]]
37: [[9, 2, 1, 19, 7], [11, 3, 4, 5, 13, 15, 8, 6, 12], [21, 25, 17, 18, 16, 23, 22, 26, 10, 14], [24, 28, 27, 20, 29]]
38: [[9, 2, 1, 19, 7], [11, 3, 4, 6, 8, 10, 12], [5, 24, 28, 13, 25, 21, 16, 22, 15, 23, 17, 14], [18, 20, 26, 27, 29]]
39: [[9, 3, 1, 19, 2], [11, 5, 4, 6, 8, 10, 14], [24, 13, 21, 20, 15, 17, 7, 16, 25, 18, 22, 12], [29, 23, 27, 28, 26]]
40: [[9, 2, 17, 3, 7], [11, 1, 4, 13, 15, 12], [8, 6, 16, 25, 22, 20, 5, 18, 23, 19, 21, 10, 14], [26, 27, 24, 28, 29]]
41: [[9, 2, 1, 19, 7], [11, 3, 4, 13, 6, 8, 14, 12], [5, 28, 16, 15, 20, 17, 18, 26, 24, 22, 10], [21, 27, 25, 23, 29]]
42: [[9, 2, 17, 1, 6], [11, 3, 4, 5, 7, 8, 10], [15, 28, 13, 16, 19, 22, 18, 23, 20, 21, 12, 14], [24, 29, 25, 26, 27]]
43: [[9, 2, 1, 19, 7], [11, 3, 4, 5, 13, 6, 10], [16, 8, 28, 15, 18, 21, 22, 25, 23, 17, 12, 14], [20, 29, 24, 26, 27]]
44: [[9, 2, 17, 19, 1], [11, 3, 4, 13, 6, 10, 14], [21, 5, 25, 24, 29, 7, 16, 15, 28, 8, 27, 12], [23, 18, 20, 22, 26]]
45: [[9, 2, 1, 23, 6], [11, 7, 4, 13, 3, 8, 10, 12], [5, 16, 29, 21, 18, 22, 15, 27, 17, 19, 14], [20, 24, 25, 26, 28]]
46: [[9, 2, 17, 1, 7], [11, 5, 4, 13, 6, 10, 14], [3, 15, 8, 28, 16, 21, 22, 19, 20, 18, 23, 12], [25, 27, 24, 26, 29]]
47: [[9, 2, 1, 3, 7], [11, 5, 4, 8, 10, 12], [13, 15, 29, 16, 17, 21, 19, 20, 22, 23, 18, 6, 14], [24, 25, 26, 27, 28]]
48: [[9, 2, 1, 19, 7], [11, 3, 4, 13, 5, 10], [15, 6, 8, 21, 16, 18, 22, 20, 23, 28, 24, 12, 14], [26, 27, 25, 17, 29]]
49: [[9, 2, 19, 3, 6], [11, 7, 5, 4, 8, 15, 12], [13, 22, 1, 16, 17, 21, 18, 20, 23, 26, 10, 14], [24, 25, 29, 28, 27]]
50: [[9, 2, 1, 19, 6], [11, 3, 4, 5, 15, 12, 14], [13, 8, 28, 24, 7, 18, 17, 16, 21, 20, 23, 10], [22, 25, 26, 27, 29]]
51: [[9, 2, 3, 19, 5], [11, 1, 4, 12, 6, 7, 8, 10], [13, 15, 17, 16, 18, 20, 22, 24, 21, 23, 14], [25, 29, 26, 27, 28]]
52: [[9, 2, 3, 23, 7], [11, 1, 4, 5, 6, 8, 10, 12], [15, 17, 22, 13, 18, 19, 16, 21, 24, 26, 14], [28, 27, 25, 29, 20]]
53: [[9, 2, 3, 17, 7], [11, 1, 4, 13, 15, 12, 14], [5, 20, 24, 21, 16, 18, 22, 6, 8, 28, 19, 10], [25, 23, 26, 29, 27]]
54: [[9, 3, 5, 19, 7, 10], [11, 1, 6, 4, 12], [2, 8, 29, 13, 28, 18, 15, 16, 17, 21, 24, 20, 14], [22, 23, 25, 27, 26]]
55: [[9, 2, 3, 1, 7], [11, 6, 4, 5, 10], [8, 22, 29, 13, 26, 18, 19, 15, 24, 21, 20, 16, 14, 12], [17, 23, 27, 28, 25]]
56: [[9, 2, 1, 3, 7], [11, 4, 5, 6, 13, 10, 14], [8, 16, 22, 21, 17, 15, 18, 28, 23, 19, 20, 12], [29, 25, 27, 24, 26]]
57: [[9, 2, 3, 26, 7], [11, 1, 4, 6, 5, 10], [8, 25, 16, 13, 21, 19, 22, 17, 15, 20, 23, 12, 14], [18, 24, 27, 29, 28]]
58: [[9, 2, 17, 3, 6], [11, 1, 4, 5, 15, 7, 10, 14], [28, 8, 27, 13, 16, 23, 18, 26, 24, 22, 12], [19, 29, 20, 25, 21]]
59: [[9, 3, 1, 17, 7], [11, 8, 4, 5, 2, 12], [13, 6, 15, 24, 18, 26, 19, 20, 16, 28, 23, 10, 14], [21, 27, 22, 29, 25]]
