0: [[7, 35, 1, 2], [3, 8, 4, 13, 5, 26, 9, 25, 11, 21, 6], [30, 15, 12, 24, 31, 29, 14, 23, 16, 10], [17, 19, 20, 22, 27, 28, 50, 55, 32, 33], [42, 38, 44, 37, 34, 36, 39, 47, 45], [40, 41, 43, 18], [54], [57, 49], [46, 48], [52, 56, 59, 51, 53, 58, 60]]
12: [[7, 35, 1, 2, 3, 8, 4], [13, 21, 5, 10, 11, 14, 9, 6, 12, 31], [24, 20, 18, 15, 16, 17, 19], [28, 22, 29, 23, 25, 26, 27, 30, 32, 34, 37, 38, 36], [46, 33], [39, 47, 56, 43, 41, 40, 44, 42, 45, 52, 53, 48, 54], [49, 50, 55, 51, 59, 58, 57, 60]]
13: [[7, 35, 1, 2], [3, 8, 4, 13, 21, 5], [6, 9, 24, 20, 15], [10, 26, 11, 12, 14, 16, 27, 23, 22, 18], [19, 25, 17, 28, 30, 29, 32, 48, 40, 33], [50, 36, 38, 39, 37, 31, 44, 34, 45, 47, 41, 42, 46, 43], [57, 49, 54, 59, 51, 52, 53, 56, 55, 58, 60]]
14: [[7, 35, 1, 2], [3, 8, 4, 13, 5], [12, 6, 25, 10, 11, 15, 14, 24, 9, 22, 20, 18, 16, 31, 27, 17, 19, 21, 26, 23, 29, 28, 59, 32, 45, 33, 38, 39], [30, 40, 36, 34, 47, 44, 37, 43], [42, 41, 46, 48], [51, 50, 49, 53, 52, 57, 54], [55, 56, 58, 60]]
15: [[7, 35, 1, 2], [3, 8, 4, 13, 21, 5, 6, 25, 10], [12, 11, 14, 15, 19, 28, 20, 17, 9, 22], [26, 16, 18, 27, 23, 24, 31, 29, 30], [33, 39, 32, 36, 34, 37, 38, 44, 41, 43, 40], [42, 45, 59, 46, 53, 48, 47, 51, 52, 50, 54, 55, 57, 58, 56, 49, 60]]
16: [[7, 35, 1, 2], [3, 8, 4, 13, 21, 5, 6], [9, 27, 10, 12, 11], [16, 28, 31, 14, 19, 20, 17, 15, 18, 22], [23, 25], [24, 26, 29, 30, 40, 41, 33, 34, 37, 32, 38, 36, 45, 39, 47, 46, 44, 43, 49, 53, 48, 42, 51, 50, 55, 54, 58, 56, 57, 52, 59, 60]]
17: [[7, 35, 1, 2, 3], [8, 4, 13, 21, 5, 6], [9, 10, 11, 14, 12, 18], [29, 24, 16, 19, 23, 15], [20, 28, 22, 27, 17, 26, 25, 58, 31, 52, 33, 36, 57, 30, 47, 32, 37, 34, 39, 42, 41, 43, 40, 44, 45, 46, 53, 50, 49, 55, 51, 38, 54, 59, 48, 56, 60]]
18: [[7, 35, 1, 2, 3, 8, 4], [13, 21, 5, 6], [27, 15, 24, 9], [11, 29, 10, 23, 12, 16, 30], [17, 18, 22, 14], [28, 19, 54, 20, 25, 26, 36, 40, 32, 39], [38, 43, 44, 31, 45, 47, 42, 33, 41], [34, 37, 46, 49, 50, 51, 48, 52, 60, 53, 55, 59, 57, 56, 58]]
19: [[7, 35, 1, 2], [3, 8, 4, 13, 21, 6, 14, 9, 10], [12, 5, 11, 15, 25, 28, 16, 17, 18, 22, 20, 23, 19, 27, 24, 26, 31, 30, 29, 34, 32, 36, 33, 38, 40, 37, 39, 46, 41, 42, 43, 45, 56, 44, 47, 50, 48, 49, 54, 52, 51, 53, 57, 55, 58, 59, 60]]
20: [[7, 35, 1, 2, 3, 8, 4], [13, 21, 5, 6, 27, 10, 14, 24], [9, 25, 11, 28, 12, 15], [19, 18, 16, 23, 17, 20, 22, 29], [26, 31, 30, 37, 34, 32], [53, 44, 33, 39, 47, 36, 46, 38], [40, 43, 45, 41, 42], [49, 48, 52, 54, 50, 51, 59, 58, 55, 57, 56, 60]]
21: [[7, 35, 1, 2], [3, 8, 4, 13, 21, 5, 6], [27, 11, 9, 14, 15], [12, 10, 16, 30, 18, 24], [17, 19, 22, 20, 23], [26, 25, 31, 28, 29, 33, 42], [32, 53, 36, 41], [34, 39, 40, 43, 44, 47, 37, 45, 46, 56, 38, 48, 51, 54, 50, 52, 55, 59, 57, 58, 49, 60]]
22: [[7, 35, 1, 2], [3, 8, 4, 13, 5, 14, 25, 9, 26, 21, 6], [31, 28, 24, 11, 27], [23, 15, 16, 20, 30, 12, 17, 19, 53, 29, 10], [36, 32, 22, 37, 33, 46, 38, 39, 40, 42, 41, 43, 34, 44, 45, 47, 54, 48, 49, 51, 55, 18], [52, 59, 57, 50, 60, 56, 58]]
23: [[7, 35, 1, 2], [3, 8, 4, 13, 21, 5, 6], [11, 14, 9, 10, 12, 24, 15], [26, 16, 17, 18, 20, 19, 22, 23, 29], [28, 31, 25, 27, 30, 36, 41, 33, 38, 34, 32, 37, 46, 39, 40, 44, 43, 47, 42, 45, 57, 49, 51, 52, 58, 55, 48, 53, 54, 50, 59, 56, 60]]
24: [[7, 35, 1, 2, 3, 8, 4], [13, 21, 5, 6], [27, 10, 14, 9, 30, 12, 11], [23, 28, 15, 16, 20], [17, 25, 19, 26, 22, 31, 18, 24], [29, 40, 33, 34, 53, 36, 47, 45, 32, 37, 38, 44], [39, 46, 42, 41, 56, 43], [51, 57, 48, 49, 52, 54, 50, 60, 55, 58, 59]]
25: [[7, 35, 1, 2, 3, 8, 4], [13, 5, 27, 21, 6], [14, 11, 9, 12, 26, 31], [19, 16, 15, 22, 17, 20, 25, 23, 18, 10], [24, 28], [29, 30, 32, 41, 37, 38], [34, 36, 44, 33], [43, 39, 42, 47, 45, 40, 46, 48, 49], [51, 50, 58, 53, 52, 55, 54, 59, 60, 57, 56]]
26: [[7, 35, 1, 2], [3, 8, 4, 13, 21, 5, 6, 9, 10, 24, 11, 14, 12, 26], [29, 16, 15, 17, 22, 23, 18, 20, 19, 25, 27, 28, 31, 30, 34, 33, 32, 40, 38, 36, 37, 39, 46, 49, 41, 43, 45, 58, 42, 44, 48, 47, 51, 50, 54, 55, 53, 57, 59, 56, 52, 60]]
27: [[7, 35, 1, 2, 3], [8, 4, 13, 21, 6, 18, 27, 10, 5, 16, 15], [12, 23, 11, 24, 17], [28, 20, 22, 30, 9, 25, 19, 52, 29, 14, 37], [32, 26, 33, 40, 38, 46, 31, 34, 36, 45, 41, 42, 56, 39, 43, 44, 50, 49, 51, 47, 48], [53, 55, 54, 59, 57, 58, 60]]
28: [[7, 35, 1, 2], [3, 8, 4, 13, 21, 5, 6], [10, 14, 9, 11, 12, 15, 16, 19, 26], [25, 18, 20, 23], [22, 27, 17, 29, 24, 30, 31, 28, 36], [32, 37, 33, 38, 42, 40, 45, 34, 39], [47, 43, 41, 46, 44], [58, 52, 49, 48, 50, 55, 51, 54, 59, 57], [53, 56, 60]]
29: [[7, 35, 1, 2, 3], [8, 4, 13, 21], [5, 14, 25, 10, 6, 9, 11, 15, 12], [28, 16, 17, 19, 22, 20, 23, 18, 27, 24, 26, 30, 29, 31, 33, 32, 41, 44, 34, 36, 38, 39, 47, 45, 37, 40, 42, 43, 56, 48, 50, 46, 51, 49, 54, 53, 52, 57, 59, 55, 58, 60]]
30: [[7, 35, 1, 2], [3, 8, 4, 13, 21, 12, 5, 11, 10, 6, 9, 14, 15, 24, 30, 16, 17, 29, 23, 18, 19, 20], [25, 26, 31, 27, 22, 28], [36, 32, 33, 38, 34, 39, 47, 42, 41, 46, 43, 44, 40, 37, 48, 58, 52, 45, 49, 50, 55, 51, 53, 57], [59, 54, 56, 60]]
31: [[7, 35, 1, 2], [3, 8, 4, 13, 21, 5, 6], [27, 11, 25, 14, 9, 24, 12], [10, 15, 16], [18, 22, 19, 23], [17, 28, 20, 29, 26, 30, 31, 36, 42], [37, 38, 34, 33, 32, 46, 41, 39, 45, 40], [43, 44, 47, 49, 48, 59], [52, 56, 50, 55, 53, 54], [51, 57, 58], [60]]
32: [[7, 35, 1, 2, 3, 8], [4, 13, 5, 14], [6, 9, 26, 29, 15, 31, 12, 10, 11, 16, 18, 20, 17, 22, 30, 23, 24, 19, 60, 21, 25, 52, 32, 53, 37, 33, 42, 47, 38, 27, 45, 41, 40, 44, 28, 34, 36, 54, 48, 39, 51], [43, 46, 49, 55, 50, 59, 57, 56, 58]]
33: [[7, 35, 1, 2], [3, 8, 4, 13, 21, 5, 6], [27, 11, 25, 14, 9, 24, 12], [10, 15, 16], [18, 22, 19, 23], [17, 28, 20, 29, 26, 30, 31, 36, 42], [37, 38, 34, 33, 32, 46, 41, 39, 45, 40], [43, 44, 47, 49, 48, 59], [52, 56, 50, 55, 53, 54], [51, 57, 58], [60]]
34: [[7, 35, 1, 2], [3, 8], [4, 13, 21, 5, 6, 10, 11, 15], [9, 31, 12, 14, 28, 26], [16, 18, 25, 20, 22, 17, 29, 27], [24, 19, 23, 30, 40, 32], [37, 53, 36, 33, 34, 47, 42, 41], [38, 43, 39, 44, 45], [59, 52, 51, 46, 48, 50, 49, 54, 55, 57, 58, 56, 60]]
35: [[7, 35, 1, 2], [3, 8, 4, 13], [21, 6, 10, 11, 31, 9, 5, 14, 15], [16, 12, 28, 19, 18, 22, 23, 17, 24, 20, 26, 27, 29, 25, 30, 38, 42, 36, 39, 48, 41, 33, 34, 44, 46, 32, 47, 37, 40, 43, 49, 53, 51, 50, 56, 45, 52], [54, 58, 57, 59, 55, 60]]
36: [[7, 35, 1, 2, 3, 8, 4], [13, 21, 5, 6, 27, 10, 9], [11, 14, 15, 17, 12, 19, 16, 18], [23, 20, 22, 26, 24, 25, 29, 28, 31, 59, 33, 32, 37, 38, 46, 34, 41, 30, 40, 42, 36, 43, 44, 45, 47, 49, 52, 50, 39, 48, 51, 54, 55, 53, 56, 58, 57, 60]]
37: [[7, 35, 1, 2], [3, 8, 4, 13, 21, 5, 6], [25, 14, 12, 9, 10, 15, 31], [16, 11, 22, 30, 19, 17, 50, 23], [28, 27, 18, 29, 20, 49, 53, 34, 33, 38, 24, 40, 44], [42, 45, 47, 26], [36, 46, 32, 43, 56, 37, 57, 58, 39], [41, 54, 48, 55, 51, 60, 59, 52]]
38: [[7, 35, 1, 2], [3, 8], [4, 13, 21], [5, 6, 10, 14, 11, 9, 29, 12, 16, 15, 30, 19, 18, 17, 20, 22, 23, 25, 31, 24, 26, 27, 28, 44, 32, 36, 37, 38, 33, 40, 45, 34, 42, 47, 43, 39, 46, 41, 58, 52, 49, 53, 51, 55, 48, 54, 59, 57, 50, 56, 60]]
39: [[7, 35, 1, 2, 3], [8, 4, 13, 21, 6], [5, 27, 10, 30, 9], [14, 25, 11, 22, 12, 24, 23], [15, 16, 19, 17, 28, 26, 18, 31, 29, 20, 37, 34, 33, 52, 36, 32, 38, 47, 42], [43, 39, 40, 44, 41, 45, 46, 48, 60, 49, 50, 54, 55, 53, 58, 51, 56], [59, 57]]
40: [[7, 35, 1, 2, 3, 8, 4], [13, 21, 5, 6], [27, 10, 29, 9, 11, 12, 14, 19], [15, 16, 17, 18, 22], [23, 20, 24, 26], [28, 25, 30, 31], [32, 40, 33, 36, 34], [42, 38, 46], [37, 39], [47, 41, 43, 45, 44, 56, 52, 58, 50, 48], [53, 49, 55, 54], [59, 51, 57, 60]]
41: [[7, 35, 1, 2], [3, 8, 4, 13, 5, 21, 6], [27, 10, 9, 14, 12], [24, 11, 22, 28], [17, 16, 15, 18, 19, 29, 25], [26, 31, 20, 23, 30], [32, 43, 33, 38], [34, 37, 45, 39, 47, 40, 36, 41], [44, 42, 46, 57], [48, 51, 50, 49, 53, 52, 59, 54], [55, 58, 56, 60]]
42: [[7, 35, 1, 2], [3, 8, 4, 13, 21, 6, 18, 27, 26, 23, 5, 15], [9, 25, 31, 24, 10], [11, 16, 20, 22, 14, 17, 19, 28, 30, 29, 12], [32, 38, 37, 33, 36], [34, 39, 44, 41, 46, 43, 42, 40, 45], [47, 51, 48, 49, 54, 50, 52, 53, 55, 57, 56, 60, 58, 59]]
43: [[7, 35, 1, 2, 3, 8, 4], [13, 5, 21, 6, 11, 10], [9, 14, 28, 12, 15], [16, 18, 19], [20, 22, 23, 25, 17, 27], [29, 24, 26, 31], [30, 48, 40, 37, 39, 36, 47], [41, 32, 34, 33], [46, 38, 42, 43, 44, 58, 52], [54, 49, 45, 53, 50, 51, 55, 57, 56, 59, 60]]
44: [[7, 35, 1, 2, 3], [8, 4, 13, 21, 5, 26, 25, 11, 6], [9, 31, 14, 28, 10, 12, 23, 16, 22], [20, 27, 15, 17, 18, 19, 24, 29, 51, 34], [41, 33, 47, 30, 44, 36, 38, 40, 46, 43], [45, 37, 39, 32], [42, 54], [48, 49], [50, 53], [52, 60, 56, 55, 57, 58, 59]]
45: [[7, 35, 1, 2, 3], [8, 4, 13, 21, 5, 6, 11, 10, 22], [25, 15, 9], [17, 30, 12, 27, 24, 16, 14, 18], [20, 23, 26, 19, 28, 29, 31, 32, 33, 34, 37, 38, 36, 42, 39, 41, 46], [43, 44, 40, 45, 48, 58, 55, 47, 49, 50, 52, 51, 54, 57, 53, 59, 56, 60]]
46: [[7, 35, 1, 2, 3, 8], [4, 13, 21, 5, 14, 27, 10, 6, 9], [15, 26, 11, 28, 24, 12], [19, 16, 22, 17, 18, 20, 23, 25], [30, 29, 31, 32, 33, 34], [53, 38, 37, 36, 39, 41, 42, 46], [45, 43, 44, 48, 40], [47, 50, 49, 54, 55, 51, 52, 58, 57, 56, 59, 60]]
47: [[7, 35, 1, 2], [3, 8, 4, 13], [21, 5, 6, 15, 9, 23], [26, 12, 10, 16, 19, 17, 11, 27, 14, 18, 20, 22, 30, 24], [25, 28, 31, 29, 37, 38, 32, 36, 34, 46, 39, 41, 45, 47, 43, 40, 42, 44, 50, 48], [52, 53, 33, 49, 54, 51, 55, 56, 57, 58, 59, 60]]
48: [[7, 35, 1, 2, 3, 8], [4, 13, 21, 5, 6], [15, 10, 11, 12, 14, 28, 24, 31], [25, 19, 20, 18], [17, 9, 23, 22, 16, 27, 29, 26, 30, 41, 36, 33, 52, 50, 38, 32], [37, 34, 42, 43, 40, 39], [44, 45, 57, 46, 48, 47, 49, 51, 53, 54, 55, 56, 59, 58, 60]]
49: [[7, 35, 1, 2], [3, 8, 4, 13, 21, 10, 14], [9, 27, 29, 5], [6, 11, 20, 12, 15, 25, 26], [18, 19, 16, 23, 17, 30, 28, 24, 22, 31, 36, 42, 33, 39, 37, 32, 34, 38, 44, 47, 40, 41, 45, 43, 46, 48, 49, 50, 54, 56, 51, 52, 53, 55, 57, 58, 59, 60]]
50: [[7, 35, 1, 2], [3, 8, 4, 13, 21, 5, 6], [27, 9, 10, 14, 11], [12, 30, 26, 15, 16, 20, 17, 18, 22], [19, 23, 25, 24, 28, 29, 31, 59], [33, 32, 34, 37, 40, 38, 36], [41, 39, 47, 42, 46, 43], [57, 45, 48, 44, 49, 50, 55, 54, 51, 52, 53, 56, 58, 60]]
51: [[7, 35, 1, 2, 3, 8, 4], [13, 21], [5, 6, 10], [14, 9, 11, 31, 12, 16, 15, 27, 17, 18, 19, 20, 22, 23, 25, 29, 24, 26, 30, 28, 40, 32, 36, 37, 38, 33, 41, 39, 34, 42, 47, 43, 44, 46, 56, 45, 52, 53, 49, 51, 55, 48, 54, 57, 59, 50, 58, 60]]
52: [[7, 35, 1, 2], [3, 8, 4, 13, 21, 23], [6, 27, 10], [5, 24, 14, 9, 20, 11, 12, 17], [15, 30, 16, 18, 19], [31, 28, 22, 25, 26], [29, 33, 32, 34], [36, 39, 38, 37, 41, 46], [47, 42, 44, 40, 43, 45], [50, 49, 48, 51], [53, 52, 56, 55, 57, 54, 59, 58, 60]]
53: [[7, 35, 1, 2, 3], [8, 4], [13, 21, 5, 6, 27, 10, 12], [9, 14, 11, 15, 24, 18], [17, 16, 22, 23, 30], [19, 26, 25, 20, 31, 28, 29, 32, 36], [33, 44, 38, 47, 34, 37], [39, 45, 41, 46, 56], [48, 42, 43, 50], [59, 49, 40, 52, 53, 55, 54, 51, 57, 58, 60]]
54: [[7, 35, 1, 2], [3, 8, 4, 13, 9, 11, 31, 12, 21, 6], [15, 28, 26, 27, 14, 18, 10], [19, 17, 20, 16, 5, 22, 23, 60, 25, 24], [29, 32, 49, 37, 30, 34, 43, 39, 40, 33, 41, 42, 36, 38, 44, 46, 45, 52, 47, 48, 50, 51], [53, 55, 59, 54, 57, 56, 58]]
55: [[7, 35, 1, 2, 3], [8, 4, 13, 21, 5, 6, 9, 10], [30, 11, 31, 14, 15, 20], [16, 12, 23, 24], [19, 18, 17, 28, 26, 22], [29, 27, 25, 41, 32, 33, 53], [36], [55, 37, 39, 42, 38, 46, 40, 43, 44, 59, 45], [34, 47, 52, 48, 49, 51], [54, 50, 57, 56, 60, 58]]
56: [[7, 35, 1, 2, 3, 8], [4, 13, 21, 9, 5, 11, 26, 6, 14, 18, 10, 28, 16, 19, 15, 22, 12, 20, 24, 23, 27, 17, 29, 25, 31, 30, 53, 33, 36, 40, 55, 47, 37, 38, 32, 34, 57, 43, 42, 59, 39, 50, 41, 44, 45, 48, 51, 54, 46], [49, 52, 56, 58, 60]]
57: [[7, 35, 1, 2, 3], [8, 4, 13, 5, 23, 6, 25, 11, 9, 14, 24, 10, 12, 18, 15, 19, 29, 16, 22, 20, 21, 17, 26, 27, 28, 30, 31], [36, 42, 33, 52], [34, 37, 32, 38, 39, 43, 41, 46, 40, 44, 57, 47, 45, 48, 54, 49, 53, 50], [60, 55, 51, 56, 59, 58]]
58: [[7, 35, 1, 2, 3, 8, 4, 13], [21, 5, 6, 25, 11, 22, 19, 12, 30, 31, 14, 10, 9, 24, 23, 16, 15, 17, 20, 26, 27, 29, 18, 28, 54, 32, 41, 33, 37, 34, 39, 36, 42, 38, 43, 40], [47, 46, 45, 44, 48, 52, 49, 55, 56, 53, 50, 59, 51, 60, 57, 58]]
59: [[7, 35, 1, 2, 3, 8, 4], [13, 21, 29, 5, 28, 6, 12, 14, 15, 9, 10, 26, 11, 30, 20, 22, 18, 16, 17, 19, 27, 23, 31, 24, 25, 37, 44, 36, 32, 34, 45, 33, 39, 38, 47, 43, 42, 40, 41, 46, 49, 50, 57, 51, 48, 53], [55, 52, 54, 58, 60, 56, 59]]
60: [[7, 35, 1, 2, 3, 8, 4, 13, 21, 5, 6], [11, 14, 30, 9, 10, 12, 17, 28, 18, 15, 23, 19, 31, 24, 22, 25, 26, 16, 20, 29, 27, 53, 32, 33, 40, 52, 34, 43, 36, 45, 39, 37, 38, 46, 41, 42, 58, 44, 48, 55, 47, 49, 54], [50, 51, 56, 59, 57, 60]]
61: [[7, 35, 1, 2], [3, 8, 4, 13, 21], [5, 6, 11, 10, 12, 9, 14, 15, 17, 28, 22, 16, 19, 23, 18, 20], [24, 25, 29, 27, 31], [26, 30, 33, 37, 40, 42, 38, 32, 34, 39, 45, 44, 36, 47, 41, 59, 43, 46, 52, 48, 51, 49, 54, 50, 53, 55, 58, 56, 57, 60]]
62: [[7, 35, 1, 2], [3, 8, 4, 13, 21], [5, 6, 11, 25, 9], [14, 10, 27, 12, 15], [31, 20, 26, 23, 22, 18, 16, 17, 19, 24, 30, 28, 29, 48, 41, 33], [54, 44, 46, 37, 36, 32, 34, 39], [45, 40, 38, 42], [43], [47, 49], [51, 50], [55, 58, 59, 53], [60, 52, 56, 57]]
63: [[7, 35, 1, 2, 3, 8, 4], [13, 21, 23, 5, 15, 10, 9, 24, 14, 12, 22, 18, 11, 25, 16, 17, 19], [20, 6, 27, 26, 29, 28, 31, 30, 37, 34, 32, 36, 39, 38, 45, 40, 41, 42, 43, 44, 33, 46, 47, 58, 49, 51, 53, 52, 55, 50, 54, 56, 48, 59, 57, 60]]
64: [[7, 35, 1, 2], [3, 8, 4, 13, 21, 5, 6, 27, 10, 18, 11, 12, 9, 14, 29, 15], [30, 23, 16, 17, 20], [19, 28, 22, 25, 31, 24, 26, 32, 40, 33, 53, 36, 34, 44, 47, 37], [38, 43, 39, 41, 42, 45, 46, 49, 50, 51, 54, 52, 57, 55], [56, 48, 58, 59, 60]]
65: [[7, 35, 1, 2], [3, 8, 4, 13], [21, 5, 14, 11, 6, 23, 9, 31, 12, 10, 15, 29, 18, 16, 19, 25, 24, 20, 17, 28, 60, 22, 26, 30, 33, 32, 36, 37, 38, 42, 40, 44, 34, 47, 45, 39, 43, 41, 46, 27, 53], [58, 49, 48, 50, 51, 55, 54, 59, 56], [57, 52]]
66: [[7, 35, 1, 2], [3, 8, 4, 13, 21], [5, 6, 11, 9, 10], [12, 14, 28], [18, 30, 15, 17, 23, 16], [29, 24, 19, 25, 27, 20], [22, 26, 31, 37, 32, 33, 39, 54, 34, 42, 45], [38, 47, 36, 40, 46, 43, 41, 59, 44, 49, 48, 53, 55, 60, 50, 51, 57, 52, 56, 58]]
67: [[7, 35, 1, 2], [3, 8, 4, 13, 5, 21, 6], [11, 10, 25, 9, 12], [28, 14], [15, 29, 17, 16, 22, 18, 23, 19], [24, 20, 30, 26, 31, 27, 36], [41, 33, 38, 32], [39, 34, 42], [40, 47, 45, 37], [46, 44, 43, 48, 49, 51], [50, 57, 55, 52, 53, 54], [59, 56, 58], [60]]
68: [[7, 35, 1, 2, 3], [8, 4, 13, 21, 5, 14, 27, 10], [6, 9, 11, 31], [12, 20, 24, 29, 19, 15, 22, 16, 17, 30, 18, 23, 25, 26, 28, 32, 33, 51, 37, 38, 39, 44, 46, 41, 34, 36, 40, 42, 47, 60, 43, 52, 54, 49, 50, 55, 53, 45, 58, 59, 56, 48, 57]]
69: [[7, 35, 1, 2, 3, 8], [4, 13, 21, 5, 9, 25, 31, 12, 14, 30, 11, 17, 16, 10, 22, 15, 19, 23, 58, 24, 20, 26, 18, 29, 28, 57, 55, 34, 33, 32, 6, 27, 44], [46, 37, 39, 40, 36, 45, 41, 42, 43, 48, 47, 38, 51, 49, 53, 52, 54], [50, 56, 59, 60]]
70: [[7, 35, 1, 2], [3, 8, 4, 13], [21, 28, 5, 25, 10, 6, 14, 15, 9], [11, 24, 12, 29, 16], [23], [17, 18, 19, 26], [20, 22, 27, 30, 51, 52, 32, 31, 47, 34, 44, 36, 38, 40, 37, 43, 45, 39, 33, 41, 46, 54, 42, 49, 50, 48, 53, 60, 57, 58, 55, 56, 59]]
71: [[7, 35, 1, 2, 3, 8], [4, 13, 21, 5], [6, 27, 15, 14, 9, 11, 12], [16, 28, 19, 10, 23, 18, 17, 48, 22, 24, 20, 29, 30, 25], [26, 49, 32, 33, 50, 38, 42, 31, 40, 41], [39, 36, 44, 46, 34, 37, 43, 47, 45, 55, 52, 51, 54, 53, 59, 56, 57, 60, 58]]
72: [[7, 35, 1, 2, 3], [8, 4, 13, 21, 20, 5, 27, 11, 19, 6, 30, 10, 29, 28, 23, 14], [9, 16, 12, 15, 17, 24, 22, 18, 31, 25, 58, 53, 42, 33], [26, 37, 41, 34, 39, 43, 38, 36, 44, 32, 40, 45, 47, 49, 51, 46, 52, 48, 50, 55, 56, 54, 57, 59, 60]]
73: [[7, 35, 1, 2, 3], [8, 4, 13, 5, 14, 9, 27, 18, 21, 6], [11, 15, 12, 10], [30, 17, 16, 19], [22, 23, 24, 20, 25, 31, 28, 29], [26, 48, 37, 58, 36, 32, 33], [34, 38, 41, 40, 46, 44, 45, 39, 52], [42, 47, 43, 51, 49, 55, 50], [54, 53, 57, 56, 59, 60]]
