0: [[10, 7, 3, 2, 16, 11, 1], [4, 6, 14, 5, 13, 12], [9, 8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
20: [[10, 7, 3, 2, 16, 1, 11], [4, 6, 14, 5, 13, 9, 12], [8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
21: [[10, 7, 3, 2, 16, 1, 11], [4, 6, 14, 5, 13, 9, 12], [8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
22: [[10, 7, 3, 2, 16, 1, 11], [4, 6, 14, 5, 13, 9, 12], [8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
23: [[10, 7, 3, 2, 16, 1, 11], [4, 6, 14, 5, 13, 9, 12], [8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
24: [[10, 7, 3, 2, 16, 1, 11, 4], [6, 14, 5, 13, 9, 12], [8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
25: [[10, 7, 3, 2, 16, 1, 11, 4], [6, 14, 5, 13, 9, 12], [8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
26: [[10, 7, 3, 2, 16, 1, 11, 4], [6, 14, 5, 13, 9, 12], [8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
27: [[10, 7, 3, 2, 16, 1, 11, 4], [6, 14, 5, 13, 9, 12], [8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
28: [[10, 7, 3, 2, 16, 1, 11, 4], [6, 14, 5, 13, 9, 12], [8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
29: [[10, 7, 3, 2, 16, 1, 11, 4], [6, 14, 5, 13, 9, 12], [8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
30: [[10, 7, 3, 2, 16, 1, 11], [6, 14, 5, 13, 4, 12], [9, 8, 18, 15, 17, 19, 20], [22, 21, 23, 24]]
31: [[10, 7, 3, 2, 16, 1, 11], [6, 14, 5, 13, 4, 12], [9, 8, 18, 15, 17, 19, 20], [22, 21, 23, 24]]
32: [[10, 7, 3, 2, 16, 1], [11, 4, 6, 14, 5, 13, 12], [9, 8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
33: [[10, 7, 3, 2, 16, 1], [11, 4, 6, 14, 5, 13, 12], [9, 8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
34: [[10, 7, 3, 2, 16, 1], [11, 4, 6, 14, 5, 13, 12], [9, 8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
35: [[10, 7, 3, 2, 16, 1, 11], [4, 6, 14, 5, 13, 9, 8, 12], [18, 15, 19, 20, 22, 17], [21, 23, 24]]
36: [[10, 7, 3, 2, 16, 1, 11], [4, 6, 14, 5, 13, 9, 8, 12], [18, 15, 19, 20, 22, 17], [21, 23, 24]]
37: [[10, 7, 3, 2, 16, 1, 11, 4], [6, 14, 5, 13, 9, 8, 12], [18, 15, 19, 20, 22, 17], [21, 23, 24]]
38: [[10, 7, 3, 2, 16, 1, 11, 4], [6, 14, 5, 13, 9, 8, 12], [18, 15, 19, 20, 22, 17], [21, 23, 24]]
39: [[10, 7, 3, 2, 16, 1, 11, 4], [6, 14, 5, 13, 9, 8, 12], [18, 15, 19, 20, 22, 17], [21, 23, 24]]
40: [[10, 7, 3, 2, 16, 1, 11, 4], [6, 14, 5, 13, 9, 8, 12], [18, 15, 19, 20, 22, 17], [21, 23, 24]]
41: [[10, 7, 3, 2, 16, 1], [11, 4, 6, 14, 5, 13, 9, 12], [8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
42: [[10, 7, 3, 2, 16, 1], [11, 4, 6, 14, 5, 12], [13, 9, 8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
43: [[10, 7, 3, 2, 16], [1, 11, 4, 6, 14, 5, 12], [13, 9, 8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
44: [[10, 7, 3, 2, 16, 1], [11, 6, 14, 5, 13, 4, 12], [9, 8, 18, 15, 17, 19, 20], [22, 21, 23, 24]]
45: [[10, 7, 3, 2, 16], [1, 11, 6, 14, 5, 13, 4, 12], [9, 8, 18, 15, 17, 19, 20], [22, 21, 23, 24]]
46: [[10, 7, 3, 2, 16, 1, 11], [4, 12, 6, 14, 5, 13, 9], [8, 18, 15, 17, 19, 20, 22, 21], [23, 24]]
47: [[10, 7, 3, 2, 16, 1, 11, 4], [12, 6, 14, 5, 13, 9], [8, 18, 15, 17, 19, 20, 22, 21], [23, 24]]
48: [[10, 7, 3, 2, 16, 1, 11], [4, 12, 6, 14, 5, 13, 9, 8], [18, 15, 17, 19, 20, 22, 21], [23, 24]]
49: [[10, 7, 3, 2, 16, 1, 11], [4, 12, 6, 14, 5, 13, 9, 8], [18, 15, 17, 19, 20, 22, 21], [23, 24]]
