0: [[13, 1, 2], [5, 9, 4, 14, 6, 22], [19, 10, 3], [7, 8, 11], [12, 15, 18, 16, 20, 17], [21, 23, 24]]
33: [[13, 1, 2], [5, 9, 4], [14, 6, 22], [19, 10, 3], [7, 8, 11], [12, 15, 18], [16, 20, 17, 21, 23, 24]]
34: [[13, 2, 1], [5, 4, 9], [14, 6, 22, 19, 10, 3], [7, 8, 11, 12, 15, 18, 16, 20, 17, 21, 23, 24]]
35: [[13, 1, 2], [5, 9], [4, 14, 6, 22], [19, 10, 3], [7, 8, 11, 12, 15, 18, 16, 20, 17, 21, 23, 24]]
36: [[2, 9, 4, 1], [14, 6, 22, 13, 5], [19, 10, 3, 7, 8, 11], [12, 15, 18], [16, 20, 17, 21, 23, 24]]
37: [[13, 1, 2], [5, 9], [4, 14, 6], [22, 19], [10, 3, 7], [8, 11, 12, 15], [18, 16, 20], [17, 21, 23, 24]]
38: [[13, 1], [2, 5], [9, 4, 14], [6, 22, 19, 10, 3, 7, 8, 11, 12, 15, 18, 16], [20, 17, 21, 23, 24]]
39: [[13, 1], [2, 5, 9, 4, 14, 6], [22, 19, 10], [3, 7, 8], [11, 12, 15, 18, 16, 20], [17, 21, 23, 24]]
40: [[13, 1, 2], [5, 9, 4], [14, 6], [22, 19, 10, 3], [7, 8], [11, 12, 15], [18, 16, 20], [17, 21, 23, 24]]
41: [[13, 1, 2], [5, 9], [4, 14], [6, 22, 19], [10, 3, 7], [8, 11, 12, 15], [18, 16, 20], [17, 21, 23, 24]]
42: [[13, 1, 2], [5, 9], [4, 14, 6], [22, 19, 10], [3, 7, 8, 11, 12, 15, 18, 16, 20, 17, 21, 23, 24]]
43: [[13, 1, 2], [5, 9, 4], [14, 6], [22, 19, 10], [3, 7, 8], [11, 12, 15], [18, 16, 20], [17, 21, 23, 24]]
44: [[13, 1, 2], [5, 9, 4], [14, 6], [22, 19, 10], [3, 7, 8], [11, 12, 15, 18, 16, 20, 17, 21, 23, 24]]
45: [[13, 1, 2], [5, 9], [4, 14], [6, 22, 19], [10, 3, 7, 8, 11, 12, 15, 18, 16, 20, 17, 21, 23, 24]]
46: [[13], [2], [9, 4, 1], [14, 6, 5], [22, 19, 10, 3, 7, 8, 11, 12, 15, 18, 16, 20, 17, 21, 23, 24]]
47: [[13, 1], [2, 5], [9, 4, 14], [6, 22, 19, 10, 3, 7, 8, 11, 12, 15, 18, 16, 20, 17, 21, 23, 24]]
48: [[13, 1, 2], [5, 9], [4, 14], [6, 22, 19, 10], [3, 7, 8], [11, 12], [15, 18, 16, 20, 17, 21, 23, 24]]
49: [[13], [2], [9, 4, 14], [6, 22, 19, 1, 5], [10, 3, 7, 8, 11, 12, 15, 18, 16, 20, 17, 21, 23, 24]]
