0: [[5, 12, 19, 4], [1, 2, 3, 6, 9], [10, 7, 14, 11], [8, 15, 13], [17, 20, 16, 18, 22], [23, 21, 24]]
13: [[5, 19, 12, 4], [2, 3, 6, 9, 10, 1], [7, 14, 11], [8, 15, 13, 17], [20, 16, 18, 22], [23, 21, 24]]
14: [[5, 19, 12, 4], [2, 3, 6, 9, 10, 1], [7, 14, 11], [8, 15, 13, 17], [20, 16, 18, 22], [23, 21, 24]]
15: [[5, 12, 19, 4, 1], [2, 3, 6, 9], [10, 7, 14, 11], [8, 15], [13, 17, 20, 16, 18, 22], [23, 21, 24]]
16: [[5, 12, 19], [4, 1, 2, 3, 6], [9, 10, 7, 14, 11], [8, 15, 13], [17, 20, 16, 18, 22], [23, 21, 24]]
17: [[4, 1, 2, 3, 12, 19], [6, 9, 10, 7, 14, 11], [8, 15, 13, 5], [17, 20, 16, 18, 22], [23, 21, 24]]
18: [[5, 12, 19, 4, 1], [2, 3, 6, 9], [10, 7, 14, 11], [8, 15, 13], [17, 20, 16, 18], [22, 23, 21, 24]]
19: [[5, 12, 19], [4, 1, 2, 3, 6, 9], [10, 7, 14], [11, 8, 15, 13], [17, 20, 16, 18, 22], [23, 21, 24]]
20: [[5, 12, 19, 4, 1], [2, 3, 6, 9], [10, 7, 14], [11, 8, 15, 13], [17, 20, 16, 18, 22], [23, 21, 24]]
21: [[5, 12, 19, 4, 1], [2, 3, 6, 9], [10, 7, 14], [11, 8, 15, 13], [17, 20, 16, 18, 22], [23, 21, 24]]
22: [[5, 12, 19, 4], [1, 2, 3, 6, 9], [10, 7, 14], [11, 8, 15, 13], [17, 20, 16, 18], [22, 23, 21, 24]]
23: [[5, 12, 19, 4], [1, 2, 3, 6], [9, 10, 7, 14, 11], [8, 15, 13], [17, 20, 16, 18], [22, 23, 21, 24]]
24: [[5, 12, 19, 4], [1, 2, 3, 6], [9, 10, 7, 14], [11, 8, 15, 13], [17, 20, 16, 18, 22], [23, 21, 24]]
25: [[5, 19, 12, 4], [2, 3, 6, 1], [9, 10, 7, 14], [11, 8, 15, 13, 17, 20], [16, 18, 22], [23, 21, 24]]
26: [[5, 12, 19, 4], [1, 2, 3, 6], [9, 10, 7, 14], [11, 8, 15, 13], [17, 20, 16, 18, 22], [23, 21, 24]]
27: [[5, 12, 19, 4], [1, 2], [3, 6, 9, 10, 7, 14], [11, 8, 15], [13, 17, 20, 16, 18, 22], [23, 21, 24]]
28: [[5, 19, 12, 4], [2, 3, 6, 9, 1], [10, 7, 14, 11], [8, 15, 13, 17], [20, 16, 18], [22, 23, 21, 24]]
29: [[4, 1, 2, 5, 12, 19], [3, 6, 9, 10, 7, 14], [11, 8, 15, 13], [17, 20, 16, 18, 22], [23, 21, 24]]
30: [[5, 12, 19, 4], [1, 2, 3, 6], [9, 10, 7, 14, 11], [8, 15, 13, 17], [20, 16, 18, 22], [23, 21, 24]]
31: [[5, 12, 19, 4], [1, 2, 3, 6], [9, 10, 7, 14, 11], [8, 15, 13, 17], [20, 16, 18, 22], [23, 21, 24]]
32: [[5, 12, 19, 4, 1], [2, 3, 6, 9], [10, 7, 14], [11, 8, 15], [13, 17, 20, 16, 18, 22], [23, 21, 24]]
33: [[5, 12, 19, 4, 1], [2, 3, 6, 9], [10, 7, 14], [11, 8, 15], [13, 17, 20, 16, 18, 22], [23, 21, 24]]
34: [[5, 12, 19, 4, 1], [2, 3, 6, 9], [10, 7, 14], [11, 8, 15], [13, 17, 20, 16, 18, 22], [23, 21, 24]]
35: [[5, 12, 19, 4, 1], [2, 3, 6, 9], [10, 7, 14], [11, 8, 15], [13, 17, 20, 16, 18, 22], [23, 21, 24]]
36: [[4, 1, 2, 5, 12, 19], [3, 6, 9, 10], [7, 14, 11, 8, 15], [13, 17, 20, 16, 18, 22], [23, 21, 24]]
37: [[4, 1, 2, 3, 5, 12, 19], [6, 9, 10, 7, 14], [11, 8, 15, 13], [17, 20, 16, 18, 22], [23, 21, 24]]
38: [[4, 1, 2, 3, 5, 12, 19], [6, 9, 10, 7, 14], [11, 8, 15, 13], [17, 20, 16, 18, 22], [23, 21, 24]]
39: [[5, 12], [1, 2, 3, 6], [9, 10, 7, 14, 11], [8, 15, 13, 17, 19], [20, 16, 18, 22, 4], [23, 21, 24]]
40: [[5, 12, 19], [4, 1, 2, 3, 6], [9, 10, 7, 14], [11, 8, 15, 13], [17, 20, 16, 18, 22], [23, 21, 24]]
41: [[5, 12, 19, 4], [1, 2, 3, 6, 9, 10], [7, 14, 11, 8], [15, 13, 17], [20, 16, 18, 22], [23, 21, 24]]
42: [[5, 19, 12, 4], [2, 3, 6, 9, 1], [10, 7], [14, 11, 8, 15, 13, 17, 20], [16, 18, 22], [23, 21, 24]]
43: [[5, 12, 19, 4], [1, 2, 3, 6], [9, 10, 7, 14, 11, 8], [15, 13], [17, 20, 16, 18, 22], [23, 21, 24]]
44: [[5, 12, 19, 4, 1, 2], [3, 6], [9, 10, 7, 14], [11, 8, 15], [13, 17, 20, 16, 18, 22], [23, 21, 24]]
45: [[5, 12, 19, 4], [1, 2, 3, 6], [9, 10, 7, 14], [11, 8, 15, 13, 17], [20, 16, 18, 22], [23, 21, 24]]
46: [[4, 1, 2, 5, 12, 19], [3, 6, 9, 10], [7, 14, 11, 8, 15], [13, 17, 20, 16, 18], [22, 23, 21, 24]]
47: [[4, 1, 2, 12, 19], [3, 6, 9, 5], [10, 7, 14, 11, 8, 15], [13, 17, 20, 16, 18], [22, 23, 21, 24]]
48: [[5, 19, 12, 4], [2, 3, 6, 9, 10, 7, 1], [14, 11], [8, 15, 13, 17], [20, 16, 18, 22], [23, 21, 24]]
49: [[5, 12, 19, 4, 1], [2, 3, 6, 9], [10, 7], [14, 11, 8], [15, 13, 17, 20, 16, 18, 22], [23, 21, 24]]
