0: [[19, 9, 1, 2], [6, 5], [4, 15, 11, 3], [7, 24, 8, 12], [29, 14], [18, 13, 10], [17, 23, 16, 28, 22], [20, 25], [27, 26, 21]]
11: [[19, 9, 1, 2], [6, 5], [4, 15, 11, 3], [7, 24, 8], [13, 18, 25, 20, 17, 16, 28, 22, 23, 21, 27, 26, 29, 10, 12, 14]]
12: [[19, 9, 1, 2], [6, 5], [4, 15, 11, 3], [7, 24, 8], [12, 29, 14, 18, 13, 10, 20, 21, 16, 28, 17, 22, 25, 27, 26, 23]]
13: [[19, 9, 1, 2], [6, 5], [4, 15, 11, 3], [7, 24, 12, 8], [13, 14, 26], [10, 17, 20, 23, 16, 22, 18, 21, 25, 27, 28, 29]]
14: [[19, 9, 1, 2], [6, 5], [4, 15, 11, 3, 7, 24, 12, 8, 13, 10, 14], [17, 18, 21, 20, 16, 23, 22, 25, 27, 29, 28, 26]]
15: [[19, 9, 1, 2], [6, 5], [4, 15, 11, 3, 7, 24, 8, 12, 29, 14, 10, 13, 16, 17, 21, 20], [28, 18, 22], [25, 27, 26, 23]]
16: [[19, 9, 1, 2], [6, 5], [4, 15], [11, 3, 7, 24, 8], [29, 13, 20, 17, 22, 16, 18, 21, 28, 27, 26, 23, 25, 10, 12, 14]]
17: [[19, 9, 1, 2], [6, 5, 4], [15, 11, 3, 7], [24, 8, 28, 12], [14, 25], [18, 10, 16], [23, 17], [13, 22, 20], [29, 27], [26, 21]]
18: [[19, 9, 1, 2], [6, 5], [4, 15], [11, 3, 7], [24, 12, 8, 29, 14, 10, 13, 22, 17, 23, 16, 28, 20, 18, 25, 27, 21, 26]]
19: [[19, 9, 1, 2], [6, 5], [4, 15], [11, 3, 7], [24, 8, 12, 29, 14, 18, 13, 10, 17, 23, 16, 22, 28, 20, 25, 27, 21, 26]]
20: [[19, 9, 1, 2], [6, 5], [4, 15], [11, 3, 7], [24, 12, 8, 29, 14], [18, 13, 10, 17], [16, 22, 20, 21, 23, 27, 25], [28, 26]]
21: [[19, 9, 1, 2], [6, 5], [4, 15], [11, 3, 7], [24, 12, 8, 29, 14], [18, 13, 10, 17], [16, 22, 20, 21, 23, 27, 25], [28, 26]]
22: [[19, 9, 1], [2, 6], [5, 4, 15, 11], [3, 7], [24, 8, 12, 13], [14, 10, 28, 18, 17, 23, 20, 21, 16, 22, 25], [27, 29, 26]]
23: [[19, 9, 1, 2], [6, 5], [4, 15, 11, 3], [7, 24], [12, 8, 29, 14], [10, 13], [18, 21, 22], [16, 20, 17, 23, 25, 27, 26, 28]]
24: [[19, 9, 1, 2], [6, 5], [4, 15, 11], [3, 7, 24], [12, 8, 13, 14, 16], [17, 18, 21, 20, 22], [23, 10, 25, 28, 27, 26, 29]]
25: [[19, 9, 1], [2, 6], [5, 4, 15], [11, 3, 7], [24, 12], [8, 29, 14], [10, 13], [16, 17], [23, 20, 22, 18], [28, 25, 27, 21, 26]]
26: [[19, 9, 1, 2], [6, 5], [4, 15], [11, 3, 7], [24, 12, 8, 29, 14], [18, 21, 10], [17, 23, 16, 13, 20], [22, 25], [27, 28, 26]]
27: [[19, 9, 1, 2], [6, 5, 4, 15], [11, 3, 7, 24, 12, 8, 29, 14, 10, 13, 16, 17], [18, 22, 20, 28, 23, 27, 25, 21, 26]]
28: [[19, 9, 1, 2], [6, 5, 4, 15], [11, 3, 7, 24, 12, 8, 29, 14, 10, 13, 16, 17], [18, 22, 20, 28, 23, 27, 25, 21, 26]]
29: [[19, 9], [1, 2, 6, 5], [4, 15, 11, 3, 7, 24, 8, 12, 29, 14, 18, 22, 10, 17, 21, 16, 13, 28], [20, 25, 27, 23, 26]]
30: [[19, 9, 1, 2], [6, 5], [4, 15, 11, 3], [7, 24], [8, 13, 12, 14], [18, 27], [10, 21, 22], [16, 20, 17, 23, 25, 26, 29, 28]]
31: [[19, 9, 1, 2, 6], [5, 4, 15, 11, 3, 7, 24, 12, 8, 29, 10, 14, 13, 18, 17, 21], [16, 28, 20, 22], [25, 27, 23, 26]]
32: [[19, 9, 1, 2, 6], [5, 4, 15, 11, 3, 7, 24, 8, 12, 29, 10, 26, 14, 13, 17, 16, 20, 21, 28, 18, 25], [27, 22, 23]]
33: [[19, 9, 1, 2], [6, 5, 4], [15, 11, 3], [7, 24, 12, 8, 13], [14, 18, 29, 10], [17, 16, 20, 21, 23, 22, 27], [25, 26], [28]]
34: [[19, 9, 1, 2], [6, 5, 4, 15, 11, 3], [7, 24, 8, 12], [10, 14, 13], [25, 17, 20], [23, 16, 28, 18, 21, 22, 26, 27, 29]]
35: [[19, 9, 1, 2], [6, 5], [4, 15], [11, 3, 7], [24, 12, 8, 25], [14, 18, 13, 10], [17, 22, 16, 21], [20, 29, 23, 27], [28, 26]]
36: [[19, 9, 1, 2], [6, 5, 4, 15, 11, 10], [3, 7, 24, 8, 29, 26, 13, 17, 16, 22, 20, 21, 23, 25, 12, 14], [18, 27, 28]]
37: [[19, 9], [1, 2, 6, 5], [4, 15, 11, 3, 7, 24, 12, 8, 29, 14, 10, 22, 13, 17, 21, 16, 23, 20, 18, 25, 27, 28, 26]]
38: [[19, 9, 1, 2], [6, 5], [4, 15, 11], [3, 7, 24], [8, 12, 28], [14, 18, 13, 10, 21, 23, 16, 20, 17], [22, 27], [25, 26, 29]]
39: [[19, 9, 1, 2, 6], [5, 4], [15, 11, 3], [7, 24, 8, 12, 27, 14, 10, 13, 16, 17, 20, 18, 28, 22, 23, 25, 21, 26, 29]]
40: [[19, 9], [1, 2, 6, 5, 4, 15], [11, 3, 7, 24, 12, 8], [29, 10, 14, 20, 25, 17, 22, 16, 13, 18, 23, 28, 27, 26, 21]]
41: [[19, 9, 1, 2, 6], [5, 4, 15, 11], [3, 7, 24, 8, 12, 29, 14, 18, 13, 10, 17, 23, 16, 28, 21, 20, 25], [27, 22, 26]]
42: [[19, 9, 1], [2, 6], [5, 4, 15], [11, 3, 7, 12, 22], [24], [8, 29, 18, 16, 23, 17, 20, 13, 25, 21, 27, 26, 28, 10, 14]]
43: [[19, 9], [1, 2, 6], [5, 4], [15, 11], [3, 7, 24, 8, 12], [29, 10, 13, 25, 14, 21, 23, 16, 17, 22, 18, 27, 20, 28, 26]]
44: [[19, 9], [1, 2, 6, 5], [4, 15, 11], [3, 7, 24, 8, 12, 10, 14, 13, 17, 22, 20, 21, 16, 26, 18, 23], [25, 27, 28, 29]]
45: [[19, 9, 1], [2, 6, 5], [4, 15, 11], [3, 7, 24], [8, 12], [29, 14, 18, 13], [10, 16], [23, 20, 17], [21, 22], [25, 27, 26, 28]]
46: [[19, 9, 1], [2, 6], [5, 4], [15, 11, 3, 7], [24, 8, 29, 12, 26, 10, 13, 27, 14, 22, 16, 17, 18, 20, 25, 21, 23, 28]]
47: [[19, 9, 1, 2], [6, 5], [4, 15], [11, 3, 7], [24, 12], [8, 29], [14, 18, 13], [10, 17], [23, 16], [20, 22, 26, 25, 27], [28, 21]]
48: [[19, 9, 1], [2, 6, 5, 4], [15, 11], [3, 7, 24, 8], [12, 29, 14], [18, 21, 10], [20, 23, 16, 13, 17], [22, 25], [27, 28, 26]]
49: [[19], [9, 1, 2, 6, 5, 4, 15, 11, 3, 7, 24, 12, 8, 29, 14, 10, 13, 18, 17, 16, 20, 21, 22, 23, 27, 25, 26], [28]]
50: [[19, 9, 1], [2, 6, 5, 4], [15, 11], [3, 7, 24, 12], [8, 13], [14, 26, 10, 18], [20, 17, 16], [23, 22, 27, 25, 29, 28, 21]]
51: [[19, 9, 1], [2, 6], [5, 4, 15, 11], [3, 7], [24, 8, 12], [29, 14, 10], [13, 18], [22, 17, 16, 21], [20, 23, 25, 26, 27, 28]]
52: [[19, 9, 1], [2, 6, 5, 4], [15, 11], [3, 7, 24, 8], [12, 29], [14, 13], [23, 10, 20], [18, 16], [17, 22, 26, 25], [27, 28, 21]]
53: [[19, 9, 1], [2, 6], [5, 4, 15, 11, 3], [7, 24], [12, 8, 29, 10], [14, 18, 27], [17, 21], [16, 13], [20, 22, 26, 23, 28, 25]]
54: [[19, 9], [1, 2], [6, 5, 4], [15, 11, 3, 7, 24], [8, 29, 12], [18, 13, 17, 16, 20, 21, 10, 14], [28, 22], [27, 25, 26, 23]]
55: [[19, 9, 1], [2, 6, 5, 4], [15, 11, 3], [7, 24, 12, 8], [28, 10, 13, 21], [14, 17, 18, 16], [29, 20, 23], [25, 27], [22, 26]]
56: [[19, 9], [1, 2, 6], [5, 4, 15, 11, 3], [7, 24, 8, 12, 29], [14, 10, 13], [25, 16, 20, 18], [21, 23], [17, 22, 27, 26, 28]]
57: [[19, 9, 1], [2, 6, 5, 4, 15, 11], [3, 7, 24, 12], [8, 29], [10, 14, 28], [13, 17, 22, 16, 18, 20, 23, 25, 27, 26], [21]]
58: [[19, 9, 1], [2, 6, 5, 4, 15, 11, 3, 7, 24, 8], [12, 29], [10, 26], [14, 20, 17, 13], [16, 21, 28], [18, 25, 27, 23, 22]]
59: [[19, 9, 1, 2], [6, 5, 4, 15, 11, 3, 7, 24, 8], [12, 29], [14, 10], [13, 20, 17, 23], [16, 21, 18, 28], [25, 27, 22, 26]]
