0: [[23, 13, 35], [20, 12], [33, 36], [4, 17], [16, 7], [25, 28], [5, 26], [9, 1, 3], [37, 2], [22, 24], [6, 19, 21, 15], [8, 14, 10, 11, 29, 18], [31, 32, 27, 30, 34]]
61: [[23, 13, 35, 20], [12, 33, 36], [4, 17], [16, 7, 25], [28, 5, 26, 9], [1, 3, 37], [2, 22, 24, 6], [19, 21], [15, 8, 14, 10], [11, 29], [18, 31, 32, 27], [30, 34]]
62: [[23, 13, 35, 20], [12, 33], [36, 4, 17], [16, 7, 25], [28, 5], [26, 9], [1, 3, 37], [2, 22], [24, 6, 19], [21, 15, 8, 14, 10], [11, 29, 18, 31, 32, 27, 30, 34]]
63: [[23, 13, 35, 20], [12, 33], [36, 4, 17], [16, 7, 25], [28, 5], [26, 9], [1, 3, 37], [2, 22], [24, 6, 19], [21, 15], [8, 14], [10, 11, 29], [18, 31, 32], [27, 30, 34]]
64: [[23, 13, 35], [20, 12, 33, 36], [4, 17, 16], [7, 25], [28, 5], [26, 9, 1], [3, 37, 2], [22, 24, 6], [19, 21, 15], [8, 14, 10], [11, 29, 18], [31, 32], [27, 30, 34]]
65: [[23, 13, 35], [20, 12, 33, 36], [4, 17, 16], [7, 25, 28], [5, 26, 9], [1, 3], [37, 2], [22, 24, 6], [19, 21], [15, 8], [14, 10, 11], [29, 18, 31], [32, 27], [30, 34]]
66: [[23, 13, 35], [20, 12, 33, 36, 4, 17, 16, 7, 25], [28, 5, 26, 9, 1, 3, 37, 2, 22, 24, 6, 19, 21, 15, 8, 14, 10, 11, 29, 18, 31, 32, 27, 30, 34]]
67: [[23, 13, 35, 20], [12, 33, 36], [4, 17, 16], [7, 25], [28, 5], [26, 9, 1, 3], [37, 2, 22, 24, 6, 19, 21, 15, 8, 14, 10, 11, 29, 18, 31, 32, 27, 30, 34]]
68: [[23, 13, 35], [20, 12, 33], [36, 4], [17, 16, 7], [25, 28, 5], [26, 9], [1, 3, 37], [2, 22], [24, 6, 19], [21, 15, 8], [14, 10], [11, 29, 18], [31, 32, 27], [30, 34]]
69: [[23, 13, 35], [20, 12], [33, 36, 4], [17, 16, 7], [25, 28, 5], [26, 9], [1, 3], [37, 2, 22], [24, 6, 19], [21, 15, 8], [14, 10, 11], [29, 18], [31, 32], [27, 30, 34]]
70: [[23, 13, 35], [20, 12, 33, 36, 4], [17, 16, 7, 25, 28, 5, 26, 9, 1, 3, 37, 2, 22, 24, 6, 19, 21, 15, 8, 14, 10, 11, 29, 18, 31, 32, 27, 30, 34]]
71: [[23, 13], [35, 20, 12], [33, 36, 4], [17, 16], [7, 25, 28], [5, 26, 9], [1, 3, 37], [2, 22], [24, 6, 19], [21, 15, 8], [14, 10, 11], [29, 18, 31, 32], [27, 30, 34]]
72: [[23, 13, 35], [20, 12], [33, 36], [4, 17, 16, 7], [25, 28, 5, 26, 9, 1, 3, 37, 2, 22, 24, 6, 19, 21, 15, 8, 14, 10, 11, 29, 18, 31, 32, 27, 30, 34]]
73: [[23, 13], [35, 20], [12, 33, 36, 4], [17, 16, 7, 25, 28, 5], [26, 9, 1, 3, 37], [2, 22, 24, 6, 19, 21, 15, 8, 14, 10, 11, 29, 18, 31, 32, 27, 30, 34]]
