0: [[20, 7, 12, 10, 11], [2, 9, 6, 1, 13], [16, 3], [4, 22, 5], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
14: [[20, 12], [10, 11, 7], [2, 9, 6, 1, 13, 16], [3, 4, 5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
15: [[20, 7, 12, 10, 11], [2, 9, 6], [1, 13], [16, 3, 4, 5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
16: [[20, 12], [7, 2, 10, 11], [9, 6], [1, 13, 16, 3, 4, 5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
17: [[11, 7, 2, 12], [9, 6, 1, 13, 16], [3, 4, 5], [22, 8, 15, 18, 19], [14, 17, 20, 10], [23, 24, 21]]
18: [[11, 7, 2, 9, 6, 1, 12], [13, 16, 3, 4, 5, 22], [8, 15, 18, 19], [14, 17, 20, 10], [23, 24, 21]]
19: [[11, 7, 2, 9, 6, 12], [1, 13, 16, 3], [4, 5, 22, 8, 15, 18, 19], [14, 17, 20, 10], [23, 24, 21]]
20: [[11, 7, 2, 12], [9, 6, 1, 13], [16, 3, 4, 5, 22, 8], [15, 18, 19], [14, 17, 20, 10], [23, 24, 21]]
21: [[11, 7, 2, 12, 10], [9, 6, 1, 13], [16, 3, 4, 5], [22, 8, 20], [15, 18, 19, 14, 17], [23, 24, 21]]
22: [[20, 7, 2, 9, 12, 10, 11], [6, 1], [13, 16, 3], [4, 5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
23: [[20, 12], [10, 11, 7, 2, 9, 6], [1, 13, 16], [3, 4, 5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
24: [[20, 12], [10, 11], [7, 2, 9, 6, 1, 13], [16, 3, 4, 5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
25: [[20, 12], [10, 11, 7, 2, 9], [6, 1, 13, 16, 3, 4], [5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
26: [[20, 12], [7, 2, 9, 10, 11], [6, 1, 13, 16, 3, 4], [5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
27: [[11, 7, 2, 9, 6, 12, 10], [1, 13, 20], [16, 3], [4, 5, 22, 8], [15, 18, 19, 14, 17], [23, 24, 21]]
28: [[11, 7, 2, 9, 6, 12], [1, 13, 16, 3, 4, 5, 22], [8, 15, 20], [18, 19, 14, 17, 10], [23, 24, 21]]
29: [[20, 11, 7, 2, 12], [9, 1, 13, 16, 6], [3, 4, 10], [5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
30: [[20, 7, 2, 12, 10, 11], [9, 6, 1], [13, 16], [3, 4, 5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
31: [[20, 12], [7, 2, 9, 6, 10, 11], [1, 13, 16, 3, 4], [5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
32: [[20, 12, 10, 11, 7], [2, 9], [6, 1, 13, 16, 3], [4, 5, 22, 8], [15, 18, 19, 14, 17], [23, 24, 21]]
33: [[20, 12, 10], [7, 2, 9, 6, 1, 11], [13, 16], [3, 4, 5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
34: [[20, 12], [10, 11, 7, 2, 9], [6, 1], [13, 16, 3, 4, 5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
35: [[20, 12], [7, 2, 9, 11], [6, 1, 10], [13, 16, 3, 4, 5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
36: [[11, 7, 12], [2, 9], [6, 1, 13, 16], [3, 4, 5, 22, 8], [15, 18, 19, 14, 17, 20, 10], [23, 24, 21]]
37: [[11, 7, 2, 9, 12], [6, 1, 13, 16], [3, 4, 10], [5, 22, 8, 20], [15, 18, 19, 14, 17], [23, 24, 21]]
38: [[20, 7, 2, 9, 12, 10, 11], [6, 1], [13, 16], [3, 4, 5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
39: [[11, 7, 2, 20, 12], [9, 6, 1, 13], [16, 3, 4, 5, 22], [8, 15, 18], [19, 14, 10], [17, 23, 24, 21]]
40: [[11, 7, 20, 12], [2, 9, 6, 1, 13], [16, 3], [4, 5, 22, 8, 15, 18], [19, 14, 10], [17, 23, 24, 21]]
41: [[20, 12, 10], [11, 7], [2, 9, 6, 1, 13], [16, 3, 4, 5], [22, 8, 15, 18, 19, 14], [17, 23, 24, 21]]
42: [[11, 7, 12], [2, 9, 6, 1, 13, 16], [3, 4, 5, 22, 8], [15, 18, 19, 14, 17, 23, 20, 10], [24, 21]]
43: [[11, 7, 2, 9, 6, 1, 13, 16, 12], [3, 4, 10], [5, 22, 8, 15, 20], [18, 19, 14, 17, 23], [24, 21]]
44: [[11, 7], [2, 9, 6, 1], [13, 16], [3, 4, 5, 22, 8, 15, 18], [19, 14, 12, 10], [17, 23, 24, 21, 20]]
45: [[20, 12, 10], [11, 7], [2, 9], [6, 1, 13, 16, 3, 4, 5], [22, 8, 15, 18, 19, 14], [17, 23, 24, 21]]
46: [[11, 7, 2, 9, 12, 10], [6, 1, 20], [13, 16, 3], [4, 5, 22], [8, 15, 18, 19, 14], [17, 23, 24, 21]]
47: [[11, 12, 10], [7, 2, 9, 6, 1], [13, 16, 3, 4, 5, 22], [8, 15, 18, 19, 14], [17, 23, 20], [24, 21]]
48: [[11, 7, 2, 12], [9, 6, 1], [13, 16, 3, 4, 5, 22, 8], [15, 18, 19, 14, 10], [17, 23, 20], [24, 21]]
49: [[11, 7, 12], [2, 9, 6], [1, 13, 16, 20], [3, 4, 10], [5, 22, 8, 15, 18, 19, 14], [17, 23, 24, 21]]
