0: [[2, 1, 19], [5, 6], [3, 4, 15, 8, 7, 11, 10, 12], [13, 9, 24, 18, 23, 17, 16, 22, 14], [25, 28, 20], [21, 26, 27, 29]]
41: [[2, 1, 19], [5, 6], [3, 4, 15], [8, 7, 11, 10, 12], [13, 25, 24, 9, 14, 17], [23, 18, 16, 28], [20, 26], [29, 22, 27, 21]]
42: [[2, 1, 19], [5, 6, 3], [4, 15, 8, 7, 11], [10, 12, 13], [9, 24], [22, 14], [17, 16], [18, 20, 23, 29, 21, 25], [26, 27, 28]]
43: [[2, 1, 19], [5, 6, 3, 4, 15, 8, 7, 11], [10, 12, 13, 25, 24, 16, 14, 17, 9, 22, 18, 28, 23, 21, 29, 20, 27, 26]]
44: [[2, 1, 19], [5, 6, 3, 4, 15, 8, 7, 11], [10, 12, 13, 9, 24, 14, 23, 17, 16, 22, 18, 29, 21, 20, 25, 26, 27, 28]]
45: [[2, 1, 19], [5, 6, 3], [4, 15], [8, 7], [11, 10, 12, 9, 25, 24], [18, 13, 17, 16, 14, 20, 21, 22, 26, 29, 28, 27, 23]]
46: [[2, 1, 19], [5, 6, 3, 4, 15], [8, 7, 11, 10, 12, 13, 25, 24, 17, 9, 14, 16, 18, 22, 26, 21, 20, 29, 27, 23, 28]]
47: [[2, 1, 19], [5, 6, 3, 4, 15], [8, 7, 11, 10, 14, 13, 25, 24, 18, 21, 17, 9, 22, 12, 16, 20, 23, 26, 28, 27, 29]]
48: [[2, 1, 19], [5, 6], [3, 4, 15, 8], [7, 11, 14, 9], [13, 10, 18, 23], [12, 21], [16, 22, 24], [25, 28, 20, 17, 26, 27, 29]]
49: [[2, 1, 19], [5, 6], [3, 4, 15, 8], [7, 11], [10, 14, 9], [12, 24, 22], [23, 17], [16, 13, 20, 18, 25, 26, 21, 28, 27], [29]]
50: [[2, 1, 19], [5, 6, 3, 4, 15, 8, 7, 11, 14, 12, 9], [10, 24, 23, 17, 13, 18, 22, 16, 21, 28, 20, 26], [25], [27, 29]]
51: [[2, 1], [19, 5, 6], [3, 4], [15, 8, 7], [11, 12, 28, 10, 9, 13, 20, 14, 29, 24, 18, 16, 17, 21, 23, 22, 25, 26, 27]]
52: [[2, 1, 19, 5], [6, 3, 4], [15, 8, 7, 11, 10, 12], [13, 9, 24], [22, 14], [17, 16, 18], [20, 21, 29], [23, 27, 25, 26, 28]]
53: [[2], [1, 19], [5, 6, 3, 4, 15, 8, 7, 11, 10, 28, 9, 12, 24, 22, 13, 14, 16, 18, 17, 21, 23, 20, 26, 25, 29, 27]]
54: [[2, 1, 19, 5, 6, 3, 4, 15, 8, 7, 11, 10, 12, 9, 26, 16, 20, 28], [29], [13, 22, 14, 24, 17, 18, 27, 21, 23, 25]]
55: [[2, 1], [19, 5], [6, 3, 4, 15, 8, 7], [11, 10, 13, 12, 9, 24, 18, 14, 17, 16, 22, 20, 23, 29, 21, 25, 26, 27, 28]]
56: [[2, 1], [19, 5], [6, 3, 4, 15, 8, 7], [11, 10, 12], [13, 9, 24, 18, 14, 17, 16, 20, 22, 27, 23, 21, 25, 26, 29, 28]]
57: [[2, 1, 19], [5, 6, 3], [4, 15, 8], [7, 11], [10, 12, 9], [13, 25], [16, 14, 17, 21, 20, 29], [18, 23], [22, 28, 24, 27, 26]]
58: [[2, 1], [19, 5], [6, 3], [4, 15, 8, 7, 11, 10], [14, 13, 25], [24, 22, 17, 18, 20, 16, 9, 23, 28, 21, 26, 27, 29, 12]]
59: [[2, 1, 19, 5], [6, 3], [4, 15], [8, 7, 11], [14, 12], [13, 9], [24, 22, 10, 21, 16, 18], [17, 27, 20, 23, 26, 25, 28, 29]]
