0: [[1, 3, 7, 2, 5], [8, 9, 4], [11, 12, 14, 30, 24], [31], [23, 22], [15, 16, 27, 10], [13, 29, 26, 21, 6], [19], [25, 17, 20, 42, 28, 58, 46, 35, 39, 33, 55, 32, 36], [38, 37, 41, 40, 43, 44, 45, 47, 51, 18], [57, 49], [48, 50, 34, 52, 53, 54, 59, 60, 56]]
12: [[1, 3, 7, 2], [4, 24, 12], [6, 13, 14, 8, 9, 30, 17, 11, 10, 15, 18, 21, 16, 5, 20], [23, 22], [25, 29, 27, 26, 19, 28, 52, 43, 42, 31, 32, 45, 35, 33], [40, 54, 34, 47, 36, 44], [37, 39, 41, 38, 48, 46, 50, 53, 55, 56], [49, 51], [59, 57, 58, 60]]
13: [[1, 3, 7, 2, 4], [24, 12, 13, 8, 14, 25, 11, 9, 15, 5, 10, 21, 6], [22, 17, 23, 19], [20, 26, 28, 16, 29, 27], [31, 40, 34, 30, 54, 41, 39, 37, 38, 32, 35, 18], [44, 33, 42, 47, 46, 36, 43, 45, 51, 52, 48, 58, 49, 50, 57, 56, 53, 59, 55, 60]]
14: [[1, 3, 7, 2, 4], [24, 12, 13, 8, 14, 25, 11, 9, 15, 5, 10, 21, 6], [22, 17, 23, 19], [20, 26, 28, 16, 29, 27], [31, 40, 34, 30, 54, 41, 39, 37, 38, 32, 35, 18], [44, 33, 42, 47, 46, 36, 43, 45, 51, 52, 48, 58, 49, 50, 57, 56, 53, 59, 55, 60]]
15: [[1, 3, 7, 2, 4], [26, 12, 6, 15, 30], [9, 8, 5, 27, 10, 11, 29, 20, 13, 14], [16, 17, 18, 22, 23, 19, 21], [25, 28, 24, 32, 50, 31, 48], [51, 33, 35], [45, 34, 47, 38, 41, 43, 36, 39, 44, 40, 56, 59, 37, 53, 42, 55], [57, 54, 46, 58, 60, 49, 52]]
16: [[1, 3, 7, 2, 5, 24, 12], [4, 13, 14, 9, 11, 10, 27, 15, 31, 29, 6, 21, 19, 18, 17], [16, 20, 22, 23, 25, 26, 28, 30, 8, 34, 35, 60, 32, 46, 33, 36, 41, 37, 44, 42, 38, 45], [47], [40, 57, 58, 51, 55, 39, 43, 49, 59, 50, 56, 52, 48, 54, 53]]
17: [[1, 3, 7, 2, 5, 24], [8, 12, 11, 4, 6, 9, 10, 16, 13, 31, 14, 19, 17, 21, 15, 30, 23, 20, 22, 28, 25, 29, 27, 26, 48, 42, 34, 18, 47, 32, 35, 33, 37, 54, 38, 36, 39, 44], [43, 41, 45, 58, 46, 40, 49, 53, 52, 50, 55, 51, 59, 57, 56, 60]]
18: [[1, 3, 7, 2, 5], [24, 9, 4, 14, 28, 12, 15, 6, 11, 8, 13, 20, 16, 31, 18, 17, 23, 26, 10, 19, 22, 21, 25], [27, 57, 29, 32, 46, 43, 38, 44, 30, 33, 36, 42, 37, 45, 39, 34, 41, 35, 59, 60, 40, 49, 50, 47, 48, 52, 54, 53, 51, 55, 56, 58]]
19: [[1, 3, 7, 2, 5], [8, 9, 4, 10, 12, 14, 30, 24, 31, 11, 13, 15, 16, 27, 18, 17, 23, 26, 21, 6, 19, 20, 25, 22, 58, 28, 56, 46, 35, 38, 32, 39, 29, 44, 33, 37, 43, 34, 36, 40, 45, 47, 41, 42, 57, 49, 52, 50, 48, 54, 53], [51, 55, 60, 59]]
20: [[1, 3, 7, 2, 5, 24, 12, 4], [13, 6, 8, 15, 9, 18, 21, 23], [16, 19, 11, 17, 30, 26, 14, 20, 22, 27, 31, 25, 28, 10], [46, 40, 37, 50, 29, 44, 35, 32, 39, 38, 34, 33], [36, 43, 41, 45], [47, 42, 49, 51, 48, 55, 52, 54, 53, 58, 59, 56, 60, 57]]
21: [[1, 3, 7, 2, 5], [8, 9, 4, 14, 12, 15, 6, 10, 27, 11, 13, 17, 20, 23, 18, 16, 22, 26, 21, 24, 19, 29, 25, 30, 32, 28, 56, 31, 35, 36, 51, 39, 44, 41, 33, 37, 43, 34, 52, 38, 45, 42, 40, 46, 47, 49, 53, 54, 48, 55, 57], [50, 60, 58, 59]]
22: [[1, 3, 7, 2, 4, 24], [8, 5, 15, 9, 6, 14, 10, 27, 11, 12, 13, 28, 21, 20, 23, 16, 18, 17, 19, 22, 26, 29, 25, 31, 30, 40, 35, 32, 34, 33, 36, 38, 41, 44, 37, 39, 43, 45, 47, 46, 52, 42, 55, 53, 48, 56, 57, 51, 54, 49, 50], [58, 59, 60]]
23: [[1, 3, 7, 2, 5, 24, 12, 4, 11, 30, 8], [9, 10, 6, 13, 15, 16, 21, 14, 25, 31, 19, 18, 17, 20, 23, 22, 38], [26, 27, 45, 43, 58, 28, 32, 44, 33, 56, 29, 34, 37, 39, 47, 35, 41, 42, 46, 50, 51, 36, 49, 48, 60, 54, 57, 52, 40, 53, 55, 59]]
24: [[1, 3, 7, 2], [4, 24, 12, 5, 10, 9, 11, 6, 15, 27, 14, 17, 21, 8, 26, 30, 20, 22], [16, 13, 18, 23, 19, 28, 25, 31, 32, 36, 29, 35, 38, 58, 34, 55, 37, 42, 43, 47, 39, 41, 49, 40, 51, 46, 48, 45, 50, 44, 33, 54, 52, 56, 59, 57, 53, 60]]
25: [[1, 3, 7, 2, 5], [12, 8, 4], [15, 26, 9, 31, 6], [10, 11, 28, 14, 13, 19, 30, 20, 17, 16, 18, 21, 22, 23, 24, 25, 54, 27, 50, 45, 33, 35, 29, 38, 48, 32, 46, 36, 34, 37, 47, 40], [39, 52, 42, 41, 57, 49, 43, 44, 55, 53, 56, 58, 51], [59, 60]]
26: [[1, 3, 7, 2, 4], [8, 12, 5, 6, 14, 9], [26, 11, 13, 24, 15, 16, 19, 20, 27, 17, 21, 31, 18, 22], [29, 23, 25, 30, 28, 10], [35, 37, 36, 41, 39, 32, 46, 33, 38, 42, 45, 34, 47, 40, 43, 50, 51, 53], [59, 44, 48, 58, 49, 52, 54, 55, 57, 56, 60]]
27: [[1, 3, 7, 2, 5, 24], [12, 4], [15, 6, 9, 8, 13, 18, 21, 14, 19, 11, 16, 23, 10, 22, 26, 17], [30, 31, 25, 27, 20, 28], [58, 40, 37, 34, 46, 29, 35, 33, 38, 36], [41, 39], [32, 42, 44, 45, 47, 43, 53, 48, 49, 51, 52, 55, 54, 50, 59, 56, 60, 57]]
28: [[1, 3, 7, 2, 4], [24, 8, 5, 13, 14, 21, 6], [9, 25, 15, 18, 10], [11, 12, 19, 16], [23, 20, 29, 22, 27], [26, 17, 28, 30, 31, 32, 34, 35], [37, 46, 36, 33, 38, 39, 44], [47, 42, 43, 40, 45], [41, 48, 51, 49, 50, 58, 52], [53, 54, 55, 60, 56, 57, 59]]
29: [[1, 3, 7, 2, 5, 24, 12, 4, 10, 6, 14, 8, 30, 17, 21, 13, 18, 15, 25, 11, 9, 22, 23, 16, 27], [20, 19, 55, 28, 31, 26], [32, 46], [36, 35, 34, 37, 40], [41, 54, 29, 33, 38, 60, 45, 39, 43, 42, 52, 53, 44, 47, 49, 59, 48, 56, 51, 50, 58, 57]]
30: [[1, 3], [7, 2, 5], [16, 8, 18, 20, 30, 11], [13, 12, 4, 6, 15, 14, 10, 9, 17, 19, 25, 22, 29, 24, 27, 26, 23, 21, 31, 55, 47, 28, 35, 33, 45, 38, 32], [34, 46, 36, 39, 37, 43, 41], [40, 58, 42, 51, 48, 44, 54, 49, 50, 52, 57, 56, 53, 59, 60]]
31: [[1, 3, 7, 2, 4], [24, 12, 15, 20, 14], [8, 6, 10, 9, 11, 5, 13, 28, 18, 21, 17, 19], [26, 31, 22, 25, 23, 59, 16], [27, 49, 44, 30, 29, 32, 33, 45, 39], [34, 35, 36, 37, 38, 40, 43], [41, 57, 58, 56], [42, 46, 47, 50], [48, 51, 52, 53, 54, 55, 60]]
32: [[1, 3, 7, 2, 5], [8, 13, 4, 6, 12, 14, 27, 9, 31, 10, 11, 15, 20], [16, 18, 17, 19, 28, 23, 21, 22], [24], [25, 26, 59, 30], [56, 42, 43, 38, 32, 36, 29, 45, 33, 39, 34, 51, 37, 40], [35, 44, 41, 46], [49, 47, 52, 54, 48, 55], [50, 53, 57, 60, 58]]
33: [[1, 3, 7, 2, 4, 24], [8, 5, 6, 14, 10, 27, 29, 9, 11, 12, 21, 15, 20, 13, 18, 16, 17, 19, 22], [23, 31, 30, 25, 28, 60], [48, 36, 53, 35, 44, 34, 42], [26, 38, 33, 32, 39, 41, 37, 40, 47, 52, 50, 57, 43, 51, 55, 45, 46, 49, 58, 54, 56, 59]]
34: [[1, 3, 7, 2], [5, 24, 8, 4], [10, 26, 15, 12, 27, 11, 9, 30, 6, 13, 29, 21, 14, 23, 16, 28, 18, 19, 20, 17, 22, 25, 35, 38, 31, 44, 33, 32, 37, 34, 39, 36, 40, 43, 41, 58, 47, 45, 49, 42, 50, 46, 57, 54, 48, 55, 51, 52, 53, 60], [59, 56]]
35: [[1, 3, 7, 2, 4, 24], [12, 13, 5, 14, 10, 11, 8, 9, 6, 31, 15, 23, 29, 17, 18, 30, 16, 19, 22, 28, 27, 21, 20, 25], [58, 36, 33, 26, 38, 60, 32, 41, 35, 34, 39], [44, 40, 43, 42, 47, 46, 45, 53, 37, 49, 50, 55, 57, 48, 51, 54, 59, 56, 52]]
36: [[1], [3, 7, 2, 5, 16, 8, 4, 10, 27, 6, 9, 11, 19, 15, 13, 20, 21, 14, 17, 23, 18, 22, 24, 25, 31, 28, 60, 30, 26, 37, 58, 36, 56, 34, 12, 33, 40, 29, 42, 38, 35, 43, 32, 41, 44, 45, 48, 51, 39, 59, 46, 47, 55, 49, 53, 50, 52, 54], [57]]
37: [[1, 3, 7, 2, 4, 24, 8, 5, 6, 30, 12, 10], [13, 9, 17, 29, 21, 11, 31, 16, 14, 15, 18, 28, 20, 26, 27, 22, 23, 25, 47, 32, 38, 19, 42, 35, 37, 33, 36, 34, 40, 39, 41, 44, 43, 49, 45, 56, 53], [55, 48, 51, 46, 54, 50, 52, 57, 59, 60, 58]]
38: [[1, 3, 7, 2, 5, 24, 12, 4, 6, 14, 15, 27, 9, 8, 28, 31, 10, 11, 13, 23, 18, 30, 16, 17, 22, 19, 26, 21, 20, 25, 29, 40, 32, 38, 34, 36, 48, 41, 35, 49, 39, 37, 50, 43, 47, 42, 44, 46, 45, 33, 51, 54, 52, 57], [53, 55, 58], [59, 56, 60]]
39: [[1, 3, 7, 2, 5, 10, 9, 6, 14, 8, 11, 31, 12, 13, 15, 16, 23, 17, 19, 22, 21, 18, 24, 27, 29, 30, 25, 57, 20, 26, 28, 48, 46, 42, 37, 40, 35, 4, 52, 36, 32, 43, 33, 39, 34, 45, 47, 38, 58, 41, 44], [49, 50, 51, 55], [54, 56, 53, 60, 59]]
40: [[1, 3], [7, 2, 5, 8], [12, 13, 6, 4, 11, 26, 9, 10, 28, 15, 16, 19, 20, 14, 17, 21, 22, 18, 24, 31, 29, 25, 23], [27, 43, 32, 34, 44, 30, 35, 36, 33, 41, 46, 39, 42, 45, 59, 40, 49, 38], [50, 37, 57, 47, 48, 53, 51, 52, 54, 56, 55], [58, 60]]
41: [[1], [3, 7, 2, 5, 8, 9, 4, 6, 15, 11, 12, 16, 29, 17, 13, 19, 10, 23, 18, 22, 21, 26, 20, 14, 24, 27, 25, 28, 30, 31, 56, 60, 35, 38, 34, 39, 57, 45, 33, 32, 43, 37, 36, 42, 41, 40, 44, 58, 59, 51, 52], [55, 54, 46, 47], [48, 53, 49, 50]]
42: [[1, 3], [7, 2, 5, 24, 13, 4, 10, 12, 14, 6, 9, 31, 8, 15, 16, 21, 11, 18, 17, 19, 30, 23, 26, 27, 20, 25, 22, 58, 28, 40, 46, 43, 38, 32, 34, 29, 36, 37, 35, 39, 50, 33, 42, 41, 45, 56, 44, 49, 47, 53, 51, 48, 54, 52, 55, 57], [60, 59]]
43: [[1, 3, 7, 2, 5, 24, 12, 14, 4, 19, 9], [6, 29, 10, 8, 31, 11, 20, 13, 15, 21], [18, 16], [22, 23, 17, 28, 26, 27, 25, 30, 54, 34], [33, 45, 37, 35, 38, 40], [39, 43, 36, 42, 44, 47, 41], [57, 60, 53, 56], [46, 48, 32], [58, 51], [55, 49, 50, 52, 59]]
44: [[1, 3, 7, 2, 5, 24, 12, 4, 8, 6, 10, 11], [9, 31, 14, 13, 30, 21, 15, 18, 16, 19, 28, 23, 17, 22], [20], [25, 26, 57, 27], [40, 42, 43, 38, 32, 36, 29, 37, 47, 39, 41, 59, 33, 34], [35, 44, 56, 58], [51, 45, 53, 52, 46, 55], [48, 49, 50, 54, 60]]
45: [[1, 3, 7, 2, 5, 24, 12, 20, 10, 27, 29, 25, 6, 17, 9, 30, 13, 8, 28, 21], [11, 14, 15, 16, 19, 18, 22, 23, 26, 31, 34, 42], [4, 44, 33, 32, 39, 35, 36, 38], [37, 40, 43, 41, 47, 45, 49, 46, 52, 50, 59, 54, 58, 53, 48, 55, 51, 60], [57, 56]]
46: [[1, 3, 7, 2, 4, 16, 8, 5, 15, 9, 6, 26, 27, 10, 12, 13, 14, 19, 23, 11, 17, 22, 18, 31, 20, 28, 21, 24, 25, 29, 37, 40, 30], [32], [35, 60, 34, 33], [41, 38, 39, 43, 36, 42, 47, 44, 57, 50, 48, 45, 58, 46, 52], [53, 55, 54, 49, 59, 51, 56]]
47: [[1, 3, 7, 2, 5], [24, 8, 4, 10, 6, 13, 9, 26, 31, 11], [15, 14, 18, 19, 21, 16, 17], [27, 20, 28, 23, 25, 29, 22, 30, 12, 50, 42, 41, 36, 34, 39], [37, 45, 40, 32, 47], [35, 44, 33, 38, 59, 43, 46, 57, 48, 52, 49, 53, 54, 60], [51, 55, 56, 58]]
48: [[1, 3, 7, 2], [5, 8, 6, 4], [10, 26, 13, 14, 25, 9, 11, 22, 18, 12, 29, 21, 23, 19, 15, 16, 17, 20, 24, 28, 30, 27, 33, 38, 39, 44, 35, 31, 37, 34, 41, 36, 40, 43, 45, 42, 47, 32, 49, 46, 60, 50, 51, 53, 48, 55, 54, 52], [56, 59, 57, 58]]
49: [[1, 3, 7, 2], [5, 24, 12, 4], [11, 31, 13, 10, 14, 15, 9, 6, 17, 21, 23, 22, 8, 25], [26, 20, 18, 19, 16, 29], [28, 27, 39, 32, 47, 36, 33, 34, 37, 30, 38, 53, 44, 35, 41, 58, 40, 45, 48, 46, 42, 43, 57, 52, 56, 55, 51, 49, 50, 54, 59, 60]]
50: [[1, 3, 7, 2], [4, 24, 12, 13, 5, 6, 14, 11, 26, 9, 8], [29, 10, 19, 17, 21, 16, 22, 15, 20, 23, 25, 27, 30, 28, 31, 37, 38, 32, 18, 34, 56, 36, 33, 39, 35, 41, 45, 42, 43, 40, 47, 46, 44, 52, 54, 48, 50, 55, 57, 49, 58, 60, 59, 51, 53]]
51: [[1, 3, 7, 2, 4], [24, 12, 5, 8, 6, 9], [26, 11, 10, 28, 15, 16, 19, 21, 13, 17, 14, 22, 18, 20], [30, 27, 25, 23, 29, 31], [32, 34, 35, 45, 39, 36, 46, 33, 38, 41, 44, 37, 40, 43, 50, 42, 47, 54, 49, 55, 48, 58, 51, 53, 52, 57, 59, 56, 60]]
52: [[1, 3, 7, 2, 5, 24, 12, 4, 14, 8], [31, 27], [9, 13, 10, 29, 30, 11, 15, 21, 16], [20], [19, 22, 26, 17, 6, 23, 28, 39, 33, 25, 42, 34], [40, 36, 60, 43, 37, 32, 47, 46], [35, 41, 38, 51], [44, 50, 45, 57, 48, 49, 53, 52, 58, 54, 56, 59, 55, 18]]
53: [[1, 3], [7, 2, 5], [16, 8, 13, 6, 18, 9], [4, 10, 11, 12, 15, 14, 26, 19, 17, 20, 22, 24, 31, 25, 28, 21, 23, 27, 29, 30, 35, 56, 34], [33, 37, 39, 32, 40, 38, 36], [44, 41, 47, 45, 42, 49, 51, 43, 48, 52, 46, 50, 53, 54, 59, 55, 57, 58, 60]]
54: [[1, 3, 7, 2, 4], [24, 12, 13, 22, 14], [9, 10, 26, 11, 6, 29, 8, 16, 18, 21, 15, 19], [20, 23, 27, 28, 30, 31, 17, 25, 49, 44], [32, 45, 41, 5, 43, 35, 34, 47, 38, 36, 33, 60], [37, 39, 42, 50, 40, 56], [51, 46, 48, 55, 52, 54, 53, 57, 58, 59]]
55: [[1, 3, 7, 2, 5, 24, 8], [4, 11], [10, 6, 9, 12, 27, 13], [14, 15, 28, 25, 17, 16, 19, 22, 20, 18, 21, 52, 23, 31, 26, 29, 30, 35, 34, 37, 40, 51, 33, 38, 39, 44, 32, 41, 42, 43, 46, 45, 36, 55, 48, 60, 47, 49, 50, 54, 53, 56, 58, 59, 57]]
56: [[1, 3, 7, 2, 4, 24, 12, 5, 14, 31, 13, 27, 10], [17, 6, 8, 15, 21, 25, 26, 9], [11, 20, 16, 19, 23, 18], [30, 22, 28, 29, 32, 44, 36, 39, 42], [34, 41], [35, 33, 38, 40, 59, 47, 43, 46, 50], [52, 37, 53, 49, 45, 48, 56, 54, 57, 58, 51, 55, 60]]
57: [[1, 3, 7, 2], [4, 24, 8, 6, 15], [13, 5, 10, 27, 11, 25, 9, 12, 28, 14], [23, 20, 17, 18, 16, 19, 21, 22, 26, 29, 31, 37, 40, 35, 30, 32, 33, 36, 38], [42, 44, 45, 39, 43, 57, 47, 46, 60, 34, 55, 41, 51, 49, 48, 52, 53, 59, 54, 50, 58, 56]]
58: [[1, 3, 7, 2, 5, 16], [8, 15, 20, 6], [9, 4, 10, 11, 12, 13, 14, 18, 21, 19, 17, 22, 26, 27, 25, 28, 23, 29, 24, 31, 41, 43, 30, 34, 33, 35, 39, 37, 32, 38, 36], [40, 44, 56, 45, 42, 49, 51, 50, 47, 52, 46, 58, 48, 53, 55, 57, 54, 59, 60]]
59: [[1, 3, 7, 2, 5, 16], [8, 15, 20, 6], [9, 4, 10, 11, 12, 13, 14, 18, 21, 19, 17, 22, 26, 27, 25, 28, 23, 29, 24, 31, 41, 43, 30, 34, 33, 35, 39, 37, 32, 38, 36], [40, 44, 56, 45, 42, 49, 51, 50, 47, 52, 46, 58, 48, 53, 55, 57, 54, 59, 60]]
60: [[1, 3, 7, 2], [5, 24, 12, 4, 14, 11], [13, 6, 27, 10], [9, 8, 15, 17, 29, 30, 18, 23, 20, 19, 16, 22, 25, 21, 26, 28, 60, 42, 31, 40, 35, 32, 33, 34, 36, 38, 39, 43, 45, 50, 46, 47, 58, 44, 51, 41, 48, 53, 52, 37, 49, 54, 55, 57, 59, 56]]
61: [[1, 3, 7, 2, 4, 24, 12, 5, 13, 30, 9, 6, 14, 27, 10], [8, 17, 28, 21, 11, 22, 15, 18, 23, 16, 20, 19, 25, 26, 29, 32, 58], [43], [31, 57, 33, 36, 39, 35, 38, 37, 40, 41, 42, 47, 45, 49, 44, 46, 53, 48, 34, 55, 51, 54, 52, 50, 60, 59, 56]]
62: [[1, 3, 7, 2, 4, 24], [8, 6, 10, 23, 11, 13, 5], [25, 9, 12, 17, 14, 15, 16, 18, 22, 26, 19, 21, 20, 31, 29, 28, 27, 36, 60, 30, 34, 33, 35, 32, 38, 41, 37, 39], [40, 42, 49, 43, 45, 57, 44], [46, 51, 48, 52, 47, 54, 53, 55], [50, 59, 58, 56]]
63: [[1, 3, 7, 2, 4, 8, 5], [6, 14], [28, 11, 10, 16, 27, 13, 9, 25, 12, 19, 30, 17, 23, 26, 15, 18, 21, 20, 24, 22, 29, 36, 58, 31, 35, 37, 32, 39], [47, 45, 33, 38, 42, 34, 52, 43, 40, 44, 41, 46, 57, 48, 50, 55], [49, 54, 53, 51, 59, 56, 60]]
64: [[1, 3], [7, 2, 5, 28, 8, 4, 14, 10, 9, 12, 6, 13, 11, 15, 22, 24, 19, 16, 18, 23, 20], [17, 25, 21, 31, 26, 27, 29, 51, 33, 32, 30, 42, 47, 50, 35, 45, 46, 38, 39, 37, 34, 40, 41, 43, 58, 44, 49, 48, 55, 36, 52, 53, 54, 56, 59, 57, 60]]
65: [[1, 3], [7, 2, 4, 24, 12, 5, 10, 31, 9, 28, 22, 19], [8, 27], [15, 21, 6, 11, 17, 13, 14, 16, 23, 25, 20, 18, 29, 39, 45, 32, 35], [26, 30, 38, 33, 55, 37, 47, 40, 34, 43, 46, 42, 44, 36, 58, 48, 49, 51, 50, 41, 54, 52, 57, 59, 53, 56, 60]]
66: [[1, 3], [7, 2], [5, 16, 12, 6, 10, 20, 11], [13, 4], [25, 8, 9, 17, 14, 15, 28, 24, 22, 26, 19, 18, 21, 23, 27, 29, 31, 38, 58, 30, 34, 35, 32, 36], [33, 41, 37, 39, 40, 42, 44, 43, 45, 53, 46, 47, 55, 48, 60, 50], [49, 52, 57, 56, 51, 59, 54]]
67: [[1, 3, 7, 2, 5, 24, 13, 4, 8, 28, 14, 22, 10, 27, 11, 15, 6, 9, 31, 18, 16, 23], [17], [21, 19, 20, 25, 29, 26, 58, 12, 50, 35, 30, 38, 32, 37, 45, 44, 43, 36, 34, 33, 39, 42, 41, 59, 40, 46, 49, 47, 60, 48, 57, 54, 53, 51, 55, 52, 56]]
68: [[1, 3, 7, 2, 5, 16], [8, 15, 28, 14], [9, 20, 12, 11, 4, 13, 6, 18, 21, 10, 17, 19, 24, 27, 25, 22, 29, 30, 26, 23, 31, 43, 40, 35, 32, 37, 39, 33, 36, 46, 38], [47, 44, 42, 41, 51, 56, 58, 52, 45, 49, 34, 53, 50], [55, 54, 48, 57, 59, 60]]
69: [[1, 3, 7, 2, 5], [24, 8, 4, 6, 11, 12, 9, 10, 31, 13, 15, 16], [18, 14], [17, 23, 19, 20, 21, 22, 25, 58, 39, 26, 27, 36, 50, 28, 30], [35, 45, 32, 49, 29, 34, 38, 33, 37, 40, 42, 46], [59, 43, 44, 47, 53, 60, 48, 52, 54, 51, 41, 55, 57, 56]]
70: [[1, 3, 7], [2, 5, 24, 8, 4, 14, 27, 15, 6, 25, 9, 11, 10, 12, 20, 19, 13, 16, 18, 22, 17, 21, 29, 30, 23, 31, 26, 28, 39, 48, 38, 32], [42, 35, 36, 49, 45, 33, 34, 41, 44, 46, 37, 40, 43, 47, 50, 51, 52, 59], [53, 55, 54, 56, 58, 57, 60]]
71: [[1, 3, 7, 4, 2, 8, 6, 5, 10, 30, 11, 26], [12, 15], [14, 18, 16, 23, 17, 20, 21, 29, 22, 13, 19, 31, 28, 24, 25, 27, 9, 33, 41, 49, 47, 36, 55, 34, 35, 38, 32, 37, 40, 43, 44, 45, 42, 50, 46, 56, 39, 52, 48, 53, 54, 57, 51, 59], [58, 60]]
72: [[1, 3, 7], [2, 5, 24, 12, 4, 14], [8, 9, 19, 10, 21, 6, 11, 15, 23, 13, 22, 18, 17, 16, 20, 27, 29, 26, 25, 28, 30], [31, 45, 53, 34, 32, 54, 33, 40, 35, 38, 39], [36, 41, 43, 47, 42, 46, 44, 37, 48, 51, 50, 52, 57, 49, 55, 56, 58, 59, 60]]
73: [[1, 3, 7], [2, 5, 24, 8, 4, 6, 14, 31], [27, 10, 26, 9, 11, 21, 13, 12, 22, 17, 20, 16, 15, 18, 19, 23, 30, 28, 50, 32, 25, 41, 58, 29, 44, 46, 34, 45, 47, 37, 36, 43, 33, 38, 39, 40, 42, 35, 48, 51, 52, 53, 49, 56, 54, 55, 59, 57, 60]]
