0: [[9, 6], [1, 3, 2, 4, 10], [7, 5, 11], [8, 13, 12, 14, 15], [16, 18], [17, 19, 20, 22], [23, 21, 24]]
33: [[9, 6], [1], [3, 2, 4, 10], [7, 5, 11], [8, 13, 12], [14, 15], [16, 18, 17], [19, 20], [22, 23, 21], [24]]
34: [[9, 6, 1], [3, 2, 4, 10, 7], [5, 11], [8, 13, 12, 14], [15, 16, 18], [17, 19, 20, 22, 23, 21, 24]]
35: [[9, 6, 1], [3, 2], [4, 10], [7, 5, 11], [8, 13, 12], [14, 15], [16, 18, 17], [19, 20], [22, 23], [21, 24]]
36: [[9, 6], [1, 3, 2], [4, 10], [7, 5, 11], [8, 13], [12, 14, 15, 16], [18, 17, 19], [20, 22, 23, 21], [24]]
37: [[9, 6, 1, 3], [2, 4, 10], [7, 5, 11, 8, 13, 12, 14, 15, 16, 18, 17, 19, 20, 22, 23, 21, 24]]
38: [[9, 6, 1, 3], [2, 4, 10, 7], [5, 11, 8], [13, 12, 14], [15, 16, 18, 17, 19, 20, 22, 23, 21, 24]]
39: [[9, 6, 1], [3, 2, 4], [10, 7, 5, 11, 8, 13, 12, 14, 15, 16, 18, 17, 19, 20, 22, 23, 21, 24]]
40: [[9, 6], [1], [3, 2, 4], [10, 7, 5], [11, 8], [13, 12, 14], [15, 16], [18, 17, 19], [20, 22], [23, 21], [24]]
41: [[9, 6], [1, 3, 2], [4, 10, 7], [5, 11, 8], [13, 12, 14], [15, 16, 18, 17, 19, 20, 22, 23, 21, 24]]
42: [[9, 6, 1], [3, 2, 4], [10, 7], [5, 11, 8], [13, 12, 14], [15, 16, 18, 17, 19, 20, 22, 23, 21, 24]]
43: [[9, 6], [1, 3, 2], [4, 10, 7], [5, 11, 8], [13, 12, 14, 15, 16, 18, 17, 19, 20, 22, 23, 21, 24]]
44: [[9, 6, 1], [3, 2], [4, 10, 7], [5, 11], [8, 13, 12], [14, 15], [16, 18, 17], [19, 20, 22, 23, 21, 24]]
45: [[9, 6], [1], [3, 2, 4], [10, 7, 5, 11, 8, 13, 12], [14, 15, 16, 18, 17, 19, 20, 22, 23, 21, 24]]
46: [[9, 6], [1, 3], [2, 4], [10, 7, 5], [11, 8, 13, 12, 14], [15, 16, 18, 17, 19, 20, 22, 23, 21, 24]]
47: [[9, 6], [1, 3], [2, 4, 10], [7, 5], [11, 8, 13], [12, 14], [15, 16], [18, 17, 19], [20, 22, 23, 21], [24]]
